Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR1560315	(11.0, 1.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 2.0)	(20.0, 3.0)	(21.0, 5.0)	(22.0, 12.0)	(23.0, 26.0)	(24.0, 56.0)	(25.0, 111.0)	(26.0, 228.0)	(27.0, 445.0)	(28.0, 653.0)	(29.0, 812.0)	(30.0, 743.0)	(31.0, 601.0)	(32.0, 813.0)	(33.0, 963.0)	(34.0, 1175.0)	(35.0, 1419.0)	(36.0, 1684.0)	(37.0, 1634.0)	(38.0, 994.0)	(39.0, 61.0)		
SRR1560316	(12.0, 2.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 3.0)	(20.0, 6.0)	(21.0, 5.0)	(22.0, 23.0)	(23.0, 30.0)	(24.0, 66.0)	(25.0, 133.0)	(26.0, 259.0)	(27.0, 508.0)	(28.0, 706.0)	(29.0, 905.0)	(30.0, 789.0)	(31.0, 794.0)	(32.0, 1104.0)	(33.0, 1471.0)	(34.0, 1852.0)	(35.0, 2082.0)	(36.0, 2280.0)	(37.0, 1746.0)	(38.0, 592.0)	(39.0, 25.0)	(40.0, 1.0)		
SRR1560317	(11.0, 4.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 3.0)	(21.0, 3.0)	(22.0, 6.0)	(23.0, 12.0)	(24.0, 38.0)	(25.0, 65.0)	(26.0, 134.0)	(27.0, 271.0)	(28.0, 397.0)	(29.0, 410.0)	(30.0, 369.0)	(31.0, 460.0)	(32.0, 661.0)	(33.0, 878.0)	(34.0, 1261.0)	(35.0, 1954.0)	(36.0, 2455.0)	(37.0, 2398.0)	(38.0, 1097.0)	(39.0, 120.0)	(40.0, 1.0)	
SRR1560318	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 1.0)	(21.0, 3.0)	(22.0, 11.0)	(23.0, 24.0)	(24.0, 51.0)	(25.0, 104.0)	(26.0, 198.0)	(27.0, 340.0)	(28.0, 471.0)	(29.0, 608.0)	(30.0, 582.0)	(31.0, 555.0)	(32.0, 711.0)	(33.0, 973.0)	(34.0, 1193.0)	(35.0, 1451.0)	(36.0, 1520.0)	(37.0, 1144.0)	(38.0, 468.0)	(39.0, 63.0)	(40.0, 14.0)				
SRR1560319	(15.0, 2.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 2.0)	(20.0, 6.0)	(21.0, 8.0)	(22.0, 21.0)	(23.0, 54.0)	(24.0, 78.0)	(25.0, 159.0)	(26.0, 261.0)	(27.0, 457.0)	(28.0, 598.0)	(29.0, 690.0)	(30.0, 763.0)	(31.0, 1090.0)	(32.0, 1375.0)	(33.0, 1545.0)	(34.0, 1679.0)	(35.0, 1712.0)	(36.0, 1773.0)	(37.0, 1479.0)	(38.0, 694.0)	(39.0, 104.0)	(40.0, 2.0)					
SRR1560320	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 3.0)	(21.0, 5.0)	(22.0, 12.0)	(23.0, 35.0)	(24.0, 69.0)	(25.0, 161.0)	(26.0, 314.0)	(27.0, 523.0)	(28.0, 618.0)	(29.0, 562.0)	(30.0, 412.0)	(31.0, 523.0)	(32.0, 698.0)	(33.0, 834.0)	(34.0, 908.0)	(35.0, 899.0)	(36.0, 859.0)	(37.0, 590.0)	(38.0, 192.0)	(39.0, 36.0)	(40.0, 5.0)						
SRR1560321	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 2.0)	(22.0, 14.0)	(23.0, 25.0)	(24.0, 50.0)	(25.0, 110.0)	(26.0, 183.0)	(27.0, 365.0)	(28.0, 507.0)	(29.0, 659.0)	(30.0, 565.0)	(31.0, 583.0)	(32.0, 846.0)	(33.0, 1057.0)	(34.0, 1291.0)	(35.0, 1629.0)	(36.0, 1797.0)	(37.0, 1751.0)	(38.0, 1050.0)	(39.0, 68.0)	(40.0, 2.0)					
SRR1560322	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 0.0)	(19.0, 3.0)	(20.0, 1.0)	(21.0, 4.0)	(22.0, 9.0)	(23.0, 9.0)	(24.0, 33.0)	(25.0, 65.0)	(26.0, 121.0)	(27.0, 233.0)	(28.0, 313.0)	(29.0, 355.0)	(30.0, 339.0)	(31.0, 409.0)	(32.0, 564.0)	(33.0, 803.0)	(34.0, 1151.0)	(35.0, 1645.0)	(36.0, 2223.0)	(37.0, 2218.0)	(38.0, 1288.0)	(39.0, 159.0)	(40.0, 1.0)			
SRR1560323	(14.0, 1.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 3.0)	(21.0, 1.0)	(22.0, 2.0)	(23.0, 6.0)	(24.0, 21.0)	(25.0, 44.0)	(26.0, 70.0)	(27.0, 147.0)	(28.0, 217.0)	(29.0, 255.0)	(30.0, 290.0)	(31.0, 323.0)	(32.0, 462.0)	(33.0, 671.0)	(34.0, 853.0)	(35.0, 1073.0)	(36.0, 1481.0)	(37.0, 1800.0)	(38.0, 1614.0)	(39.0, 252.0)					
SRR1560324	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 9.0)	(19.0, 5.0)	(20.0, 11.0)	(21.0, 9.0)	(22.0, 4.0)	(23.0, 27.0)	(24.0, 61.0)	(25.0, 115.0)	(26.0, 190.0)	(27.0, 330.0)	(28.0, 565.0)	(29.0, 713.0)	(30.0, 797.0)	(31.0, 696.0)	(32.0, 1038.0)	(33.0, 1387.0)	(34.0, 1688.0)	(35.0, 1993.0)	(36.0, 2302.0)	(37.0, 2495.0)	(38.0, 1824.0)	(39.0, 273.0)	(40.0, 1.0)	
