Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SRR1560315	(40, 7.0)	(60, 8.0)	(80, 4.0)	(100, 1.0)	(120, 5.0)	(140, 11.0)	(160, 2.0)	(180, 5.0)	(200, 2.0)	(220, 2.0)	(240, 1.0)	(260, 0.0)	(280, 0.0)	(300, 0.0)	(320, 1.0)	(340, 0.0)	(360, 6.0)	(380, 1.0)	(400, 2.0)	(420, 1.0)	(440, 0.0)	(460, 13.0)	(480, 46.0)	(500, 374.0)	(520, 125.0)	(540, 9687.0)	(560, 1914.0)	(580, 110.0)	(600, 57.0)	(620, 29.0)	(640, 18.0)	(660, 7.0)	(680, 5.0)	(700, 0.0)	(720, 0.0)	(740, 1.0)	(760, 0.0)	(780, 0.0)	(800, 1.0)	(820, 0.0)	(840, 2.0)											
SRR1560316	(20, 1.0)	(40, 13.0)	(60, 11.0)	(80, 2.0)	(100, 14.0)	(120, 2.0)	(140, 4.0)	(160, 1.0)	(180, 3.0)	(200, 14.0)	(220, 1.0)	(240, 2.0)	(260, 1.0)	(280, 15.0)	(300, 3.0)	(320, 0.0)	(340, 2.0)	(360, 14.0)	(380, 0.0)	(400, 1.0)	(420, 0.0)	(440, 0.0)	(460, 37.0)	(480, 4335.0)	(500, 2630.0)	(520, 3907.0)	(540, 3095.0)	(560, 1048.0)	(580, 110.0)	(600, 71.0)	(620, 26.0)	(640, 15.0)	(660, 4.0)	(680, 3.0)	(700, 0.0)	(720, 0.0)	(740, 0.0)	(760, 0.0)	(780, 0.0)	(800, 0.0)	(820, 0.0)	(840, 0.0)	(860, 0.0)	(880, 1.0)								
SRR1560317	(0, 4.0)	(50, 16.0)	(100, 23.0)	(150, 9.0)	(200, 2.0)	(250, 39.0)	(300, 5.0)	(350, 15.0)	(400, 0.0)	(450, 7045.0)	(500, 5443.0)	(550, 373.0)	(600, 19.0)	(650, 6.0)	(700, 1.0)	(750, 0.0)	(800, 1.0)	(850, 1.0)	(900, 1.0)	(950, 1.0)	(1000, 0.0)	(1050, 0.0)	(1100, 0.0)	(1150, 0.0)	(1200, 0.0)	(1250, 0.0)	(1300, 0.0)	(1350, 1.0)																								
SRR1560318	(40, 50.0)	(60, 6.0)	(80, 1.0)	(100, 11.0)	(120, 97.0)	(140, 3.0)	(160, 8.0)	(180, 20.0)	(200, 4.0)	(220, 7.0)	(240, 1.0)	(260, 1.0)	(280, 16.0)	(300, 4.0)	(320, 1.0)	(340, 3.0)	(360, 42.0)	(380, 0.0)	(400, 1.0)	(420, 0.0)	(440, 2.0)	(460, 289.0)	(480, 232.0)	(500, 4562.0)	(520, 1117.0)	(540, 2921.0)	(560, 935.0)	(580, 59.0)	(600, 48.0)	(620, 33.0)	(640, 9.0)	(660, 6.0)	(680, 1.0)	(700, 0.0)	(720, 1.0)																	
SRR1560319	(0, 12.0)	(50, 64.0)	(100, 157.0)	(150, 7.0)	(200, 3.0)	(250, 22.0)	(300, 6.0)	(350, 3.0)	(400, 2.0)	(450, 1145.0)	(500, 12074.0)	(550, 843.0)	(600, 146.0)	(650, 66.0)	(700, 6.0)	(750, 3.0)	(800, 1.0)	(850, 0.0)	(900, 1.0)	(950, 0.0)	(1000, 0.0)	(1050, 0.0)	(1100, 1.0)																													
SRR1560320	(40, 18.0)	(60, 4.0)	(80, 11.0)	(100, 34.0)	(120, 6.0)	(140, 9.0)	(160, 4.0)	(180, 5.0)	(200, 0.0)	(220, 3.0)	(240, 1.0)	(260, 0.0)	(280, 7.0)	(300, 2.0)	(320, 2.0)	(340, 2.0)	(360, 4.0)	(380, 0.0)	(400, 2.0)	(420, 0.0)	(440, 0.0)	(460, 118.0)	(480, 102.0)	(500, 564.0)	(520, 721.0)	(540, 4278.0)	(560, 2106.0)	(580, 96.0)	(600, 72.0)	(620, 47.0)	(640, 24.0)	(660, 6.0)	(680, 4.0)	(700, 2.0)	(720, 4.0)	(740, 1.0)	(760, 0.0)	(780, 1.0)	(800, 0.0)	(820, 0.0)	(840, 0.0)	(860, 1.0)	(880, 0.0)	(900, 0.0)	(920, 0.0)	(940, 0.0)	(960, 0.0)	(980, 1.0)				
SRR1560321	(40, 7.0)	(60, 5.0)	(80, 16.0)	(100, 63.0)	(120, 2.0)	(140, 5.0)	(160, 2.0)	(180, 0.0)	(200, 7.0)	(220, 0.0)	(240, 1.0)	(260, 0.0)	(280, 31.0)	(300, 12.0)	(320, 0.0)	(340, 2.0)	(360, 4.0)	(380, 0.0)	(400, 0.0)	(420, 0.0)	(440, 0.0)	(460, 28.0)	(480, 705.0)	(500, 4047.0)	(520, 1775.0)	(540, 4908.0)	(560, 732.0)	(580, 89.0)	(600, 36.0)	(620, 37.0)	(640, 23.0)	(660, 12.0)	(680, 2.0)	(700, 1.0)	(720, 1.0)	(740, 1.0)	(760, 0.0)	(780, 1.0)	(800, 0.0)	(820, 0.0)	(840, 1.0)	(860, 0.0)	(880, 1.0)									
SRR1560322	(0, 5.0)	(50, 14.0)	(100, 19.0)	(150, 7.0)	(200, 4.0)	(250, 22.0)	(300, 3.0)	(350, 20.0)	(400, 1.0)	(450, 6603.0)	(500, 4413.0)	(550, 814.0)	(600, 21.0)	(650, 5.0)	(700, 0.0)	(750, 0.0)	(800, 0.0)	(850, 0.0)	(900, 0.0)	(950, 0.0)	(1000, 0.0)	(1050, 0.0)	(1100, 0.0)	(1150, 0.0)	(1200, 0.0)	(1250, 0.0)	(1300, 0.0)	(1350, 0.0)	(1400, 1.0)																							
SRR1560323	(40, 24.0)	(60, 23.0)	(80, 6.0)	(100, 15.0)	(120, 3.0)	(140, 3.0)	(160, 0.0)	(180, 3.0)	(200, 1.0)	(220, 0.0)	(240, 0.0)	(260, 0.0)	(280, 11.0)	(300, 3.0)	(320, 0.0)	(340, 1.0)	(360, 9.0)	(380, 0.0)	(400, 0.0)	(420, 1.0)	(440, 0.0)	(460, 23.0)	(480, 1100.0)	(500, 7173.0)	(520, 966.0)	(540, 144.0)	(560, 47.0)	(580, 14.0)	(600, 8.0)	(620, 5.0)	(640, 2.0)	(660, 2.0)	(680, 2.0)	(700, 0.0)	(720, 1.0)																	
SRR1560324	(20, 1.0)	(40, 10.0)	(60, 37.0)	(80, 4.0)	(100, 5.0)	(120, 9.0)	(140, 5.0)	(160, 11.0)	(180, 8.0)	(200, 1.0)	(220, 8.0)	(240, 0.0)	(260, 15.0)	(280, 13.0)	(300, 2.0)	(320, 2.0)	(340, 1.0)	(360, 2.0)	(380, 1.0)	(400, 0.0)	(420, 2.0)	(440, 0.0)	(460, 6.0)	(480, 3350.0)	(500, 6118.0)	(520, 2961.0)	(540, 3110.0)	(560, 717.0)	(580, 71.0)	(600, 40.0)	(620, 16.0)	(640, 8.0)	(660, 2.0)	(680, 0.0)	(700, 1.0)	(720, 0.0)	(740, 1.0)	(760, 0.0)	(780, 0.0)	(800, 0.0)	(820, 0.0)	(840, 0.0)	(860, 0.0)	(880, 1.0)	(900, 0.0)	(920, 0.0)	(940, 0.0)	(960, 0.0)	(980, 0.0)	(1000, 0.0)	(1020, 0.0)	(1040, 1.0)
