Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample_ID,Sample Name,SRA Study,WEEK
SRR1609130,AMPLICON,546,4024795,PRJNA263439,SAMN03102451,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",9146162,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX729809,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2014-10-19T00:00:00Z,2014-10-10T04:09:00Z,1,C_012004,Duroc 1-1,SRP048767,Week 0
SRR1609220,AMPLICON,546,4024795,PRJNA263439,SAMN03102451,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",9146162,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX729879,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T02:46:00Z,1,C_012004,Duroc 1-1,SRP048767,Week 0
SRR1609859,AMPLICON,546,4024795,PRJNA263439,SAMN03102451,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",9146162,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730486,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-09T00:00:00Z,2014-10-10T04:23:00Z,1,C_012004,Duroc 1-1,SRP048767,Week 0
SRR1609860,AMPLICON,546,4024795,PRJNA263439,SAMN03102451,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",9146162,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730486,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-09T00:00:00Z,2014-10-10T04:23:00Z,1,C_012004,Duroc 1-1,SRP048767,Week 0
SRR1609872,AMPLICON,556,2788865,PRJNA263439,SAMN03102452,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",6317180,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730501,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T04:24:00Z,1,C_012006,Duroc 2-1,SRP048767,Week 0
SRR1609878,AMPLICON,550,3272662,PRJNA263439,SAMN03102453,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",7450108,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730505,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T04:24:00Z,1,C_012005,Duroc 3-1,SRP048767,Week 0
SRR1609892,AMPLICON,525,1637696,PRJNA263439,SAMN03102454,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",3684167,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730521,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T04:25:00Z,1,C_012426,Duroc 4-1,SRP048767,Week 0
SRR1609900,AMPLICON,559,3474320,PRJNA263439,SAMN03102455,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",7851209,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730527,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T04:25:00Z,1,C_012007,Duroc 5-1,SRP048767,Week 0
SRR1609901,AMPLICON,565,5657392,PRJNA263439,SAMN03102456,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",12718025,DANKOOK UNIVERSITY,2012-05-25,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730529,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T05:39:00Z,1,C_012500,Duroc 6-1,SRP048767,Week 0
SRR1609902,AMPLICON,567,5448557,PRJNA263439,SAMN03102457,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",12217509,DANKOOK UNIVERSITY,2012-05-25,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730530,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T05:39:00Z,1,C_012501,Duroc 7-1,SRP048767,Week 0
SRR1609903,AMPLICON,563,6789178,PRJNA263439,SAMN03102458,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",15244705,DANKOOK UNIVERSITY,2012-05-25,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730532,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T04:25:00Z,1,C_012497,Duroc 8-1,SRP048767,Week 0
SRR1609904,AMPLICON,569,6249473,PRJNA263439,SAMN03102459,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",14024582,DANKOOK UNIVERSITY,2012-05-25,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730533,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T05:39:00Z,1,C_012498,Duroc 9-1,SRP048767,Week 0
SRR1609916,AMPLICON,568,5514765,PRJNA263439,SAMN03102460,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",12396583,DANKOOK UNIVERSITY,2012-05-25,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730534,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T05:39:00Z,1,C_012499,Duroc 10-1,SRP048767,Week 0
SRR1609920,AMPLICON,556,2788865,PRJNA263439,SAMN03102452,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",6317180,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730500,uncalculated,uncalculated,Korea: Youngkwang,Duroc,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2017-03-02T00:00:00Z,2014-10-10T04:26:00Z,1,C_012006,Duroc 2-1,SRP048767,Week 0
SRR1609921,AMPLICON,559,2778451,PRJNA263439,SAMN03102461,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",6293196,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730547,uncalculated,uncalculated,Korea: Youngkwang,Landrace,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T07:30:00Z,1,C_012013,Landrace 1-1,SRP048767,Week 0
SRR1609922,AMPLICON,556,3271757,PRJNA263439,SAMN03102462,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",7418952,DANKOOK UNIVERSITY,2012-03-30,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",breeding facility,not collected,faecal,SRX730548,uncalculated,uncalculated,Korea: Youngkwang,Landrace,454 GS FLX Titanium,not collected,,PAIRED,PCR,METAGENOMIC,Sus scrofa,LS454,2015-10-10T00:00:00Z,2014-10-10T09:30:00Z,1,C_012016,Landrace 2-1,SRP048767,Week 0
