Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1609130	(1.0, 9.61564579655032)	(2.0, 2.9607496944180363)	(3.0, 2.3631671872877904)	(4.0, 1.6297704739915795)	(5.0, 1.0186065462447371)	(6.0, 1.4667934265924216)	(7.0, 0.9506994431617547)	(8.0, 0.8692109194621758)	(9.0, 0.9778622843949477)	('>10', 22.24636696998506)	('>50', 14.464212956675269)	('>100', 41.43691430123591)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1609220	(1.0, 9.61564579655032)	(2.0, 2.9607496944180363)	(3.0, 2.3631671872877904)	(4.0, 1.6297704739915795)	(5.0, 1.0186065462447371)	(6.0, 1.4667934265924216)	(7.0, 0.9506994431617547)	(8.0, 0.8692109194621758)	(9.0, 0.9778622843949477)	('>10', 22.24636696998506)	('>50', 14.464212956675269)	('>100', 41.43691430123591)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1609859	(1.0, 9.61564579655032)	(2.0, 2.9607496944180363)	(3.0, 2.3631671872877904)	(4.0, 1.6297704739915795)	(5.0, 1.0186065462447371)	(6.0, 1.4667934265924216)	(7.0, 0.9506994431617547)	(8.0, 0.8692109194621758)	(9.0, 0.9778622843949477)	('>10', 22.24636696998506)	('>50', 14.464212956675269)	('>100', 41.43691430123591)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1609860	(1.0, 9.61564579655032)	(2.0, 2.9607496944180363)	(3.0, 2.3631671872877904)	(4.0, 1.6297704739915795)	(5.0, 1.0186065462447371)	(6.0, 1.4667934265924216)	(7.0, 0.9506994431617547)	(8.0, 0.8692109194621758)	(9.0, 0.9778622843949477)	('>10', 22.24636696998506)	('>50', 14.464212956675269)	('>100', 41.43691430123591)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1609872	(1.0, 10.045935690033952)	(2.0, 3.275414419812263)	(3.0, 1.8573996405032953)	(4.0, 1.8374276013580986)	(5.0, 1.4979029358897544)	(6.0, 0.7189934092270821)	(7.0, 0.6990213700818854)	(8.0, 0.7988815658078691)	(9.0, 1.4379868184541642)	('>10', 24.186139404833234)	('>50', 10.42540443379269)	('>100', 32.87397643299381)	('>500', 10.345516277211903)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1609878	(1.0, 10.296096904441454)	(2.0, 2.994616419919246)	(3.0, 2.220726783310902)	(4.0, 1.8169582772543742)	(5.0, 1.598250336473755)	(6.0, 1.5141318977119784)	(7.0, 1.648721399730821)	(8.0, 1.8842530282637955)	(9.0, 0.7570659488559892)	('>10', 23.67092866756393)	('>50', 20.087483176312247)	('>100', 31.510767160161507)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1609892	(1.0, 11.360718870346599)	(2.0, 6.097560975609756)	(3.0, 3.3697047496790757)	(4.0, 2.1822849807445444)	(5.0, 4.011553273427471)	(6.0, 2.503209242618742)	(7.0, 3.594351732991014)	(8.0, 2.8241335044929397)	(9.0, 2.599486521181001)	('>10', 27.278562259306803)	('>50', 21.341463414634145)	('>100', 12.836970474967908)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1609900	(1.0, 8.519890481559028)	(2.0, 2.8345949428249315)	(3.0, 1.4011918183282333)	(4.0, 1.6105653084232567)	(5.0, 1.1273957158962795)	(6.0, 0.8697052665485585)	(7.0, 1.0146561443066515)	(8.0, 0.38653567402158157)	(9.0, 1.1596070220647448)	('>10', 15.348687389273636)	('>50', 10.67804799484619)	('>100', 55.049122241906915)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1609901	(1.0, 8.83028668464689)	(2.0, 2.6370991908900208)	(3.0, 1.7980221756068324)	(4.0, 1.0788133053640994)	(5.0, 1.198681450404555)	(6.0, 1.0788133053640994)	(7.0, 0.6293077614623913)	(8.0, 0.9589451603236441)	(9.0, 0.719208870242733)	('>10', 15.932474278293876)	('>50', 8.031165717710518)	('>100', 28.13904704824693)	('>500', 28.96813505144341)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1609902	(1.0, 7.997500781005935)	(2.0, 2.8116213683223994)	(3.0, 1.2496094970321776)	(4.0, 0.9580339477246693)	(5.0, 1.4058106841611997)	(6.0, 0.9996875976257419)	(7.0, 0.5102572112881392)	(8.0, 0.41653649901072576)	(9.0, 0.6560449859418931)	('>10', 14.474643340622723)	('>50', 10.61126731229824)	('>100', 21.243361449547017)	('>500', 13.42288868062064)	('>1k', 23.2427366447985)	('>5k', 0.0)	('>10k+', 0.0)
