Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_tissue_sampled,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,marks,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR1663482,AMPLICON,462,5070825,PRJNA266576,SAMN03168304,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",3094212,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX753870,Sweden,Europe,Sweden,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,1,pig gut metagenome,LS454,2015-02-04T00:00:00Z,2014-12-01T14:25:00Z,1,1,SRP049609
SRR1663483,AMPLICON,455,1143382,PRJNA266576,SAMN03168305,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",736767,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX768595,Sweden,Europe,Sweden,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,2,pig gut metagenome,LS454,2015-02-04T00:00:00Z,2014-12-01T14:25:00Z,1,2,SRP049609
SRR1663485,AMPLICON,457,1492572,PRJNA266576,SAMN03168306,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",896627,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX768596,Sweden,Europe,Sweden,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,3,pig gut metagenome,LS454,2015-02-05T00:00:00Z,2014-12-01T14:25:00Z,1,3,SRP049609
SRR1663487,AMPLICON,457,1686420,PRJNA266576,SAMN03168307,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",1024520,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX768598,Sweden,Europe,Sweden,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,4,pig gut metagenome,LS454,2015-02-05T00:00:00Z,2014-12-01T14:25:00Z,1,4,SRP049609
SRR1663612,AMPLICON,475,3797075,PRJNA266576,SAMN03168344,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",1919695,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX768676,Denmark,Europe,Denmark,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,41,pig gut metagenome,LS454,2015-02-05T00:00:00Z,2014-12-01T14:25:00Z,1,41,SRP049609
SRR1663613,AMPLICON,451,4596399,PRJNA266576,SAMN03168345,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",2359506,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX768677,Denmark,Europe,Denmark,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,42_Pool,pig gut metagenome,LS454,2015-02-05T00:00:00Z,2014-12-01T14:25:00Z,1,42_Pool,SRP049609
SRR1663614,AMPLICON,453,4453234,PRJNA266576,SAMN03168346,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",2215019,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX768678,Denmark,Europe,Denmark,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,43,pig gut metagenome,LS454,2015-02-05T00:00:00Z,2014-12-01T14:26:00Z,1,43,SRP049609
SRR1663615,AMPLICON,450,5926978,PRJNA266576,SAMN03168347,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",2944380,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX768679,Denmark,Europe,Denmark,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,44,pig gut metagenome,LS454,2015-02-05T00:00:00Z,2014-12-01T14:26:00Z,1,44,SRP049609
SRR1663616,AMPLICON,461,5887833,PRJNA266576,SAMN03168348,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",2891863,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX768680,Denmark,Europe,Denmark,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,45,pig gut metagenome,LS454,2015-02-05T00:00:00Z,2014-12-01T14:26:00Z,1,45,SRP049609
SRR1663659,AMPLICON,447,4395787,PRJNA266576,SAMN03168349,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",2227622,VETERINARY RESEARCH INSTITUTE,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX768723,Denmark,Europe,Denmark,pig,feces,454 GS Junior,not applicable,not applicable,,SINGLE,PCR,METAGENOMIC,46,pig gut metagenome,LS454,2015-02-05T00:00:00Z,2014-12-01T14:26:00Z,1,46,SRP049609
