Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR1663482	10.916712228904684	76.31674867869502
SRR1663483	5.858907931446791	73.45555998405705
SRR1663485	5.887764489420423	76.47960748236764
SRR1663487	9.75609756097561	75.90785907859062
SRR1663612	10.097597597597598	81.20620620620618
SRR1663613	4.4204322200392925	78.87033398821221
SRR1663614	25.893857593969642	63.60395232759495
SRR1663615	6.2590201291302705	81.71667299658185
SRR1663616	18.161856963613552	72.05928481806777
SRR1663659	8.196888030102716	77.62636021560053
SRR1663661	9.792545710267229	79.51828410689158
SRR1663662	6.136738056013179	78.42668863261946
SRR1686992	7.121057985757884	78.90810444218364
SRR1686993	6.930501930501931	76.3899613899614
SRR1686995	4.815073272854152	80.92579669690625
SRR1686996	7.96068796068796	77.49385749385766
SRR1686998	9.969167523124357	75.19013360739977
SRR1686999	3.2971150243536904	80.4046459348071
SRR1687000	10.20979020979021	77.24941724941706
SRR1687001	4.61756373937677	74.57979225684619
SRR1687002	5.764966740576496	79.9113082039913
SRR1687003	5.763517528223411	79.38205585264411
SRR1687004	2.442396313364055	82.58064516129025
SRR1687005	4.09322134153555	72.18738909262983
SRR1687007	6.955085865257596	76.81638044914132
SRR1687008	3.284368070953437	72.64412416851448
SRR1687010	2.100840336134454	80.18938918851111
SRR1687011	4.285355753544986	76.12623917681047
SRR1687012	2.177891654465593	77.70863836017594
SRR1687014	8.099824868651488	70.5341506129597
SRR1687015	4.860442733397498	69.48989412897009
SRR1687016	2.820168477597363	75.94921255036022
SRR1687018	3.9622641509433962	79.97304582210239
SRR1687019	2.9809989759927182	76.85743543065193
SRR1687021	12.849807445442876	73.54300385109113
SRR1687022	3.817550818046604	74.71492315319772
SRR1687023	3.1899607242072996	76.69316984385482
SRR1687024	2.7159987701137647	74.10064569027365
SRR1687025	4.1375604513702315	82.42880171950544
SRR1687027	4.173622704507513	82.07011686143586
SRR1687028	4.247528377883559	79.97070670084226
SRR1687029	3.0732044198895028	84.32320441988985
SRR1687031	4.267731040835124	79.0604851089959
SRR1687032	3.064	74.11199999999997
SRR1687033	5.984207021215869	76.63400247359912
SRR1687034	8.308816974235535	75.68868681465625
SRR1687036	8.45339936965331	77.05988293561464
SRR1687037	6.765523632993513	79.62001853568113
