Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1663482	SRR1663482.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10974.0	5 Mbp	0.0	47-552	53.0	7.317295425551302	462.61290322580646	454	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR1663483	SRR1663483.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2509.0	1.1 Mbp	0.0	56-520	54.0	22.399362295735354	456.75827022718215	454	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR1663485	SRR1663485.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3261.0	1.4 Mbp	0.0	54-541	53.0	16.712664826740266	458.83195338853113	454	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR1663487	SRR1663487.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3690.0	1.6 Mbp	0.0	216-522	52.0	13.306233062330625	457.9392953929539	454	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR1663612	SRR1663612.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7992.0	3.7 Mbp	0.0	49-602	50.0	5.718218218218219	468.61561561561564	469	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR1663613	SRR1663613.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10180.0	4.5 Mbp	0.0	32-839	52.0	10.127701375245579	456.6198428290766	449	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR1663614	SRR1663614.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9817.0	4.4 Mbp	0.0	42-599	52.0	6.529489660792503	450.2782418254049	449	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR1663615	SRR1663615.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13165.0	5.9 Mbp	0.0	33-635	52.0	7.178123813140903	455.48393467527535	449	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR1663616	SRR1663616.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12752.0	5.8 Mbp	0.0	44-623	52.0	5.967691342534504	457.2879940401506	449	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR1663659	SRR1663659.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9833.0	4.3 Mbp	0.0	39-537	52.0	9.122343130275603	447.5945286280891	444	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
