Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lab_host,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,quality (exp),ReleaseDate,Sample Name,SRA Study,strain,create_date,version
SRR1653571,AMPLICON,502,29024134,PRJNA267233,SAMN03195681,Metagenome or environmental,17833530,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760398,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOFIN1,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOFIN1,SRP049927,not applicable,2014-11-20T11:05:00Z,1
SRR1653573,AMPLICON,502,28324346,PRJNA267233,SAMN03195682,Metagenome or environmental,17171275,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760399,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOFIN2,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOFIN2,SRP049927,not applicable,2014-11-20T11:05:00Z,1
SRR1653575,AMPLICON,502,30334856,PRJNA267233,SAMN03195683,Metagenome or environmental,18361923,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760400,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOFIN3,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOFIN3,SRP049927,not applicable,2014-11-20T11:05:00Z,1
SRR1653577,AMPLICON,502,22024748,PRJNA267233,SAMN03195684,Metagenome or environmental,13247132,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760401,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOFIN4,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOFIN4,SRP049927,not applicable,2014-11-20T11:06:00Z,1
SRR1653581,AMPLICON,502,34203268,PRJNA267233,SAMN03195685,Metagenome or environmental,21072734,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760402,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOFIN5,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOFIN5,SRP049927,not applicable,2014-11-20T11:05:00Z,1
SRR1653583,AMPLICON,502,28310792,PRJNA267233,SAMN03195686,Metagenome or environmental,16874473,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760404,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOGRO1,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOGRO1,SRP049927,not applicable,2014-11-20T11:05:00Z,1
SRR1653584,AMPLICON,502,51240144,PRJNA267233,SAMN03195687,Metagenome or environmental,31152306,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760405,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOGRO2,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOGRO2,SRP049927,not applicable,2014-11-20T11:05:00Z,1
SRR1653585,AMPLICON,502,33997448,PRJNA267233,SAMN03195688,Metagenome or environmental,20456106,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760406,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOGRO3,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOGRO3,SRP049927,not applicable,2014-11-20T11:05:00Z,1
SRR1653586,AMPLICON,502,27399160,PRJNA267233,SAMN03195689,Metagenome or environmental,16537747,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760407,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOGRO4,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOGRO4,SRP049927,not applicable,2014-11-20T11:06:00Z,1
SRR1653587,AMPLICON,502,30109458,PRJNA267233,SAMN03195690,Metagenome or environmental,18392623,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760408,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOGRO5,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOGRO5,SRP049927,not applicable,2014-11-20T11:06:00Z,1
SRR1653588,AMPLICON,502,31339358,PRJNA267233,SAMN03195691,Metagenome or environmental,19047473,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760409,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOPIG1,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOPIG1,SRP049927,not applicable,2014-11-20T11:06:00Z,1
SRR1653589,AMPLICON,502,23043306,PRJNA267233,SAMN03195692,Metagenome or environmental,13588962,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760410,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOPIG2,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOPIG2,SRP049927,not applicable,2014-11-20T11:06:00Z,1
SRR1653590,AMPLICON,502,23277740,PRJNA267233,SAMN03195693,Metagenome or environmental,14179453,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760411,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOPIG3,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOPIG3,SRP049927,not applicable,2014-11-20T11:06:00Z,1
SRR1653591,AMPLICON,502,26706400,PRJNA267233,SAMN03195694,Metagenome or environmental,16177693,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760412,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOPIG4,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOPIG4,SRP049927,not applicable,2014-11-20T11:06:00Z,1
SRR1653593,AMPLICON,502,31739452,PRJNA267233,SAMN03195695,Metagenome or environmental,19378651,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760413,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOPIG5,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOPIG5,SRP049927,not applicable,2014-11-20T11:06:00Z,1
SRR1653595,AMPLICON,502,22671324,PRJNA267233,SAMN03195696,Metagenome or environmental,14155822,JEJU NATIONAL UNIVERSITY,Robin,2014,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX760414,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,YOSOW1,ABL,not applicable,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-12-15T00:00:00Z,YOSOW1,SRP049927,not applicable,2014-11-20T11:06:00Z,1
