Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR1653571_1	(7.0, 3.0)	(8.0, 4.0)	(9.0, 1.0)	(10.0, 6.0)	(11.0, 18.0)	(12.0, 41.0)	(13.0, 101.0)	(14.0, 114.0)	(15.0, 124.0)	(16.0, 107.0)	(17.0, 137.0)	(18.0, 205.0)	(19.0, 191.0)	(20.0, 204.0)	(21.0, 242.0)	(22.0, 231.0)	(23.0, 283.0)	(24.0, 306.0)	(25.0, 387.0)	(26.0, 434.0)	(27.0, 589.0)	(28.0, 763.0)	(29.0, 1007.0)	(30.0, 1336.0)	(31.0, 1774.0)	(32.0, 2257.0)	(33.0, 2903.0)	(34.0, 3964.0)	(35.0, 5345.0)	(36.0, 9468.0)	(37.0, 22366.0)	(38.0, 2906.0)					
SRR1653571_2	(3.0, 1.0)	(4.0, 6.0)	(5.0, 12.0)	(6.0, 9.0)	(7.0, 9.0)	(8.0, 18.0)	(9.0, 28.0)	(10.0, 29.0)	(11.0, 70.0)	(12.0, 127.0)	(13.0, 150.0)	(14.0, 196.0)	(15.0, 195.0)	(16.0, 246.0)	(17.0, 295.0)	(18.0, 304.0)	(19.0, 435.0)	(20.0, 493.0)	(21.0, 622.0)	(22.0, 700.0)	(23.0, 813.0)	(24.0, 886.0)	(25.0, 1021.0)	(26.0, 1235.0)	(27.0, 1634.0)	(28.0, 2011.0)	(29.0, 2585.0)	(30.0, 3167.0)	(31.0, 3807.0)	(32.0, 4748.0)	(33.0, 5618.0)	(34.0, 6703.0)	(35.0, 7797.0)	(36.0, 8050.0)	(37.0, 3785.0)	(38.0, 12.0)	
SRR1653573_1	(6.0, 1.0)	(7.0, 3.0)	(8.0, 1.0)	(9.0, 0.0)	(10.0, 6.0)	(11.0, 24.0)	(12.0, 66.0)	(13.0, 202.0)	(14.0, 182.0)	(15.0, 162.0)	(16.0, 200.0)	(17.0, 186.0)	(18.0, 220.0)	(19.0, 192.0)	(20.0, 217.0)	(21.0, 235.0)	(22.0, 245.0)	(23.0, 314.0)	(24.0, 396.0)	(25.0, 449.0)	(26.0, 546.0)	(27.0, 703.0)	(28.0, 913.0)	(29.0, 1173.0)	(30.0, 1535.0)	(31.0, 1956.0)	(32.0, 2473.0)	(33.0, 3094.0)	(34.0, 3960.0)	(35.0, 5195.0)	(36.0, 8571.0)	(37.0, 20174.0)	(38.0, 2829.0)				
SRR1653573_2	(3.0, 3.0)	(4.0, 6.0)	(5.0, 13.0)	(6.0, 17.0)	(7.0, 9.0)	(8.0, 8.0)	(9.0, 19.0)	(10.0, 22.0)	(11.0, 41.0)	(12.0, 56.0)	(13.0, 111.0)	(14.0, 115.0)	(15.0, 125.0)	(16.0, 142.0)	(17.0, 161.0)	(18.0, 232.0)	(19.0, 265.0)	(20.0, 359.0)	(21.0, 434.0)	(22.0, 497.0)	(23.0, 567.0)	(24.0, 680.0)	(25.0, 682.0)	(26.0, 858.0)	(27.0, 1174.0)	(28.0, 1480.0)	(29.0, 1869.0)	(30.0, 2475.0)	(31.0, 3011.0)	(32.0, 3725.0)	(33.0, 4653.0)	(34.0, 6062.0)	(35.0, 7937.0)	(36.0, 10456.0)	(37.0, 8076.0)	(38.0, 83.0)	
SRR1653575_1	(6.0, 1.0)	(7.0, 3.0)	(8.0, 1.0)	(9.0, 0.0)	(10.0, 4.0)	(11.0, 22.0)	(12.0, 72.0)	(13.0, 156.0)	(14.0, 155.0)	(15.0, 172.0)	(16.0, 140.0)	(17.0, 125.0)	(18.0, 178.0)	(19.0, 144.0)	(20.0, 166.0)	(21.0, 177.0)	(22.0, 185.0)	(23.0, 242.0)	(24.0, 319.0)	(25.0, 372.0)	(26.0, 493.0)	(27.0, 583.0)	(28.0, 756.0)	(29.0, 931.0)	(30.0, 1271.0)	(31.0, 1800.0)	(32.0, 2296.0)	(33.0, 2956.0)	(34.0, 3896.0)	(35.0, 5416.0)	(36.0, 9878.0)	(37.0, 23343.0)	(38.0, 4175.0)				
SRR1653575_2	(4.0, 7.0)	(5.0, 4.0)	(6.0, 16.0)	(7.0, 11.0)	(8.0, 14.0)	(9.0, 25.0)	(10.0, 42.0)	(11.0, 70.0)	(12.0, 118.0)	(13.0, 141.0)	(14.0, 147.0)	(15.0, 175.0)	(16.0, 176.0)	(17.0, 214.0)	(18.0, 254.0)	(19.0, 344.0)	(20.0, 494.0)	(21.0, 568.0)	(22.0, 606.0)	(23.0, 741.0)	(24.0, 817.0)	(25.0, 888.0)	(26.0, 1124.0)	(27.0, 1431.0)	(28.0, 1891.0)	(29.0, 2300.0)	(30.0, 2912.0)	(31.0, 3543.0)	(32.0, 4431.0)	(33.0, 5434.0)	(34.0, 6848.0)	(35.0, 8296.0)	(36.0, 9971.0)	(37.0, 6331.0)	(38.0, 44.0)		
SRR1653577_1	(6.0, 1.0)	(7.0, 1.0)	(8.0, 1.0)	(9.0, 3.0)	(10.0, 3.0)	(11.0, 8.0)	(12.0, 33.0)	(13.0, 41.0)	(14.0, 76.0)	(15.0, 79.0)	(16.0, 75.0)	(17.0, 95.0)	(18.0, 135.0)	(19.0, 110.0)	(20.0, 130.0)	(21.0, 137.0)	(22.0, 136.0)	(23.0, 178.0)	(24.0, 202.0)	(25.0, 254.0)	(26.0, 299.0)	(27.0, 349.0)	(28.0, 486.0)	(29.0, 634.0)	(30.0, 890.0)	(31.0, 1211.0)	(32.0, 1629.0)	(33.0, 2082.0)	(34.0, 2742.0)	(35.0, 3914.0)	(36.0, 7249.0)	(37.0, 18692.0)	(38.0, 1999.0)				
SRR1653577_2	(3.0, 1.0)	(4.0, 0.0)	(5.0, 8.0)	(6.0, 8.0)	(7.0, 3.0)	(8.0, 8.0)	(9.0, 10.0)	(10.0, 17.0)	(11.0, 24.0)	(12.0, 49.0)	(13.0, 55.0)	(14.0, 77.0)	(15.0, 53.0)	(16.0, 97.0)	(17.0, 98.0)	(18.0, 138.0)	(19.0, 155.0)	(20.0, 196.0)	(21.0, 249.0)	(22.0, 259.0)	(23.0, 341.0)	(24.0, 391.0)	(25.0, 583.0)	(26.0, 650.0)	(27.0, 862.0)	(28.0, 1117.0)	(29.0, 1395.0)	(30.0, 1810.0)	(31.0, 2276.0)	(32.0, 2992.0)	(33.0, 3880.0)	(34.0, 5113.0)	(35.0, 6852.0)	(36.0, 8651.0)	(37.0, 5432.0)	(38.0, 24.0)	
SRR1653581_1	(7.0, 1.0)	(8.0, 5.0)	(9.0, 5.0)	(10.0, 7.0)	(11.0, 26.0)	(12.0, 80.0)	(13.0, 168.0)	(14.0, 183.0)	(15.0, 250.0)	(16.0, 208.0)	(17.0, 214.0)	(18.0, 266.0)	(19.0, 272.0)	(20.0, 280.0)	(21.0, 297.0)	(22.0, 300.0)	(23.0, 378.0)	(24.0, 421.0)	(25.0, 508.0)	(26.0, 641.0)	(27.0, 795.0)	(28.0, 1033.0)	(29.0, 1378.0)	(30.0, 1751.0)	(31.0, 2272.0)	(32.0, 2997.0)	(33.0, 3745.0)	(34.0, 4825.0)	(35.0, 6362.0)	(36.0, 10829.0)	(37.0, 24361.0)	(38.0, 3276.0)					
SRR1653581_2	(2.0, 1.0)	(3.0, 1.0)	(4.0, 7.0)	(5.0, 19.0)	(6.0, 26.0)	(7.0, 20.0)	(8.0, 32.0)	(9.0, 33.0)	(10.0, 53.0)	(11.0, 87.0)	(12.0, 152.0)	(13.0, 171.0)	(14.0, 204.0)	(15.0, 256.0)	(16.0, 299.0)	(17.0, 377.0)	(18.0, 449.0)	(19.0, 575.0)	(20.0, 696.0)	(21.0, 855.0)	(22.0, 898.0)	(23.0, 1105.0)	(24.0, 1130.0)	(25.0, 1269.0)	(26.0, 1574.0)	(27.0, 1903.0)	(28.0, 2426.0)	(29.0, 2926.0)	(30.0, 3542.0)	(31.0, 4275.0)	(32.0, 5075.0)	(33.0, 6271.0)	(34.0, 7332.0)	(35.0, 9029.0)	(36.0, 9673.0)	(37.0, 5353.0)	(38.0, 40.0)
