Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1653571_1	93.45521213483923	53.0	251.0	251	40.0	0.057817
SRR1653571_2	83.35610633550687	54.0	251.0	251	50.0	0.057817
SRR1653573_1	93.32187228612446	53.0	251.0	251	40.0	0.056422999999999994
SRR1653573_2	86.2006628502561	54.0	251.0	251	50.0	0.056422999999999994
SRR1653575_1	93.63209108360363	53.0	251.0	251	30.0	0.060427999999999996
SRR1653575_2	85.75494803733369	54.0	251.0	251	40.0	0.060427999999999996
SRR1653577_1	93.54515202625701	53.0	251.0	251	40.0	0.043873999999999996
SRR1653577_2	87.01053015453344	54.0	251.0	251	50.0	0.043873999999999996
SRR1653581_1	93.07834561305663	53.0	251.0	251	40.0	0.068134
SRR1653581_2	83.40916429389145	54.0	251.0	251	50.0	0.068134
SRR1653583_1	94.06163557699128	53.0	251.0	251	40.0	0.056395999999999995
SRR1653583_2	87.60373076104688	54.0	251.0	251	40.0	0.056395999999999995
SRR1653584_1	94.38925464378086	53.0	251.0	251	40.0	0.102072
SRR1653584_2	85.6611019672388	54.0	251.0	251	40.0	0.102072
SRR1653585_1	93.66398913236075	53.0	251.0	251	40.0	0.06772399999999999
SRR1653585_2	86.74472860433524	54.0	251.0	251	40.0	0.06772399999999999
SRR1653586_1	94.16636130450715	53.0	251.0	251	40.0	0.05458
SRR1653586_2	85.93624038109198	54.0	251.0	251	40.0	0.05458
SRR1653587_1	94.19130028843429	53.0	251.0	251	40.0	0.059979
SRR1653587_2	85.12479367778722	54.0	251.0	251	40.0	0.059979
SRR1653588_1	95.20415191657723	53.0	251.0	251	40.0	0.062429
SRR1653588_2	85.33213730798187	54.0	251.0	251	40.0	0.062429
SRR1653589_1	95.32928131058972	53.0	251.0	251	40.0	0.045903
SRR1653589_2	89.04428904428904	54.0	251.0	251	40.0	0.045903
SRR1653590_1	94.78326504205305	53.0	251.0	251	40.0	0.046369999999999995
SRR1653590_2	82.99978434332543	54.0	251.0	251	40.0	0.046369999999999995
SRR1653591_1	94.57330827067669	53.0	251.0	251	30.0	0.0532
SRR1653591_2	85.2124060150376	54.0	251.0	251	50.0	0.0532
SRR1653593_1	95.31680005061209	53.0	251.0	251	40.0	0.06322599999999999
SRR1653593_2	86.87565242147218	54.0	251.0	251	40.0	0.06322599999999999
SRR1653595_1	94.03480802444533	53.0	251.0	251	40.0	0.045162
SRR1653595_2	84.94973650414065	54.0	251.0	251	50.0	0.045162
SRR1653599_1	94.20681645240097	56.0	251.0	251	40.0	0.049937999999999996
SRR1653599_2	83.17713965316993	57.0	251.0	251	50.0	0.049937999999999996
SRR1653602_1	95.06015262200255	56.0	251.0	251	40.0	0.073646
SRR1653602_2	85.10713412812645	57.0	251.0	251	50.0	0.073646
SRR1653603_1	93.82754273835062	53.0	251.0	251	40.0	0.045217
SRR1653603_2	85.32410376628259	54.0	251.0	251	50.0	0.045217
SRR1653604_1	91.85346182046716	53.0	251.0	251	30.0	0.038188
SRR1653604_2	84.41395202681471	54.0	251.0	251	30.0	0.038188
