Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR1999228,AMPLICON,273,13812276,PRJNA281781,SAMN03496741,Metagenome or environmental,6443359,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX1011269,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce1.1,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T03:39:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
SRR1999229,AMPLICON,273,6839302,PRJNA281781,SAMN03496741,Metagenome or environmental,2809435,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX1011270,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce1.2,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T03:39:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
SRR1999230,AMPLICON,271,15768999,PRJNA281781,SAMN03496741,Metagenome or environmental,7507047,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX1011271,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce1.3,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T03:39:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
SRR1999231,AMPLICON,273,16542469,PRJNA281781,SAMN03496741,Metagenome or environmental,7769767,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX1011272,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce1.4,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T03:39:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
SRR1999232,AMPLICON,272,12752387,PRJNA281781,SAMN03496741,Metagenome or environmental,6858646,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX1011273,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce1.5,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T03:39:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
SRR1999233,AMPLICON,272,8461222,PRJNA281781,SAMN03496741,Metagenome or environmental,4078327,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX1011274,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce2.1,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T04:40:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
SRR1999234,AMPLICON,272,10286621,PRJNA281781,SAMN03496741,Metagenome or environmental,4617413,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX1011275,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce2.2,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T04:40:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
SRR1999235,AMPLICON,272,13938948,PRJNA281781,SAMN03496741,Metagenome or environmental,7051995,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1011276,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce2.3,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T04:40:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
SRR1999236,AMPLICON,272,12511984,PRJNA281781,SAMN03496741,Metagenome or environmental,6155290,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX1011277,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce2.4,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T04:40:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
SRR1999237,AMPLICON,273,20199583,PRJNA281781,SAMN03496741,Metagenome or environmental,9264088,SICHUAN AGRICULTURAL UNIVERSITY,2013-07-01,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX1011278,China,Asia,China: Yaan City,pig,Illumina MiSeq,not collected,Ce2.5,SINGLE,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-04T00:00:00Z,2015-04-28T04:40:00Z,1,ileal and cecal digesta of growing pigs,SRP057631
