Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
SRR1999228	(20.0, 2.0)	(21.0, 2.0)	(22.0, 5.0)	(23.0, 15.0)	(24.0, 26.0)	(25.0, 45.0)	(26.0, 67.0)	(27.0, 112.0)	(28.0, 159.0)	(29.0, 273.0)	(30.0, 389.0)	(31.0, 534.0)	(32.0, 786.0)	(33.0, 1163.0)	(34.0, 1645.0)	(35.0, 2494.0)	(36.0, 4246.0)	(37.0, 22073.0)	(38.0, 16388.0)
SRR1999229	(22.0, 1.0)	(23.0, 3.0)	(24.0, 6.0)	(25.0, 9.0)	(26.0, 19.0)	(27.0, 30.0)	(28.0, 49.0)	(29.0, 69.0)	(30.0, 113.0)	(31.0, 163.0)	(32.0, 266.0)	(33.0, 402.0)	(34.0, 620.0)	(35.0, 983.0)	(36.0, 1840.0)	(37.0, 15150.0)	(38.0, 5322.0)		
SRR1999230	(20.0, 2.0)	(21.0, 3.0)	(22.0, 5.0)	(23.0, 11.0)	(24.0, 42.0)	(25.0, 64.0)	(26.0, 98.0)	(27.0, 153.0)	(28.0, 239.0)	(29.0, 362.0)	(30.0, 504.0)	(31.0, 729.0)	(32.0, 982.0)	(33.0, 1373.0)	(34.0, 2034.0)	(35.0, 2975.0)	(36.0, 5063.0)	(37.0, 24859.0)	(38.0, 18481.0)
SRR1999231	(20.0, 1.0)	(21.0, 4.0)	(22.0, 8.0)	(23.0, 16.0)	(24.0, 50.0)	(25.0, 70.0)	(26.0, 114.0)	(27.0, 221.0)	(28.0, 282.0)	(29.0, 427.0)	(30.0, 579.0)	(31.0, 820.0)	(32.0, 1113.0)	(33.0, 1558.0)	(34.0, 2196.0)	(35.0, 3157.0)	(36.0, 5383.0)	(37.0, 29200.0)	(38.0, 15270.0)
SRR1999232	(20.0, 1.0)	(21.0, 2.0)	(22.0, 8.0)	(23.0, 15.0)	(24.0, 52.0)	(25.0, 90.0)	(26.0, 143.0)	(27.0, 244.0)	(28.0, 319.0)	(29.0, 435.0)	(30.0, 604.0)	(31.0, 862.0)	(32.0, 1114.0)	(33.0, 1523.0)	(34.0, 2016.0)	(35.0, 2864.0)	(36.0, 4718.0)	(37.0, 14452.0)	(38.0, 17260.0)
SRR1999233	(20.0, 1.0)	(21.0, 0.0)	(22.0, 3.0)	(23.0, 14.0)	(24.0, 17.0)	(25.0, 34.0)	(26.0, 48.0)	(27.0, 70.0)	(28.0, 119.0)	(29.0, 182.0)	(30.0, 231.0)	(31.0, 346.0)	(32.0, 521.0)	(33.0, 714.0)	(34.0, 1021.0)	(35.0, 1529.0)	(36.0, 2573.0)	(37.0, 11900.0)	(38.0, 11677.0)
SRR1999234	(20.0, 1.0)	(21.0, 0.0)	(22.0, 4.0)	(23.0, 8.0)	(24.0, 15.0)	(25.0, 28.0)	(26.0, 56.0)	(27.0, 75.0)	(28.0, 127.0)	(29.0, 178.0)	(30.0, 252.0)	(31.0, 389.0)	(32.0, 545.0)	(33.0, 809.0)	(34.0, 1169.0)	(35.0, 1737.0)	(36.0, 3109.0)	(37.0, 18667.0)	(38.0, 10629.0)
SRR1999235	(22.0, 10.0)	(23.0, 27.0)	(24.0, 32.0)	(25.0, 71.0)	(26.0, 127.0)	(27.0, 142.0)	(28.0, 267.0)	(29.0, 387.0)	(30.0, 511.0)	(31.0, 723.0)	(32.0, 1061.0)	(33.0, 1417.0)	(34.0, 1924.0)	(35.0, 2816.0)	(36.0, 4655.0)	(37.0, 17278.0)	(38.0, 19614.0)		
SRR1999236	(22.0, 11.0)	(23.0, 15.0)	(24.0, 23.0)	(25.0, 73.0)	(26.0, 115.0)	(27.0, 143.0)	(28.0, 218.0)	(29.0, 355.0)	(30.0, 473.0)	(31.0, 620.0)	(32.0, 889.0)	(33.0, 1233.0)	(34.0, 1670.0)	(35.0, 2403.0)	(36.0, 4236.0)	(37.0, 18174.0)	(38.0, 15220.0)		
SRR1999237	(20.0, 1.0)	(21.0, 1.0)	(22.0, 5.0)	(23.0, 24.0)	(24.0, 25.0)	(25.0, 52.0)	(26.0, 85.0)	(27.0, 141.0)	(28.0, 215.0)	(29.0, 351.0)	(30.0, 537.0)	(31.0, 838.0)	(32.0, 1071.0)	(33.0, 1509.0)	(34.0, 2218.0)	(35.0, 3316.0)	(36.0, 5875.0)	(37.0, 30250.0)	(38.0, 27281.0)
SRR1999238	(20.0, 1.0)	(21.0, 4.0)	(22.0, 8.0)	(23.0, 16.0)	(24.0, 30.0)	(25.0, 60.0)	(26.0, 101.0)	(27.0, 218.0)	(28.0, 322.0)	(29.0, 458.0)	(30.0, 660.0)	(31.0, 1029.0)	(32.0, 1462.0)	(33.0, 2050.0)	(34.0, 2918.0)	(35.0, 4527.0)	(36.0, 7547.0)	(37.0, 36281.0)	(38.0, 35636.0)
SRR1999239	(21.0, 1.0)	(22.0, 2.0)	(23.0, 4.0)	(24.0, 12.0)	(25.0, 10.0)	(26.0, 28.0)	(27.0, 52.0)	(28.0, 100.0)	(29.0, 131.0)	(30.0, 193.0)	(31.0, 272.0)	(32.0, 371.0)	(33.0, 606.0)	(34.0, 862.0)	(35.0, 1330.0)	(36.0, 2289.0)	(37.0, 13635.0)	(38.0, 8388.0)	
SRR1999240	(21.0, 2.0)	(22.0, 1.0)	(23.0, 21.0)	(24.0, 41.0)	(25.0, 70.0)	(26.0, 95.0)	(27.0, 156.0)	(28.0, 248.0)	(29.0, 392.0)	(30.0, 570.0)	(31.0, 829.0)	(32.0, 1095.0)	(33.0, 1527.0)	(34.0, 2233.0)	(35.0, 3312.0)	(36.0, 5357.0)	(37.0, 21792.0)	(38.0, 27136.0)	
SRR1999241	(21.0, 1.0)	(22.0, 5.0)	(23.0, 19.0)	(24.0, 35.0)	(25.0, 59.0)	(26.0, 108.0)	(27.0, 182.0)	(28.0, 261.0)	(29.0, 363.0)	(30.0, 484.0)	(31.0, 818.0)	(32.0, 1057.0)	(33.0, 1492.0)	(34.0, 2076.0)	(35.0, 3122.0)	(36.0, 5550.0)	(37.0, 26158.0)	(38.0, 23050.0)	
SRR1999242	(21.0, 1.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 2.0)	(25.0, 10.0)	(26.0, 8.0)	(27.0, 18.0)	(28.0, 29.0)	(29.0, 38.0)	(30.0, 64.0)	(31.0, 71.0)	(32.0, 145.0)	(33.0, 170.0)	(34.0, 255.0)	(35.0, 369.0)	(36.0, 723.0)	(37.0, 6434.0)	(38.0, 1171.0)	
SRR1999243	(20.0, 1.0)	(21.0, 6.0)	(22.0, 13.0)	(23.0, 24.0)	(24.0, 28.0)	(25.0, 64.0)	(26.0, 129.0)	(27.0, 185.0)	(28.0, 282.0)	(29.0, 449.0)	(30.0, 543.0)	(31.0, 783.0)	(32.0, 1078.0)	(33.0, 1457.0)	(34.0, 2072.0)	(35.0, 2658.0)	(36.0, 4646.0)	(37.0, 19131.0)	(38.0, 18674.0)
SRR1999244	(21.0, 1.0)	(22.0, 5.0)	(23.0, 10.0)	(24.0, 26.0)	(25.0, 44.0)	(26.0, 61.0)	(27.0, 124.0)	(28.0, 179.0)	(29.0, 302.0)	(30.0, 465.0)	(31.0, 661.0)	(32.0, 976.0)	(33.0, 1328.0)	(34.0, 1986.0)	(35.0, 3186.0)	(36.0, 5655.0)	(37.0, 38034.0)	(38.0, 23352.0)	
