Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
SRR1999228	(220, 25.0)	(225, 15.0)	(230, 26.0)	(235, 17.0)	(240, 24.0)	(245, 29.0)	(250, 21886.0)	(255, 24.0)	(260, 26.0)	(265, 208.0)	(270, 1726.0)	(275, 5.0)	(280, 21.0)	(285, 351.0)	(290, 26029.0)	(295, 3.0)	(300, 3.0)	(305, 1.0)	(310, 0.0)	(315, 1.0)	(320, 1.0)	(325, 0.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 2.0)	(350, 0.0)	(355, 0.0)	(360, 1.0)																			
SRR1999229	(220, 10.0)	(225, 9.0)	(230, 11.0)	(235, 5.0)	(240, 13.0)	(245, 19.0)	(250, 11285.0)	(255, 7.0)	(260, 10.0)	(265, 133.0)	(270, 997.0)	(275, 8.0)	(280, 6.0)	(285, 208.0)	(290, 12318.0)	(295, 0.0)	(300, 3.0)	(305, 0.0)	(310, 1.0)	(315, 0.0)	(320, 1.0)	(325, 0.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 0.0)	(355, 0.0)	(360, 0.0)	(365, 0.0)	(370, 0.0)	(375, 0.0)	(380, 0.0)	(385, 1.0)														
SRR1999230	(190, 3.0)	(195, 25.0)	(200, 124.0)	(205, 28.0)	(210, 34.0)	(215, 30.0)	(220, 14.0)	(225, 28.0)	(230, 20.0)	(235, 38.0)	(240, 32.0)	(245, 26.0)	(250, 27215.0)	(255, 37.0)	(260, 30.0)	(265, 313.0)	(270, 2324.0)	(275, 11.0)	(280, 15.0)	(285, 367.0)	(290, 27257.0)	(295, 2.0)	(300, 2.0)	(305, 1.0)	(310, 0.0)	(315, 0.0)	(320, 0.0)	(325, 1.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 1.0)	(350, 0.0)	(355, 0.0)	(360, 0.0)	(365, 1.0)												
SRR1999231	(220, 17.0)	(225, 15.0)	(230, 17.0)	(235, 89.0)	(240, 21.0)	(245, 29.0)	(250, 26587.0)	(255, 137.0)	(260, 15.0)	(265, 277.0)	(270, 2186.0)	(275, 12.0)	(280, 20.0)	(285, 436.0)	(290, 30592.0)	(295, 3.0)	(300, 7.0)	(305, 2.0)	(310, 3.0)	(315, 0.0)	(320, 1.0)	(325, 0.0)	(330, 0.0)	(335, 3.0)																								
SRR1999232	(220, 23.0)	(225, 20.0)	(230, 18.0)	(235, 15.0)	(240, 21.0)	(245, 21.0)	(250, 21297.0)	(255, 26.0)	(260, 24.0)	(265, 229.0)	(270, 1756.0)	(275, 12.0)	(280, 14.0)	(285, 358.0)	(290, 22878.0)	(295, 4.0)	(300, 1.0)	(305, 1.0)	(310, 2.0)	(315, 1.0)	(320, 0.0)	(325, 0.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 0.0)	(355, 0.0)	(360, 1.0)																			
SRR1999233	(190, 2.0)	(195, 38.0)	(200, 156.0)	(205, 15.0)	(210, 18.0)	(215, 9.0)	(220, 10.0)	(225, 12.0)	(230, 13.0)	(235, 10.0)	(240, 8.0)	(245, 21.0)	(250, 13650.0)	(255, 7.0)	(260, 9.0)	(265, 165.0)	(270, 1047.0)	(275, 9.0)	(280, 12.0)	(285, 220.0)	(290, 15566.0)	(295, 1.0)	(300, 1.0)	(305, 0.0)	(310, 0.0)	(315, 0.0)	(320, 0.0)	(325, 0.0)	(330, 0.0)	(335, 1.0)																		
SRR1999234	(190, 2.0)	(195, 29.0)	(200, 147.0)	(205, 15.0)	(210, 24.0)	(215, 18.0)	(220, 25.0)	(225, 16.0)	(230, 21.0)	(235, 13.0)	(240, 11.0)	(245, 24.0)	(250, 17440.0)	(255, 21.0)	(260, 22.0)	(265, 169.0)	(270, 1462.0)	(275, 8.0)	(280, 14.0)	(285, 278.0)	(290, 18025.0)	(295, 2.0)	(300, 2.0)	(305, 2.0)	(310, 0.0)	(315, 1.0)	(320, 0.0)	(325, 0.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 0.0)	(355, 0.0)	(360, 0.0)	(365, 1.0)	(370, 3.0)	(375, 0.0)	(380, 0.0)	(385, 1.0)	(390, 2.0)							
SRR1999235	(220, 32.0)	(225, 19.0)	(230, 22.0)	(235, 18.0)	(240, 19.0)	(245, 16.0)	(250, 23225.0)	(255, 25.0)	(260, 21.0)	(265, 225.0)	(270, 2000.0)	(275, 13.0)	(280, 17.0)	(285, 353.0)	(290, 25050.0)	(295, 2.0)	(300, 0.0)	(305, 1.0)	(310, 0.0)	(315, 0.0)	(320, 1.0)	(325, 0.0)	(330, 1.0)	(335, 1.0)	(340, 1.0)																							
SRR1999236	(215, 3.0)	(220, 17.0)	(225, 19.0)	(230, 16.0)	(235, 22.0)	(240, 24.0)	(245, 23.0)	(250, 21172.0)	(255, 20.0)	(260, 19.0)	(265, 230.0)	(270, 1645.0)	(275, 19.0)	(280, 7.0)	(285, 341.0)	(290, 22282.0)	(295, 7.0)	(300, 1.0)	(305, 1.0)	(310, 1.0)	(315, 0.0)	(320, 0.0)	(325, 1.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 0.0)	(355, 1.0)																			
SRR1999237	(220, 43.0)	(225, 36.0)	(230, 33.0)	(235, 175.0)	(240, 27.0)	(245, 25.0)	(250, 31872.0)	(255, 230.0)	(260, 24.0)	(265, 376.0)	(270, 2685.0)	(275, 15.0)	(280, 16.0)	(285, 539.0)	(290, 37693.0)	(295, 4.0)	(300, 0.0)	(305, 0.0)	(310, 0.0)	(315, 1.0)	(320, 0.0)	(325, 0.0)	(330, 1.0)																									
SRR1999238	(220, 31.0)	(225, 30.0)	(230, 30.0)	(235, 20.0)	(240, 37.0)	(245, 59.0)	(250, 41013.0)	(255, 31.0)	(260, 43.0)	(265, 707.0)	(270, 3166.0)	(275, 14.0)	(280, 25.0)	(285, 854.0)	(290, 47262.0)	(295, 0.0)	(300, 1.0)	(305, 2.0)	(310, 1.0)	(315, 1.0)	(320, 1.0)																											
SRR1999239	(220, 9.0)	(225, 12.0)	(230, 4.0)	(235, 7.0)	(240, 11.0)	(245, 15.0)	(250, 13469.0)	(255, 14.0)	(260, 8.0)	(265, 193.0)	(270, 1043.0)	(275, 4.0)	(280, 8.0)	(285, 198.0)	(290, 13287.0)	(295, 1.0)	(300, 1.0)	(305, 0.0)	(310, 0.0)	(315, 0.0)	(320, 0.0)	(325, 0.0)	(330, 1.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 0.0)	(355, 0.0)	(360, 0.0)	(365, 1.0)																		
SRR1999240	(190, 3.0)	(195, 23.0)	(200, 119.0)	(205, 209.0)	(210, 34.0)	(215, 13.0)	(220, 17.0)	(225, 15.0)	(230, 24.0)	(235, 26.0)	(240, 18.0)	(245, 30.0)	(250, 30788.0)	(255, 20.0)	(260, 22.0)	(265, 364.0)	(270, 2815.0)	(275, 15.0)	(280, 12.0)	(285, 448.0)	(290, 29856.0)	(295, 0.0)	(300, 0.0)	(305, 1.0)	(310, 1.0)	(315, 0.0)	(320, 1.0)	(325, 0.0)	(330, 1.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 0.0)	(355, 0.0)	(360, 0.0)	(365, 2.0)												
SRR1999241	(190, 1.0)	(195, 46.0)	(200, 156.0)	(205, 55.0)	(210, 26.0)	(215, 21.0)	(220, 24.0)	(225, 27.0)	(230, 24.0)	(235, 24.0)	(240, 18.0)	(245, 53.0)	(250, 29231.0)	(255, 20.0)	(260, 28.0)	(265, 543.0)	(270, 2306.0)	(275, 8.0)	(280, 16.0)	(285, 780.0)	(290, 31423.0)	(295, 5.0)	(300, 0.0)	(305, 1.0)	(310, 1.0)	(315, 1.0)	(320, 0.0)	(325, 1.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 0.0)	(355, 1.0)														
SRR1999242	(198, 7.0)	(200, 27.0)	(202, 3.0)	(204, 1.0)	(206, 0.0)	(208, 4.0)	(210, 4.0)	(212, 1.0)	(214, 3.0)	(216, 3.0)	(218, 3.0)	(220, 1.0)	(222, 1.0)	(224, 1.0)	(226, 1.0)	(228, 2.0)	(230, 6.0)	(232, 0.0)	(234, 3.0)	(236, 1.0)	(238, 0.0)	(240, 1.0)	(242, 2.0)	(244, 1.0)	(246, 2.0)	(248, 1.0)	(250, 9.0)	(252, 4667.0)	(254, 10.0)	(256, 3.0)	(258, 1.0)	(260, 2.0)	(262, 2.0)	(264, 7.0)	(266, 19.0)	(268, 69.0)	(270, 205.0)	(272, 80.0)	(274, 7.0)	(276, 0.0)	(278, 0.0)	(280, 0.0)	(282, 0.0)	(284, 3.0)	(286, 17.0)	(288, 71.0)	(290, 2801.0)	(292, 1461.0)
SRR1999243	(218, 4.0)	(220, 6.0)	(222, 5.0)	(224, 10.0)	(226, 4.0)	(228, 3.0)	(230, 10.0)	(232, 5.0)	(234, 11.0)	(236, 4.0)	(238, 11.0)	(240, 10.0)	(242, 9.0)	(244, 6.0)	(246, 5.0)	(248, 10.0)	(250, 43.0)	(252, 22493.0)	(254, 43.0)	(256, 3.0)	(258, 20.0)	(260, 13.0)	(262, 8.0)	(264, 23.0)	(266, 90.0)	(268, 233.0)	(270, 1192.0)	(272, 653.0)	(274, 31.0)	(276, 3.0)	(278, 3.0)	(280, 5.0)	(282, 3.0)	(284, 18.0)	(286, 106.0)	(288, 350.0)	(290, 10753.0)	(292, 16013.0)	(294, 6.0)	(296, 0.0)	(298, 2.0)	(300, 0.0)	(302, 3.0)					
SRR1999244	(190, 3.0)	(195, 68.0)	(200, 303.0)	(205, 24.0)	(210, 33.0)	(215, 24.0)	(220, 26.0)	(225, 21.0)	(230, 28.0)	(235, 28.0)	(240, 28.0)	(245, 41.0)	(250, 34544.0)	(255, 107.0)	(260, 63.0)	(265, 994.0)	(270, 3310.0)	(275, 18.0)	(280, 28.0)	(285, 1110.0)	(290, 35583.0)	(295, 5.0)	(300, 1.0)	(305, 1.0)	(310, 2.0)	(315, 0.0)	(320, 0.0)	(325, 1.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 0.0)	(355, 0.0)	(360, 0.0)	(365, 0.0)	(370, 0.0)	(375, 0.0)	(380, 0.0)	(385, 1.0)								
SRR1999245	(220, 25.0)	(225, 15.0)	(230, 25.0)	(235, 25.0)	(240, 29.0)	(245, 42.0)	(250, 30742.0)	(255, 22.0)	(260, 29.0)	(265, 449.0)	(270, 2655.0)	(275, 13.0)	(280, 15.0)	(285, 553.0)	(290, 33424.0)	(295, 3.0)	(300, 2.0)	(305, 2.0)	(310, 0.0)	(315, 1.0)	(320, 0.0)	(325, 0.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 1.0)	(350, 1.0)	(355, 0.0)	(360, 0.0)	(365, 1.0)	(370, 1.0)																	
SRR1999246	(220, 16.0)	(225, 9.0)	(230, 10.0)	(235, 11.0)	(240, 15.0)	(245, 22.0)	(250, 18714.0)	(255, 15.0)	(260, 11.0)	(265, 237.0)	(270, 1449.0)	(275, 3.0)	(280, 14.0)	(285, 281.0)	(290, 18489.0)	(295, 1.0)	(300, 2.0)	(305, 0.0)	(310, 0.0)	(315, 0.0)	(320, 0.0)	(325, 0.0)	(330, 0.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 1.0)																					
SRR1999247	(190, 4.0)	(195, 46.0)	(200, 170.0)	(205, 196.0)	(210, 35.0)	(215, 25.0)	(220, 23.0)	(225, 33.0)	(230, 25.0)	(235, 29.0)	(240, 41.0)	(245, 47.0)	(250, 35299.0)	(255, 24.0)	(260, 43.0)	(265, 516.0)	(270, 3091.0)	(275, 11.0)	(280, 14.0)	(285, 676.0)	(290, 39831.0)	(295, 0.0)	(300, 2.0)	(305, 3.0)	(310, 0.0)	(315, 0.0)	(320, 3.0)	(325, 0.0)	(330, 1.0)	(335, 0.0)	(340, 0.0)	(345, 0.0)	(350, 0.0)	(355, 1.0)														
