Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,tissue,treatment
SRR1654656,21,AMPLICON,562,4854456,PRJNA266806,SAMN03174436,Model organism or animal,not collected,11214880,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761200,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2014-11-24T00:00:00Z,2014-11-18T16:04:00Z,1,40AC,female,SRP049961,not collected,Ascending Colon Contents,FORM_AC_1
SRR1654658,21,AMPLICON,550,3876835,PRJNA266806,SAMN03174437,Model organism or animal,not collected,9002760,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761201,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2015-11-10T00:00:00Z,2014-11-18T16:04:00Z,1,41AC,male,SRP049961,not collected,Ascending Colon Contents,FORM_AC_2
SRR1654661,21,AMPLICON,559,3298952,PRJNA266806,SAMN03174438,Model organism or animal,not collected,7651712,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761203,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2015-11-10T00:00:00Z,2014-11-18T16:04:00Z,1,42AC,male,SRP049961,not collected,Ascending Colon Contents,FORM_AC_3
SRR1654662,21,AMPLICON,558,3125328,PRJNA266806,SAMN03174439,Model organism or animal,not collected,7240884,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761205,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2015-11-10T00:00:00Z,2014-11-18T16:04:00Z,1,43AC,male,SRP049961,not collected,Ascending Colon Contents,FORM_AC_4
SRR1654663,21,AMPLICON,557,2959418,PRJNA266806,SAMN03174440,Model organism or animal,not collected,6868031,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761206,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2015-11-10T00:00:00Z,2014-11-18T16:16:00Z,1,45AC,female,SRP049961,not collected,Ascending Colon Contents,FORM_AC_5
SRR1654988,21,AMPLICON,557,4881231,PRJNA266806,SAMN03174441,Model organism or animal,not collected,11279273,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761514,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2015-11-10T00:00:00Z,2014-11-18T16:16:00Z,1,46AC,male,SRP049961,not collected,Ascending Colon Contents,FORM_AC_6
SRR1654993,21,AMPLICON,556,4054436,PRJNA266806,SAMN03174442,Model organism or animal,not collected,9401812,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761515,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2015-11-10T00:00:00Z,2014-11-18T16:16:00Z,1,47AC,male,SRP049961,not collected,Ascending Colon Contents,FORM_AC_7
SRR1655000,21,AMPLICON,558,6253117,PRJNA266806,SAMN03174443,Model organism or animal,not collected,14397191,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761523,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2015-11-10T00:00:00Z,2014-11-18T16:16:00Z,1,48AC,female,SRP049961,not collected,Ascending Colon Contents,FORM_AC_8
SRR1655058,21,AMPLICON,554,3295383,PRJNA266806,SAMN03174444,Model organism or animal,not collected,7667712,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761557,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2015-11-10T00:00:00Z,2014-11-18T16:16:00Z,1,50AC,female,SRP049961,not collected,Ascending Colon Contents,FGP_AC_1
SRR1655059,21,AMPLICON,552,3530740,PRJNA266806,SAMN03174445,Model organism or animal,not collected,8230577,UNIVERSITY OF ILLINOIS-URBANA CHAMPAIGN,public,not collected,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX761558,454 GS FLX Titanium,not collected,16S Amplification,SINGLE,PCR,GENOMIC,Sus scrofa,LS454,2015-11-10T00:00:00Z,2014-11-18T16:16:00Z,1,51AC,male,SRP049961,not collected,Ascending Colon Contents,FGP_AC_2
