Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,BIOME,BioSampleModel,Collection_Date,env_package,feature,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_age,host_body_product,host_common_name,Host_diet,host_family_relationship,host_growth_cond,host_last_meal,host_life_stage,host_sex,host_taxid,host_tissue_sampled,Investigation_type,Label,lat_lon,material,perturbation,project_name,samp_mat_process,samp_size,samp_store_dur,samp_store_temp,specific_host,Library Name
SRR357662,AMPLICON,561,5013862,PRJNA72355,SAMN00709891,10811713,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103156,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:34:00Z,3,NonmedDay0,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay0 16S
SRR357663,AMPLICON,575,4137025,PRJNA72355,SAMN00709891,8902136,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103156,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:34:00Z,3,NonmedDay0,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay0 16S
SRR357664,AMPLICON,563,5178364,PRJNA72355,SAMN00709891,11178150,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103156,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:34:00Z,3,NonmedDay0,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay0 16S
SRR357665,AMPLICON,560,5315392,PRJNA72355,SAMN00709891,11516563,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103156,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:34:00Z,3,NonmedDay0,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay0 16S
SRR358626,AMPLICON,582,6955308,PRJNA72355,SAMN00709892,14909555,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103232,454 GS FLX,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,SubtherDay0,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SubtherDay0 16S
SRR358627,AMPLICON,560,11863896,PRJNA72355,SAMN00709892,25681480,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103232,454 GS FLX,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,SubtherDay0,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SubtherDay0 16S
SRR358628,AMPLICON,552,5857562,PRJNA72355,SAMN00709892,12688621,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103232,454 GS FLX,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,SubtherDay0,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SubtherDay0 16S
SRR358629,AMPLICON,570,4917378,PRJNA72355,SAMN00709892,10595010,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103232,454 GS FLX,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,SubtherDay0,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SubtherDay0 16S
SRR358646,AMPLICON,549,4907266,PRJNA72355,SAMN00709893,10660091,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103246,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,NonmedDay14,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay14 16S
SRR358647,AMPLICON,575,1313357,PRJNA72355,SAMN00709893,2855055,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103246,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,NonmedDay14,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay14 16S
SRR358649,AMPLICON,564,5108796,PRJNA72355,SAMN00709893,11041776,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103246,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,NonmedDay14,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay14 16S
SRR358650,AMPLICON,549,4944076,PRJNA72355,SAMN00709893,10726027,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103246,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,NonmedDay14,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay14 16S
SRR358652,AMPLICON,572,4644333,PRJNA72355,SAMN00709893,9993435,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103246,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,NonmedDay14,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay14 16S
SRR358656,AMPLICON,567,6781621,PRJNA72355,SAMN00709893,15000756,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103246,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,NonmedDay14,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonmedDay14 16S
SRR358660,AMPLICON,563,5402362,PRJNA72355,SAMN00709894,11692672,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103258,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,SubtherDay14,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SubtherDay14 16S
SRR358661,AMPLICON,556,5891983,PRJNA72355,SAMN00709894,12784132,USDA/ARS/NADC/FSEPRU,public,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX103258,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,Viruses,LS454,2011-12-06T00:00:00Z,2012-01-21T08:39:00Z,3,SubtherDay14,SRP008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SubtherDay14 16S
