Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR2944979,AMPLICON,328,7843208,PRJNA302730,SAMN04279246,Metagenome or environmental,3582838,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443525,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_41,55.68 N 12.54 E,milst_pool_A_41,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,41_IL_A,SRP066524
SRR2944980,AMPLICON,338,14453469,PRJNA302730,SAMN04279247,Metagenome or environmental,6527770,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443526,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_42,55.68 N 12.54 E,milst_pool_A_42,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,42_IL_A,SRP066524
SRR2944981,AMPLICON,339,7820901,PRJNA302730,SAMN04279256,Metagenome or environmental,3610562,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443527,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_51,55.68 N 12.54 E,milst_pool_B_51,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,51_IL_B,SRP066524
SRR2944982,AMPLICON,332,6598608,PRJNA302730,SAMN04279257,Metagenome or environmental,2820131,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443528,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_52,55.68 N 12.54 E,milst_pool_B_52,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:49:00Z,1,52_IL_B,SRP066524
SRR2944983,AMPLICON,327,7788138,PRJNA302730,SAMN04279258,Metagenome or environmental,3744091,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443529,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_53,55.68 N 12.54 E,milst_pool_B_53,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,53_IL_B,SRP066524
SRR2944984,AMPLICON,316,11128963,PRJNA302730,SAMN04279259,Metagenome or environmental,4847944,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443530,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_54,55.68 N 12.54 E,milst_pool_B_54,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,54_IL_B,SRP066524
SRR2944985,AMPLICON,330,9416613,PRJNA302730,SAMN04279260,Metagenome or environmental,4549562,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443531,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_55,55.68 N 12.54 E,milst_pool_B_55,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,55_IL_B,SRP066524
SRR2944986,AMPLICON,310,10141383,PRJNA302730,SAMN04279261,Metagenome or environmental,5059079,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443532,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_56,55.68 N 12.54 E,milst_pool_B_56,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,56_IL_B,SRP066524
SRR2944987,AMPLICON,335,8053845,PRJNA302730,SAMN04279262,Metagenome or environmental,3220378,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443533,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_81,55.68 N 12.54 E,milst_pool_F_81,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,81_IL_F,SRP066524
SRR2944988,AMPLICON,332,6174841,PRJNA302730,SAMN04279263,Metagenome or environmental,2953724,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443534,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_82,55.68 N 12.54 E,milst_pool_F_82,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,82_IL_F,SRP066524
SRR2944989,AMPLICON,324,6463858,PRJNA302730,SAMN04279264,Metagenome or environmental,3116524,DTU,2015-01-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1443535,Denmark,Europe,Denmark: Frederiksberg,Sus scrofa,Illumina MiSeq,Ileum_83,55.68 N 12.54 E,milst_pool_F_83,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,2015-11-22T04:48:00Z,1,83_IL_F,SRP066524
