Sample	0	1	2	3	4	5
SRR2944979	(33.0, 3.0)	(34.0, 134.0)	(35.0, 1017.0)	(36.0, 2282.0)	(37.0, 7715.0)	(38.0, 12700.0)
SRR2944980	(33.0, 4.0)	(34.0, 231.0)	(35.0, 2029.0)	(36.0, 4674.0)	(37.0, 16568.0)	(38.0, 19232.0)
SRR2944981	(34.0, 99.0)	(35.0, 1206.0)	(36.0, 2883.0)	(37.0, 9063.0)	(38.0, 9812.0)	
SRR2944982	(34.0, 118.0)	(35.0, 1004.0)	(36.0, 2341.0)	(37.0, 8341.0)	(38.0, 8023.0)	
SRR2944983	(33.0, 2.0)	(34.0, 125.0)	(35.0, 1188.0)	(36.0, 2541.0)	(37.0, 7454.0)	(38.0, 12478.0)
SRR2944984	(33.0, 10.0)	(34.0, 226.0)	(35.0, 1324.0)	(36.0, 2729.0)	(37.0, 7169.0)	(38.0, 23662.0)
SRR2944985	(33.0, 1.0)	(34.0, 163.0)	(35.0, 1549.0)	(36.0, 3407.0)	(37.0, 11095.0)	(38.0, 12314.0)
SRR2944986	(33.0, 4.0)	(34.0, 171.0)	(35.0, 1289.0)	(36.0, 2967.0)	(37.0, 8734.0)	(38.0, 19539.0)
SRR2944987	(33.0, 2.0)	(34.0, 142.0)	(35.0, 1170.0)	(36.0, 2741.0)	(37.0, 9776.0)	(38.0, 10196.0)
SRR2944988	(34.0, 101.0)	(35.0, 946.0)	(36.0, 2125.0)	(37.0, 7422.0)	(38.0, 7999.0)	
SRR2944989	(33.0, 2.0)	(34.0, 154.0)	(35.0, 1038.0)	(36.0, 2282.0)	(37.0, 7769.0)	(38.0, 8650.0)
SRR2944990	(33.0, 4.0)	(34.0, 149.0)	(35.0, 987.0)	(36.0, 2096.0)	(37.0, 6138.0)	(38.0, 11074.0)
SRR2944991	(34.0, 159.0)	(35.0, 1389.0)	(36.0, 3266.0)	(37.0, 12485.0)	(38.0, 9994.0)	
SRR2944992	(33.0, 13.0)	(34.0, 499.0)	(35.0, 3270.0)	(36.0, 7131.0)	(37.0, 23343.0)	(38.0, 35545.0)
SRR2944993	(33.0, 8.0)	(34.0, 331.0)	(35.0, 1778.0)	(36.0, 3797.0)	(37.0, 11640.0)	(38.0, 22159.0)
SRR2944994	(33.0, 3.0)	(34.0, 269.0)	(35.0, 1772.0)	(36.0, 4045.0)	(37.0, 11787.0)	(38.0, 24055.0)
SRR2944995	(34.0, 194.0)	(35.0, 1258.0)	(36.0, 2702.0)	(37.0, 7730.0)	(38.0, 15941.0)	
SRR2944996	(34.0, 43.0)	(35.0, 382.0)	(36.0, 816.0)	(37.0, 2825.0)	(38.0, 2957.0)	
SRR2944997	(33.0, 6.0)	(34.0, 170.0)	(35.0, 1422.0)	(36.0, 3302.0)	(37.0, 9524.0)	(38.0, 15600.0)
SRR2944998	(33.0, 4.0)	(34.0, 205.0)	(35.0, 1314.0)	(36.0, 2879.0)	(37.0, 10158.0)	(38.0, 15225.0)
SRR2944999	(33.0, 5.0)	(34.0, 164.0)	(35.0, 1505.0)	(36.0, 3498.0)	(37.0, 11404.0)	(38.0, 13634.0)
SRR2945000	(33.0, 5.0)	(34.0, 222.0)	(35.0, 1553.0)	(36.0, 3516.0)	(37.0, 12025.0)	(38.0, 20266.0)
SRR2945001	(33.0, 6.0)	(34.0, 151.0)	(35.0, 1389.0)	(36.0, 3537.0)	(37.0, 12111.0)	(38.0, 13687.0)
SRR2945002	(33.0, 8.0)	(34.0, 189.0)	(35.0, 1569.0)	(36.0, 3525.0)	(37.0, 12834.0)	(38.0, 14705.0)
