Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
SRR2944979	(250, 1.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 5.0)	(275, 1.0)	(280, 17.0)	(285, 22.0)	(290, 563.0)	(295, 33.0)	(300, 3954.0)	(305, 192.0)	(310, 1006.0)	(315, 1270.0)	(320, 111.0)	(325, 136.0)	(330, 340.0)	(335, 12940.0)	(340, 91.0)	(345, 3161.0)	(350, 2.0)	(355, 0.0)	(360, 0.0)	(365, 0.0)	(370, 1.0)	(375, 0.0)	(380, 0.0)	(385, 0.0)	(390, 3.0)	(395, 0.0)	(400, 0.0)	(405, 0.0)	(410, 0.0)	(415, 0.0)	(420, 0.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 1.0)	(455, 1.0)
SRR2944980	(250, 2.0)	(255, 1.0)	(260, 0.0)	(265, 0.0)	(270, 2.0)	(275, 1.0)	(280, 16.0)	(285, 11.0)	(290, 215.0)	(295, 22.0)	(300, 547.0)	(305, 79.0)	(310, 371.0)	(315, 947.0)	(320, 331.0)	(325, 304.0)	(330, 756.0)	(335, 26810.0)	(340, 2396.0)	(345, 9886.0)	(350, 12.0)	(355, 4.0)	(360, 2.0)	(365, 0.0)	(370, 1.0)	(375, 1.0)	(380, 1.0)	(385, 3.0)	(390, 6.0)	(395, 0.0)	(400, 0.0)	(405, 1.0)	(410, 1.0)	(415, 0.0)	(420, 0.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 3.0)	(455, 6.0)
SRR2944981	(270, 1.0)	(275, 0.0)	(280, 1.0)	(285, 0.0)	(290, 11.0)	(295, 3.0)	(300, 14.0)	(305, 9.0)	(310, 105.0)	(315, 950.0)	(320, 102.0)	(325, 119.0)	(330, 235.0)	(335, 14434.0)	(340, 67.0)	(345, 7005.0)	(350, 2.0)	(355, 0.0)	(360, 1.0)	(365, 0.0)	(370, 0.0)	(375, 1.0)	(380, 0.0)	(385, 0.0)	(390, 1.0)	(395, 1.0)	(400, 0.0)	(405, 0.0)	(410, 0.0)	(415, 0.0)	(420, 0.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 1.0)					
SRR2944982	(265, 1.0)	(270, 4.0)	(275, 7.0)	(280, 14.0)	(285, 7.0)	(290, 713.0)	(295, 9.0)	(300, 420.0)	(305, 45.0)	(310, 613.0)	(315, 1153.0)	(320, 240.0)	(325, 173.0)	(330, 292.0)	(335, 14861.0)	(340, 37.0)	(345, 1232.0)	(350, 2.0)	(355, 1.0)	(360, 1.0)	(365, 0.0)	(370, 0.0)	(375, 0.0)	(380, 0.0)	(385, 0.0)	(390, 1.0)	(395, 0.0)	(400, 0.0)	(405, 1.0)													
SRR2944983	(250, 1.0)	(255, 1.0)	(260, 2.0)	(265, 1.0)	(270, 2.0)	(275, 1.0)	(280, 2.0)	(285, 36.0)	(290, 164.0)	(295, 9.0)	(300, 58.0)	(305, 1049.0)	(310, 481.0)	(315, 8680.0)	(320, 496.0)	(325, 156.0)	(330, 223.0)	(335, 9913.0)	(340, 36.0)	(345, 2470.0)	(350, 1.0)	(355, 2.0)	(360, 0.0)	(365, 0.0)	(370, 0.0)	(375, 0.0)	(380, 1.0)	(385, 0.0)	(390, 0.0)	(395, 0.0)	(400, 0.0)	(405, 1.0)	(410, 0.0)	(415, 0.0)	(420, 0.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 0.0)	(455, 2.0)
SRR2944984	(260, 1.0)	(265, 0.0)	(270, 10.0)	(275, 19.0)	(280, 29.0)	(285, 40.0)	(290, 6190.0)	(295, 24.0)	(300, 558.0)	(305, 698.0)	(310, 954.0)	(315, 447.0)	(320, 22350.0)	(325, 104.0)	(330, 271.0)	(335, 2561.0)	(340, 41.0)	(345, 804.0)	(350, 0.0)	(355, 1.0)	(360, 1.0)	(365, 0.0)	(370, 0.0)	(375, 1.0)	(380, 2.0)	(385, 0.0)	(390, 0.0)	(395, 1.0)	(400, 0.0)	(405, 0.0)	(410, 0.0)	(415, 0.0)	(420, 0.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 4.0)	(455, 9.0)		
SRR2944985	(250, 2.0)	(255, 4.0)	(260, 0.0)	(265, 2.0)	(270, 3.0)	(275, 3.0)	(280, 3.0)	(285, 28.0)	(290, 70.0)	(295, 26.0)	(300, 42.0)	(305, 61.0)	(310, 297.0)	(315, 10245.0)	(320, 147.0)	(325, 185.0)	(330, 249.0)	(335, 12638.0)	(340, 52.0)	(345, 4463.0)	(350, 3.0)	(355, 1.0)	(360, 1.0)	(365, 0.0)	(370, 0.0)	(375, 0.0)	(380, 0.0)	(385, 0.0)	(390, 0.0)	(395, 0.0)	(400, 0.0)	(405, 1.0)	(410, 0.0)	(415, 0.0)	(420, 0.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 1.0)	(455, 2.0)
SRR2944986	(250, 2.0)	(255, 1.0)	(260, 0.0)	(265, 2.0)	(270, 11.0)	(275, 27.0)	(280, 39.0)	(285, 77.0)	(290, 7162.0)	(295, 75.0)	(300, 1600.0)	(305, 4489.0)	(310, 3248.0)	(315, 13217.0)	(320, 256.0)	(325, 81.0)	(330, 134.0)	(335, 1343.0)	(340, 29.0)	(345, 898.0)	(350, 3.0)	(355, 0.0)	(360, 1.0)	(365, 0.0)	(370, 0.0)	(375, 0.0)	(380, 1.0)	(385, 0.0)	(390, 1.0)	(395, 0.0)	(400, 0.0)	(405, 0.0)	(410, 0.0)	(415, 0.0)	(420, 0.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 3.0)	(455, 4.0)
SRR2944987	(255, 1.0)	(260, 0.0)	(265, 1.0)	(270, 0.0)	(275, 9.0)	(280, 4.0)	(285, 12.0)	(290, 657.0)	(295, 8.0)	(300, 143.0)	(305, 49.0)	(310, 467.0)	(315, 147.0)	(320, 403.0)	(325, 192.0)	(330, 399.0)	(335, 19812.0)	(340, 45.0)	(345, 1669.0)	(350, 3.0)	(355, 0.0)	(360, 1.0)	(365, 0.0)	(370, 1.0)	(375, 0.0)	(380, 1.0)	(385, 1.0)	(390, 0.0)	(395, 0.0)	(400, 0.0)	(405, 0.0)	(410, 0.0)	(415, 0.0)	(420, 1.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 1.0)		
SRR2944988	(250, 1.0)	(255, 0.0)	(260, 2.0)	(265, 0.0)	(270, 1.0)	(275, 4.0)	(280, 7.0)	(285, 16.0)	(290, 642.0)	(295, 10.0)	(300, 1212.0)	(305, 89.0)	(310, 737.0)	(315, 129.0)	(320, 1299.0)	(325, 162.0)	(330, 478.0)	(335, 11012.0)	(340, 64.0)	(345, 2719.0)	(350, 4.0)	(355, 1.0)	(360, 0.0)	(365, 0.0)	(370, 0.0)	(375, 0.0)	(380, 0.0)	(385, 0.0)	(390, 2.0)	(395, 0.0)	(400, 0.0)	(405, 0.0)	(410, 0.0)	(415, 0.0)	(420, 0.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 1.0)	(455, 1.0)
SRR2944989	(260, 1.0)	(265, 6.0)	(270, 12.0)	(275, 18.0)	(280, 23.0)	(285, 36.0)	(290, 3088.0)	(295, 23.0)	(300, 356.0)	(305, 182.0)	(310, 1856.0)	(315, 162.0)	(320, 2634.0)	(325, 109.0)	(330, 274.0)	(335, 9878.0)	(340, 46.0)	(345, 1182.0)	(350, 0.0)	(355, 1.0)	(360, 0.0)	(365, 1.0)	(370, 1.0)	(375, 0.0)	(380, 0.0)	(385, 0.0)	(390, 1.0)	(395, 0.0)	(400, 0.0)	(405, 0.0)	(410, 0.0)	(415, 0.0)	(420, 0.0)	(425, 0.0)	(430, 0.0)	(435, 0.0)	(440, 0.0)	(445, 0.0)	(450, 3.0)	(455, 2.0)		
