Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,elev,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_Age,host_body_product,Host_disease,host_family_relationship,host_last_meal,HOST,host_sex,host_tot_mass,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,perturbation,Platform,ReleaseDate,create_date,version,samp_store_temp,samp_vol_we_dna_ext,Sample Name,SRA Study
SRR5515450,AMPLICON,602,11967158,PRJNA335425,SAMN06899256,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",7645319,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 16,room C11,research facility,animal cage,feces,SRX2788809,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 22091,ad libitium feed,Sus scrofa,female,19.2 kg,Illumina MiSeq,42.03 N 93.63 W,14_3,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:07:00Z,1,-80 C,0.25 g,3-DV14T-1,SRP106622
SRR5515451,AMPLICON,602,9589258,PRJNA335425,SAMN06899257,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",6070413,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 4,room B9,research facility,animal cage,feces,SRX2788810,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 10388,ad libitium feed,Sus scrofa,female,15.8 kg,Illumina MiSeq,42.03 N 93.63 W,14_7,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:07:00Z,1,-80 C,0.25 g,7-DV14T-1,SRP106622
SRR5515452,AMPLICON,602,11282082,PRJNA335425,SAMN06899266,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",7236536,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 15,room C11,research facility,animal cage,feces,SRX2788811,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 22020,ad libitium feed,Sus scrofa,female,17.9 kg,Illumina MiSeq,42.03 N 93.63 W,14_50,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:07:00Z,1,-80 C,0.25 g,50-DV14T-1,SRP106622
SRR5515453,AMPLICON,602,10884762,PRJNA335425,SAMN06899267,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",7083100,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 3,room B9,research facility,animal cage,feces,SRX2788812,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 10856,ad libitium feed,Sus scrofa,female,14.8 kg,Illumina MiSeq,42.03 N 93.63 W,14_59,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:07:00Z,1,-80 C,0.25 g,59-DV14T-1,SRP106622
SRR5515454,AMPLICON,602,12890626,PRJNA335425,SAMN06899268,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",8089067,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 4,room B9,research facility,animal cage,feces,SRX2788813,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 20638,ad libitium feed,Sus scrofa,female,17.2 kg,Illumina MiSeq,42.03 N 93.63 W,14_62,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:07:00Z,1,-80 C,0.25 g,62-DV14T-1,SRP106622
SRR5515455,AMPLICON,602,7508144,PRJNA335425,SAMN06899269,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",4787669,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 3,room B9,research facility,animal cage,feces,SRX2788814,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 20825,ad libitium feed,Sus scrofa,female,19 kg,Illumina MiSeq,42.03 N 93.63 W,14_65,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:07:00Z,1,-80 C,0.25 g,65-DV14T-1,SRP106622
SRR5515456,AMPLICON,602,7096376,PRJNA335425,SAMN06899270,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",4488983,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 15,room C11,research facility,animal cage,feces,SRX2788815,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 3791,ad libitium feed,Sus scrofa,female,14.5 kg,Illumina MiSeq,42.03 N 93.63 W,14_66,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:07:00Z,1,-80 C,0.25 g,66-DV14T-1,SRP106622
SRR5515457,AMPLICON,602,13165740,PRJNA335425,SAMN06899271,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",8321455,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 4,room B9,research facility,animal cage,feces,SRX2788816,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 10714,ad libitium feed,Sus scrofa,female,16.7 kg,Illumina MiSeq,42.03 N 93.63 W,14_71,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:08:00Z,1,-80 C,0.25 g,71-DV14T-1,SRP106622
SRR5515458,AMPLICON,602,13487810,PRJNA335425,SAMN06899272,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",8566069,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 16,room C11,research facility,animal cage,feces,SRX2788817,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 10714,ad libitium feed,Sus scrofa,female,17.8 kg,Illumina MiSeq,42.03 N 93.63 W,14_72,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:07:00Z,1,-80 C,0.25 g,72-DV14T-1,SRP106622
SRR5515459,AMPLICON,602,8075228,PRJNA335425,SAMN06899273,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",5117120,NATIONAL ANIMAL DISEASE CENTER,2014-04-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",pen 4,room B9,research facility,animal cage,feces,SRX2788818,USA,North America,"USA: National Animal Disease Center research barn in Ames\, Iowa",7 weeks old,feces,normal and healthy,from sow number 21481,ad libitium feed,Sus scrofa,female,14.7 kg,Illumina MiSeq,42.03 N 93.63 W,14_77,PAIRED,RANDOM,METAGENOMIC,feces metagenome,none,ILLUMINA,2017-05-08T00:00:00Z,2017-05-08T11:07:00Z,1,-80 C,0.25 g,77-DV14T-1,SRP106622
