Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR5515450_1	(1, 33.963277830876805)	(2, 33.92891996579305)	(3, 33.96896222143971)	(4, 33.938276573268276)	(5, 33.92484531415061)	(6, 37.82846219628754)	(7, 37.71366768952161)	(8, 37.90251018662911)	(9, 37.871925147140196)	(10, 37.83570602142965)	(15, 37.54498717239298)	(20, 37.65226621057397)	(25, 36.944091755118464)	(30, 37.52536847929976)	(35, 37.47590925096836)	(40, 36.93968509482368)	(45, 36.92357764475075)	(50, 36.83299964786961)	(55, 36.88679511041803)	(60, 36.92386940993008)	(65, 36.84097791639418)	(70, 36.93946375572212)	(75, 36.94718044167212)	(80, 37.03026309170481)	(85, 36.8901554404145)	(90, 36.91520700236431)	(95, 36.86761909552794)	(100, 36.68383721515166)	(105, 36.686010362694304)	(110, 36.70087026510388)	(115, 36.788470244982136)	(120, 36.74757281553398)	(125, 36.63701393430253)	(130, 36.634901151969416)	(135, 36.68275064138035)	(140, 36.72249107097942)	(145, 36.54045978167916)	(150, 36.17861059409428)	(155, 36.400784747723726)	(160, 36.4451632375874)	(165, 36.331696765430856)	(170, 36.09316364002213)	(175, 36.260858192061974)	(180, 36.27703606821268)	(185, 35.554414205945974)	(190, 35.497972735047036)	(195, 35.42467930982444)	(200, 35.83247648272046)	(205, 35.41228432013683)	(210, 34.55535992756175)	(215, 33.806650233915185)	(220, 34.89410936163791)	(225, 33.16282509180543)	(230, 32.401901504099804)	(235, 31.575843855324713)	(240, 32.57263443835203)	(245, 31.184496202022235)	(250, 31.62784848332411)	(255, 31.00552341667086)	(260, 28.771205795060116)	(265, 27.16756376075255)	(270, 26.54286432919161)	(275, 25.37204084712511)	(280, 27.153468484330197)	(285, 25.93634488656371)	(290, 24.2072035816691)	(295, 23.20432617334876)	(300, 18.324286935962572)
SRR5515450_2	(1, 32.72674681825041)	(2, 33.390462296896224)	(3, 33.2528799235374)	(4, 33.38930529704714)	(5, 33.55098344987172)	(6, 37.2396498817848)	(7, 37.47180441672116)	(8, 37.185522410584035)	(9, 37.38070325469088)	(10, 36.94623472005634)	(15, 36.74422254640575)	(20, 36.89656421349163)	(25, 37.11109210724885)	(30, 37.2414004728608)	(35, 37.121867297147745)	(40, 36.1043714472559)	(45, 35.23570602142965)	(50, 35.110418029075916)	(55, 35.141355198953676)	(60, 35.04664218522058)	(65, 34.70117209115146)	(70, 35.0788067810252)	(75, 34.89007495346848)	(80, 34.89700689169475)	(85, 35.01638915438402)	(90, 34.55132551939232)	(95, 34.51859751496554)	(100, 34.42337139695156)	(105, 34.10566929926053)	(110, 33.95999798782635)	(115, 33.30962322048392)	(120, 33.25187383671211)	(125, 32.97275516877106)	(130, 32.85064641078525)	(135, 32.672790381809946)	(140, 32.399295739222296)	(145, 31.89544745711555)	(150, 31.484098797726244)	(155, 30.798480808893807)	(160, 29.983973036873078)	(165, 29.47876653755219)	(170, 29.00597615574224)	(175, 28.70445193420192)	(180, 28.544071633381964)	(185, 28.251551888928013)	(190, 27.443784898636757)	(195, 26.652165601891443)	(200, 25.803923738618643)	(205, 24.729453191810453)	(210, 23.54269329443131)	(215, 22.236591377835907)	(220, 21.751556919362137)	(225, 21.676643694350822)	(230, 22.20388349514563)	(235, 21.569767090899944)	(240, 20.176638663916698)	(245, 19.721454801549374)	(250, 16.691362744604856)	(255, 15.182403541425625)	(260, 14.93016751345641)	(265, 14.394687861562455)	(270, 14.142964937874137)	(275, 13.636702047386688)	(280, 14.101101665073696)	(285, 13.1251471401982)	(290, 12.872609286181397)	(295, 12.260606670355653)	(300, 11.36123547462146)
SRR5515451_1	(1, 33.95423441521753)	(2, 33.89955427208236)	(3, 33.96547178102831)	(4, 33.94519429970494)	(5, 33.90853160901501)	(6, 37.812417603113815)	(7, 37.6773180990646)	(8, 37.889007470651016)	(9, 37.86295435997238)	(10, 37.817025550882036)	(15, 37.5511080419361)	(20, 37.64980852533116)	(25, 36.99704940674242)	(30, 37.53599095988449)	(35, 37.43937472534371)	(40, 36.93425827107791)	(45, 36.98726850398644)	(50, 36.885717873061715)	(55, 36.92982610333354)	(60, 36.9899930943562)	(65, 36.96031138175655)	(70, 36.998631426957125)	(75, 36.9517107163036)	(80, 37.102316529600095)	(85, 36.86859187645176)	(90, 36.86777575491242)	(95, 36.85464247598719)	(100, 36.742143260719445)	(105, 36.68785234477996)	(110, 36.71406867976646)	(115, 36.82424508757612)	(120, 36.81155125871053)	(125, 36.68600665452947)	(130, 36.74042312762886)	(135, 36.726687174336114)	(140, 36.71631615292862)	(145, 36.5210998807207)	(150, 36.199522882792394)	(155, 36.40133090589491)	(160, 36.48737522757235)	(165, 36.32917320610208)	(170, 36.068579320735765)	(175, 36.35434741666144)	(180, 36.298386590495326)	(185, 35.58696716680269)	(190, 35.65784418356456)	(195, 35.51226065666395)	(200, 35.88660932889698)	(205, 35.38628915813924)	(210, 34.56705380124301)	(215, 33.76017326888066)	(220, 34.91413145834641)	(225, 33.28015569087827)	(230, 32.642463431477175)	(235, 31.670851905329904)	(240, 32.610559357147345)	(245, 31.20699353380627)	(250, 31.690212819386023)	(255, 30.742143260719445)	(260, 28.643593445916252)	(265, 27.373193546361982)	(270, 26.695825224433424)	(275, 25.56211940485906)	(280, 27.52093665641283)	(285, 26.19026932010798)	(290, 24.403051038985495)	(295, 23.234716554711532)	(300, 18.70629041371084)
SRR5515451_2	(1, 33.024044196120286)	(2, 33.2929248540398)	(3, 33.2420742042815)	(4, 33.54403917383389)	(5, 33.69106660807333)	(6, 37.36336242074204)	(7, 37.499089710590745)	(8, 37.00251114319794)	(9, 37.36625023541968)	(10, 37.034641220415594)	(15, 36.887325004708394)	(20, 37.11828740033901)	(25, 37.31911607759432)	(30, 37.313553895410884)	(35, 37.24440956745559)	(40, 36.34351183376232)	(45, 35.643467888756355)	(50, 35.376206918199514)	(55, 35.384656915060575)	(60, 35.456324941929815)	(65, 35.08794023479189)	(70, 35.39411136920083)	(75, 35.21848201393684)	(80, 35.24168497708582)	(85, 35.33119467637643)	(90, 35.016950216586096)	(95, 34.889308807834766)	(100, 34.80980601418796)	(105, 34.56164228765145)	(110, 34.33070500345282)	(115, 34.03410132462804)	(120, 33.90480256136606)	(125, 33.493276414087504)	(130, 33.468604432167744)	(135, 33.269018770795405)	(140, 32.97249042626656)	(145, 32.8279239123611)	(150, 32.27645175466131)	(155, 31.689472032142636)	(160, 30.830761504174774)	(165, 30.133944378178164)	(170, 29.758666582961894)	(175, 29.720660430661052)	(180, 29.294293427082682)	(185, 29.027446795153498)	(190, 28.393307803377485)	(195, 27.80257392177789)	(200, 26.81819323246908)	(205, 25.468805323623577)	(210, 24.56316152928621)	(215, 23.19864398267311)	(220, 22.915336807081424)	(225, 22.710050850649758)	(230, 22.66551572603428)	(235, 22.645162910414967)	(240, 21.317169941615923)	(245, 20.736468077092095)	(250, 17.560374160336494)	(255, 15.817226442337875)	(260, 15.454742921715113)	(265, 14.936191851340322)	(270, 14.632720195869169)	(275, 14.056538389101638)	(280, 14.551384267687865)	(285, 13.437240253625465)	(290, 13.143361165170443)	(295, 12.588800301337184)	(300, 11.646964655659488)
SRR5515452_1	(1, 33.92342991302492)	(2, 33.93015314017395)	(3, 33.9839389573662)	(4, 33.94584067018836)	(5, 33.904754282055386)	(6, 37.75278800490902)	(7, 37.68411504188677)	(8, 37.90075236113334)	(9, 37.86585561069313)	(10, 37.83366949469078)	(15, 37.5323942158903)	(20, 37.63361613574516)	(25, 37.0770396456966)	(30, 37.562734112373946)	(35, 37.47027373139107)	(40, 36.988858652153034)	(45, 36.94132650338829)	(50, 36.86632516941465)	(55, 36.939939170801985)	(60, 37.04018995784644)	(65, 36.949938637212526)	(70, 37.0532202123686)	(75, 37.14116642655141)	(80, 37.1833520089643)	(85, 36.96785657115415)	(90, 37.021653060135534)	(95, 36.994045141667996)	(100, 36.8615655514647)	(105, 36.837842164238836)	(110, 36.889941838749266)	(115, 36.97640467424364)	(120, 36.94762285897231)	(125, 36.84304999733205)	(130, 36.79116375860413)	(135, 36.78216744037138)	(140, 36.823936823008374)	(145, 36.66400939117443)	(150, 36.35746224854597)	(155, 36.59570994077157)	(160, 36.66312363267703)	(165, 36.49941838749267)	(170, 36.19547516141081)	(175, 36.464724401045835)	(180, 36.45848140440745)	(185, 35.73803959233766)	(190, 35.74928765807588)	(195, 35.69836188036924)	(200, 35.98898671362254)	(205, 35.53894669441332)	(210, 34.66867296302225)	(215, 33.976959607278154)	(220, 34.879099300997815)	(225, 33.55911637586041)	(230, 32.72116749373032)	(235, 31.662120484499223)	(240, 32.85773437916866)	(245, 31.28499012859506)	(250, 31.762221866495917)	(255, 30.958934955445283)	(260, 29.25765967664479)	(265, 27.158497412091133)	(270, 26.46012485993277)	(275, 25.558678832506267)	(280, 27.592028173523296)	(285, 26.29345285737154)	(290, 24.766597300037354)	(295, 22.982829091297155)	(300, 18.176244597406757)
SRR5515452_2	(1, 32.72077263753268)	(2, 33.50637639400245)	(3, 33.08633477402486)	(4, 33.19225228109492)	(5, 33.36465503441652)	(6, 37.241395870017605)	(7, 37.56805933514754)	(8, 37.41534603276239)	(9, 37.37991569286591)	(10, 36.87324048876794)	(15, 36.63754335414332)	(20, 36.90212902193053)	(25, 37.18420575209434)	(30, 37.14235099514434)	(35, 36.999135585080836)	(40, 36.00602956085588)	(45, 35.26277146363587)	(50, 35.0221012752788)	(55, 35.05264393575583)	(60, 35.16585027479857)	(65, 34.59038471799797)	(70, 34.961122672216)	(75, 34.88802091670668)	(80, 34.79892214929833)	(85, 34.93507283496078)	(90, 34.562232538285045)	(95, 34.510463689237504)	(100, 34.28089216157089)	(105, 34.17819753481672)	(110, 33.79940237980897)	(115, 33.36444159863401)	(120, 33.05933514753748)	(125, 32.70585347633531)	(130, 32.77390747558828)	(135, 32.26448962168507)	(140, 32.01476975614962)	(145, 31.99616882770397)	(150, 31.416626647457445)	(155, 30.75608558774878)	(160, 30.02639133450723)	(165, 29.161208046529005)	(170, 28.67364601675471)	(175, 28.37260551731498)	(180, 28.256741902780004)	(185, 27.93782615655515)	(190, 27.2942318979777)	(195, 26.661811002614588)	(200, 25.75040819593405)	(205, 24.7874179606211)	(210, 23.89260978603063)	(215, 22.14101702150365)	(220, 21.929459473880797)	(225, 21.40160076836882)	(230, 22.011152019636093)	(235, 21.490571474307664)	(240, 20.339469612080464)	(245, 20.168304786297423)	(250, 17.249228963235687)	(255, 15.38933888266368)	(260, 14.780950856411078)	(265, 14.434235099514433)	(270, 14.213435782508938)	(275, 13.26134144389307)	(280, 13.94839122778934)	(285, 12.93596926524732)	(290, 12.90781708553439)	(295, 12.250402860039486)	(300, 11.37305906835281)
SRR5515453_1	(1, 33.93175156241358)	(2, 33.923787401139315)	(3, 33.982910237265635)	(4, 33.946352524749734)	(5, 33.91023726563796)	(6, 37.76196006858028)	(7, 37.69863392511476)	(8, 37.89414302306288)	(9, 37.86593661854986)	(10, 37.84246446546098)	(15, 37.53681765389083)	(20, 37.62664675626348)	(25, 37.10111166417787)	(30, 37.60289806979702)	(35, 37.48450860018804)	(40, 36.96290028206405)	(45, 36.94650738344119)	(50, 36.876455948232945)	(55, 36.9398705823793)	(60, 36.92877606327083)	(65, 36.885703224379185)	(70, 37.057076489132236)	(75, 37.08390022675737)	(80, 37.06157845251922)	(85, 36.9360101764283)	(90, 36.986416680493335)	(95, 36.87964161274265)	(100, 36.76494662905812)	(105, 36.776107516177206)	(110, 36.8056080968973)	(115, 36.88585808307063)	(120, 36.843703334992526)	(125, 36.701863834964875)	(130, 36.68412145345943)	(135, 36.71544715447155)	(140, 36.75461534207178)	(145, 36.510403185664515)	(150, 36.151086776173884)	(155, 36.512482716663904)	(160, 36.46977490183065)	(165, 36.38043249820253)	(170, 36.25549471821249)	(175, 36.29937503456667)	(180, 36.3342514241469)	(185, 35.64350423096069)	(190, 35.51680769868923)	(195, 35.549007245174494)	(200, 35.82893645262983)	(205, 35.362767546042804)	(210, 34.42794093247055)	(215, 33.786759581881526)	(220, 34.46250760466789)	(225, 33.39061998783253)	(230, 32.49336872960566)	(235, 31.520137160555283)	(240, 32.68885570488358)	(245, 30.899684751949557)	(250, 31.31957303246502)	(255, 30.78462474420662)	(260, 29.03115978098557)	(265, 27.023007577014546)	(270, 26.403318400530946)	(275, 25.44295116420552)	(280, 27.09602345003042)	(285, 25.891134339914828)	(290, 24.73212764780709)	(295, 22.402643659089655)	(300, 18.500636026768433)
SRR5515453_2	(1, 32.32022565123611)	(2, 33.046844754161825)	(3, 32.9511642055196)	(4, 33.01001050826835)	(5, 33.10204081632653)	(6, 37.204081632653065)	(7, 37.14246999612853)	(8, 36.56042254300094)	(9, 37.00271002710027)	(10, 36.595785631325704)	(15, 36.38552071234998)	(20, 36.68804822742105)	(25, 36.976218129528235)	(30, 36.97885072728279)	(35, 36.80998838559814)	(40, 35.49270504949947)	(45, 34.631557989049284)	(50, 34.483203362645874)	(55, 34.34956031192965)	(60, 34.46095901775344)	(65, 33.94593219401582)	(70, 34.23257563187877)	(75, 34.22064045130247)	(80, 34.24822742104972)	(85, 34.26066036170566)	(90, 33.86800508821415)	(95, 33.7746695426138)	(100, 33.562999834079974)	(105, 33.341286433272494)	(110, 33.08491786958686)	(115, 32.756407278358495)	(120, 32.581284221005475)	(125, 31.96371882086168)	(130, 32.10979481223384)	(135, 31.571450694098775)	(140, 31.37351916376307)	(145, 31.137160555279024)	(150, 30.79592942868204)	(155, 29.95398484597091)	(160, 29.037774459377243)	(165, 28.44600409269399)	(170, 27.90327968585808)	(175, 27.6340910347879)	(180, 27.56704828272773)	(185, 27.014346551628783)	(190, 26.38985675571042)	(195, 25.93443946684365)	(200, 24.908622310712907)	(205, 23.809877772247113)	(210, 23.15482550743875)	(215, 21.56410596759029)	(220, 21.109341297494606)	(225, 20.96242464465461)	(230, 21.168961893700573)	(235, 20.683380344007524)	(240, 19.61841712294674)	(245, 19.58704717659422)	(250, 16.540202422432387)	(255, 14.935899563077262)	(260, 14.391969470715116)	(265, 13.70038161606106)	(270, 13.90892096676069)	(275, 12.850616669432)	(280, 13.366218682594987)	(285, 12.556075438305404)	(290, 12.697173828881144)	(295, 11.909938609590176)	(300, 11.429677562081743)
SRR5515454_1	(1, 33.91495820296082)	(2, 33.89795918367347)	(3, 33.976042590949426)	(4, 33.934759258394436)	(5, 33.891514500537056)	(6, 37.74328678839957)	(7, 37.70919534862)	(8, 37.90024751319292)	(9, 37.85406061738196)	(10, 37.83318544809229)	(15, 37.58060990986784)	(20, 37.65014710689768)	(25, 37.10924204922243)	(30, 37.60800448325784)	(35, 37.52360715453229)	(40, 37.00799514313735)	(45, 37.0499789847289)	(50, 36.886153271377204)	(55, 36.99647877457619)	(60, 37.07269415775464)	(65, 37.01100266193434)	(70, 37.13262971092327)	(75, 37.123000046700604)	(80, 37.18569093541307)	(85, 36.98974454770466)	(90, 37.04611217484705)	(95, 36.959800121421566)	(100, 36.90271330500163)	(105, 36.902862746929436)	(110, 36.93135945453697)	(115, 36.9944519684304)	(120, 36.98442067902676)	(125, 36.82936533881288)	(130, 36.806285901088124)	(135, 36.84432821183393)	(140, 36.84554242749732)	(145, 36.649773502078176)	(150, 36.448820809788444)	(155, 36.65622752533507)	(160, 36.671190398356146)	(165, 36.58242189324242)	(170, 36.3379348993602)	(175, 36.53877551020408)	(180, 36.51441647597254)	(185, 35.88881520571615)	(190, 35.83071965628356)	(195, 35.86314855461635)	(200, 36.07568299631065)	(205, 35.66329799654416)	(210, 34.891981506561436)	(215, 34.241638257133516)	(220, 35.091103535235604)	(225, 33.859150983047684)	(230, 32.95817494045673)	(235, 31.94000840610844)	(240, 33.13056554429552)	(245, 31.59695512072106)	(250, 31.867771914257695)	(255, 31.414748050249848)	(260, 29.66961191799374)	(265, 27.57607061131089)	(270, 26.94443562321954)	(275, 26.065380843412886)	(280, 28.24498202026806)	(285, 26.604492597954515)	(290, 25.373128473357305)	(295, 23.118040442721714)	(300, 18.963877084014385)
SRR5515454_2	(1, 32.797272684817635)	(2, 33.38742819782375)	(3, 33.318871713445105)	(4, 33.400737869518515)	(5, 33.55321533647784)	(6, 37.27866249474618)	(7, 37.453789753887825)	(8, 37.11623779946761)	(9, 37.328398636342406)	(10, 36.97688320179331)	(15, 36.828720870499225)	(20, 37.084817634147484)	(25, 37.33870078924018)	(30, 37.26720216690795)	(35, 37.158791388408915)	(40, 36.102218278615794)	(45, 35.49335450427311)	(50, 35.21183393265773)	(55, 35.29597907813011)	(60, 35.402409751085784)	(65, 34.96531079250922)	(70, 35.14640638864241)	(75, 35.14993695418671)	(80, 35.15382244430953)	(85, 35.19952365385514)	(90, 34.840134497735015)	(95, 34.867659832811846)	(100, 34.61601830663615)	(105, 34.62749731471536)	(110, 34.294727501984774)	(115, 33.97427730817727)	(120, 33.79367673842993)	(125, 33.31540652874422)	(130, 33.437967589781906)	(135, 32.86557698594312)	(140, 32.55644701816654)	(145, 32.64411338906272)	(150, 32.385317330593566)	(155, 31.563461448652685)	(160, 30.886881800775228)	(165, 30.13020127959651)	(170, 29.752178583103717)	(175, 29.27810208751693)	(180, 29.331266053332087)	(185, 28.928407976462893)	(190, 28.328342595619482)	(195, 27.98411245505067)	(200, 26.950712184187175)	(205, 25.963097183953675)	(210, 25.05289310232102)	(215, 23.472768878718536)	(220, 23.262877691122213)	(225, 22.954607014430486)	(230, 23.087610330173256)	(235, 22.447784056414324)	(240, 21.369719329379354)	(245, 21.445271564003175)	(250, 18.348321113342358)	(255, 16.53667398309438)	(260, 15.67668238920282)	(265, 15.188558352402746)	(270, 14.970756082753464)	(275, 13.733843926586653)	(280, 14.44070424508476)	(285, 13.372642787091953)	(290, 13.516714145612479)	(295, 12.60557605193107)	(300, 11.934899360201747)
