Sample	Unique Reads	Duplicate Reads
SRR5515450_1	1793.0	18086.0
SRR5515450_2	2830.0	17049.0
SRR5515451_1	1548.0	14381.0
SRR5515451_2	2072.0	13857.0
SRR5515452_1	1573.0	17168.0
SRR5515452_2	2535.0	16206.0
SRR5515453_1	1519.0	16562.0
SRR5515453_2	2949.0	15132.0
SRR5515454_1	1632.0	19781.0
SRR5515454_2	2417.0	18996.0
SRR5515455_1	1105.0	11367.0
SRR5515455_2	1642.0	10830.0
SRR5515456_1	1152.0	10636.0
SRR5515456_2	1545.0	10243.0
SRR5515457_1	1884.0	19986.0
SRR5515457_2	2681.0	19189.0
SRR5515458_1	1704.0	20701.0
SRR5515458_2	2781.0	19624.0
SRR5515459_1	1150.0	12264.0
SRR5515459_2	1658.0	11756.0
SRR5515460_1	1730.0	17347.0
SRR5515460_2	2527.0	16550.0
SRR5515461_1	1350.0	11528.0
SRR5515461_2	1782.0	11096.0
SRR5515462_1	1401.0	15572.0
SRR5515462_2	2202.0	14771.0
SRR5515463_1	1820.0	21580.0
SRR5515463_2	2590.0	20810.0
SRR5515464_1	1179.0	13623.0
SRR5515464_2	1748.0	13054.0
SRR5515465_1	1249.0	10158.0
SRR5515465_2	1610.0	9797.0
SRR5515466_1	1569.0	17835.0
SRR5515466_2	2541.0	16863.0
SRR5515467_1	944.0	7543.0
SRR5515467_2	1093.0	7394.0
SRR5515468_1	769.0	6004.0
SRR5515468_2	916.0	5857.0
SRR5515469_1	1086.0	9919.0
SRR5515469_2	1210.0	9795.0
SRR5515470_1	1113.0	10466.0
SRR5515470_2	1294.0	10285.0
SRR5515471_1	984.0	8812.0
SRR5515471_2	1035.0	8761.0
SRR5515472_1	1018.0	8418.0
SRR5515472_2	1169.0	8267.0
SRR5515473_1	1713.0	17599.0
SRR5515473_2	2267.0	17045.0
SRR5515474_1	1044.0	9741.0
SRR5515474_2	1136.0	9649.0
SRR5515475_1	757.0	5972.0
SRR5515475_2	864.0	5865.0
SRR5515476_1	1214.0	11838.0
SRR5515476_2	1545.0	11507.0
SRR5515477_1	1078.0	8138.0
SRR5515477_2	1179.0	8037.0
SRR5515478_1	1023.0	6773.0
SRR5515478_2	1249.0	6547.0
SRR5515479_1	1196.0	9290.0
SRR5515479_2	1293.0	9193.0
SRR5515480_1	876.0	8952.0
SRR5515480_2	995.0	8833.0
SRR5515481_1	1330.0	12379.0
SRR5515481_2	1501.0	12208.0
SRR5515482_1	1073.0	9847.0
SRR5515482_2	1291.0	9629.0
SRR5515483_1	1122.0	9424.0
SRR5515483_2	1316.0	9230.0
SRR5515484_1	1606.0	17112.0
SRR5515484_2	2510.0	16208.0
SRR5515485_1	1076.0	8267.0
SRR5515485_2	1251.0	8092.0
SRR5515486_1	1229.0	8949.0
SRR5515486_2	1413.0	8765.0
SRR5515487_1	1029.0	9394.0
SRR5515487_2	1182.0	9241.0
SRR5515488_1	1055.0	8688.0
SRR5515488_2	1228.0	8515.0
SRR5515489_1	1206.0	10852.0
SRR5515489_2	1423.0	10635.0
SRR5515490_1	1108.0	9223.0
SRR5515490_2	1378.0	8953.0
SRR5515491_1	807.0	6927.0
SRR5515491_2	864.0	6870.0
SRR5515492_1	1661.0	14275.0
SRR5515492_2	2104.0	13832.0
SRR5515493_1	1674.0	15607.0
SRR5515493_2	2320.0	14961.0
SRR5515494_1	1282.0	16566.0
SRR5515494_2	1904.0	15944.0
SRR5515495_1	1333.0	18394.0
SRR5515495_2	1789.0	17938.0
SRR5515496_1	1463.0	15176.0
SRR5515496_2	2086.0	14553.0
