Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR5515450_1	(1.0, 5.629055787514463)	(2.0, 1.6197997887217666)	(3.0, 1.1167563760752552)	(4.0, 0.9859650887871623)	(5.0, 1.056391166557674)	(6.0, 1.0262085617988832)	(7.0, 0.9507520499019065)	(8.0, 0.8451129332461391)	(9.0, 1.0865737713164645)	('>10', 18.667941043312037)	('>50', 16.89219779666985)	('>100', 30.615222093666684)	('>500', 19.50802354243171)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515450_2	(1.0, 10.558881231450275)	(2.0, 2.2435736204034407)	(3.0, 1.373308516524976)	(4.0, 1.0463302983047438)	(5.0, 1.0815433371899994)	(6.0, 1.237486795110418)	(7.0, 0.9155390110166507)	(8.0, 1.0463302983047438)	(9.0, 0.5432868856582322)	('>10', 17.80270637356004)	('>50', 11.42914633532874)	('>100', 28.889783188289147)	('>500', 21.83208410885859)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515451_1	(1.0, 6.158578692949965)	(2.0, 1.9963588423629859)	(3.0, 1.1488480130579448)	(4.0, 1.2806830309498398)	(5.0, 0.9416786992278235)	(6.0, 0.6780086634440329)	(7.0, 0.922845125243267)	(8.0, 0.6528972314646242)	(9.0, 1.0170129951660494)	('>10', 18.739406114633685)	('>50', 9.86879276790759)	('>100', 37.94337372088643)	('>500', 9.423064850273088)	('>1k', 9.22845125243267)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515451_2	(1.0, 9.190784104463559)	(2.0, 2.4232531860129325)	(3.0, 1.6196873626718562)	(4.0, 1.2555715989704312)	(5.0, 1.0358465691506058)	(6.0, 0.7533429593822588)	(7.0, 0.9667901312072321)	(8.0, 0.6528972314646242)	(9.0, 1.0170129951660494)	('>10', 17.766338125431602)	('>50', 8.7387783288342)	('>100', 24.822650511645428)	('>500', 15.69464498713039)	('>1k', 14.06240190846883)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515452_1	(1.0, 5.111786991089056)	(2.0, 1.5900965796915851)	(3.0, 0.99247638866656)	(4.0, 1.1952403820500506)	(5.0, 0.9337815484766022)	(6.0, 0.8644149191611973)	(7.0, 0.7843765007203457)	(8.0, 0.7683688170321754)	(9.0, 0.7203457659676645)	('>10', 17.30430606691212)	('>50', 12.678085481030896)	('>100', 37.073795421802465)	('>500', 13.435782508937624)	('>1k', 6.547142628461662)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515452_2	(1.0, 9.834053679099302)	(2.0, 2.3691371858492074)	(3.0, 1.4086761645589883)	(4.0, 1.2165839603009443)	(5.0, 0.9337815484766022)	(6.0, 1.344645429806307)	(7.0, 0.8217277626594098)	(8.0, 0.640307347526813)	(9.0, 0.4802305106451097)	('>10', 14.913825302812016)	('>50', 13.05693399498426)	('>100', 24.17693826369991)	('>500', 16.215783576116536)	('>1k', 12.587375273464597)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515453_1	(1.0, 5.154582158066479)	(2.0, 1.780874951606659)	(3.0, 1.0121121619379458)	(4.0, 0.9291521486643438)	(5.0, 0.8296001327360213)	(6.0, 0.663680106188817)	(7.0, 0.8517228029423152)	(8.0, 0.442453404125878)	(9.0, 0.7466401194624191)	('>10', 20.828493999225707)	('>50', 10.773740390465129)	('>100', 28.294895193849896)	('>500', 10.945191084563907)	('>1k', 16.746861346164483)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515453_2	(1.0, 12.615452685139097)	(2.0, 2.367125712073447)	(3.0, 1.3439522150323544)	(4.0, 1.084010840108401)	(5.0, 0.9678668215253582)	(6.0, 1.3605442176870748)	(7.0, 0.6581494386372435)	(8.0, 0.7964161274265804)	(9.0, 0.6968641114982579)	('>10', 19.506664454399647)	('>50', 7.366849178695868)	('>100', 25.19772136496875)	('>500', 7.5936065483103805)	('>1k', 18.44477628449754)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515454_1	(1.0, 4.833512352309345)	(2.0, 1.475739037033578)	(3.0, 0.9106617475365432)	(4.0, 1.0460934946060805)	(5.0, 0.6538084341288003)	(6.0, 0.9246719282678747)	(7.0, 0.7191892775416803)	(8.0, 0.4483257834026059)	(9.0, 0.3782748797459487)	('>10', 16.050997057862045)	('>50', 7.911082052958483)	('>100', 37.93956942044552)	('>500', 7.794330546864055)	('>1k', 18.913743987297433)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515454_2	(1.0, 8.34072759538598)	(2.0, 1.8400037360481951)	(3.0, 1.1908653621631717)	(4.0, 1.064773735581189)	(5.0, 0.7472096390043431)	(6.0, 0.7845701209545604)	(7.0, 0.6864988558352403)	(8.0, 0.33624433755195443)	(9.0, 0.46233596413393735)	('>10', 13.0154578994069)	('>50', 10.358193620697707)	('>100', 29.183206463363376)	('>500', 5.286508195955728)	('>1k', 26.703404473917715)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515455_1	(1.0, 5.412123155869146)	(2.0, 1.7479153303399615)	(3.0, 1.5635022450288645)	(4.0, 1.0262989095574084)	(5.0, 0.5612572161642078)	(6.0, 0.9140474663245671)	(7.0, 0.8418858242463116)	(8.0, 1.0262989095574084)	(9.0, 1.010262989095574)	('>10', 19.964720974983962)	('>50', 8.627325208466965)	('>100', 30.84509300833868)	('>500', 13.109364977549712)	('>1k', 13.34990378447723)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515455_2	(1.0, 9.49326491340603)	(2.0, 2.148813341885824)	(3.0, 1.6597177677998718)	(4.0, 1.4111610006414368)	(5.0, 0.8017960230917255)	(6.0, 1.010262989095574)	(7.0, 0.9541372674791533)	(8.0, 0.7697241821680565)	(9.0, 0.6494547787042977)	('>10', 15.137908915971776)	('>50', 10.319114817190506)	('>100', 25.81783194355356)	('>500', 17.11834509300834)	('>1k', 12.708466966003847)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515456_1	(1.0, 5.760095011876484)	(2.0, 2.341364099083814)	(3.0, 1.170682049541907)	(4.0, 1.1197828299966068)	(5.0, 1.3573125212080082)	(6.0, 0.8143875127248049)	(7.0, 1.72209026128266)	(8.0, 0.6786562606040041)	(9.0, 1.2215812690872072)	('>10', 19.418052256532068)	('>50', 17.153036986766203)	('>100', 25.279945707499152)	('>500', 12.207329487614524)	('>1k', 9.755683746182559)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515456_2	(1.0, 9.297590770274857)	(2.0, 2.171700033932813)	(3.0, 1.3997285374957584)	(4.0, 1.3912453342382083)	(5.0, 0.8907363420427553)	(6.0, 0.7634882931795045)	(7.0, 1.1282660332541568)	(8.0, 0.8143875127248049)	(9.0, 0.5344418052256532)	('>10', 21.75941635561588)	('>50', 10.782151340346115)	('>100', 19.655581947743467)	('>500', 4.589412962334578)	('>1k', 24.82185273159145)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515457_1	(1.0, 5.102880658436214)	(2.0, 1.728395061728395)	(3.0, 1.2345679012345678)	(4.0, 1.0608139003200732)	(5.0, 0.8687700045724738)	(6.0, 0.9053497942386831)	(7.0, 0.928212162780064)	(8.0, 1.2437128486511204)	(9.0, 0.8641975308641975)	('>10', 19.931412894375857)	('>50', 11.019661636945589)	('>100', 37.80521262002743)	('>500', 9.871970736168267)	('>1k', 7.4348422496570645)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515457_2	(1.0, 8.85230909922268)	(2.0, 1.984453589391861)	(3.0, 1.1659807956104253)	(4.0, 1.1705532693187015)	(5.0, 0.9144947416552356)	(6.0, 0.9876543209876543)	(7.0, 0.8641975308641975)	(8.0, 0.7315957933241883)	(9.0, 0.7407407407407408)	('>10', 15.861911294010058)	('>50', 11.57750342935528)	('>100', 24.83310470964792)	('>500', 18.010973936899862)	('>1k', 12.304526748971194)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515458_1	(1.0, 4.838205757643383)	(2.0, 1.4371792010711895)	(3.0, 0.9640705199732202)	(4.0, 0.8748047310868109)	(5.0, 0.758759205534479)	(6.0, 0.5623744699843785)	(7.0, 0.6873465744253515)	(8.0, 0.8212452577549654)	(9.0, 0.4820352599866101)	('>10', 14.394108457933497)	('>50', 11.113590716357956)	('>100', 36.34902923454586)	('>500', 12.385628207989289)	('>1k', 14.33162240571301)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515458_2	(1.0, 9.448783753626424)	(2.0, 1.9192144610577995)	(3.0, 1.2050881499665254)	(4.0, 0.8033920999776836)	(5.0, 0.5802276277616604)	(6.0, 0.5623744699843785)	(7.0, 0.8435617049765677)	(8.0, 0.4641821022093283)	(9.0, 0.682883284981031)	('>10', 13.291675965186341)	('>50', 11.131443874135236)	('>100', 32.08658781521982)	('>500', 9.011381388083016)	('>1k', 17.969203302834188)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515459_1	(1.0, 5.248248099001044)	(2.0, 1.7891754882958102)	(3.0, 0.8722230505442077)	(4.0, 1.103324884449083)	(5.0, 0.8573132548084091)	(6.0, 0.84985835694051)	(7.0, 1.0958699865811838)	(8.0, 0.9542269270910989)	(9.0, 0.7380348889220217)	('>10', 16.840614283584316)	('>50', 14.633964514686149)	('>100', 32.9506485761145)	('>500', 22.066497688981663)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515459_2	(1.0, 8.930967645743253)	(2.0, 1.9382734456537944)	(3.0, 1.632622633069927)	(4.0, 1.1927836588638736)	(5.0, 0.745489786789921)	(6.0, 0.8945877441479051)	(7.0, 0.7305799910541225)	(8.0, 0.7753093782615178)	(9.0, 0.7380348889220217)	('>10', 15.215446548382285)	('>50', 10.377217832115699)	('>100', 26.994185179663038)	('>500', 4.52512300581482)	('>1k', 25.309378261517818)	('>5k', 0.0)	('>10k+', 0.0)
SRR5515460_1	(1.0, 5.483042407087068)	(2.0, 1.9290244797400011)	(3.0, 1.320962415474131)	(4.0, 1.1112858415893485)	(5.0, 0.6290297216543481)	(6.0, 1.0378990407296744)	(7.0, 0.6971746081669026)	(8.0, 0.7967709807621743)	(9.0, 0.8963673533574461)	('>10', 20.695077842428056)	('>50', 11.76285579493631)	('>100', 43.94820988625046)	('>500', 4.046757875976306)	('>1k', 5.645541751847775)	('>5k', 0.0)	('>10k+', 0.0)
