Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR5515450_1	SRR5515450_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19879.0	5.9 Mbp	0.0	301.0	54.0	9.01956838875195	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR5515450_2	SRR5515450_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19879.0	5.9 Mbp	0.0	301.0	55.0	14.236128577896274	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR5515451_1	SRR5515451_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15929.0	4.7 Mbp	0.0	301.0	54.0	9.718124176031138	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR5515451_2	SRR5515451_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15929.0	4.7 Mbp	0.0	301.0	55.0	13.007721765333669	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR5515452_1	SRR5515452_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18741.0	5.6 Mbp	0.0	301.0	54.0	8.393362147163973	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
SRR5515452_2	SRR5515452_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18741.0	5.6 Mbp	0.0	301.0	53.0	13.521156821941199	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR5515453_1	SRR5515453_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18081.0	5.4 Mbp	0.0	301.0	54.0	8.401084010840108	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR5515453_2	SRR5515453_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18081.0	5.4 Mbp	0.0	301.0	53.0	16.309938609590176	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR5515454_1	SRR5515454_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21413.0	6.4 Mbp	0.0	301.0	54.0	7.621538317844301	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR5515454_2	SRR5515454_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21413.0	6.4 Mbp	0.0	301.0	53.0	11.287535609209359	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR5515455_1	SRR5515455_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12472.0	3.7 Mbp	0.0	301.0	54.0	8.859846055163565	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
