Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5515450_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0077196232823838196)	(46.0, 0.02315886984715146)	(47.0, 0.05403736297668674)	(48.0, 0.8298595028562606)	(49.0, 1.412691060676239)	(50.0, 1.5246255982708043)	(51.0, 4.705110390612939)	(52.0, 8.364211826462869)	(53.0, 10.857650146672842)	(54.0, 17.30353558746333)	(55.0, 16.292264937471053)	(56.0, 12.81457464875714)	(57.0, 6.6581750810560445)	(58.0, 4.9675775822139885)	(59.0, 4.357727342905666)	(60.0, 3.7169986104678094)	(61.0, 2.3004477381503783)	(62.0, 2.8369615562760537)	(63.0, 0.41299984560753433)	(64.0, 0.21228964026555502)	(65.0, 0.21614945190674695)	(66.0, 0.061756986259070556)	(67.0, 0.02701868148834337)	(68.0, 0.03473830477072719)	(69.0, 0.0077196232823838196)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5515450_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.003775009437523594)	(39.0, 0.007550018875047188)	(40.0, 0.003775009437523594)	(41.0, 0.03020007550018875)	(42.0, 0.10192525481313704)	(43.0, 0.33975084937712347)	(44.0, 0.604001510003775)	(45.0, 0.8305020762551907)	(46.0, 1.1400528501321254)	(47.0, 1.2419781049452623)	(48.0, 1.3665534163835409)	(49.0, 1.857304643261608)	(50.0, 2.955832389580974)	(51.0, 4.299735749339374)	(52.0, 6.862967157417893)	(53.0, 10.083050207625519)	(54.0, 9.796149490373725)	(55.0, 9.750849377123442)	(56.0, 10.664401661004153)	(57.0, 9.339373348433371)	(58.0, 6.0022650056625135)	(59.0, 4.386560966402416)	(60.0, 3.0539826349565877)	(61.0, 2.4122310305775763)	(62.0, 2.2650056625141564)	(63.0, 2.4952812382030958)	(64.0, 2.3895809739524347)	(65.0, 2.3405058512646284)	(66.0, 1.6194790486976216)	(67.0, 0.9060022650056626)	(68.0, 0.3586258965647414)	(69.0, 0.1849754624386561)	(70.0, 0.10570026425066063)	(71.0, 0.05662514156285391)	(72.0, 0.041525103812759534)	(73.0, 0.02642506606266516)	(74.0, 0.02642506606266516)	(75.0, 0.007550018875047188)	(76.0, 0.007550018875047188)	(77.0, 0.003775009437523594)	(78.0, 0.015100037750094376)	(79.0, 0.003775009437523594)	(80.0, 0.0)	(81.0, 0.003775009437523594)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.003775009437523594)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.003775009437523594)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5515451_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.009413093613215984)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.004706546806607992)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.004706546806607992)	(46.0, 0.0564785616792959)	(47.0, 0.2212076999105756)	(48.0, 0.3529910104955994)	(49.0, 1.167223608038782)	(50.0, 1.4354967760154376)	(51.0, 7.215136254530051)	(52.0, 9.036569868687344)	(53.0, 10.123782181013791)	(54.0, 20.27109709606062)	(55.0, 15.861062738268933)	(56.0, 12.34997882053937)	(57.0, 8.330587847696146)	(58.0, 6.16557631665647)	(59.0, 5.167788393655575)	(60.0, 1.181343248458606)	(61.0, 0.503600508307055)	(62.0, 0.19296841907092765)	(63.0, 0.051772014872687906)	(64.0, 0.04706546806607992)	(65.0, 0.10825057655198382)	(66.0, 0.042358921259471924)	(67.0, 0.03294582764625594)	(68.0, 0.06118510848590389)	(69.0, 0.004706546806607992)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5515451_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0047167586434602145)	(37.0, 0.0047167586434602145)	(38.0, 0.014150275930380644)	(39.0, 0.0)	(40.0, 0.02358379321730107)	(41.0, 0.06131786236498279)	(42.0, 0.132069242016886)	(43.0, 0.18395358709494836)	(44.0, 0.4480920711287204)	(45.0, 1.0612706947785482)	(46.0, 1.5093627659072686)	(47.0, 1.3820102825338427)	(48.0, 1.056553936135088)	(49.0, 1.589547662846092)	(50.0, 3.74982312155087)	(51.0, 6.122352719211358)	(52.0, 8.15999245318617)	(53.0, 10.697608603367765)	(54.0, 10.532522050846659)	(55.0, 9.905193151266449)	(56.0, 8.702419697184096)	(57.0, 6.933635205886516)	(58.0, 6.268572237158625)	(59.0, 5.707277958586859)	(60.0, 3.9715107777935)	(61.0, 2.160275458704778)	(62.0, 1.518796283194189)	(63.0, 2.4432809773123907)	(64.0, 2.5234658742512144)	(65.0, 1.6650158011414555)	(66.0, 0.7735484175274752)	(67.0, 0.32545634639875476)	(68.0, 0.11791896608650536)	(69.0, 0.06131786236498279)	(70.0, 0.05660110372152258)	(71.0, 0.0330173105042215)	(72.0, 0.05188434507806236)	(73.0, 0.018867034573840858)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.009433517286920429)	(78.0, 0.0047167586434602145)	(79.0, 0.0047167586434602145)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0047167586434602145)	(99.0, 0.0047167586434602145)	(100.0, 0.0)
SRR5515452_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.011918004131574764)	(47.0, 0.05164468457015731)	(48.0, 0.4727474972191324)	(49.0, 1.4857778484029873)	(50.0, 1.7559192753853488)	(51.0, 9.7926267281106)	(52.0, 16.164786270459242)	(53.0, 12.168282218337835)	(54.0, 17.18973462577467)	(55.0, 12.795963769267441)	(56.0, 10.789766407119021)	(57.0, 7.444779914190371)	(58.0, 2.8404576513586526)	(59.0, 3.5793739075162883)	(60.0, 2.053869378674718)	(61.0, 0.31384077546480216)	(62.0, 0.1747973939297632)	(63.0, 0.03972668043858255)	(64.0, 0.3178134435086604)	(65.0, 0.37740346416653425)	(66.0, 0.13109804544732243)	(67.0, 0.02383600826314953)	(68.0, 0.01589067217543302)	(69.0, 0.00794533608771651)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5515452_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.007992646764976222)	(39.0, 0.011988970147464332)	(40.0, 0.04395955720736922)	(41.0, 0.03996323382488111)	(42.0, 0.04795588058985733)	(43.0, 0.16384925868201256)	(44.0, 0.43559924869120403)	(45.0, 0.683371298405467)	(46.0, 0.7832793829676699)	(47.0, 1.2868161291611717)	(48.0, 2.285896974783199)	(49.0, 4.020301322783039)	(50.0, 6.402110058745953)	(51.0, 9.007712904128203)	(52.0, 12.56843703792511)	(53.0, 12.300683371298406)	(54.0, 10.414418734764016)	(55.0, 8.835870998681214)	(56.0, 8.040602645566079)	(57.0, 5.962514486672261)	(58.0, 4.320025576469648)	(59.0, 3.197058705990489)	(60.0, 2.130040362866163)	(61.0, 1.9102425768293172)	(62.0, 1.7903528753546738)	(63.0, 1.2308676018063383)	(64.0, 0.7073492387003957)	(65.0, 0.3636654278064181)	(66.0, 0.2557646964792391)	(67.0, 0.251768373096751)	(68.0, 0.16784558206450065)	(69.0, 0.13187867162210765)	(70.0, 0.08392279103225032)	(71.0, 0.035966910442392995)	(72.0, 0.03197058705990489)	(73.0, 0.011988970147464332)	(74.0, 0.003996323382488111)	(75.0, 0.011988970147464332)	(76.0, 0.003996323382488111)	(77.0, 0.0)	(78.0, 0.003996323382488111)	(79.0, 0.003996323382488111)	(80.0, 0.0)	(81.0, 0.003996323382488111)	(82.0, 0.003996323382488111)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5515453_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.004130695196001487)	(37.0, 0.004130695196001487)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.004130695196001487)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.004130695196001487)	(45.0, 0.004130695196001487)	(46.0, 0.033045561568011896)	(47.0, 0.13218224627204758)	(48.0, 0.5824280226362097)	(49.0, 1.0574579701763807)	(50.0, 1.9662109132967078)	(51.0, 11.772481308604238)	(52.0, 19.30686934611095)	(53.0, 10.173902267751663)	(54.0, 12.425131149572472)	(55.0, 11.144615638812013)	(56.0, 8.021810070634888)	(57.0, 5.799496055186088)	(58.0, 4.936180759221777)	(59.0, 7.868974348382833)	(60.0, 3.1269362633731257)	(61.0, 0.4130695196001487)	(62.0, 0.11565946548804164)	(63.0, 0.05782973274402082)	(64.0, 0.15283572225205502)	(65.0, 0.3717625676401338)	(66.0, 0.33458631087612045)	(67.0, 0.13631294146804906)	(68.0, 0.037176256764013385)	(69.0, 0.012392085588004462)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5515453_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.01658649859014762)	(41.0, 0.13683861336871786)	(42.0, 0.1700116105490131)	(43.0, 0.17415823519655002)	(44.0, 0.2861171006800464)	(45.0, 0.6593133189583679)	(46.0, 1.0200696632940787)	(47.0, 1.2522806435561453)	(48.0, 2.3552827998009622)	(49.0, 4.200530767954884)	(50.0, 6.684358931829491)	(51.0, 10.470227235030686)	(52.0, 14.774423619173993)	(53.0, 13.924365566428925)	(54.0, 9.595289434400398)	(55.0, 7.584176480345)	(56.0, 8.048598440869133)	(57.0, 6.530933819870626)	(58.0, 3.8190413003814894)	(59.0, 2.1479515674241165)	(60.0, 1.5715707414164872)	(61.0, 1.1610549013103333)	(62.0, 0.8417648034499916)	(63.0, 0.6344335710731465)	(64.0, 0.4644219605241333)	(65.0, 0.3109968485652678)	(66.0, 0.17415823519655002)	(67.0, 0.22391773096699288)	(68.0, 0.2653839774423619)	(69.0, 0.19489135843423455)	(70.0, 0.14513186266379166)	(71.0, 0.08707911759827501)	(72.0, 0.029026372532758332)	(73.0, 0.029026372532758332)	(74.0, 0.01658649859014762)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5515454_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0034969925863757166)	(37.0, 0.0034969925863757166)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0034969925863757166)	(41.0, 0.0034969925863757166)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.006993985172751433)	(45.0, 0.01049097775912715)	(46.0, 0.01049097775912715)	(47.0, 0.048957896209260034)	(48.0, 0.1433766960414044)	(49.0, 0.4266330955378375)	(50.0, 1.8464120856063786)	(51.0, 9.65869352356973)	(52.0, 22.21639390124493)	(53.0, 12.512239474052315)	(54.0, 12.449293607497552)	(55.0, 10.543432647922787)	(56.0, 8.476710029374738)	(57.0, 7.8752273045181145)	(58.0, 6.3190656035809205)	(59.0, 4.087984333473213)	(60.0, 2.2240872849349556)	(61.0, 0.5140579101972303)	(62.0, 0.1223947405231501)	(63.0, 0.024478948104630017)	(64.0, 0.10840677017764722)	(65.0, 0.15037068121415584)	(66.0, 0.09441879983214437)	(67.0, 0.07343684431389005)	(68.0, 0.03147293327738145)	(69.0, 0.0034969925863757166)	(70.0, 0.0034969925863757166)	(71.0, 0.0034969925863757166)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5515454_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.003503731474019831)	(34.0, 0.003503731474019831)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.003503731474019831)	(40.0, 0.0)	(41.0, 0.003503731474019831)	(42.0, 0.045548509162257805)	(43.0, 0.12263060159069408)	(44.0, 0.19620896254511055)	(45.0, 0.36438807329806244)	(46.0, 0.4484776286745384)	(47.0, 0.599138082057391)	(48.0, 0.9284888406152553)	(49.0, 2.1302687362040573)	(50.0, 6.772712939280334)	(51.0, 12.86920570407484)	(52.0, 15.616131179706388)	(53.0, 15.12560877334361)	(54.0, 11.096317578220805)	(55.0, 8.542097333660347)	(56.0, 7.46995550261028)	(57.0, 5.532391997477314)	(58.0, 3.4581829648575737)	(59.0, 1.9796082828212047)	(60.0, 1.3033881083353773)	(61.0, 1.4049963210819523)	(62.0, 1.4155075155040118)	(63.0, 0.9425037665113345)	(64.0, 0.5325671840510143)	(65.0, 0.36438807329806244)	(66.0, 0.18569776812305105)	(67.0, 0.13314179601275358)	(68.0, 0.09810448127255528)	(69.0, 0.10861567569461478)	(70.0, 0.08058582390245611)	(71.0, 0.03503731474019831)	(72.0, 0.021022388844118986)	(73.0, 0.03153358326617848)	(74.0, 0.021022388844118986)	(75.0, 0.003503731474019831)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.007007462948039662)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
