"","SRR5515450","SRR5515451","SRR5515452","SRR5515453","SRR5515454","SRR5515455","SRR5515456","SRR5515457","SRR5515458","SRR5515459","SRR5515460","SRR5515461","SRR5515462","SRR5515463","SRR5515464","SRR5515465","SRR5515466","SRR5515467","SRR5515468","SRR5515469","SRR5515470","SRR5515471","SRR5515472","SRR5515473","SRR5515474","SRR5515475","SRR5515476","SRR5515477","SRR5515478","SRR5515479","SRR5515480","SRR5515481","SRR5515482","SRR5515483","SRR5515484","SRR5515485","SRR5515486","SRR5515487","SRR5515488","SRR5515489","SRR5515490","SRR5515491","SRR5515492","SRR5515493","SRR5515494","SRR5515495","SRR5515496"
"ASV1",14,34,66,49,212,280,96,83,389,157,0,0,50,600,121,268,0,85,0,96,0,0,108,32,83,64,229,0,95,78,0,102,0,147,112,128,82,0,168,32,0,63,63,61,223,238,271
"ASV2",0,30,112,90,222,0,91,147,138,87,0,0,207,84,63,95,0,39,0,101,0,53,107,0,0,0,0,103,0,0,86,253,0,98,158,162,0,27,114,0,37,35,120,47,117,136,116
"ASV3",88,237,0,0,0,167,0,17,86,0,77,250,0,0,0,4,161,5,36,41,0,173,183,139,0,103,227,210,40,95,0,200,61,66,40,100,0,8,0,267,37,0,15,84,30,0,0
"ASV4",7,28,165,0,18,0,96,66,0,181,0,0,136,57,368,0,0,0,0,205,52,73,13,24,99,0,0,36,38,142,0,0,0,159,41,0,0,0,120,78,16,14,0,176,32,376,181
"ASV5",61,0,0,169,164,51,65,0,89,96,0,0,62,0,295,100,0,86,0,0,0,0,0,0,0,131,0,0,0,0,170,0,0,0,0,131,0,0,93,39,0,185,226,250,0,240,200
"ASV6",0,0,99,353,127,54,49,0,129,0,0,51,58,91,81,113,10,51,71,25,29,28,0,0,60,6,92,0,10,69,24,46,9,21,59,36,0,0,93,13,47,36,161,30,304,82,0
"ASV7",0,0,0,361,827,0,0,264,0,450,0,0,0,261,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0
"ASV8",286,548,0,0,0,374,0,429,0,0,37,22,0,0,0,13,0,0,0,0,19,0,0,124,0,90,0,0,0,78,0,0,0,0,25,0,0,62,0,0,0,0,111,0,0,0,203
"ASV9",0,0,0,62,118,0,0,61,14,33,0,91,0,125,0,120,0,66,104,82,53,60,52,0,82,36,43,83,47,28,0,89,219,59,54,0,0,31,90,58,106,42,0,24,50,0,0
"ASV10",12,0,88,8,342,20,6,243,68,220,0,0,120,23,0,283,32,0,12,0,15,0,0,255,10,0,0,0,0,34,0,0,0,0,15,0,0,21,0,0,0,0,0,57,31,95,79
