Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR5816731,AMPLICON,502,82194468,PRJNA393762,SAMN07341122,Metagenome or environmental,53895096,UNIVERSIDAD DE CORDOBA,2016,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX2995110,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,Ileum_mucosa,not applicable,MH33,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH33,C0A_ileum_mucosa,SRP111505
SRR5816732,AMPLICON,502,99352828,PRJNA393762,SAMN07341130,Metagenome or environmental,67392628,UNIVERSIDAD DE CORDOBA,2016,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX2995109,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,Ileum_mucosa,not applicable,MH41,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH41,C14A_ileum_mucosa,SRP111505
SRR5816733,AMPLICON,502,136912970,PRJNA393762,SAMN07341098,Metagenome or environmental,89980519,UNIVERSIDAD DE CORDOBA,2016,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX2995108,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,feces,not applicable,MH9,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH9,C14A_feces,SRP111505
SRR5816734,AMPLICON,502,171492738,PRJNA393762,SAMN07341125,Metagenome or environmental,114872938,UNIVERSIDAD DE CORDOBA,2016,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX2995107,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,Ileum_mucosa,not applicable,MH36,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH36,C0D_ileum_mucosa,SRP111505
SRR5816735,AMPLICON,502,204354160,PRJNA393762,SAMN07341124,Metagenome or environmental,134354349,UNIVERSIDAD DE CORDOBA,2016,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX2995106,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,Ileum_mucosa,not applicable,MH35,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH35,C0C_ileum_mucosa,SRP111505
SRR5816736,AMPLICON,502,373209892,PRJNA393762,SAMN07341127,Metagenome or environmental,252037000,UNIVERSIDAD DE CORDOBA,2016,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX2995105,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,Ileum_mucosa,not applicable,MH38,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:53:00Z,1,MH38,C2B_ileum_mucosa,SRP111505
SRR5816737,AMPLICON,502,51696462,PRJNA393762,SAMN07341126,Metagenome or environmental,35366416,UNIVERSIDAD DE CORDOBA,2016,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2995104,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,Ileum_mucosa,not applicable,MH37,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH37,C2A_ileum_mucosa,SRP111505
SRR5816738,AMPLICON,502,82308924,PRJNA393762,SAMN07341121,Metagenome or environmental,54001150,UNIVERSIDAD DE CORDOBA,2016,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX2995103,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,ileum_content,not applicable,MH32,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH32,C28D_ileum_content,SRP111505
SRR5816739,AMPLICON,502,109433490,PRJNA393762,SAMN07341120,Metagenome or environmental,71799975,UNIVERSIDAD DE CORDOBA,2016,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX2995102,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,ileum_content,not applicable,MH31,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH31,C28C_ileum_content,SRP111505
SRR5816740,AMPLICON,502,94508026,PRJNA393762,SAMN07341109,Metagenome or environmental,64450384,UNIVERSIDAD DE CORDOBA,2016,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX2995101,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,ileum_content,not applicable,MH20,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH20,C0D_ileum_content,SRP111505
SRR5816741,AMPLICON,502,87332438,PRJNA393762,SAMN07341108,Metagenome or environmental,58475591,UNIVERSIDAD DE CORDOBA,2016,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX2995100,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,ileum_content,not applicable,MH19,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH19,C0C_ileum_content,SRP111505
SRR5816742,AMPLICON,502,91446830,PRJNA393762,SAMN07341107,Metagenome or environmental,60686321,UNIVERSIDAD DE CORDOBA,2016,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX2995099,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,ileum_content,not applicable,MH18,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:53:00Z,1,MH18,C0B_ileum_content,SRP111505
SRR5816743,AMPLICON,502,110231168,PRJNA393762,SAMN07341106,Metagenome or environmental,72429534,UNIVERSIDAD DE CORDOBA,2016,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX2995098,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,ileum_content,not applicable,MH17,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH17,C0A_ileum_content,SRP111505
SRR5816744,AMPLICON,502,165572150,PRJNA393762,SAMN07341105,Metagenome or environmental,109477011,UNIVERSIDAD DE CORDOBA,2016,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX2995097,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,feces,not applicable,MH16,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:53:00Z,1,MH16,C28D_feces,SRP111505
SRR5816745,AMPLICON,502,66474338,PRJNA393762,SAMN07341104,Metagenome or environmental,44216984,UNIVERSIDAD DE CORDOBA,2016,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX2995096,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,feces,not applicable,MH15,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH15,C28C_feces,SRP111505
SRR5816746,AMPLICON,502,159332290,PRJNA393762,SAMN07341103,Metagenome or environmental,105803916,UNIVERSIDAD DE CORDOBA,2016,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX2995095,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,feces,not applicable,MH14,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:53:00Z,1,MH14,C28B_feces,SRP111505
SRR5816747,AMPLICON,502,117543300,PRJNA393762,SAMN07341102,Metagenome or environmental,77693589,UNIVERSIDAD DE CORDOBA,2016,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX2995094,Spain,Europe,Spain,Sus scrofa,Illumina MiSeq,feces,not applicable,MH13,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,2017-07-11T00:00:00Z,2017-07-11T05:52:00Z,1,MH13,C28A_feces,SRP111505
