Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR5816731_1	(15.0, 1.0)	(16.0, 6.0)	(17.0, 14.0)	(18.0, 47.0)	(19.0, 109.0)	(20.0, 293.0)	(21.0, 503.0)	(22.0, 967.0)	(23.0, 1768.0)	(24.0, 2888.0)	(25.0, 3154.0)	(26.0, 3325.0)	(27.0, 3402.0)	(28.0, 3765.0)	(29.0, 4131.0)	(30.0, 4743.0)	(31.0, 5477.0)	(32.0, 6685.0)	(33.0, 8616.0)	(34.0, 11768.0)	(35.0, 18122.0)	(36.0, 37205.0)	(37.0, 46603.0)	(38.0, 142.0)			
SRR5816731_2	(13.0, 4.0)	(14.0, 21.0)	(15.0, 107.0)	(16.0, 347.0)	(17.0, 465.0)	(18.0, 542.0)	(19.0, 582.0)	(20.0, 736.0)	(21.0, 917.0)	(22.0, 1119.0)	(23.0, 1286.0)	(24.0, 1595.0)	(25.0, 1920.0)	(26.0, 2622.0)	(27.0, 3882.0)	(28.0, 5725.0)	(29.0, 7794.0)	(30.0, 10377.0)	(31.0, 13321.0)	(32.0, 17289.0)	(33.0, 21915.0)	(34.0, 25784.0)	(35.0, 26182.0)	(36.0, 17356.0)	(37.0, 1846.0)		
SRR5816732_1	(15.0, 2.0)	(16.0, 24.0)	(17.0, 62.0)	(18.0, 126.0)	(19.0, 361.0)	(20.0, 705.0)	(21.0, 1199.0)	(22.0, 1887.0)	(23.0, 2947.0)	(24.0, 4252.0)	(25.0, 3564.0)	(26.0, 3579.0)	(27.0, 3909.0)	(28.0, 4346.0)	(29.0, 5116.0)	(30.0, 6347.0)	(31.0, 7019.0)	(32.0, 8088.0)	(33.0, 10514.0)	(34.0, 13650.0)	(35.0, 20010.0)	(36.0, 39865.0)	(37.0, 59594.0)	(38.0, 748.0)			
SRR5816732_2	(13.0, 5.0)	(14.0, 32.0)	(15.0, 154.0)	(16.0, 455.0)	(17.0, 708.0)	(18.0, 867.0)	(19.0, 1073.0)	(20.0, 1701.0)	(21.0, 2407.0)	(22.0, 3274.0)	(23.0, 4361.0)	(24.0, 5613.0)	(25.0, 6736.0)	(26.0, 8468.0)	(27.0, 11063.0)	(28.0, 13755.0)	(29.0, 15651.0)	(30.0, 17683.0)	(31.0, 19162.0)	(32.0, 20361.0)	(33.0, 21560.0)	(34.0, 21424.0)	(35.0, 16277.0)	(36.0, 4999.0)	(37.0, 125.0)		
SRR5816733_1	(14.0, 2.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 29.0)	(18.0, 61.0)	(19.0, 154.0)	(20.0, 334.0)	(21.0, 770.0)	(22.0, 1381.0)	(23.0, 2358.0)	(24.0, 3311.0)	(25.0, 4186.0)	(26.0, 4648.0)	(27.0, 4988.0)	(28.0, 5701.0)	(29.0, 6569.0)	(30.0, 7505.0)	(31.0, 9211.0)	(32.0, 11357.0)	(33.0, 14021.0)	(34.0, 18519.0)	(35.0, 27759.0)	(36.0, 59287.0)	(37.0, 90509.0)	(38.0, 70.0)		
SRR5816733_2	(13.0, 10.0)	(14.0, 50.0)	(15.0, 295.0)	(16.0, 663.0)	(17.0, 987.0)	(18.0, 1031.0)	(19.0, 1057.0)	(20.0, 1069.0)	(21.0, 1541.0)	(22.0, 2019.0)	(23.0, 2637.0)	(24.0, 3377.0)	(25.0, 4688.0)	(26.0, 6569.0)	(27.0, 9321.0)	(28.0, 12970.0)	(29.0, 16167.0)	(30.0, 19930.0)	(31.0, 23468.0)	(32.0, 27522.0)	(33.0, 32384.0)	(34.0, 38830.0)	(35.0, 41597.0)	(36.0, 23238.0)	(37.0, 1315.0)		
SRR5816734_1	(15.0, 2.0)	(16.0, 7.0)	(17.0, 29.0)	(18.0, 92.0)	(19.0, 260.0)	(20.0, 648.0)	(21.0, 1256.0)	(22.0, 2216.0)	(23.0, 3668.0)	(24.0, 5592.0)	(25.0, 6733.0)	(26.0, 7177.0)	(27.0, 7610.0)	(28.0, 8106.0)	(29.0, 9018.0)	(30.0, 10287.0)	(31.0, 11942.0)	(32.0, 14654.0)	(33.0, 19141.0)	(34.0, 26134.0)	(35.0, 40253.0)	(36.0, 76131.0)	(37.0, 90598.0)	(38.0, 65.0)			
SRR5816734_2	(13.0, 10.0)	(14.0, 57.0)	(15.0, 131.0)	(16.0, 515.0)	(17.0, 1100.0)	(18.0, 1414.0)	(19.0, 1492.0)	(20.0, 1643.0)	(21.0, 2092.0)	(22.0, 2537.0)	(23.0, 3176.0)	(24.0, 3600.0)	(25.0, 4591.0)	(26.0, 6666.0)	(27.0, 10032.0)	(28.0, 14699.0)	(29.0, 19624.0)	(30.0, 25593.0)	(31.0, 32298.0)	(32.0, 39470.0)	(33.0, 45871.0)	(34.0, 49528.0)	(35.0, 47349.0)	(36.0, 26519.0)	(37.0, 1612.0)		
SRR5816735_1	(15.0, 2.0)	(16.0, 12.0)	(17.0, 29.0)	(18.0, 106.0)	(19.0, 313.0)	(20.0, 737.0)	(21.0, 1390.0)	(22.0, 2264.0)	(23.0, 3925.0)	(24.0, 6030.0)	(25.0, 7333.0)	(26.0, 7778.0)	(27.0, 8352.0)	(28.0, 9020.0)	(29.0, 9927.0)	(30.0, 11634.0)	(31.0, 13588.0)	(32.0, 16748.0)	(33.0, 21558.0)	(34.0, 29172.0)	(35.0, 44288.0)	(36.0, 88241.0)	(37.0, 124274.0)	(38.0, 359.0)			
SRR5816735_2	(13.0, 16.0)	(14.0, 81.0)	(15.0, 208.0)	(16.0, 671.0)	(17.0, 1130.0)	(18.0, 1469.0)	(19.0, 1596.0)	(20.0, 1877.0)	(21.0, 2197.0)	(22.0, 2773.0)	(23.0, 3495.0)	(24.0, 3851.0)	(25.0, 4752.0)	(26.0, 6386.0)	(27.0, 9179.0)	(28.0, 12858.0)	(29.0, 18033.0)	(30.0, 24419.0)	(31.0, 32061.0)	(32.0, 40901.0)	(33.0, 51073.0)	(34.0, 62699.0)	(35.0, 70664.0)	(36.0, 50047.0)	(37.0, 4644.0)		
