.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR5816731_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816731_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816732_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816732_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816733_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816733_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816734_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816734_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816735_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816735_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816736_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816736_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816737_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
SRR5816737_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816738_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816738_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816739_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816739_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816740_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816740_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816741_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816741_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816742_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816742_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816743_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816743_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816744_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816744_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816745_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816745_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816746_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816746_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816747_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816747_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816748_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816748_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816749_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816749_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816750_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816750_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816751_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816751_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816752_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
SRR5816752_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816753_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816753_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816754_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816754_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816755_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816755_2	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816756_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816756_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816757_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816757_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816758_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816758_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816759_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816759_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816760_1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR5816760_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816761_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816761_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816762_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816762_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816763_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816763_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816764_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816764_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816765_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816765_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816766_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816766_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR5816767_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
SRR5816767_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.5
