Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR5816731_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.022369942931225135)	(25, 0.06888925607229558)	(30, 0.07854900415623373)	(35, 0.07880320805317946)	(40, 0.08719193665238886)	(45, 0.09380123797297812)	(50, 0.09634327694243554)	(55, 0.09837690811800145)	(60, 0.10142735488135032)	(65, 0.10295257826302477)	(70, 0.10498620943859069)	(75, 0.11693379259504048)	(80, 0.14337099787739743)	(85, 0.1507429108888239)	(90, 0.15252233816744412)	(95, 0.16980820315975442)	(100, 0.17641750448034368)	(105, 0.1827726019039872)	(110, 0.1987874474115688)	(115, 0.23386758519008097)	(120, 0.246577780037368)	(125, 0.25522071253352313)	(130, 0.26640568399913567)	(135, 0.2913176658998182)	(140, 0.30174002567459357)	(145, 0.3088577347890743)	(150, 0.32639780367833043)	(155, 0.35232660116679587)	(160, 0.36859565057132326)	(165, 0.38461049607890485)	(170, 0.3985917104109206)	(175, 0.421724265032983)	(180, 0.4435858001703166)	(185, 0.44892408200617717)	(190, 0.46748096648321624)	(195, 0.4829874041969064)	(200, 0.5007816769831082)	(205, 0.5127292601395579)	(210, 0.5254394549868449)	(215, 0.5457757667425042)	(220, 0.5544186992386593)	(225, 0.5592485732806284)	(230, 0.5592485732806284)	
SRR5816731_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.001525223381674441)	(15, 0.007626116908372204)	(20, 0.007626116908372204)	(25, 0.007626116908372204)	(30, 0.007626116908372204)	(35, 0.007626116908372204)	(40, 0.007626116908372204)	(45, 0.007626116908372204)	(50, 0.007626116908372204)	(55, 0.01372701043506997)	(60, 0.02694561307624846)	(65, 0.036859565057132324)	(70, 0.048044536522744895)	(75, 0.05745008070973728)	(80, 0.0594837118853032)	(85, 0.0739733340112104)	(90, 0.10524041333553642)	(95, 0.11057869517139698)	(100, 0.11184971465612567)	(105, 0.11591697700725752)	(110, 0.12227207443090102)	(115, 0.12430570560646695)	(120, 0.12837296795759878)	(125, 0.13091500692705618)	(130, 0.13625328876291673)	(135, 0.1385411238354284)	(140, 0.14286259008350596)	(145, 0.15328494985828134)	(150, 0.1593858433849791)	(155, 0.16014845507581632)	(160, 0.16853718367502574)	(165, 0.17336705771699482)	(170, 0.17489228109866925)	(175, 0.17819693175896387)	(180, 0.1949743889573827)	(185, 0.20717617601077826)	(190, 0.21022662277412713)	(195, 0.21302286564053027)	(200, 0.2252246526939258)	(205, 0.23132554622062357)	(210, 0.23513860467480968)	(215, 0.23615542026259262)	(220, 0.23920586702594152)	(225, 0.24022268261372445)	(230, 0.24022268261372448)	
SRR5816731_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.001271019484728701)	(20, 0.04956975990441933)	(25, 0.0790574119501252)	(30, 0.08134524702263686)	(35, 0.08134524702263686)	(40, 0.09405544186992387)	(45, 0.09634327694243554)	(50, 0.09990213149967589)	(55, 0.10142735488135035)	(60, 0.10549461723248217)	(65, 0.10600302502637364)	(70, 0.11159551075917992)	(75, 0.13269443420567636)	(80, 0.15150552257966116)	(85, 0.15506437713690152)	(90, 0.1619278823544365)	(95, 0.17794272786201812)	(100, 0.18048476683147552)	(105, 0.18989031101846793)	(110, 0.20514254483521235)	(115, 0.23996847871677876)	(120, 0.24479835275874778)	(125, 0.2557291203274146)	(130, 0.27428600480445364)	(135, 0.2964017438387331)	(140, 0.3030110451593223)	(145, 0.31267079324326047)	(150, 0.33249869720502817)	(155, 0.35537704793014474)	(160, 0.36478259211713715)	(165, 0.37927221424304436)	(170, 0.39096559350254834)	(175, 0.419690633857417)	(180, 0.42629993517800624)	(185, 0.43443445988026996)	(190, 0.4438400040672623)	(195, 0.46265109244124714)	(200, 0.47383606390685973)	(205, 0.4789201418457745)	(210, 0.4908677250022243)	(215, 0.49620600683808486)	(220, 0.4992564536014338)	(225, 0.4995106574983795)	(230, 0.4995106574983795)	(235, 0.4995106574983795)
SRR5816732_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.1196742885342984)	(25, 0.3639578878104951)	(30, 0.43284257279157756)	(35, 0.44127323572956084)	(40, 0.5362724132258595)	(45, 0.6010445797006086)	(50, 0.6267478203651916)	(55, 0.6434035203158415)	(60, 0.6598535943411745)	(65, 0.716400723803257)	(70, 0.9061934528705379)	(75, 1.193658496463234)	(80, 1.520398091791413)	(85, 1.5623457805560126)	(90, 1.6357542358940615)	(95, 1.6840763283434774)	(100, 1.7157427208422438)	(105, 1.834183253824642)	(110, 1.966400723803257)	(115, 2.22446126007567)	(120, 2.4292646816910675)	(125, 2.532283270274716)	(130, 2.8863711136700116)	(135, 3.027841750287876)	(140, 3.126953446290508)	(145, 3.2194851126830075)	(150, 3.3196249383122223)	(155, 3.5826204967922357)	(160, 3.6953035038657673)	(165, 3.7738526073367327)	(170, 3.810042770192466)	(175, 3.8433541700937655)	(180, 3.9052475736140813)	(185, 3.9548034216153973)	(190, 4.057822010199046)	(195, 4.113752261885179)	(200, 4.238567198552394)	(205, 4.365438394472775)	(210, 4.476270768218457)	(215, 4.558932390195755)	(220, 4.636453364040138)	(225, 4.664624115808521)	(230, 4.664624115808521)	
SRR5816732_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0018506333278499754)	(15, 0.003084388879749959)	(20, 0.003084388879749959)	(25, 0.003084388879749959)	(30, 0.003084388879749959)	(35, 0.003084388879749959)	(40, 0.003084388879749959)	(45, 0.0032900148050666227)	(50, 0.00678565553544991)	(55, 0.042358940615232765)	(60, 0.08183911827603223)	(65, 0.25867741404836325)	(70, 0.4305806876130943)	(75, 0.46142457641059387)	(80, 0.47108899490047706)	(85, 0.5706119427537424)	(90, 0.7460108570488567)	(95, 0.8194193123869058)	(100, 0.9249054120743544)	(105, 1.024839611778253)	(110, 1.0748067116302025)	(115, 1.0937242967593355)	(120, 1.1132587596644186)	(125, 1.1449251521631847)	(130, 1.1800871853923343)	(135, 1.3007896035532158)	(140, 1.4235482809672644)	(145, 1.5931896693535121)	(150, 1.632258595163678)	(155, 1.6522043099193944)	(160, 1.6822256950156276)	(165, 1.6904507320282942)	(170, 1.7188271097219938)	(175, 1.7772248725119262)	(180, 1.8516614574765586)	(185, 1.9520069090310905)	(190, 1.98161704227669)	(195, 2.0764105938476725)	(200, 2.1197976640894884)	(205, 2.1452952788287547)	(210, 2.1792235565060043)	(215, 2.208628063826287)	(220, 2.284092778417503)	(225, 2.298897845040303)	(230, 2.298897845040303)	
SRR5816732_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020562592531666392)	(15, 0.0010281296265833195)	(20, 0.0010281296265833195)	(25, 0.0010281296265833195)	(30, 0.0010281296265833195)	(35, 0.0010281296265833195)	(40, 0.0010281296265833195)	(45, 0.0010281296265833195)	(50, 0.0010281296265833195)	(55, 0.0028787629544332945)	(60, 0.00843066293798322)	(65, 0.011309425892416515)	(70, 0.011309425892416515)	(75, 0.011309425892416515)	(80, 0.01151505181773318)	(85, 0.03906892581016615)	(90, 0.046265833196249384)	(95, 0.046265833196249384)	(100, 0.046265833196249384)	(105, 0.046882710972199385)	(110, 0.047910840598782686)	(115, 0.04914459615068268)	(120, 0.049350222075999345)	(125, 0.049350222075999345)	(130, 0.049967099851949325)	(135, 0.050583977627899325)	(140, 0.057164007238032576)	(145, 0.06251028129626583)	(150, 0.06312715907221583)	(155, 0.06374403684816582)	(160, 0.06456654054943248)	(165, 0.06580029610133245)	(170, 0.06580029610133245)	(175, 0.06641717387728244)	(180, 0.06888468498108241)	(185, 0.06970718868234907)	(190, 0.07052969238361573)	(195, 0.13982562921533148)	(200, 0.17149202171409766)	(205, 0.1727257772659977)	(210, 0.17354828096726438)	(215, 0.17375390689258102)	(220, 0.17683829577233096)	(225, 0.17786642539891429)	(230, 0.17786642539891429)	
SRR5816732_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.011926303668366509)	(20, 0.20562592531666396)	(25, 0.40446619509787796)	(30, 0.42400065800296105)	(35, 0.43654383944727754)	(40, 0.5728738279322257)	(45, 0.5981658167461754)	(50, 0.6187284092778418)	(55, 0.6310659647968416)	(60, 0.6508060536272413)	(65, 0.7708915940121731)	(70, 0.953898667544004)	(75, 1.3225859516367824)	(80, 1.4973679881559465)	(85, 1.534586280638263)	(90, 1.5960684323079455)	(95, 1.6172479026155617)	(100, 1.6616631024839612)	(105, 1.8216400723803257)	(110, 1.8825053462740584)	(115, 2.2583895377529197)	(120, 2.3231617042276693)	(125, 2.480671163020234)	(130, 2.76258430662938)	(135, 2.818103306464879)	(140, 2.9003536765915445)	(145, 2.966153972692877)	(150, 3.1051570982069423)	(155, 3.294744201348906)	(160, 3.3560207270932714)	(165, 3.4045484454680044)	(170, 3.428195426879421)	(175, 3.457599934199704)	(180, 3.5048938970225363)	(185, 3.5597960190820856)	(190, 3.619633163349235)	(195, 3.677208422437901)	(200, 3.7403355815101165)	(205, 3.8353347590064155)	(210, 3.8927043921697644)	(215, 3.9151176180292815)	(220, 3.938353347590064)	(225, 3.9387645994406975)	(230, 3.9387645994406975)	(235, 3.9387645994406975)
SRR5816732_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0039068925810166145)	(40, 0.00678565553544991)	(45, 0.0076081592367165645)	(50, 0.008225037012666556)	(55, 0.008225037012666556)	(60, 0.008225037012666556)	(65, 0.009253166639249877)	(70, 0.013365685145583155)	(75, 0.013365685145583155)	(80, 0.013365685145583155)	(85, 0.017683829577233096)	(90, 0.07710972199374896)	(95, 0.16121072544826454)	(100, 0.16676262543181444)	(105, 0.1721088994900477)	(110, 0.21343971047869714)	(115, 0.22372100674453033)	(120, 0.22824477710149696)	(125, 0.23297417338378024)	(130, 0.23975982891923014)	(135, 0.26793058068761305)	(140, 0.3092613916762626)	(145, 0.43284257279157756)	(150, 0.48774469485112687)	(155, 0.4941190985359434)	(160, 0.5017272577726599)	(165, 0.5074847836815266)	(170, 0.5159154466195097)	(175, 0.528664253989143)	(180, 0.5356555354499095)	(185, 0.5611531501891759)	(190, 0.5634150353676591)	(195, 0.5644431649942424)	(200, 0.5675275538739925)	(205, 0.5675275538739925)	(210, 0.5675275538739925)	(215, 0.5716400723803258)	(220, 0.572668202006909)	(225, 0.572668202006909)	(230, 0.572668202006909)	(235, 0.572668202006909)
SRR5816732_2 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0012337555518999834)	(20, 0.002056259253166639)	(25, 0.002056259253166639)	(30, 0.002056259253166639)	(35, 0.002056259253166639)	(40, 0.002056259253166639)	(45, 0.006168777759499918)	(50, 0.006168777759499918)	(55, 0.006168777759499918)	(60, 0.006168777759499918)	(65, 0.006374403684816582)	(70, 0.007196907386083237)	(75, 0.008841914788616548)	(80, 0.009664418489883206)	(85, 0.010281296265833196)	(90, 0.0125431814443165)	(95, 0.014599440697483137)	(100, 0.01583319624938312)	(105, 0.016450074025333113)	(110, 0.017683829577233096)	(115, 0.019534462905083073)	(120, 0.019534462905083073)	(125, 0.020151340681033067)	(130, 0.02159072215824971)	(135, 0.02159072215824971)	(140, 0.02159072215824971)	(145, 0.023441355486099692)	(150, 0.024469485112683008)	(155, 0.05037835170258266)	(160, 0.0878022701102155)	(165, 0.09129791084059878)	(170, 0.09376542194439876)	(175, 0.09726106267478205)	(180, 0.09931732192794869)	(185, 0.09993419970389868)	(190, 0.10322421450896528)	(195, 0.10857048856719856)	(200, 0.11535614410264845)	(205, 0.11617864780391511)	(210, 0.11638427372923177)	(215, 0.12460931074189836)	(220, 0.13530185885836485)	(225, 0.1357131107089982)	(230, 0.1357131107089982)	(235, 0.1357131107089982)
SRR5816734_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.06071931829864954)	(25, 0.14901633494808014)	(30, 0.1643775967487345)	(35, 0.16861101535521406)	(40, 0.19050383729157974)	(45, 0.2048974605536102)	(50, 0.20864705989077778)	(55, 0.2104613821506976)	(60, 0.2143319363051932)	(65, 0.21880726454632873)	(70, 0.22896746920187963)	(75, 0.2329589781737032)	(80, 0.2525536585808371)	(85, 0.2569080320046447)	(90, 0.2607785861591403)	(95, 0.2650120047656198)	(100, 0.26864064928545944)	(105, 0.2767446220464346)	(110, 0.28412286590344177)	(115, 0.2988793536174562)	(120, 0.310491016080943)	(125, 0.3159339828607024)	(130, 0.328755193497469)	(135, 0.3371010758931002)	(140, 0.34363263602881144)	(145, 0.3466565064620111)	(150, 0.3527042473284105)	(155, 0.366493096503801)	(160, 0.3782257137846158)	(165, 0.3879020991708547)	(170, 0.3961270267491579)	(175, 0.3993928068170135)	(180, 0.40411004469280504)	(185, 0.41015778555920435)	(190, 0.42031799021475524)	(195, 0.4292686466970263)	(200, 0.4455975470363046)	(205, 0.4555158420571995)	(210, 0.45974926066367916)	(215, 0.4630150407315347)	(220, 0.4666436852513744)	(225, 0.46749036897267027)	(230, 0.46749036897267027)	(235, 0.4674903689726702)
