Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR5816731_1	16.23091881998551	55.54355148264424
SRR5816731_2	15.867407247353102	55.43043074850337
SRR5816732_1	24.79231781543017	41.80991939463728
SRR5816732_2	22.530432636946866	38.459244941602236
SRR5816733_1	8.577812534912301	67.34443078985588
SRR5816733_2	8.293300562320784	62.99854764830748
SRR5816734_1	17.921270509401214	52.97034792653204
SRR5816734_2	17.171350641967692	50.47505004505567
SRR5816735_1	22.53437433796136	51.992704011243696
SRR5816735_2	21.584655688235994	50.267399021345426
SRR5816736_1	14.047464553449396	55.291648834094964
SRR5816736_2	12.367843386301823	50.41569450388635
SRR5816737_1	22.188704876440855	43.82404059372317
SRR5816737_2	20.007191801346465	39.1593583315021
SRR5816738_1	19.949959341965346	56.633514730718666
SRR5816738_2	19.313191968474385	52.52267467317196
SRR5816739_1	28.674815973149244	52.31606849994284
SRR5816739_2	28.46313741942866	51.547541858957246
SRR5816740_1	30.86530675629208	50.676072898295075
SRR5816740_2	39.012567524097925	40.4246114937939
SRR5816741_1	24.590420473559398	54.437663260024344
SRR5816741_2	22.822096228618204	53.32659227426488
SRR5816742_1	13.460727193952593	65.3573831051113
SRR5816742_2	12.832499116376116	65.36650438391463
SRR5816743_1	28.900719208307514	51.72478545809626
SRR5816743_2	27.799372805287963	51.10604097421739
SRR5816744_1	12.791924347611857	60.82386309798302
SRR5816744_2	7.83307960051294	60.923671692892746
SRR5816745_1	14.574798645786636	62.3200952277892
SRR5816745_2	10.53070941611143	59.32258413591604
SRR5816746_1	13.648158098208551	60.67595371328973
SRR5816746_2	9.8582043587089	59.00769261011443
SRR5816747_1	9.099434681624961	63.84942372584248
SRR5816747_2	6.922301590779613	61.01231429948726
SRR5816748_1	7.238800332401602	66.37455616831606
SRR5816748_2	3.9857973861146783	61.31902999168998
SRR5816749_1	11.353469442669267	62.98980861726815
SRR5816749_2	5.753254179139619	61.131478927718575
SRR5816750_1	11.06998490235231	63.84235133687233
SRR5816750_2	7.478205815029465	59.192519359080535
SRR5816751_1	7.447640934180195	65.23470819205257
SRR5816751_2	3.522561452730567	59.76229583312775
SRR5816752_1	23.142267386471897	42.9600666878374
SRR5816752_2	20.385439822165765	37.39282311845031
SRR5816753_1	20.397952908558384	55.94427825434383
SRR5816753_2	19.82781084208003	54.92125368716191
SRR5816754_1	8.70312032272319	65.03071857226352
SRR5816754_2	7.793679529029407	57.85283594429319
SRR5816755_1	14.435029250132954	62.04857294805883
SRR5816755_2	9.009750044318384	61.076404892749494
SRR5816756_1	4.686171993715713	67.99778504648833
SRR5816756_2	3.8645787725036698	60.851984443814864
SRR5816757_1	7.754816517380488	66.4897673660238
SRR5816757_2	5.060301798271682	60.44538650480993
SRR5816758_1	5.419247260600286	68.83772492395646
SRR5816758_2	4.574522666471213	62.06710155018875
SRR5816759_1	7.262768671029997	65.96504063433058
SRR5816759_2	4.060467047634113	61.428034722084895
SRR5816760_1	11.79387927906133	63.41007755063637
SRR5816760_2	10.82348830020295	54.30560595674906
SRR5816761_1	27.132622267271767	47.5078132798882
SRR5816761_2	25.27893601173336	43.713669208382285
SRR5816762_1	47.83158677993427	29.183357102995032
SRR5816762_2	40.08929125069759	29.518199293110918
SRR5816763_1	33.24261476186375	39.314443200413436
SRR5816763_2	31.564895357850315	36.4774782533804
SRR5816764_1	11.989871190296086	55.16338606966774
SRR5816764_2	11.206068702085311	47.522250655851124
SRR5816765_1	18.524381583619363	49.360871109007036
SRR5816765_2	16.898449520653333	45.079299325363976
SRR5816766_1	4.779557137208383	62.78008435481742
SRR5816766_2	4.06781336496639	54.833926453143576
SRR5816767_1	18.430053849176083	43.341653377706905
SRR5816767_2	17.01795742910629	38.618872633987365
SRR5816768_1	16.081305309734514	55.913993362831846
SRR5816768_2	15.071902654867255	50.00967920353982
SRR5816769_1	22.451615712284926	57.061892701900554
SRR5816769_2	19.040949761616222	58.660551657075686
SRR5816770_1	34.11602209944751	47.84132764105137
SRR5816770_2	34.22275238573581	46.9278419554663
SRR5816771_1	21.91905047676202	57.42415149696606
SRR5816771_2	25.355737814229514	53.72241114889644
SRR5816772_1	36.93044864318482	44.552328745820745
SRR5816772_2	38.272684861208305	42.70371666277896
SRR5816773_1	12.106018660924843	61.144263303598905
SRR5816773_2	11.162719163334359	61.66410335281455
SRR5816774_1	24.213884968033497	54.1686929910921
SRR5816774_2	23.899557569359605	53.07269858967817
SRR5816775_1	21.608519430978305	56.72335691011682
SRR5816775_2	21.60189673898646	55.894195872738344
SRR5816776_1	14.855056573984736	56.80532409437774
SRR5816776_2	12.597579159722832	57.986141566529234
SRR5816777_1	13.720217914844865	64.77705814959435
SRR5816777_2	12.828216699010966	65.608267670509
SRR5816778_1	22.524405334799948	59.15578165818779
SRR5816778_2	23.266877492094046	57.17173106008527
