Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
SRR5816731_1	(1, 36.8700128372968)	(2, 36.1658426223674)	(3, 36.466565832454215)	(4, 36.8728090801632)	(5, 36.966305273459845)	(6, 36.88136304129542)	(7, 37.240273523393114)	(8, 37.92631900047028)	(9, 37.21228567433939)	(10, 37.426259262554495)	(15, 37.80325126784193)	(20, 36.39376437840792)	(25, 36.56670691561702)	(30, 37.80063296770339)	(35, 37.29788121051896)	(40, 37.006731319191125)	(45, 36.845266087929126)	(50, 36.36252526151226)	(55, 36.95325952946858)	(60, 36.85582063373032)	(65, 36.73421711554838)	(70, 36.782922582203184)	(75, 36.35460935216137)	(80, 36.912914828984334)	(85, 36.01446165969724)	(90, 35.07435209781765)	(95, 35.37914002821664)	(100, 35.15778181679525)	(105, 34.69482059559973)	(110, 35.41849587554177)	(115, 35.47248878325304)	(120, 34.9536586295868)	(125, 34.65142036427419)	(130, 34.74649516377086)	(135, 34.535800805826355)	(140, 34.78761264410183)	(145, 34.38316915998322)	(150, 33.888394321084945)	(155, 33.800660930132054)	(160, 33.583990238570365)	(165, 33.56058822781753)	(170, 32.719130114264644)	(175, 33.16614512500477)	(180, 33.36273625074672)	(185, 32.26763857289932)	(190, 32.64576941164508)	(195, 32.88855446954002)	(200, 31.564602107350304)	(205, 32.70700713041931)	(210, 32.680928352631646)	(215, 31.75296973702607)	(220, 32.11383758913024)	(225, 31.71970461507175)	(230, 30.53301875857226)	(235, 30.779438009438007)	(240, 35.11111111111111)	
SRR5816731_2	(1, 36.10062661260597)	(2, 37.123136367680516)	(3, 37.02750486164953)	(4, 37.12153488312976)	(5, 36.658400803284316)	(6, 36.63720019827904)	(7, 35.76073058199982)	(8, 36.89081942626181)	(9, 36.493549576115)	(10, 35.75119793586437)	(15, 36.13235634302274)	(20, 36.86547021365838)	(25, 36.5371455444412)	(30, 35.95954344980108)	(35, 35.887258029665595)	(40, 36.305197198673056)	(45, 35.87128894085946)	(50, 35.473238684749035)	(55, 36.34234655617271)	(60, 35.5452190602082)	(65, 35.466314170596235)	(70, 36.02833865043151)	(75, 36.45637734026462)	(80, 35.8603912197974)	(85, 35.80537132834246)	(90, 35.05875414670108)	(95, 34.502703458444024)	(100, 34.34566900110578)	(105, 35.61192470480572)	(110, 34.78784142760909)	(115, 35.25469959454479)	(120, 35.8381026221132)	(125, 35.3511775995526)	(130, 34.969276917015144)	(135, 34.10120111341307)	(140, 34.37177828336108)	(145, 33.1095212069601)	(150, 31.929524511610765)	(155, 33.23601052404133)	(160, 32.896930487944374)	(165, 30.905636971414772)	(170, 29.57311539585902)	(175, 31.07644927996746)	(180, 31.533876482326473)	(185, 30.472478615097167)	(190, 29.02491706597862)	(195, 28.271375370184426)	(200, 25.800836330820953)	(205, 25.627489609415715)	(210, 24.704302400955804)	(215, 24.879192140015505)	(220, 20.869435794450727)	(225, 21.950247213289778)	(230, 19.868479847965055)	(235, 16.403636363636366)	(240, 16.16)	(245, 16.4)
SRR5816732_1	(1, 36.42843189669353)	(2, 36.34324107583484)	(3, 36.13846849810824)	(4, 36.7492186214838)	(5, 36.44304161868728)	(6, 36.810978368152654)	(7, 36.973700444152)	(8, 36.804038493173216)	(9, 36.94513900312551)	(10, 37.130954926797166)	(15, 37.520359022865605)	(20, 36.16843230794539)	(25, 36.510104457970066)	(30, 37.44640771508471)	(35, 37.07960807698635)	(40, 36.98606884355979)	(45, 36.59248437242968)	(50, 36.406779486757685)	(55, 36.74515339694028)	(60, 36.313628886329994)	(65, 36.00439422602402)	(70, 36.16971952623787)	(75, 36.125213850962325)	(80, 35.8337020891594)	(85, 35.71733426550419)	(90, 34.541201266655705)	(95, 35.38945755880901)	(100, 35.33573984207929)	(105, 35.07581839118276)	(110, 35.368362395130774)	(115, 34.54562428030926)	(120, 35.0939278664254)	(125, 34.912267642704386)	(130, 34.767297252837636)	(135, 34.093465208093434)	(140, 34.5804531995394)	(145, 34.10543880572463)	(150, 34.161268300707356)	(155, 33.99160634972857)	(160, 33.62332003619016)	(165, 33.35286436913966)	(170, 32.81750493502221)	(175, 33.07133985852936)	(180, 32.75197812140154)	(185, 31.776159730218787)	(190, 32.25717017601579)	(195, 32.36845492679717)	(200, 31.19192963642272)	(205, 31.842145956283026)	(210, 31.884084226110918)	(215, 31.649412925911452)	(220, 31.7837984001974)	(225, 31.77668770948572)	(230, 30.85160761097074)	(235, 29.61504147962138)	(240, 21.57142857142857)	
SRR5816732_2	(1, 34.79929881559467)	(2, 36.3827623786807)	(3, 35.498406399078796)	(4, 35.02745106102977)	(5, 35.397413225859516)	(6, 34.49900271426221)	(7, 35.777245435104454)	(8, 36.07255510774799)	(9, 34.39524387234743)	(10, 34.19725283763778)	(15, 34.81330194110873)	(20, 35.58117905905576)	(25, 34.783251768382954)	(30, 34.324245352854085)	(35, 34.9630490212206)	(40, 35.57823449580523)	(45, 35.18374527060372)	(50, 34.08557945385754)	(55, 34.767842161539726)	(60, 34.37223433130449)	(65, 33.00058603388715)	(70, 33.66516902451061)	(75, 34.8074333772002)	(80, 34.350257032406645)	(85, 33.83877693699622)	(90, 33.661560289521304)	(95, 32.1842860667873)	(100, 32.04136165487745)	(105, 33.49440080605363)	(110, 32.770646899161044)	(115, 32.534775456489555)	(120, 33.18219073860833)	(125, 32.174514722816255)	(130, 32.09529527882875)	(135, 31.29206489554203)	(140, 31.905138591873662)	(145, 31.75010486922191)	(150, 29.247927290672806)	(155, 31.39488813949663)	(160, 30.000754647145914)	(165, 28.325359845369302)	(170, 27.18585293633821)	(175, 27.72809672643527)	(180, 27.725968498108237)	(185, 26.661728902780066)	(190, 25.932036519164335)	(195, 24.84610801762939)	(200, 22.597522182124756)	(205, 23.383701921594028)	(210, 22.111857540894274)	(215, 22.16124322712645)	(220, 19.314323021087155)	(225, 20.734931063199774)	(230, 19.396967687341093)	(235, 17.594588744588744)	(240, 16.545454545454543)	(245, 15.96875)
SRR5816733_1	(1, 36.91939075708487)	(2, 36.517484079991064)	(3, 36.21853796596284)	(4, 37.01959557591331)	(5, 37.16074181655681)	(6, 37.02909172159535)	(7, 37.339880087885895)	(8, 38.22503258481361)	(9, 37.35553569433583)	(10, 37.510865825047475)	(15, 37.77817748482479)	(20, 36.61051800543701)	(25, 36.77832495438126)	(30, 37.74181416294753)	(35, 37.14758027873163)	(40, 36.89833967717186)	(45, 37.043177332012434)	(50, 36.496720322381215)	(55, 37.08794124438551)	(60, 36.483214277733495)	(65, 36.658532152460694)	(70, 36.92123112677)	(75, 37.04286001594029)	(80, 37.040144207491934)	(85, 36.40120818466902)	(90, 35.46885013891889)	(95, 36.23755502752307)	(100, 35.61565425955858)	(105, 35.65465434149466)	(110, 35.803256586543114)	(115, 35.82058830101825)	(120, 35.57521806169042)	(125, 35.265313479974076)	(130, 35.447610818541385)	(135, 35.35752880797909)	(140, 35.075744687190415)	(145, 34.502338157630106)	(150, 34.413242359461)	(155, 34.656570155902)	(160, 34.298661462484446)	(165, 33.679822124229986)	(170, 33.57376853803696)	(175, 33.58564182017266)	(180, 33.91061221145467)	(185, 33.323383810921335)	(190, 32.353461799167235)	(195, 32.9273331297346)	(200, 32.241411982033654)	(205, 32.535750199253634)	(210, 32.06247998152714)	(215, 31.913907531415038)	(220, 32.75115716084052)	(225, 32.40302716553322)	(230, 31.324002962112512)	(235, 30.756077925462602)	(240, 30.575000000000003)	
SRR5816733_2	(1, 35.51326108814658)	(2, 36.812579600044685)	(3, 36.78706289800022)	(4, 36.79759430976055)	(5, 36.545376680445386)	(6, 36.458950582802665)	(7, 36.094566715078386)	(8, 37.133124790526196)	(9, 36.00855770304994)	(10, 35.445968793058505)	(15, 35.12219267865788)	(20, 36.61966260752988)	(25, 36.49701709306223)	(30, 35.995511860872156)	(35, 35.722693181395)	(40, 35.80935612408297)	(45, 35.66673518787472)	(50, 35.39171787137378)	(55, 36.32178453059248)	(60, 35.28763564592411)	(65, 35.0679819759431)	(70, 36.16853386958627)	(75, 36.26393624548467)	(80, 35.64843108777418)	(85, 35.58719100286746)	(90, 35.23264141809109)	(95, 34.3149115555059)	(100, 33.927546270435336)	(105, 34.3985655234052)	(110, 34.02724760734368)	(115, 33.88251443041746)	(120, 34.941225188991915)	(125, 34.56924887349644)	(130, 34.41945555431423)	(135, 33.04670614084087)	(140, 33.43084050199233)	(145, 34.64683573529959)	(150, 31.201395747216328)	(155, 32.66068893605929)	(160, 32.14675604215544)	(165, 29.9221911890664)	(170, 28.83202621681004)	(175, 30.63275462704353)	(180, 30.464524634119094)	(185, 28.99095817971921)	(190, 28.968258434331915)	(195, 27.655173389739616)	(200, 25.10901060597033)	(205, 24.836492283858668)	(210, 24.912624381814933)	(215, 23.446649883811)	(220, 20.914915390573793)	(225, 21.438135315497824)	(230, 19.453461636849127)	(235, 16.308030533672596)	(240, 16.39764705882353)	(245, 17.13235294117647)
SRR5816734_1	(1, 36.84214186790524)	(2, 35.883556797358345)	(3, 35.9638587005824)	(4, 36.794576385991014)	(5, 36.98770494281861)	(6, 36.86053909562083)	(7, 37.499948594202635)	(8, 37.924584671396)	(9, 36.851667059769824)	(10, 37.281552576035224)	(15, 37.76250763527285)	(20, 36.30607011750761)	(25, 36.545968273551416)	(30, 37.44181529101767)	(35, 37.31386634411854)	(40, 36.856989416389474)	(45, 36.805263985485325)	(50, 35.987506501360755)	(55, 36.83934804959178)	(60, 36.582437254309035)	(65, 36.10156758391291)	(70, 36.451221046265495)	(75, 36.482345328091924)	(80, 37.102189295433924)	(85, 36.087992742667076)	(90, 35.161926821892955)	(95, 36.056968853946174)	(100, 35.06567886301784)	(105, 35.21610160266103)	(110, 35.17632778953734)	(115, 35.34546235258543)	(120, 35.21035500453583)	(125, 34.6817768370124)	(130, 35.014450559419416)	(135, 34.878706985182944)	(140, 34.860810402177194)	(145, 34.1198754157847)	(150, 33.88930390081645)	(155, 33.65438161475658)	(160, 33.378761415179916)	(165, 33.16662352585425)	(170, 32.98110916238282)	(175, 32.887358935591166)	(180, 33.15383126700937)	(185, 32.38529301481706)	(190, 31.73860372212726)	(195, 32.009247219483875)	(200, 31.753313939775143)	(205, 31.34382117607214)	(210, 31.17915172334545)	(215, 31.508014055289788)	(220, 32.36697490731613)	(225, 31.699911096058592)	(230, 30.920982384341993)	(235, 31.565654026305918)	(240, 26.01818181818182)	(245, 29.375)
SRR5816734_2	(1, 35.58542131586746)	(2, 37.03105514934896)	(3, 37.12145073207903)	(4, 37.094653192300015)	(5, 36.4984608499495)	(6, 36.351639844935924)	(7, 36.789732145557025)	(8, 37.554487121335825)	(9, 36.30812634940218)	(10, 35.22817763424472)	(15, 35.036548917152)	(20, 36.40910305955211)	(25, 36.01609666709001)	(30, 35.71371083331822)	(35, 35.36510453520087)	(40, 35.9620613119969)	(45, 35.7130504200156)	(50, 35.732034278595236)	(55, 36.41715865038615)	(60, 34.42717491880908)	(65, 34.433806871443174)	(70, 35.56692490520167)	(75, 36.16638786581272)	(80, 35.32926320373024)	(85, 35.47365059781919)	(90, 34.50101541569147)	(95, 33.74372093304546)	(100, 33.91606582361159)	(105, 33.576071508488006)	(110, 33.784367799408535)	(115, 34.238385011279036)	(120, 35.3228235692557)	(125, 35.28052325053976)	(130, 34.849101608094294)	(135, 33.278165841150035)	(140, 34.139884246239816)	(145, 34.74051925903079)	(150, 31.116524242369263)	(155, 33.02674311011121)	(160, 32.83827252329892)	(165, 30.198467502464457)	(170, 28.82898198377996)	(175, 30.979654190177257)	(180, 30.867541169995945)	(185, 29.144963139019417)	(190, 29.95917653960363)	(195, 28.420844554206944)	(200, 24.297530087692774)	(205, 24.327759298457813)	(210, 24.679326277592985)	(215, 24.335692772905958)	(220, 20.179798004233444)	(225, 22.278046567886303)	(230, 19.462598354996654)	(235, 16.65191287463177)	(240, 17.245747126436786)	(245, 16.78448275862069)
SRR5816735_1	(1, 36.837354222320975)	(2, 35.921630126439695)	(3, 36.30650386759744)	(4, 36.765510435020744)	(5, 36.70444011553705)	(6, 36.50862135781865)	(7, 37.24923138928647)	(8, 37.30151241919899)	(9, 37.07146141961753)	(10, 37.35181547142319)	(15, 37.78934020906211)	(20, 36.29681033012799)	(25, 36.77891603929087)	(30, 37.594687156062854)	(35, 37.40202448186595)	(40, 36.940272101110416)	(45, 36.66193013005668)	(50, 35.81692132009859)	(55, 36.972110927965026)	(60, 36.969793986493116)	(65, 36.44400018601671)	(70, 36.91945063064831)	(75, 36.32748624424265)	(80, 36.94105482899204)	(85, 35.92775553017894)	(90, 35.71905192503449)	(95, 36.050155790605025)	(100, 35.3564912752094)	(105, 35.36540880178164)	(110, 35.399188752073336)	(115, 35.423890993081145)	(120, 35.00523539107834)	(125, 34.78810720873874)	(130, 35.18764836277767)	(135, 35.06378165546249)	(140, 35.065859896966344)	(145, 34.00529429697875)	(150, 34.16588521616915)	(155, 33.837744214045436)	(160, 33.496536436399715)	(165, 33.47563724299717)	(170, 33.29341959086235)	(175, 33.13800205653932)	(180, 33.63074888001281)	(185, 32.79574844080215)	(190, 31.89285533434266)	(195, 32.55001782678564)	(200, 31.646030310702788)	(205, 31.998313431062012)	(210, 32.20492122627617)	(215, 32.459092952477405)	(220, 32.70599445044412)	(225, 32.18264652842727)	(230, 31.689251105507168)	(235, 28.83789526760221)	(240, 26.1)	(245, 21.083333333333336)
SRR5816735_2	(1, 35.78717621466328)	(2, 36.99864621171802)	(3, 36.94665454113294)	(4, 36.59184833437537)	(5, 36.549989407381766)	(6, 36.530504156956766)	(7, 36.78166288604926)	(8, 37.506084296572645)	(9, 36.65810645322971)	(10, 35.51382465858183)	(15, 35.910693377288396)	(20, 36.83964222786013)	(25, 36.36387452139451)	(30, 35.613678428778854)	(35, 35.604210178214345)	(40, 36.09345996248663)	(45, 36.22661072386336)	(50, 36.025421250342326)	(55, 36.09624711286564)	(60, 35.06874660907038)	(65, 34.995755718722066)	(70, 35.73289343826054)	(75, 36.39104019511086)	(80, 35.47645080116364)	(85, 35.61390268225763)	(90, 34.70196712671354)	(95, 33.90964651657874)	(100, 34.14206819579292)	(105, 34.57310095023537)	(110, 33.93314559424588)	(115, 34.5053143940764)	(120, 35.700871694973934)	(125, 35.43208891598762)	(130, 34.986459016901684)	(135, 33.89797190114245)	(140, 34.38452754339098)	(145, 34.64500054254874)	(150, 31.92914520154394)	(155, 33.684798817760466)	(160, 33.478218993339574)	(165, 31.181726958471767)	(170, 30.485823976520557)	(175, 32.23257875999194)	(180, 31.907777048638206)	(185, 31.338785000852578)	(190, 30.905033302158312)	(195, 29.24193540053015)	(200, 25.961815936464962)	(205, 25.78871395280343)	(210, 25.304068082116043)	(215, 25.712241449690232)	(220, 21.249336798755756)	(225, 23.00720401382724)	(230, 20.383320680001436)	(235, 16.589497388793426)	(240, 15.884415584415587)	(245, 16.285714285714285)
