Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5816731_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.6666666666666666)	(25.0, 1.3333333333333333)	(26.0, 0.3333333333333333)	(27.0, 0.6666666666666666)	(28.0, 1.3333333333333333)	(29.0, 4.666666666666666)	(30.0, 7.33333333333333)	(31.0, 56.00000000000012)	(32.0, 630.0000000000017)	(33.0, 350.33333333333087)	(34.0, 42.66666666666669)	(35.0, 13.000000000000005)	(36.0, 15.666666666666677)	(37.0, 14.333333333333341)	(38.0, 10.0)	(39.0, 10.0)	(40.0, 8.33333333333333)	(41.0, 12.000000000000004)	(42.0, 16.00000000000001)	(43.0, 14.666666666666675)	(44.0, 13.666666666666673)	(45.0, 21.666666666666657)	(46.0, 87.33333333333317)	(47.0, 169.00000000000043)	(48.0, 713.0000000000111)	(49.0, 1795.6666666665376)	(50.0, 4361.66666666717)	(51.0, 2722.00000000012)	(52.0, 2630.3333333334117)	(53.0, 5984.666666665694)	(54.0, 5382.333333332908)	(55.0, 2886.6666666668616)	(56.0, 5535.999999999435)	(57.0, 4928.666666666654)	(58.0, 731.0000000000132)	(59.0, 217.0000000000018)	(60.0, 142.9999999999997)	(61.0, 112.99999999999947)	(62.0, 56.33333333333346)	(63.0, 56.33333333333346)	(64.0, 23.333333333333318)	(65.0, 13.666666666666673)	(66.0, 8.33333333333333)	(67.0, 10.333333333333334)	(68.0, 10.333333333333334)	(69.0, 13.000000000000005)	(70.0, 19.999999999999996)	(71.0, 25.999999999999975)	(72.0, 34.666666666666636)	(73.0, 39.333333333333336)	(74.0, 29.333333333333297)	(75.0, 18.000000000000004)	(76.0, 5.999999999999998)	(77.0, 3.0)	(78.0, 1.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.3333333333333333)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5816731_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 1.0)	(28.0, 0.0)	(29.0, 1.3333333333333333)	(30.0, 3.3333333333333335)	(31.0, 2.6666666666666665)	(32.0, 1.0)	(33.0, 2.6666666666666665)	(34.0, 4.999999999999999)	(35.0, 7.666666666666663)	(36.0, 20.66666666666666)	(37.0, 141.99999999999966)	(38.0, 628.6666666666682)	(39.0, 269.3333333333355)	(40.0, 44.000000000000036)	(41.0, 25.666666666666643)	(42.0, 22.999999999999986)	(43.0, 67.66666666666679)	(44.0, 326.66666666666555)	(45.0, 267.6666666666689)	(46.0, 214.0000000000017)	(47.0, 795.0000000000205)	(48.0, 942.3333333333705)	(49.0, 1456.6666666666147)	(50.0, 3494.000000000471)	(51.0, 3913.0000000006617)	(52.0, 2286.3333333332553)	(53.0, 2505.0000000000214)	(54.0, 2235.6666666665656)	(55.0, 2875.0000000001896)	(56.0, 5175.999999999763)	(57.0, 2260.666666666577)	(58.0, 470.66666666665736)	(59.0, 318.666666666666)	(60.0, 1126.3333333333564)	(61.0, 4068.000000000732)	(62.0, 1972.9999999998306)	(63.0, 374.6666666666628)	(64.0, 134.33333333333277)	(65.0, 69.33333333333343)	(66.0, 57.00000000000013)	(67.0, 42.33333333333336)	(68.0, 22.666666666666654)	(69.0, 12.333333333333337)	(70.0, 4.666666666666666)	(71.0, 1.9999999999999998)	(72.0, 1.6666666666666665)	(73.0, 1.9999999999999998)	(74.0, 0.6666666666666666)	(75.0, 0.3333333333333333)	(76.0, 1.3333333333333333)	(77.0, 0.6666666666666666)	(78.0, 0.3333333333333333)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.3333333333333333)	(84.0, 0.6666666666666666)	(85.0, 0.6666666666666666)	(86.0, 0.0)	(87.0, 0.3333333333333333)	(88.0, 0.3333333333333333)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5816732_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.3333333333333333)	(22.0, 0.3333333333333333)	(23.0, 0.6666666666666666)	(24.0, 1.9999999999999998)	(25.0, 4.999999999999999)	(26.0, 2.333333333333333)	(27.0, 3.666666666666667)	(28.0, 5.999999999999998)	(29.0, 14.000000000000007)	(30.0, 50.333333333333414)	(31.0, 527.3333333333234)	(32.0, 4557.666666666992)	(33.0, 2716.6666666667843)	(34.0, 409.99999999999415)	(35.0, 121.99999999999935)	(36.0, 91.99999999999977)	(37.0, 91.66666666666644)	(38.0, 130.666666666666)	(39.0, 124.9999999999993)	(40.0, 134.99999999999946)	(41.0, 159.33333333333348)	(42.0, 140.6666666666663)	(43.0, 142.333333333333)	(44.0, 158.0000000000001)	(45.0, 239.00000000000242)	(46.0, 680.0000000000074)	(47.0, 953.3333333333718)	(48.0, 1092.3333333333642)	(49.0, 1674.9999999998984)	(50.0, 1888.9999999998497)	(51.0, 1914.6666666665105)	(52.0, 3326.0000000003947)	(53.0, 2784.666666666815)	(54.0, 8464.999999997515)	(55.0, 9925.333333333505)	(56.0, 2039.3333333331489)	(57.0, 800.6666666666878)	(58.0, 412.33333333332735)	(59.0, 501.6666666666556)	(60.0, 523.9999999999897)	(61.0, 258.0000000000028)	(62.0, 220.00000000000188)	(63.0, 209.00000000000156)	(64.0, 61.33333333333349)	(65.0, 38.33333333333333)	(66.0, 32.99999999999996)	(67.0, 50.333333333333414)	(68.0, 73.00000000000004)	(69.0, 99.66666666666633)	(70.0, 137.99999999999955)	(71.0, 185.00000000000088)	(72.0, 230.00000000000216)	(73.0, 230.66666666666885)	(74.0, 176.33333333333397)	(75.0, 111.66666666666616)	(76.0, 50.00000000000008)	(77.0, 15.666666666666677)	(78.0, 8.33333333333333)	(79.0, 6.333333333333331)	(80.0, 3.0)	(81.0, 0.6666666666666666)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5816732_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.6666666666666666)	(23.0, 1.6666666666666665)	(24.0, 0.0)	(25.0, 0.6666666666666666)	(26.0, 1.3333333333333333)	(27.0, 2.333333333333333)	(28.0, 2.6666666666666665)	(29.0, 5.333333333333332)	(30.0, 6.999999999999997)	(31.0, 19.0)	(32.0, 16.666666666666675)	(33.0, 15.666666666666677)	(34.0, 41.666666666666686)	(35.0, 89.9999999999998)	(36.0, 224.33333333333533)	(37.0, 1167.6666666666804)	(38.0, 4428.666666667109)	(39.0, 2087.9999999998317)	(40.0, 442.66666666665895)	(41.0, 270.66666666666873)	(42.0, 265.666666666669)	(43.0, 612.333333333333)	(44.0, 2022.9999999998192)	(45.0, 1399.6666666666276)	(46.0, 1027.0000000000457)	(47.0, 1386.9999999999638)	(48.0, 1410.6666666666251)	(49.0, 1115.0000000000257)	(50.0, 1543.3333333332616)	(51.0, 1973.3333333331639)	(52.0, 1591.9999999999172)	(53.0, 1365.333333333302)	(54.0, 1780.3333333332077)	(55.0, 1918.9999999998429)	(56.0, 3567.6666666671713)	(57.0, 8228.999999997086)	(58.0, 4300.333333333892)	(59.0, 1128.6666666666893)	(60.0, 563.4999999999942)	(61.0, 362.8333333333302)	(62.0, 248.66666666666936)	(63.0, 233.66666666666893)	(64.0, 198.00000000000125)	(65.0, 171.00000000000048)	(66.0, 133.6666666666661)	(67.0, 110.9999999999995)	(68.0, 67.33333333333346)	(69.0, 36.66666666666665)	(70.0, 18.333333333333336)	(71.0, 13.33333333333334)	(72.0, 4.666666666666666)	(73.0, 2.333333333333333)	(74.0, 3.0)	(75.0, 3.666666666666667)	(76.0, 3.0)	(77.0, 4.333333333333333)	(78.0, 4.999999999999999)	(79.0, 4.333333333333333)	(80.0, 1.9999999999999998)	(81.0, 0.6666666666666666)	(82.0, 0.0)	(83.0, 0.3333333333333333)	(84.0, 0.3333333333333333)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5816733_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.3333333333333333)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 0.6666666666666666)	(38.0, 0.0)	(39.0, 0.6666666666666666)	(40.0, 0.6666666666666666)	(41.0, 0.3333333333333333)	(42.0, 1.1666666666666665)	(43.0, 3.3333333333333335)	(44.0, 12.333333333333336)	(45.0, 21.166666666666657)	(46.0, 45.66666666666672)	(47.0, 142.9999999999997)	(48.0, 683.1666666666746)	(49.0, 5018.3333333332375)	(50.0, 9307.166666665718)	(51.0, 9090.999999998658)	(52.0, 8600.16666666443)	(53.0, 8852.499999998223)	(54.0, 7416.999999997726)	(55.0, 8049.1666666638175)	(56.0, 6410.6666666653055)	(57.0, 1894.6666666665153)	(58.0, 838.8333333333588)	(59.0, 297.6666666666672)	(60.0, 184.00000000000085)	(61.0, 204.6666666666681)	(62.0, 334.3333333333318)	(63.0, 419.66666666666026)	(64.0, 92.99999999999976)	(65.0, 8.999999999999998)	(66.0, 1.6666666666666665)	(67.0, 1.6666666666666665)	(68.0, 0.3333333333333333)	(69.0, 0.3333333333333333)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5816733_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 1.0)	(38.0, 3.3333333333333335)	(39.0, 3.0)	(40.0, 5.666666666666665)	(41.0, 6.999999999999997)	(42.0, 10.333333333333334)	(43.0, 15.000000000000009)	(44.0, 45.00000000000004)	(45.0, 74.66666666666669)	(46.0, 208.00000000000153)	(47.0, 643.0000000000032)	(48.0, 1187.6666666666758)	(49.0, 3103.6666666669603)	(50.0, 3327.5000000003956)	(51.0, 5447.833333332849)	(52.0, 6197.999999998833)	(53.0, 9486.333333332706)	(54.0, 9703.333333333101)	(55.0, 8580.999999997726)	(56.0, 6702.333333331708)	(57.0, 3842.333333333963)	(58.0, 3243.666666667024)	(59.0, 1639.9999999999063)	(60.0, 1176.0000000000118)	(61.0, 442.33333333332564)	(62.0, 125.99999999999929)	(63.0, 64.66666666666683)	(64.0, 45.666666666666714)	(65.0, 98.66666666666634)	(66.0, 184.66666666666754)	(67.0, 185.33333333333422)	(68.0, 112.99999999999947)	(69.0, 40.33333333333334)	(70.0, 32.66666666666662)	(71.0, 78.99999999999996)	(72.0, 182.0000000000008)	(73.0, 86.66666666666652)	(74.0, 29.99999999999996)	(75.0, 10.0)	(76.0, 1.3333333333333333)	(77.0, 0.6666666666666666)	(78.0, 0.3333333333333333)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.3333333333333333)	(83.0, 0.3333333333333333)	(84.0, 0.6666666666666666)	(85.0, 0.3333333333333333)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5816734_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.3333333333333333)	(24.0, 0.3333333333333333)	(25.0, 0.6666666666666666)	(26.0, 1.0)	(27.0, 0.3333333333333333)	(28.0, 1.0)	(29.0, 4.666666666666666)	(30.0, 10.666666666666668)	(31.0, 78.99999999999996)	(32.0, 644.66666666667)	(33.0, 363.33333333333013)	(34.0, 54.33333333333344)	(35.0, 22.999999999999986)	(36.0, 19.999999999999996)	(37.0, 18.333333333333336)	(38.0, 18.333333333333336)	(39.0, 19.999999999999996)	(40.0, 19.0)	(41.0, 16.00000000000001)	(42.0, 21.333333333333325)	(43.0, 29.333333333333297)	(44.0, 45.666666666666714)	(45.0, 89.99999999999983)	(46.0, 696.1666666666758)	(47.0, 2576.333333333387)	(48.0, 2839.5000000001737)	(49.0, 6909.999999998186)	(50.0, 14685.00000000883)	(51.0, 16840.666666676923)	(52.0, 7711.666666664123)	(53.0, 9396.333333332543)	(54.0, 10378.666666667663)	(55.0, 3346.666666667071)	(56.0, 1454.9999999999484)	(57.0, 804.0000000000215)	(58.0, 503.3333333333222)	(59.0, 491.66666666665617)	(60.0, 375.9999999999961)	(61.0, 154.33333333333334)	(62.0, 134.99999999999946)	(63.0, 97.33333333333303)	(64.0, 21.666666666666657)	(65.0, 8.999999999999998)	(66.0, 2.6666666666666665)	(67.0, 4.333333333333333)	(68.0, 5.999999999999998)	(69.0, 6.333333333333331)	(70.0, 6.999999999999997)	(71.0, 10.333333333333334)	(72.0, 16.00000000000001)	(73.0, 17.000000000000007)	(74.0, 16.333333333333343)	(75.0, 9.333333333333332)	(76.0, 4.999999999999999)	(77.0, 1.6666666666666665)	(78.0, 0.3333333333333333)	(79.0, 0.6666666666666666)	(80.0, 0.3333333333333333)	(81.0, 0.3333333333333333)	(82.0, 0.3333333333333333)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5816734_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 1.0)	(30.0, 1.3333333333333333)	(31.0, 0.0)	(32.0, 1.3333333333333333)	(33.0, 1.9999999999999998)	(34.0, 4.0)	(35.0, 11.333333333333336)	(36.0, 31.999999999999954)	(37.0, 165.0000000000003)	(38.0, 618.0000000000003)	(39.0, 256.3333333333362)	(40.0, 52.00000000000009)	(41.0, 44.33333333333337)	(42.0, 61.33333333333349)	(43.0, 232.6666666666689)	(44.0, 3907.666666667326)	(45.0, 5847.999999999151)	(46.0, 2396.3333333333053)	(47.0, 8544.666666664327)	(48.0, 11516.333333336399)	(49.0, 3709.666666667236)	(50.0, 3678.000000000555)	(51.0, 6754.9999999983265)	(52.0, 5809.999999999186)	(53.0, 9056.666666665258)	(54.0, 10879.666666668574)	(55.0, 5257.333333333022)	(56.0, 2397.1666666666392)	(57.0, 1154.83333333335)	(58.0, 534.6666666666575)	(59.0, 324.999999999999)	(60.0, 396.66666666666157)	(61.0, 298.3333333333338)	(62.0, 150.66666666666657)	(63.0, 92.3333333333331)	(64.0, 43.00000000000003)	(65.0, 31.66666666666662)	(66.0, 30.666666666666625)	(67.0, 25.999999999999975)	(68.0, 22.999999999999986)	(69.0, 26.99999999999997)	(70.0, 18.333333333333336)	(71.0, 18.333333333333336)	(72.0, 46.66666666666672)	(73.0, 44.33333333333337)	(74.0, 21.666666666666657)	(75.0, 6.999999999999997)	(76.0, 2.333333333333333)	(77.0, 0.6666666666666666)	(78.0, 0.3333333333333333)	(79.0, 1.3333333333333333)	(80.0, 1.6666666666666665)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.3333333333333333)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.3333333333333333)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5816735_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.3333333333333333)	(24.0, 0.0)	(25.0, 0.6666666666666666)	(26.0, 1.6666666666666665)	(27.0, 3.0)	(28.0, 4.999999999999999)	(29.0, 11.66666666666667)	(30.0, 41.000000000000014)	(31.0, 458.33333333332473)	(32.0, 4323.6666666672045)	(33.0, 2316.999999999936)	(34.0, 286.6666666666678)	(35.0, 85.99999999999986)	(36.0, 65.00000000000016)	(37.0, 58.33333333333347)	(38.0, 70.33333333333341)	(39.0, 45.33333333333338)	(40.0, 39.0)	(41.0, 38.666666666666664)	(42.0, 36.333333333333314)	(43.0, 39.66666666666667)	(44.0, 52.666666666666764)	(45.0, 118.99999999999939)	(46.0, 248.33333333333601)	(47.0, 652.0000000000042)	(48.0, 822.0000000000235)	(49.0, 1972.6666666664973)	(50.0, 5296.6666666663195)	(51.0, 8360.666666663992)	(52.0, 27397.333333305185)	(53.0, 22664.333333322404)	(54.0, 6204.999999998827)	(55.0, 2339.3333333332794)	(56.0, 3579.3333333338433)	(57.0, 3529.3333333338205)	(58.0, 1689.6666666665617)	(59.0, 1635.9999999999072)	(60.0, 496.9999999999892)	(61.0, 320.3333333333326)	(62.0, 222.33333333333528)	(63.0, 140.99999999999963)	(64.0, 47.00000000000006)	(65.0, 17.66666666666667)	(66.0, 12.666666666666671)	(67.0, 17.000000000000007)	(68.0, 13.33333333333334)	(69.0, 19.666666666666664)	(70.0, 20.999999999999993)	(71.0, 29.333333333333297)	(72.0, 37.33333333333332)	(73.0, 42.33333333333336)	(74.0, 33.66666666666663)	(75.0, 20.999999999999993)	(76.0, 12.333333333333337)	(77.0, 4.666666666666666)	(78.0, 2.333333333333333)	(79.0, 0.3333333333333333)	(80.0, 0.3333333333333333)	(81.0, 0.3333333333333333)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR5816735_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.3333333333333333)	(26.0, 0.3333333333333333)	(27.0, 0.6666666666666666)	(28.0, 0.3333333333333333)	(29.0, 1.0)	(30.0, 1.9999999999999998)	(31.0, 3.3333333333333335)	(32.0, 4.333333333333333)	(33.0, 6.333333333333331)	(34.0, 12.666666666666671)	(35.0, 43.333333333333364)	(36.0, 123.99999999999932)	(37.0, 928.0000000000356)	(38.0, 4339.333333333857)	(39.0, 1762.666666666545)	(40.0, 256.6666666666695)	(41.0, 148.99999999999986)	(42.0, 245.66666666666927)	(43.0, 2154.6666666665287)	(44.0, 15287.666666676592)	(45.0, 7478.333333331002)	(46.0, 1516.9999999999343)	(47.0, 1351.6666666666385)	(48.0, 1581.6666666665863)	(49.0, 1658.999999999902)	(50.0, 3331.3333333337305)	(51.0, 4391.33333333381)	(52.0, 4046.000000000722)	(53.0, 4624.000000000265)	(54.0, 11920.0000000038)	(55.0, 14352.000000008224)	(56.0, 4500.6666666670435)	(57.0, 2470.6666666666724)	(58.0, 862.6666666666948)	(59.0, 509.99999999998846)	(60.0, 1436.6666666666192)	(61.0, 2708.333333333447)	(62.0, 1061.3333333333712)	(63.0, 293.6666666666674)	(64.0, 151.6666666666666)	(65.0, 120.99999999999936)	(66.0, 127.66666666666593)	(67.0, 161.33333333333354)	(68.0, 98.66666666666634)	(69.0, 38.666666666666664)	(70.0, 13.666666666666673)	(71.0, 12.333333333333337)	(72.0, 29.333333333333297)	(73.0, 16.333333333333343)	(74.0, 6.999999999999997)	(75.0, 3.666666666666667)	(76.0, 1.3333333333333333)	(77.0, 1.0)	(78.0, 0.3333333333333333)	(79.0, 0.3333333333333333)	(80.0, 0.6666666666666666)	(81.0, 0.3333333333333333)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
