Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
SRR5816731_1	(16.0, 2.0)	(17.0, 10.0)	(18.0, 16.0)	(19.0, 68.0)	(20.0, 155.0)	(21.0, 274.0)	(22.0, 515.0)	(23.0, 899.0)	(24.0, 1277.0)	(25.0, 1270.0)	(26.0, 1376.0)	(27.0, 1398.0)	(28.0, 1533.0)	(29.0, 1721.0)	(30.0, 2023.0)	(31.0, 2205.0)	(32.0, 2708.0)	(33.0, 3518.0)	(34.0, 4800.0)	(35.0, 6942.0)	(36.0, 12764.0)	(37.0, 28562.0)	(38.0, 4641.0)		
SRR5816731_2	(15.0, 1.0)	(16.0, 8.0)	(17.0, 25.0)	(18.0, 61.0)	(19.0, 138.0)	(20.0, 261.0)	(21.0, 371.0)	(22.0, 525.0)	(23.0, 614.0)	(24.0, 698.0)	(25.0, 939.0)	(26.0, 1304.0)	(27.0, 1906.0)	(28.0, 2683.0)	(29.0, 3705.0)	(30.0, 4766.0)	(31.0, 6294.0)	(32.0, 8114.0)	(33.0, 10452.0)	(34.0, 12425.0)	(35.0, 12567.0)	(36.0, 9249.0)	(37.0, 1570.0)	(38.0, 1.0)	
SRR5816732_1	(15.0, 4.0)	(16.0, 19.0)	(17.0, 27.0)	(18.0, 94.0)	(19.0, 214.0)	(20.0, 384.0)	(21.0, 626.0)	(22.0, 1026.0)	(23.0, 1682.0)	(24.0, 1724.0)	(25.0, 1471.0)	(26.0, 1467.0)	(27.0, 1701.0)	(28.0, 1858.0)	(29.0, 2259.0)	(30.0, 2749.0)	(31.0, 2951.0)	(32.0, 3428.0)	(33.0, 4372.0)	(34.0, 5591.0)	(35.0, 8061.0)	(36.0, 13965.0)	(37.0, 35637.0)	(38.0, 5954.0)	
SRR5816732_2	(14.0, 2.0)	(15.0, 7.0)	(16.0, 33.0)	(17.0, 104.0)	(18.0, 220.0)	(19.0, 453.0)	(20.0, 794.0)	(21.0, 1182.0)	(22.0, 1616.0)	(23.0, 2064.0)	(24.0, 2533.0)	(25.0, 3237.0)	(26.0, 4197.0)	(27.0, 5434.0)	(28.0, 6771.0)	(29.0, 7637.0)	(30.0, 8802.0)	(31.0, 9394.0)	(32.0, 10079.0)	(33.0, 10560.0)	(34.0, 10678.0)	(35.0, 8342.0)	(36.0, 2992.0)	(37.0, 133.0)	
SRR5816733_1	(17.0, 3.0)	(18.0, 17.0)	(19.0, 53.0)	(20.0, 173.0)	(21.0, 355.0)	(22.0, 708.0)	(23.0, 1088.0)	(24.0, 1483.0)	(25.0, 1798.0)	(26.0, 1945.0)	(27.0, 2091.0)	(28.0, 2325.0)	(29.0, 2760.0)	(30.0, 3148.0)	(31.0, 3913.0)	(32.0, 4891.0)	(33.0, 5880.0)	(34.0, 7813.0)	(35.0, 11455.0)	(36.0, 20361.0)	(37.0, 53919.0)	(38.0, 8086.0)			
SRR5816733_2	(15.0, 4.0)	(16.0, 8.0)	(17.0, 32.0)	(18.0, 98.0)	(19.0, 204.0)	(20.0, 344.0)	(21.0, 573.0)	(22.0, 864.0)	(23.0, 1139.0)	(24.0, 1488.0)	(25.0, 2243.0)	(26.0, 3323.0)	(27.0, 4623.0)	(28.0, 6286.0)	(29.0, 7980.0)	(30.0, 9753.0)	(31.0, 11592.0)	(32.0, 13844.0)	(33.0, 15948.0)	(34.0, 19133.0)	(35.0, 20643.0)	(36.0, 12868.0)	(37.0, 1275.0)		
SRR5816734_1	(16.0, 2.0)	(17.0, 24.0)	(18.0, 66.0)	(19.0, 157.0)	(20.0, 357.0)	(21.0, 694.0)	(22.0, 1135.0)	(23.0, 1831.0)	(24.0, 2506.0)	(25.0, 2912.0)	(26.0, 2945.0)	(27.0, 3212.0)	(28.0, 3410.0)	(29.0, 3862.0)	(30.0, 4231.0)	(31.0, 5041.0)	(32.0, 5885.0)	(33.0, 7773.0)	(34.0, 10396.0)	(35.0, 15621.0)	(36.0, 27380.0)	(37.0, 59440.0)	(38.0, 6471.0)		
SRR5816734_2	(14.0, 1.0)	(15.0, 1.0)	(16.0, 20.0)	(17.0, 83.0)	(18.0, 218.0)	(19.0, 440.0)	(20.0, 664.0)	(21.0, 986.0)	(22.0, 1293.0)	(23.0, 1450.0)	(24.0, 1697.0)	(25.0, 2228.0)	(26.0, 3348.0)	(27.0, 4884.0)	(28.0, 6980.0)	(29.0, 9188.0)	(30.0, 11831.0)	(31.0, 15143.0)	(32.0, 18724.0)	(33.0, 21843.0)	(34.0, 23850.0)	(35.0, 23700.0)	(36.0, 15132.0)	(37.0, 1647.0)	
SRR5816735_1	(15.0, 2.0)	(16.0, 5.0)	(17.0, 23.0)	(18.0, 57.0)	(19.0, 199.0)	(20.0, 413.0)	(21.0, 725.0)	(22.0, 1236.0)	(23.0, 1974.0)	(24.0, 2600.0)	(25.0, 3071.0)	(26.0, 3242.0)	(27.0, 3606.0)	(28.0, 3660.0)	(29.0, 4223.0)	(30.0, 4776.0)	(31.0, 5656.0)	(32.0, 6735.0)	(33.0, 8625.0)	(34.0, 11353.0)	(35.0, 16722.0)	(36.0, 29880.0)	(37.0, 71306.0)	(38.0, 13442.0)	
SRR5816735_2	(14.0, 3.0)	(15.0, 6.0)	(16.0, 23.0)	(17.0, 95.0)	(18.0, 232.0)	(19.0, 458.0)	(20.0, 744.0)	(21.0, 1051.0)	(22.0, 1367.0)	(23.0, 1661.0)	(24.0, 1841.0)	(25.0, 2284.0)	(26.0, 3060.0)	(27.0, 4333.0)	(28.0, 6006.0)	(29.0, 8209.0)	(30.0, 10963.0)	(31.0, 14712.0)	(32.0, 18723.0)	(33.0, 23651.0)	(34.0, 29548.0)	(35.0, 33705.0)	(36.0, 26561.0)	(37.0, 4293.0)	(38.0, 2.0)
