Sample	Unique Reads	Duplicate Reads
SRR5816731_1	5911.0	72766.0
SRR5816731_2	7007.0	71670.0
SRR5816732_1	10850.0	86414.0
SRR5816732_2	16519.0	80745.0
SRR5816733_1	8727.0	125538.0
SRR5816733_2	13498.0	120767.0
SRR5816734_1	11934.0	153417.0
SRR5816734_2	15698.0	149653.0
SRR5816735_1	11446.0	182085.0
SRR5816735_2	14910.0	178621.0
SRR5816736_1	23240.0	338925.0
SRR5816736_2	41100.0	321065.0
SRR5816737_1	6961.0	43096.0
SRR5816737_2	10458.0	39599.0
SRR5816738_1	5095.0	74840.0
SRR5816738_2	7450.0	72485.0
SRR5816739_1	4507.0	100369.0
SRR5816739_2	5459.0	99417.0
SRR5816740_1	4041.0	86112.0
SRR5816740_2	6562.0	83591.0
SRR5816741_1	4661.0	78412.0
SRR5816741_2	6923.0	76150.0
SRR5816742_1	4686.0	83021.0
SRR5816742_2	6348.0	81359.0
SRR5816743_1	5114.0	101392.0
SRR5816743_2	6841.0	99665.0
SRR5816744_1	11556.0	146747.0
SRR5816744_2	15850.0	142453.0
SRR5816745_1	5245.0	59442.0
SRR5816745_2	7813.0	56874.0
SRR5816746_1	10895.0	141719.0
SRR5816746_2	15423.0	137191.0
SRR5816747_1	9484.0	104611.0
SRR5816747_2	12990.0	101105.0
SRR5816748_1	6678.0	59507.0
SRR5816748_2	10432.0	55753.0
SRR5816749_1	5606.0	53856.0
SRR5816749_2	8707.0	50755.0
SRR5816750_1	7047.0	75085.0
SRR5816750_2	11618.0	70514.0
SRR5816751_1	12273.0	129584.0
SRR5816751_2	20669.0	121188.0
SRR5816752_1	7013.0	43371.0
SRR5816752_2	11017.0	39367.0
SRR5816753_1	9827.0	182055.0
SRR5816753_2	12776.0	179106.0
SRR5816754_1	10420.0	129886.0
SRR5816754_2	17027.0	123279.0
SRR5816755_1	9070.0	131955.0
SRR5816755_2	15718.0	125307.0
SRR5816756_1	7882.0	69772.0
SRR5816756_2	12156.0	65498.0
SRR5816757_1	13091.0	177036.0
SRR5816757_2	23643.0	166484.0
SRR5816758_1	8948.0	100200.0
SRR5816758_2	14854.0	94294.0
SRR5816759_1	8859.0	92287.0
SRR5816759_2	14158.0	86988.0
SRR5816760_1	6490.0	67913.0
SRR5816760_2	11949.0	62454.0
SRR5816761_1	9067.0	121160.0
SRR5816761_2	14456.0	115771.0
SRR5816762_1	6686.0	73949.0
SRR5816762_2	10681.0	69954.0
SRR5816763_1	5960.0	52095.0
SRR5816763_2	8639.0	49416.0
SRR5816764_1	17789.0	168610.0
SRR5816764_2	30330.0	156069.0
SRR5816765_1	7345.0	60247.0
SRR5816765_2	11014.0	56578.0
SRR5816766_1	8106.0	52590.0
SRR5816766_2	13056.0	47640.0
SRR5816767_1	12112.0	74426.0
SRR5816767_2	16425.0	70113.0
SRR5816768_1	5944.0	66376.0
SRR5816768_2	10531.0	61789.0
SRR5816769_1	8938.0	266668.0
SRR5816769_2	13398.0	262208.0
SRR5816770_1	4178.0	91390.0
SRR5816770_2	5012.0	90556.0
SRR5816771_1	10384.0	289556.0
SRR5816771_2	13523.0	286417.0
SRR5816772_1	4692.0	98196.0
SRR5816772_2	5726.0	97162.0
SRR5816773_1	7610.0	89920.0
SRR5816773_2	8669.0	88861.0
SRR5816774_1	4880.0	79427.0
SRR5816774_2	5704.0	78603.0
SRR5816775_1	4096.0	71402.0
SRR5816775_2	4861.0	70637.0
SRR5816776_1	6819.0	84389.0
SRR5816776_2	8636.0	82572.0
SRR5816777_1	4328.0	81210.0
SRR5816777_2	5734.0	79804.0
SRR5816778_1	3102.0	69628.0
SRR5816778_2	4100.0	68630.0
