Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR5816731_1	(1.0, 3.905842876571298)	(2.0, 2.498824306976626)	(3.0, 2.3145264816909643)	(4.0, 1.5201393037355262)	(5.0, 1.0104604903593173)	(6.0, 0.7321072232037317)	(7.0, 0.7028737750549716)	(8.0, 0.5084077938914804)	(9.0, 0.5719587681279154)	('>10', 10.43888302807682)	('>50', 5.600111849714656)	('>100', 6.277565235075054)	('>500', 4.8718176849651105)	('>1k', 18.17684965110515)	('>5k', 24.638712711465864)	('>10k+', 16.23091881998551)
SRR5816731_2	(1.0, 5.349721011223102)	(2.0, 2.4937402290377113)	(3.0, 2.1772563773402647)	(4.0, 1.504887069918782)	(5.0, 0.807097372802725)	(6.0, 0.6634721710283819)	(7.0, 0.7028737750549716)	(8.0, 0.6914345996924133)	(9.0, 0.6405938203032652)	('>10', 11.117607432921947)	('>50', 4.125729247429363)	('>100', 7.889217941711046)	('>500', 4.517203248725803)	('>1k', 16.872783659773503)	('>5k', 11.568819350000634)	('>10k+', 28.877562693036086)
SRR5816732_1	(1.0, 7.248313867412404)	(2.0, 3.602566211547952)	(3.0, 1.8228738279322259)	(4.0, 1.2049679223556506)	(5.0, 0.9510199045895706)	(6.0, 0.7464221088994901)	(7.0, 0.6405247573614081)	(8.0, 0.6333278499753249)	(9.0, 0.6292153314689917)	('>10', 10.030432636946866)	('>50', 6.091668037506169)	('>100', 11.25801941108735)	('>500', 7.128022701102155)	('>1k', 10.786107912485607)	('>5k', 0.0)	('>10k+', 37.22651751932884)
SRR5816732_2	(1.0, 12.899942424740912)	(2.0, 3.8102483961177827)	(3.0, 2.0542029939134725)	(4.0, 1.1556177002796513)	(5.0, 1.0898174041783188)	(6.0, 0.7896035532159895)	(7.0, 0.6621154795196579)	(8.0, 0.4112518506333278)	(9.0, 0.4719114986017437)	('>10', 10.843683171574273)	('>50', 5.128310577397598)	('>100', 14.662156604704721)	('>500', 4.789027800625103)	('>1k', 7.256538904425069)	('>5k', 0.0)	('>10k+', 33.97557164007238)
SRR5816733_1	(1.0, 3.5415037425985925)	(2.0, 2.1479909134919746)	(3.0, 1.6020556362417608)	(4.0, 1.0159013890440547)	(5.0, 0.8304472498417309)	(6.0, 0.764160429002346)	(7.0, 0.6360555617621867)	(8.0, 0.6613786169143112)	(9.0, 0.6569098424757011)	('>10', 8.967340706811157)	('>50', 2.504748072841023)	('>100', 4.073287900793207)	('>500', 5.244851599448851)	('>1k', 27.95665288794548)	('>5k', 22.276095780732135)	('>10k+', 17.120619670055486)
SRR5816733_2	(1.0, 6.662197892228057)	(2.0, 2.67530629724798)	(3.0, 1.863478940900458)	(4.0, 1.2661527576062264)	(5.0, 0.9645104830000372)	(6.0, 0.741816556809295)	(7.0, 0.7090455442594868)	(8.0, 0.572003128142107)	(9.0, 0.5362529326332254)	('>10', 8.407254310505344)	('>50', 2.670092727069601)	('>100', 9.540088630693031)	('>500', 8.907757047629687)	('>1k', 32.8514504897032)	('>5k', 13.33929169925148)	('>10k+', 8.293300562320784)
SRR5816734_1	(1.0, 4.275752792544345)	(2.0, 2.16025303747785)	(3.0, 1.7979933595805286)	(4.0, 1.098269741338123)	(5.0, 0.8043495352311145)	(6.0, 0.6458987245314513)	(7.0, 0.5080102327775459)	(8.0, 0.5418775816293823)	(9.0, 0.41910844204147535)	('>10', 8.281171568360639)	('>50', 4.618054925582548)	('>100', 11.2790367158348)	('>500', 3.2845280645414907)	('>1k', 7.966689043307873)	('>5k', 13.592297597232553)	('>10k+', 38.726708637988274)
SRR5816734_2	(1.0, 6.418467381509638)	(2.0, 2.356199841549189)	(3.0, 1.8560516718979625)	(4.0, 1.0692405851794062)	(5.0, 0.8497075917291095)	(6.0, 0.6495273690512909)	(7.0, 0.4995433955645868)	(8.0, 0.4499519204601121)	(9.0, 0.4463232759402725)	('>10', 8.761362193152749)	('>50', 5.337131314597432)	('>100', 9.95639578835326)	('>500', 4.033238383801731)	('>1k', 14.327098112500074)	('>5k', 0.0)	('>10k+', 42.98976117471319)
SRR5816735_1	(1.0, 3.5172659677261007)	(2.0, 1.8229637629113682)	(3.0, 1.4509303419090482)	(4.0, 0.8494763112886307)	(5.0, 0.568384393197989)	(6.0, 0.4371392696777261)	(7.0, 0.4268050079832172)	(8.0, 0.42990528649156984)	(9.0, 0.34413091442714605)	('>10', 6.738972050989248)	('>50', 4.078416377737933)	('>100', 11.819811813094542)	('>500', 2.0544512248683673)	('>1k', 5.544848112188745)	('>5k', 12.566978933607537)	('>10k+', 47.34952023190083)
SRR5816735_2	(1.0, 5.178498535118405)	(2.0, 1.9852116715151575)	(3.0, 1.4044261642837583)	(4.0, 0.9259498478279966)	(5.0, 0.6407242250595512)	(6.0, 0.5270473464199534)	(7.0, 0.41595403320398283)	(8.0, 0.32242896486867734)	(9.0, 0.31157799008944304)	('>10', 7.544011036991489)	('>50', 4.15592334044675)	('>100', 10.765200407169912)	('>500', 2.105089107171461)	('>1k', 5.874511060243578)	('>5k', 11.909203176752046)	('>10k+', 45.93424309283784)
