Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
SRR5816731_1	(233, 26.0)	(234, 77911.0)	(235, 720.0)	(236, 2.0)	(237, 9.0)	(238, 2.0)	(239, 4.0)	(240, 0.0)	(241, 2.0)	(242, 1.0)																																						
SRR5816731_2	(231, 37.0)	(232, 77717.0)	(233, 893.0)	(234, 8.0)	(235, 11.0)	(236, 1.0)	(237, 2.0)	(238, 3.0)	(239, 0.0)	(240, 0.0)	(241, 0.0)	(242, 0.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 0.0)	(247, 2.0)	(248, 3.0)																														
SRR5816732_1	(200, 2.0)	(201, 0.0)	(202, 0.0)	(203, 0.0)	(204, 0.0)	(205, 0.0)	(206, 0.0)	(207, 0.0)	(208, 0.0)	(209, 0.0)	(210, 0.0)	(211, 0.0)	(212, 0.0)	(213, 0.0)	(214, 0.0)	(215, 0.0)	(216, 0.0)	(217, 0.0)	(218, 0.0)	(219, 0.0)	(220, 0.0)	(221, 0.0)	(222, 0.0)	(223, 0.0)	(224, 0.0)	(225, 0.0)	(226, 0.0)	(227, 0.0)	(228, 0.0)	(229, 0.0)	(230, 0.0)	(231, 0.0)	(232, 0.0)	(233, 24.0)	(234, 96141.0)	(235, 1044.0)	(236, 23.0)	(237, 10.0)	(238, 8.0)	(239, 5.0)	(240, 6.0)	(241, 1.0)						
SRR5816732_2	(196, 1.0)	(198, 0.0)	(200, 0.0)	(202, 0.0)	(204, 0.0)	(206, 0.0)	(208, 0.0)	(210, 0.0)	(212, 0.0)	(214, 0.0)	(216, 0.0)	(218, 0.0)	(220, 0.0)	(222, 0.0)	(224, 0.0)	(226, 0.0)	(228, 0.0)	(230, 48.0)	(232, 97141.0)	(234, 39.0)	(236, 14.0)	(238, 10.0)	(240, 3.0)	(242, 0.0)	(244, 0.0)	(246, 2.0)	(248, 6.0)																					
SRR5816733_1	(30, 14.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 132972.0)	(235, 1259.0)	(240, 20.0)					
SRR5816733_2	(192, 1.0)	(194, 0.0)	(196, 0.0)	(198, 0.0)	(200, 0.0)	(202, 0.0)	(204, 0.0)	(206, 0.0)	(208, 0.0)	(210, 0.0)	(212, 0.0)	(214, 0.0)	(216, 0.0)	(218, 0.0)	(220, 0.0)	(222, 0.0)	(224, 0.0)	(226, 0.0)	(228, 0.0)	(230, 117.0)	(232, 134018.0)	(234, 83.0)	(236, 20.0)	(238, 6.0)	(240, 3.0)	(242, 0.0)	(244, 0.0)	(246, 0.0)	(248, 17.0)																			
SRR5816734_1	(30, 1.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 3.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 163657.0)	(235, 1674.0)	(240, 14.0)	(245, 2.0)				
SRR5816734_2	(196, 1.0)	(198, 0.0)	(200, 0.0)	(202, 0.0)	(204, 0.0)	(206, 0.0)	(208, 0.0)	(210, 0.0)	(212, 0.0)	(214, 0.0)	(216, 0.0)	(218, 0.0)	(220, 0.0)	(222, 0.0)	(224, 0.0)	(226, 0.0)	(228, 0.0)	(230, 147.0)	(232, 165050.0)	(234, 76.0)	(236, 28.0)	(238, 19.0)	(240, 1.0)	(242, 0.0)	(244, 0.0)	(246, 25.0)	(248, 4.0)																					
SRR5816735_1	(75, 2.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 191700.0)	(235, 1823.0)	(240, 3.0)	(245, 3.0)													
SRR5816735_2	(231, 115.0)	(232, 191204.0)	(233, 2089.0)	(234, 34.0)	(235, 27.0)	(236, 19.0)	(237, 18.0)	(238, 11.0)	(239, 3.0)	(240, 3.0)	(241, 0.0)	(242, 1.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 0.0)	(247, 5.0)	(248, 2.0)																														
