Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR5816731_1	SRR5816731_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78677.0	18.4 Mbp	0.0	233-242	53.0	7.512996174231351	234.00985040100664	234	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816731_2	SRR5816731_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78677.0	18.2 Mbp	0.0	231-248	54.0	8.906033529494009	232.01290084777	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816732_1	SRR5816732_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97264.0	22.7 Mbp	0.0	200-241	50.0	11.155206448429018	234.01159730218785	234	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816732_2	SRR5816732_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97264.0	22.5 Mbp	0.0	197-248	50.0	16.983673301529855	232.50215907221582	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816733_1	SRR5816733_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134265.0	31.4 Mbp	0.0	30-241	53.0	6.499832420958553	232.02737124343648	232	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816733_2	SRR5816733_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134265.0	31.1 Mbp	0.0	193-248	54.0	10.053252895393438	232.5022641790489	232	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR5816734_1	SRR5816734_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	165351.0	38.6 Mbp	0.0	30-248	51.0	7.217373949960992	232.0497124299218	232	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816734_2	SRR5816734_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	165351.0	38.3 Mbp	0.0	197-248	51.0	9.49374361207371	232.5028424382072	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816735_1	SRR5816735_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	193531.0	45.2 Mbp	0.0	78-248	50.0	5.914297967767438	232.04588412192362	232	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816735_2	SRR5816735_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	193531.0	44.9 Mbp	0.0	231-248	50.0	7.704192093256378	232.01300566834254	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816736_1	SRR5816736_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	362165.0	84.7 Mbp	0.0	195-248	49.0	6.416964643187498	234.50129222868028	234	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816736_2	SRR5816736_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	362165.0	84 Mbp	0.0	231-248	48.0	11.348418538511453	232.01453205030856	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816737_1	SRR5816737_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50057.0	11.7 Mbp	0.0	194-241	49.0	13.906146992428631	234.01098747427932	234	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
SRR5816737_2	SRR5816737_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50057.0	11.6 Mbp	0.0	231-248	50.0	20.892182911480912	232.0141838304333	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816738_1	SRR5816738_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79935.0	18.7 Mbp	0.0	30-248	52.0	6.373928817163946	232.0489772940514	232	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816738_2	SRR5816738_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79935.0	18.5 Mbp	0.0	185-248	52.0	9.32007255895415	232.50002502032902	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816739_1	SRR5816739_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104876.0	24.5 Mbp	0.0	233-244	53.0	4.297456043327358	234.00944925435752	234	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816739_2	SRR5816739_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104876.0	24.3 Mbp	0.0	231-248	51.0	5.205194706129143	232.01531332239978	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816740_1	SRR5816740_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90153.0	21 Mbp	0.0	233-241	51.0	4.482379954078067	234.011258638093	234	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816740_2	SRR5816740_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90153.0	20.9 Mbp	0.0	192-248	52.0	7.278737257772898	232.4994232027775	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816741_1	SRR5816741_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83073.0	19.4 Mbp	0.0	233-247	53.0	5.610727914003347	234.01073754408773	234	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816741_2	SRR5816741_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83073.0	19.2 Mbp	0.0	231-247	53.0	8.33363427347032	232.01537202219734	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816742_1	SRR5816742_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87707.0	20.5 Mbp	0.0	30-248	54.0	5.342789059026075	232.04309804234555	232	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5816742_2	SRR5816742_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87707.0	20.3 Mbp	0.0	198-248	53.0	7.237734730409204	232.50478867137173	232	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
