Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR5816731_1	92.48700382576865	53.0	234.00985040100664	234	40.0	0.078677
SRR5816731_2	91.09396647050599	54.0	232.01290084777	232	50.0	0.078677
SRR5816732_1	88.84479355157099	50.0	234.01159730218785	234	40.0	0.09726399999999999
SRR5816732_2	83.01632669847015	50.0	232.50215907221582	232	50.0	0.09726399999999999
SRR5816733_1	93.50016757904145	53.0	232.02737124343648	232	40.0	0.134265
SRR5816733_2	89.94674710460656	54.0	232.5022641790489	232	40.0	0.134265
SRR5816734_1	92.78262605003901	51.0	232.0497124299218	232	40.0	0.165351
SRR5816734_2	90.50625638792629	51.0	232.5028424382072	232	50.0	0.165351
SRR5816735_1	94.08570203223256	50.0	232.04588412192362	232	40.0	0.19353099999999998
SRR5816735_2	92.29580790674362	50.0	232.01300566834254	232	50.0	0.19353099999999998
SRR5816736_1	93.5830353568125	49.0	234.50129222868028	234	40.0	0.36216499999999996
SRR5816736_2	88.65158146148855	48.0	232.01453205030856	232	50.0	0.36216499999999996
SRR5816737_1	86.09385300757137	49.0	234.01098747427932	234	40.0	0.050057
SRR5816737_2	79.10781708851908	50.0	232.0141838304333	232	50.0	0.050057
SRR5816738_1	93.62607118283606	52.0	232.0489772940514	232	40.0	0.07993499999999999
SRR5816738_2	90.67992744104585	52.0	232.50002502032902	232	50.0	0.07993499999999999
SRR5816739_1	95.70254395667264	53.0	234.00944925435752	234	40.0	0.104876
SRR5816739_2	94.79480529387085	51.0	232.01531332239978	232	50.0	0.104876
SRR5816740_1	95.51762004592193	51.0	234.011258638093	234	40.0	0.090153
SRR5816740_2	92.7212627422271	52.0	232.4994232027775	232	50.0	0.090153
SRR5816741_1	94.38927208599665	53.0	234.01073754408773	234	40.0	0.083073
SRR5816741_2	91.66636572652968	53.0	232.01537202219734	232	50.0	0.083073
SRR5816742_1	94.65721094097393	54.0	232.04309804234555	232	40.0	0.087707
SRR5816742_2	92.7622652695908	53.0	232.50478867137173	232	50.0	0.087707
SRR5816743_1	95.19839257882185	53.0	234.01246878110155	234	40.0	0.10650599999999999
SRR5816743_2	93.57688768707867	54.0	232.01675961917638	232	50.0	0.10650599999999999
SRR5816744_1	92.70007517229617	53.0	232.0431135228012	232	40.0	0.158303
SRR5816744_2	89.98755551063466	54.0	232.50064433396713	232	50.0	0.158303
SRR5816745_1	91.89172476695472	52.0	232.04257424211974	232	40.0	0.064687
SRR5816745_2	87.92183900938365	53.0	232.0146088085705	232	40.0	0.064687
SRR5816746_1	92.8610743444245	52.0	232.0472499246465	232	40.0	0.152614
SRR5816746_2	89.89411194254787	54.0	232.50247683698743	232	50.0	0.152614
SRR5816747_1	91.68762873044393	52.0	232.04395459923748	232	40.0	0.11409499999999999
SRR5816747_2	88.6147508655068	53.0	232.01653008457865	232	50.0	0.11409499999999999
SRR5816748_1	89.91010047593866	53.0	232.02840522777063	232	30.0	0.066185
SRR5816748_2	84.23963133640552	54.0	232.01503361788926	232	50.0	0.066185
SRR5816749_1	90.57213009989573	53.0	232.00348121489355	232	40.0	0.059461999999999994
SRR5816749_2	85.35703474487909	53.0	232.01747334432073	232	40.0	0.059461999999999994
SRR5816750_1	91.41990941411386	53.0	231.97412701504894	232	30.0	0.082132
SRR5816750_2	85.85447815711294	53.0	232.5026055617786	232	40.0	0.082132
SRR5816751_1	91.3490345911728	53.0	234.0121319356817	234	40.0	0.14185699999999998
SRR5816751_2	85.42969328267199	54.0	232.01734845654425	232	50.0	0.14185699999999998
SRR5816752_1	86.08089869799936	48.0	234.01347650047634	234	40.0	0.050384
SRR5816752_2	78.13393140679581	49.0	232.01343680533503	232	50.0	0.050384
SRR5816753_1	94.8791444742081	52.0	234.00943288062456	234	40.0	0.191882
SRR5816753_2	93.34174127849407	53.0	232.50164684545712	232	50.0	0.191882
SRR5816754_1	92.57337533676393	52.0	234.5003278548316	234	40.0	0.140306
SRR5816754_2	87.86438213618804	53.0	232.50246603851582	232	50.0	0.140306
SRR5816755_1	93.56851622052828	52.0	232.0479914908704	232	40.0	0.14102499999999998
SRR5816755_2	88.8544584293565	53.0	232.5011912781422	232	40.0	0.14102499999999998
SRR5816756_1	89.84984675612331	53.0	234.0129420248796	234	30.0	0.077654
SRR5816756_2	84.347232595874	54.0	232.01412676745565	232	50.0	0.077654
SRR5816757_1	93.1146023447485	53.0	232.05554182204526	232	30.0	0.190127
SRR5816757_2	87.56462785401337	54.0	232.01587885991995	232	50.0	0.190127
SRR5816758_1	91.80287316304467	53.0	232.04767838164693	232	30.0	0.109148
SRR5816758_2	86.39095540000733	54.0	232.01527284054677	232	50.0	0.109148
SRR5816759_1	91.24137385561465	53.0	232.04957190595772	232	30.0	0.101146
SRR5816759_2	86.00241235441837	54.0	232.5012654973998	232	50.0	0.101146
SRR5816760_1	91.27723344488797	53.0	232.0171364057901	232	30.0	0.074403
SRR5816760_2	83.9401637030765	54.0	232.01584613523647	232	50.0	0.074403
SRR5816761_1	93.03754213795911	48.0	234.0099518533023	234	40.0	0.13022699999999998
SRR5816761_2	88.89938338439802	47.0	232.01346111021525	232	50.0	0.13022699999999998
