Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,isolation_source,lat_lon,SAMPLE,AGE,BREED,Cultivar,dev_stage,ecotype,isolate,sex,strain,tissue
SRR21159712,RNA-Seq,252,4426771860,PRJNA427098,SAMN30436599,Model organism or animal,2180710464,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX17171054,Illumina HiSeq 4000,Sample_12-IL-22,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:15:00Z,1,IL-22,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,22,missing,domesticus,ileum
SRR21159713,RNA-Seq,252,6138273708,PRJNA427098,SAMN30436598,Model organism or animal,3060797204,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17171053,Illumina HiSeq 4000,Sample_2-IL-2,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:14:00Z,1,IL-2,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,2,missing,domesticus,ileum
SRR21159714,RNA-Seq,252,4646731320,PRJNA427098,SAMN30436597,Model organism or animal,2246067628,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX17171052,Illumina HiSeq 4000,Sample_11-IL-19B,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:16:00Z,1,IL-19B,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,19,missing,domesticus,ileum
SRR21159715,RNA-Seq,252,4103985312,PRJNA427098,SAMN30436596,Model organism or animal,2046417334,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX17171051,Illumina HiSeq 4000,Sample_10-IL-17,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:15:00Z,1,IL-17,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,17,missing,domesticus,ileum
SRR21159716,RNA-Seq,252,5238965844,PRJNA427098,SAMN30436595,Model organism or animal,2538230406,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17171050,Illumina HiSeq 4000,Sample_9-IL-16,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:21:00Z,1,IL-16,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,16,missing,domesticus,ileum
SRR21159717,RNA-Seq,252,3814144740,PRJNA427098,SAMN30436637,Model organism or animal,1870098378,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX17171049,Illumina HiSeq 4000,Sample_28-COL-5,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:14:00Z,1,COL-5,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,5,missing,domesticus,colon
SRR21159718,RNA-Seq,252,5537841624,PRJNA427098,SAMN30436636,Model organism or animal,2679297657,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX17171048,Illumina HiSeq 4000,Sample_48-COL-40,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:18:00Z,1,COL-40,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,40,missing,domesticus,colon
SRR21159719,RNA-Seq,252,4380073992,PRJNA427098,SAMN30436635,Model organism or animal,2129295932,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX17171047,Illumina HiSeq 4000,Sample_47-COL-39-,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:14:00Z,1,COL-39,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,39,missing,domesticus,colon
SRR21159720,RNA-Seq,252,4453409520,PRJNA427098,SAMN30436634,Model organism or animal,2115377695,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17171046,Illumina HiSeq 4000,Sample_46-COL-38,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:16:00Z,1,COL-38,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,38,missing,domesticus,colon
SRR21159721,RNA-Seq,252,3790598364,PRJNA427098,SAMN30436633,Model organism or animal,1895642482,NORWEGIAN UNIVERSITY OF LIFE SCIENCES,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX17171045,Illumina HiSeq 4000,Sample_45-COL-37,PAIRED,cDNA,TRANSCRIPTOMIC,Sus scrofa,ILLUMINA,2023-09-01T00:00:00Z,2022-08-22T07:16:00Z,1,COL-37,SRP127551,,,,,,,,,~56 days,Norwegian Landrace pig,not applicable,weaner pigs,Norway,37,missing,domesticus,colon
