.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Per Tile Sequence Quality
SRR21159712_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159712_2	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25	0
SRR21159713_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159713_2	1	1	1	0.5	0.5	1	1	0.25	0.5	0.25	0
SRR21159714_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25	0
SRR21159714_2	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25	0
SRR21159715_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159715_2	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25	0
SRR21159716_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159716_2	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25	0
SRR21159717_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159717_2	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25	0
SRR21159718_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159718_2	1	1	1	0.5	0.5	1	1	0.25	0.5	0.25	0
SRR21159719_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159719_2	1	1	1	0.5	0.5	1	1	0.25	0.5	0.25	0
SRR21159720_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159720_2	1	1	1	0.5	1	1	1	0.25	0.5	0.25	0
SRR21159721_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25	0
SRR21159721_2	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25	0
SRR21159722_1	1	1	1	0.25	1	1	1	0.5	0.5	0.25	0
SRR21159722_2	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25	0
SRR21159723_1	1	1	1	0.25	1	1	1	0.5	1	0.25	0
SRR21159723_2	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25	0
SRR21159724_1	1	1	1	0.25	1	1	1	0.25	0.25	0.25	0
SRR21159724_2	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25	0
SRR21159725_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159725_2	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25	0
SRR21159726_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159726_2	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25	0
SRR21159727_1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.25	0
SRR21159727_2	1	1	1	0.5	0.5	1	1	0.25	0.5	0.25	0
SRR21159728_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159728_2	1	1	1	0.5	0.5	1	1	0.25	0.5	0.25	0
SRR21159729_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0
SRR21159729_2	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25	0
SRR21159730_1	1	1	1	0.25	1	1	1	0.25	1	0.25	0
SRR21159730_2	1	1	1	0.25	1	1	1	0.5	0.5	0.25	0
