Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
SRR21159712_1 - illumina_universal_adapter	(1, 0.001537011667910982)	(2, 0.0020379636189338207)	(3, 0.003051252792593653)	(4, 0.0065806869929818336)	(5, 0.007815988963117698)	(6, 0.010662306866656552)	(7, 0.01166421076870223)	(8, 0.012871049559802705)	(9, 0.014282823239957977)	(10, 0.017225915952217154)	(12, 0.02031701719546035)	(14, 0.02369275022905743)	(16, 0.026405291191129963)	(18, 0.029052366841421096)	(20, 0.03076015758354441)	(22, 0.03230001556935893)	(24, 0.03340723323383554)	(26, 0.03452583616992631)	(28, 0.03552774007197199)	(30, 0.03647556393385043)	(32, 0.03761409109526598)	(34, 0.03904578900074602)	(36, 0.040850354551589654)	(38, 0.04284277708406685)	(40, 0.045794408750036646)	(42, 0.04942346407704869)	(44, 0.053610397713154345)	(46, 0.05852314241466241)	(48, 0.06509244413603009)	(50, 0.07418927615574027)	(52, 0.08630889778900872)	(54, 0.10009930803165447)	(56, 0.11599599352291898)	(58, 0.13615930955158823)	(60, 0.1638027490307576)	(62, 0.19924794588352696)	(64, 0.24266852550201223)	(66, 0.2945625935193326)	(68, 0.35845958413587636)	(70, 0.43710904044646204)	(72, 0.5370888031261678)	(74, 0.6606702338620178)	(76, 0.8087584617473376)	(78, 0.9882273445191729)	(80, 1.2048976022902613)	(82, 1.4575396257262736)	(84, 1.7675150306932692)	(86, 2.134285863107479)	(88, 2.545692652884985)	(90, 3.008165232169882)	(92, 3.5136855234279003)	(94, 4.076684358429983)	(96, 4.686542125078025)	(98, 5.3408223752465975)	(100, 6.027146472373211)	(102, 6.733918517318848)	(104, 7.474302730387375)	(106, 8.254242223361382)	(108, 9.052307068745124)	(110, 9.874483073089744)	(112, 10.696456988863211)	(114, 11.537805790606068)
SRR21159712_1 - polya	(1, 0.01718037486576053)	(2, 0.02683508519456433)	(3, 0.03145750546991143)	(4, 0.036324709084962874)	(5, 0.04048602585993668)	(6, 0.04307048251634996)	(7, 0.04673084734030093)	(8, 0.05455822157503278)	(9, 0.06785052618455924)	(10, 0.08363051264177865)	(12, 0.09413627202374056)	(14, 0.10521983394012087)	(16, 0.11600737879453313)	(18, 0.12709378702881696)	(20, 0.1410521300277715)	(22, 0.15455506216215986)	(24, 0.16607126439987807)	(26, 0.17565766309899694)	(28, 0.18523836916230874)	(30, 0.1955221157477946)	(32, 0.20491496482947283)	(34, 0.21367023870075835)	(36, 0.22298054456323396)	(38, 0.23168743103015932)	(40, 0.24060494502194651)	(42, 0.2493772968006533)	(44, 0.2577312398475399)	(46, 0.2659656375424777)	(48, 0.27366492747155036)	(50, 0.2821127990092537)	(52, 0.29037565988322694)	(54, 0.29781308856517397)	(56, 0.30536436996326255)	(58, 0.31270787015439283)	(60, 0.320706023463337)	(62, 0.32848216397580515)	(64, 0.4659849355778637)	(66, 0.646282096859629)	(68, 0.6558371860618089)	(70, 0.6670402933301378)	(72, 0.6777225244221192)	(74, 0.6874626242880291)	(76, 0.6976040549783381)	(78, 0.7072872284861773)	(80, 0.7169476314507881)	(82, 0.726966670471245)	(84, 0.7367950061921646)	(86, 0.7454962000232829)	(88, 0.7542884760273144)	(90, 0.7624915642253134)	(92, 0.770882509404946)	(94, 0.7792592229950608)	(96, 0.7877640208908349)	(98, 0.7958020226504285)	(100, 0.8043267447715274)	(102, 0.8127404604943883)	(104, 0.8215611996774552)	(106, 0.8307491138700787)	(108, 0.8416163556257901)	(110, 0.8522046582269546)	(112, 0.8638090963196825)	(114, 0.8771810978305081)
SRR21159712_2 - illumina_universal_adapter	(1, 0.0010303670810810656)	(2, 0.001240994605942941)	(3, 0.0017761023718082458)	(4, 0.004235321040465817)	(5, 0.0050778311399133184)	(6, 0.006836855604300331)	(7, 0.007383348641779791)	(8, 0.008174625018963592)	(9, 0.00925053318650128)	(10, 0.011618669682245609)	(12, 0.014205972656562427)	(14, 0.017299920217709167)	(16, 0.019901454781543676)	(18, 0.0225257598886065)	(20, 0.024233550630729815)	(22, 0.025804718113483262)	(24, 0.02693470632118819)	(26, 0.028041923985664803)	(28, 0.029058059477228178)	(30, 0.03000019070329954)	(32, 0.031133025228908002)	(34, 0.03257895472390574)	(36, 0.0343635960494246)	(38, 0.03633609435657703)	(40, 0.03929911129416098)	(42, 0.04293670557488363)	(44, 0.04710371498566452)	(46, 0.052084771316857514)	(48, 0.05863699513080396)	(50, 0.06761997443437259)	(52, 0.07957735594713933)	(54, 0.09319698711557275)	(56, 0.108891584035686)	(58, 0.12885565781110753)	(60, 0.15624862131476547)	(62, 0.19140634005927742)	(64, 0.23461913847080432)	(66, 0.2862684231484204)	(68, 0.34979254611960053)	(70, 0.4276108776023529)	(72, 0.5269559113895695)	(74, 0.6497119099333933)	(76, 0.7965790674380947)	(78, 0.974530862767344)	(80, 1.1892542390924117)	(82, 1.4392349552886152)	(84, 1.745302365774052)	(86, 2.106724966847512)	(88, 2.5124761229506865)	(90, 2.9680492276374055)	(92, 3.4663199471951103)	(94, 4.020947761242884)	(96, 4.623493337196735)	(98, 5.270595173612584)	(100, 5.948602329825056)	(102, 6.647034663313325)	(104, 7.3777869365962765)	(106, 8.146805107774405)	(108, 8.934102332529058)	(110, 9.743469906307753)	(112, 10.552609774654165)	(114, 11.380008772351779)
SRR21159712_2 - polya	(1, 0.025582705317007234)	(2, 0.03635886489980534)	(3, 0.04070803865641271)	(4, 0.04600218995699498)	(5, 0.0504936796087793)	(6, 0.053835256827533914)	(7, 0.05766640072569721)	(8, 0.0697006328218595)	(9, 0.0848430440686862)	(10, 0.1025926825151545)	(12, 0.11590775766790928)	(14, 0.12865926187576332)	(16, 0.14167262733074298)	(18, 0.1566328742317432)	(20, 0.1721908478924866)	(22, 0.1867896124197374)	(24, 0.1999310621803763)	(26, 0.21271956852097637)	(28, 0.2257557045191843)	(30, 0.2392301734745373)	(32, 0.25249686122293186)	(34, 0.2672493269169738)	(36, 0.28012606911258353)	(38, 0.2929857334007721)	(40, 0.30654559189323116)	(42, 0.3204754717131504)	(44, 0.3345248968850182)	(46, 0.34721378209899434)	(48, 0.35892638027205676)	(50, 0.37050235518574925)	(52, 0.3815887634200331)	(54, 0.3914882570885413)	(56, 0.4015926856461042)	(58, 0.41287548981573224)	(60, 0.4241696792569744)	(62, 0.4350682305096247)	(64, 0.4454800614007698)	(66, 0.45658639386037847)	(68, 0.5990446049324982)	(70, 0.8192841453546242)	(72, 0.8345119461385571)	(74, 0.8501126145678535)	(76, 0.8638660226777533)	(78, 0.8773518769047204)	(80, 0.8917001654564597)	(82, 0.9044516696643138)	(84, 0.9169868537114989)	(86, 0.9288759235945807)	(88, 0.9397517043040027)	(90, 0.9500923772475593)	(92, 0.9600231804130064)	(94, 0.9693306399575785)	(96, 0.9797965508888908)	(98, 0.9893886422238167)	(100, 0.9996752351272062)	(102, 1.0094267202647305)	(104, 1.0186459439542928)	(106, 1.0285482839407045)	(108, 1.0394468351933548)	(110, 1.0503055379953554)	(112, 1.062499163894116)	(114, 1.0749005709998345)
SRR21159713_1 - illumina_universal_adapter	(1, 0.003830327730312413)	(2, 0.004790988704474369)	(3, 0.007282959693005596)	(4, 0.013157771034996017)	(5, 0.015510158805059267)	(6, 0.018798575216613655)	(7, 0.020432519950444674)	(8, 0.022357947287547055)	(9, 0.02412736985106758)	(10, 0.028054174217674033)	(12, 0.03269531623173425)	(14, 0.03721534927682961)	(16, 0.041092888978094426)	(18, 0.044859583182340554)	(20, 0.047597877497579974)	(22, 0.04976552277261208)	(24, 0.051362519007436866)	(26, 0.052760403886505866)	(28, 0.05390991274447744)	(30, 0.055196952126527754)	(32, 0.05646141187029648)	(34, 0.05768687042066975)	(36, 0.059088860688517215)	(38, 0.060819282058642274)	(40, 0.06317372252309476)	(42, 0.06632871379934888)	(44, 0.06998045711779785)	(46, 0.07446559435827621)	(48, 0.08073862841177822)	(50, 0.08998396394089242)	(52, 0.10254029551984259)	(54, 0.11746338372958068)	(56, 0.13561741290797455)	(58, 0.15947382709966312)	(60, 0.19322628094185337)	(62, 0.23741463305891408)	(64, 0.2936502485463947)	(66, 0.3613604256696987)	(68, 0.4445561292653912)	(70, 0.5511053369274097)	(72, 0.6887610753638944)	(74, 0.8590238641733765)	(76, 1.059886168243184)	(78, 1.295666856568267)	(80, 1.5767115088703698)	(82, 1.9050071333182719)	(84, 2.298824762670554)	(86, 2.746897157424704)	(88, 3.224840360931002)	(90, 3.741359850094192)	(92, 4.302041006347382)	(94, 4.909433276122003)	(96, 5.55311513000391)	(98, 6.2065739672617415)	(100, 6.880526905301695)	(102, 7.574912363292093)	(104, 8.301533333971037)	(106, 9.05125943269521)	(108, 9.796531184594741)	(110, 10.553121493356516)	(112, 11.309508585373756)	(114, 12.094573870702998)
SRR21159713_1 - polya	(1, 0.030700097285397885)	(2, 0.03769157437513212)	(3, 0.04410008625832362)	(4, 0.048735070189216134)	(5, 0.05288972363302767)	(6, 0.056186350822139)	(7, 0.060156261770919386)	(8, 0.0680919782797017)	(9, 0.08070373260716122)	(10, 0.09376092161708471)	(12, 0.10264908832247205)	(14, 0.11147772689057156)	(16, 0.12108023124341265)	(18, 0.1317727163169375)	(20, 0.14369887071839255)	(22, 0.15450630667771453)	(24, 0.16378037992827804)	(26, 0.1721779526746382)	(28, 0.18040515178669186)	(30, 0.1884599245700498)	(32, 0.19647364346562307)	(34, 0.20382228937908414)	(36, 0.21145215442387047)	(38, 0.21886853925217634)	(40, 0.22621513247124822)	(42, 0.23310602753590995)	(44, 0.23992302560255918)	(46, 0.24678107755699316)	(48, 0.25341743851738974)	(50, 0.26070655629356304)	(52, 0.2676857172169619)	(54, 0.2741845476532797)	(56, 0.2808516990295148)	(58, 0.2874675330460191)	(60, 0.2957419441290251)	(62, 0.3046875862773111)	(64, 0.8075792373903702)	(66, 1.4110118596881571)	(68, 1.4238124618994261)	(70, 1.437501880781234)	(72, 1.4492494507708256)	(74, 1.4596196628252407)	(76, 1.4712481765402567)	(78, 1.4822937250487298)	(80, 1.4928733119308468)	(82, 1.5035391119773118)	(84, 1.5142829144105674)	(86, 1.5232634523634703)	(88, 1.532260411871487)	(90, 1.5403726600977437)	(92, 1.548283744273855)	(94, 1.55650683799713)	(96, 1.5645451892253743)	(98, 1.5718917824444463)	(100, 1.5798562366746778)	(102, 1.5878227435992986)	(104, 1.5961135762374186)	(106, 1.6050099537203628)	(108, 1.6151564220863512)	(110, 1.6254363155876397)	(112, 1.6374363669871073)	(114, 1.6538887125168253)
SRR21159713_2 - illumina_universal_adapter	(1, 0.002537130265094396)	(2, 0.0028778775337073973)	(3, 0.004150548055033065)	(4, 0.008013718895573237)	(5, 0.009635347463068846)	(6, 0.011749622683980842)	(7, 0.01266101899280116)	(8, 0.01385979251611437)	(9, 0.015144779203775447)	(10, 0.018271032758580275)	(12, 0.022052095823551048)	(14, 0.026167748073967118)	(16, 0.029961127305273304)	(18, 0.03362313409566845)	(20, 0.03628753141289541)	(22, 0.0384367024384244)	(24, 0.04001522442374608)	(26, 0.041425425469150484)	(28, 0.042589303187846705)	(30, 0.04389686951378936)	(32, 0.04517569811828274)	(34, 0.04644015786205147)	(36, 0.047874991240126695)	(38, 0.04964646649803645)	(40, 0.05202143390638129)	(42, 0.05516000362752153)	(44, 0.05881995772352744)	(46, 0.06330098957522733)	(48, 0.06955554937922623)	(50, 0.07883372801856818)	(52, 0.09138595420873988)	(54, 0.10625361966996862)	(56, 0.12420853749260671)	(58, 0.14772215172129305)	(60, 0.18121391337605047)	(62, 0.22497119967137186)	(64, 0.28097691338725816)	(66, 0.3482847624102721)	(68, 0.43069633674927676)	(70, 0.5362171445222885)	(72, 0.6732611800307814)	(74, 0.8430723760746317)	(76, 1.0422514707452664)	(78, 1.2757064563273461)	(80, 1.5538629676237958)	(82, 1.8786156415558781)	(84, 2.267024421192526)	(86, 2.7087724645334434)	(88, 3.1802435226304837)	(90, 3.689063355139653)	(92, 4.242541606781018)	(94, 4.841398773285201)	(96, 5.479246869712901)	(98, 6.126580466913255)	(100, 6.793704090720224)	(102, 7.480412471694883)	(104, 8.19932557494225)	(106, 8.943273338960726)	(108, 9.683050027980277)	(110, 10.431585563958693)	(112, 11.180687643588538)	(114, 11.957554467527174)
SRR21159713_2 - polya	(1, 0.03542129438063826)	(2, 0.0444449389157151)	(3, 0.05015964009534519)	(4, 0.05688016152570041)	(5, 0.0625825465389951)	(6, 0.06745153763026039)	(7, 0.07292812626073923)	(8, 0.08675097027784738)	(9, 0.10334084633164423)	(10, 0.12008262177024445)	(12, 0.1351329770321151)	(14, 0.1488839767456)	(16, 0.1639487008681953)	(18, 0.18123854570872128)	(20, 0.19772989243183486)	(22, 0.21313536382304313)	(24, 0.2272722700817042)	(26, 0.2417335020538644)	(28, 0.25664222140287785)	(30, 0.2718855299373366)	(32, 0.2872335258856463)	(34, 0.30242141167159564)	(36, 0.316106725164625)	(38, 0.33034626614274787)	(40, 0.3456696297583868)	(42, 0.3601411252024932)	(44, 0.37445866856740695)	(46, 0.38738859052519786)	(48, 0.4000906634057837)	(50, 0.41264494229034465)	(52, 0.42451977933206886)	(54, 0.4352286859607076)	(56, 0.44606896503025734)	(58, 0.4580998068455634)	(60, 0.4694204164021941)	(62, 0.48077592176344186)	(64, 0.49369147486050813)	(66, 0.5081691283877823)	(68, 1.0148870018423755)	(70, 1.66825757324147)	(72, 1.685949746182286)	(74, 1.7056781919572233)	(76, 1.7212848273985766)	(78, 1.7365076089891427)	(80, 1.752785475495776)	(82, 1.7680534163629056)	(84, 1.7825290171957904)	(86, 1.7962204887719875)	(88, 1.8092920466426357)	(90, 1.8219674344961614)	(92, 1.833207988971612)	(94, 1.8441303758167313)	(96, 1.8552539267119954)	(98, 1.8654352908826006)	(100, 1.8766512130253805)	(102, 1.88708916399464)	(104, 1.8972274215830716)	(106, 1.907915801267818)	(108, 1.9189305593604526)	(110, 1.9301505868920108)	(112, 1.9423579604247911)	(114, 1.9546741267602008)
SRR21159714_1 - illumina_universal_adapter	(1, 0.0013937539216276442)	(2, 0.0018547231174967096)	(3, 0.0025868506638769898)	(4, 0.0051140464906415115)	(5, 0.0063722212370135485)	(6, 0.008384216197806762)	(7, 0.009382078927688033)	(8, 0.010439596494681772)	(9, 0.011399497055491472)	(10, 0.01295052282041562)	(12, 0.014916420861621928)	(14, 0.016879607319323125)	(16, 0.018634001847130682)	(18, 0.02016604652751905)	(20, 0.021364566436778615)	(22, 0.022300062746042307)	(24, 0.023192173719224204)	(26, 0.023962263434676057)	(28, 0.024946568247031765)	(30, 0.02615051132330156)	(32, 0.027671709669669475)	(34, 0.029472201117063942)	(36, 0.031877375686098414)	(38, 0.035169238061304564)	(40, 0.03948065583443288)	(42, 0.04518582752918884)	(44, 0.05164481943836598)	(46, 0.059866340625866016)	(48, 0.07058523022157434)	(50, 0.08629343346668901)	(52, 0.10673606151172949)	(54, 0.1304461476804301)	(56, 0.15877134897483164)	(58, 0.19634847318867577)	(60, 0.24794448412394976)	(62, 0.31426439349198265)	(64, 0.395850517993797)	(66, 0.4927950514685665)	(68, 0.61002494114508)	(70, 0.7572829065572054)	(72, 0.9436608871975839)	(74, 1.1740641376269632)	(76, 1.443221339511405)	(78, 1.7564905818570118)	(80, 2.120867750106972)	(82, 2.540610030364312)	(84, 3.0426407352512905)	(86, 3.6159616820711724)	(88, 4.230007901554334)	(90, 4.883466987284301)	(92, 5.573768358098226)	(94, 6.320443549983432)	(96, 7.119262492671945)	(98, 7.944619703124992)	(100, 8.784516424332448)	(102, 9.629310265350139)	(104, 10.505390356849812)	(106, 11.407328108654237)	(108, 12.321687624495578)	(110, 13.251172353128435)	(112, 14.17081132205423)	(114, 15.104046170674657)
SRR21159714_1 - polya	(1, 0.017728332956423225)	(2, 0.026307783166598063)	(3, 0.031709257508781466)	(4, 0.0364274128076766)	(5, 0.04037547839111989)	(6, 0.043423298250865945)	(7, 0.04750694300956484)	(8, 0.055413920510471865)	(9, 0.06859221634531691)	(10, 0.08420280258424753)	(12, 0.09513861886036484)	(14, 0.10559448485607728)	(16, 0.11677163206414956)	(18, 0.12827145770933018)	(20, 0.14139281029056788)	(22, 0.15404234734191602)	(24, 0.16475581377061413)	(26, 0.1740782378611897)	(28, 0.18261159115177764)	(30, 0.19187436040524075)	(32, 0.2009500303968511)	(34, 0.20945084468537767)	(36, 0.21829874166255864)	(38, 0.22640095317583372)	(40, 0.23493430646642166)	(42, 0.24281145654877245)	(44, 0.25060454754246475)	(46, 0.2586823548041939)	(48, 0.26633986662263054)	(50, 0.2745261372245641)	(52, 0.2821104362883628)	(54, 0.28912530281608795)	(56, 0.29658486903865144)	(58, 0.3038925865849287)	(60, 0.3113738454755331)	(62, 0.3190394920444851)	(64, 0.45686657002583053)	(66, 0.6900763093830009)	(68, 0.6992821353828567)	(70, 0.7091848383435262)	(72, 0.7196000305866619)	(74, 0.7292369983638305)	(76, 0.7391993561616126)	(78, 0.7484024705779632)	(80, 0.7574076393984406)	(82, 0.7664290777199487)	(84, 0.7751359723548639)	(86, 0.7834117252124662)	(88, 0.7916332463999661)	(90, 0.7991443327091268)	(92, 0.8065252630100421)	(94, 0.8142505644161067)	(96, 0.8226863007005105)	(98, 0.8306258172034788)	(100, 0.8390479955703571)	(102, 0.8475596561929042)	(104, 0.8567709053597702)	(106, 0.8670532300111555)	(108, 0.8790628333552972)	(110, 0.8914113846375779)	(112, 0.904906935742521)	(114, 0.9213906518700978)
