Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR21159712_1	(1, 0.16847355671046485)	(2, 0.0)	(3, 1.7077907421233134e-05)	(4, 0.000296017061968041)	(5, 0.0009962112662385994)	(6, 0.0007571205623413356)	(7, 5.6926358070777114e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.4231589517694278e-05)	(18, 4.269476855308283e-05)	(20, 0.000256168611318497)	(22, 9.108217291324338e-05)	(24, 0.0003472507842317404)	(26, 0.0005180298584440717)	(28, 0.002481989211885882)	(30, 0.0014914705814543603)	(32, 0.0032561876816484506)	(34, 0.006691693391219849)	(36, 0.0014117736801552722)	(38, 0.0026072271996415916)	(40, 0.0013178451893384902)	(42, 0.002738157823204379)	(44, 0.0005009519510228385)	(46, 0.0004753350898909888)	(48, 0.0004867203615051443)	(50, 0.002459218668657571)	(52, 0.003486739431835098)	(54, 0.0013149988714349513)	(56, 0.0004155624139166729)	(58, 0.0007798911055696465)	(60, 0.0009649017692996719)	(62, 0.0015284727142003654)	(64, 0.0008225858741227292)	(66, 0.005148989087501789)	(68, 0.004169855728684424)	(70, 0.0031224107401821247)	(72, 0.00141746631596235)	(74, 0.008063618620725578)	(76, 0.0037912954475137557)	(78, 0.003768524904285445)	(80, 0.0073321149195160916)	(82, 0.014593071891443713)	(84, 0.010104428557562937)	(86, 0.008075003892339732)	(88, 0.008792276004031525)	(90, 0.00420401154352689)	(92, 0.00246206498656111)	(94, 0.0033871183052112384)	(96, 0.00029886337987157984)	(98, 0.00013093062356278736)	(100, 0.001277996738688946)	(102, 0.0022058963752426127)	(104, 0.00855318530013426)	(106, 0.007616746709869977)	(108, 0.007249571700313466)	(110, 0.004118622006420724)	(112, 0.002903244261609633)	(114, 0.0035835142405554192)	(116, 0.0066603838942809225)	(118, 0.009093985701806643)	(120, 0.007998153308944184)	(122, 0.004303632670150749)	(124, 0.0021546626529789135)	(126, 0.0037286764536359008)
SRR21159712_2	(1, 0.06683154437509234)	(2, 0.09371786329192036)	(3, 0.13401033953441638)	(4, 0.1469838565387465)	(5, 0.1611357491551417)	(6, 0.14952277210870316)	(7, 0.14244113316469847)	(8, 0.13978836487860027)	(9, 0.14037470636672927)	(10, 0.14804837943467003)	(12, 0.1663530498723284)	(14, 0.18976686094683903)	(16, 0.1899547179284726)	(18, 0.20662275557159615)	(20, 0.18834654831297315)	(22, 0.18832377776974485)	(24, 0.18682946087038693)	(26, 0.19051544255546976)	(28, 0.1976540078575452)	(30, 0.1950610122474213)	(32, 0.20833623894952652)	(34, 0.20732579609377025)	(36, 0.21206491540316244)	(38, 0.21039981942959218)	(40, 0.22102512416350273)	(42, 0.2137442429662504)	(44, 0.2091901343205882)	(46, 0.2195279609462413)	(48, 0.21394917785530512)	(50, 0.2066569113864386)	(52, 0.2098874822069552)	(54, 0.20437701074570397)	(56, 0.20821669359757788)	(58, 0.22316270890906043)	(60, 0.23547303384186596)	(62, 0.2359654468391782)	(64, 0.23047489960325174)	(66, 0.2324929389968608)	(68, 0.2365802515063426)	(70, 0.22992840656577226)	(72, 0.24115143805942602)	(74, 0.23876053102045336)	(76, 0.24568277616185985)	(78, 0.26100735175451306)	(80, 0.2559807543368634)	(82, 0.24782320722532108)	(84, 0.25100539064147753)	(86, 0.252143917802893)	(88, 0.2553204085832424)	(90, 0.24776343454934674)	(92, 0.24469510384933185)	(94, 0.2524171643216328)	(96, 0.24199394815887348)	(98, 0.23525386736329348)	(100, 0.2500063330573354)	(102, 0.2452330579331007)	(104, 0.2344625909861097)	(106, 0.24134214135896312)	(108, 0.2501458026346088)	(110, 0.2618413229002499)	(112, 0.26335271770702906)	(114, 0.27578258799178323)	(116, 0.2796820435196315)	(118, 0.28012606911258353)	(120, 0.2763803147515264)	(122, 0.2870226973928582)	(124, 0.2830378523279038)	(126, 0.2841649942177052)
SRR21159713_1	(1, 0.17380573932530152)	(2, 0.0)	(3, 5.7475442898578545e-05)	(4, 0.000316114935942182)	(5, 0.0010058202507251246)	(6, 0.0008826585873710277)	(7, 5.337005412010865e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.6421555113879584e-05)	(18, 5.7475442898578545e-05)	(20, 0.0002504287154866637)	(22, 0.0001067401082402173)	(24, 0.0003838538507869353)	(26, 0.0006034921504350747)	(28, 0.0025535518202082753)	(30, 0.0015477315694831506)	(32, 0.0033807876590699593)	(34, 0.006899105842218661)	(36, 0.0014040429622367045)	(38, 0.0026377122901669083)	(40, 0.001344514824948891)	(42, 0.002658239234059258)	(44, 0.0005152262916979719)	(46, 0.000552174790704201)	(48, 0.000710232258675292)	(50, 0.0027916643693595296)	(52, 0.0036845864286767314)	(54, 0.0013404094361704213)	(56, 0.0004536454600209235)	(58, 0.0008990801424849074)	(60, 0.0009955567787789498)	(62, 0.001510783070476922)	(64, 0.0007677077015738706)	(66, 0.005390375466130973)	(68, 0.0040869145289667815)	(70, 0.003276100245218977)	(72, 0.0012049316064809145)	(74, 0.007104375281142155)	(76, 0.0032042559415957537)	(78, 0.003163202053811055)	(80, 0.006646624432342762)	(82, 0.014401703834872397)	(84, 0.00984472229077081)	(86, 0.00783308178932056)	(88, 0.00852483979849274)	(90, 0.0037995373144738887)	(92, 0.00216559258064287)	(94, 0.003196045164038814)	(96, 0.0002689029649897782)	(98, 6.568622045551834e-05)	(100, 0.001106402275797637)	(102, 0.001855635727868393)	(104, 0.007783817123978923)	(106, 0.007194693834268493)	(108, 0.007036636366297403)	(110, 0.0037831157593600094)	(112, 0.0027998751469164693)	(114, 0.0034054199917407787)	(116, 0.0060903442528600915)	(118, 0.00851252363215733)	(120, 0.007217273472550078)	(122, 0.004160811526979239)	(124, 0.0017878968130236397)	(126, 0.0035963205699396294)
SRR21159713_2	(1, 0.06403995955535191)	(2, 0.08930862748683412)	(3, 0.12759958862362283)	(4, 0.14002660045605123)	(5, 0.15432566957146188)	(6, 0.1411063177047888)	(7, 0.13519045247501366)	(8, 0.13244805277099578)	(9, 0.1333594490798161)	(10, 0.14082715126785286)	(12, 0.15880054333999405)	(14, 0.18112770021170257)	(16, 0.18158339836611273)	(18, 0.19805832353411243)	(20, 0.18106201399124708)	(22, 0.17974623688774746)	(24, 0.1786685723333991)	(26, 0.18249684736932228)	(28, 0.18962174959435682)	(30, 0.18686703372400348)	(32, 0.1999755400936579)	(34, 0.19847707318951638)	(36, 0.20319621759036754)	(38, 0.20144321658196085)	(40, 0.21178469091492655)	(42, 0.20515448803769765)	(44, 0.20059340110481758)	(46, 0.21023695934544337)	(48, 0.2053043347281118)	(50, 0.1980090588687708)	(52, 0.2009710968724368)	(54, 0.19506344242021864)	(56, 0.19913598808846078)	(58, 0.21404470743747422)	(60, 0.22573069659538877)	(62, 0.2262438701926975)	(64, 0.22057843367840904)	(66, 0.22250386101551142)	(68, 0.22665030368176606)	(70, 0.2201925271332329)	(72, 0.2316752995466132)	(74, 0.22935986027555616)	(76, 0.23588332304454482)	(78, 0.2503137646008665)	(80, 0.2460564764375932)	(82, 0.23699998879228865)	(84, 0.24047109500448494)	(86, 0.24164523619512732)	(88, 0.24521692443239615)	(90, 0.2381063910680863)	(92, 0.23452854474764975)	(94, 0.24233494150991025)	(96, 0.2323506360006715)	(98, 0.22562806187592702)	(100, 0.23993123638011613)	(102, 0.23484260698920267)	(104, 0.22533452657826644)	(106, 0.23225005397559897)	(108, 0.23994149985206234)	(110, 0.2510650507473265)	(112, 0.2530274265834351)	(114, 0.2656371282165054)	(116, 0.26847395186242806)	(118, 0.26895017696073065)	(120, 0.2657110252145179)	(122, 0.27578359658249374)	(124, 0.2717685263571502)	(126, 0.2721421167359909)
SRR21159714_1	(1, 0.1677873641293295)	(2, 0.0)	(3, 6.507800412269156e-05)	(4, 0.0005097776989610839)	(5, 0.0010683639010141866)	(6, 0.0008622835546256633)	(7, 1.626950103067289e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 3.253900206134578e-05)	(18, 2.4404251546009336e-05)	(20, 0.00024404251546009334)	(22, 8.40590886584766e-05)	(24, 0.0003633521896850279)	(26, 0.0004962197814355232)	(28, 0.0023482313154271203)	(30, 0.0014642550927605601)	(32, 0.0032620349566499143)	(34, 0.006678630173091221)	(36, 0.001404600255648093)	(38, 0.0025516000783105315)	(40, 0.0013042716659589432)	(42, 0.0026790445030508026)	(44, 0.00040673752576682223)	(46, 0.0005775672865888876)	(48, 0.0006046831216400091)	(50, 0.00248652207418784)	(52, 0.0036443682308707273)	(54, 0.0014398508412145508)	(56, 0.0005341819505070933)	(58, 0.0009463426432841398)	(60, 0.001187673575239121)	(62, 0.0017435481937871113)	(64, 0.000878553055656336)	(66, 0.005311992086514699)	(68, 0.0039534887504535125)	(70, 0.0030613777772716152)	(72, 0.0013747728370918592)	(74, 0.007486682057614642)	(76, 0.003600982894788933)	(78, 0.003538616474171354)	(80, 0.007774109909156529)	(82, 0.015125212791515566)	(84, 0.010390787991589753)	(86, 0.00872045255244067)	(88, 0.00949054226789252)	(90, 0.0042382050184902875)	(92, 0.0023807703174884664)	(94, 0.0035359048906662416)	(96, 0.00026302359999587837)	(98, 8.134750515336444e-05)	(100, 0.0011280187381266537)	(102, 0.002207228973161289)	(104, 0.008365235113270978)	(106, 0.0075354905607066605)	(108, 0.007451431472048184)	(110, 0.00412703009478069)	(112, 0.00306680094428184)	(114, 0.0033108434597419333)	(116, 0.006884710519479745)	(118, 0.0086824903833691)	(120, 0.007858168997815006)	(122, 0.004653077294772446)	(124, 0.002066226630895457)	(126, 0.004560883455598633)
SRR21159714_2	(1, 0.07782244659671866)	(2, 0.11286152864977783)	(3, 0.1625160457953915)	(4, 0.17752194891268214)	(5, 0.19468627250004203)	(6, 0.18020099341573295)	(7, 0.17272786927564385)	(8, 0.1691431558818856)	(9, 0.16943058373342748)	(10, 0.178896721749774)	(12, 0.20172554327931316)	(14, 0.23331006794685946)	(16, 0.23271080799222968)	(18, 0.25242944324140526)	(20, 0.22848344930775985)	(22, 0.22833160063147356)	(24, 0.22559832445832054)	(26, 0.22811467395106458)	(28, 0.2368405496705155)	(30, 0.2366236229901065)	(32, 0.2504201598641171)	(34, 0.2490047132744486)	(36, 0.2567923811011307)	(38, 0.254503804622816)	(40, 0.26536098497728505)	(42, 0.2539099678351965)	(44, 0.24864949583527887)	(46, 0.2643116021608066)	(48, 0.2580071705114209)	(50, 0.24876338234249362)	(52, 0.2525324834145995)	(54, 0.24491022218172923)	(56, 0.25129600133626834)	(58, 0.26877486861022126)	(60, 0.2804102734306575)	(62, 0.28121019056466556)	(64, 0.27535045861011825)	(66, 0.2761856263296928)	(68, 0.28174708409867777)	(70, 0.27481085349260087)	(72, 0.28553787783882456)	(74, 0.28493048313367947)	(76, 0.2928293258840711)	(78, 0.3100966896446253)	(80, 0.306173028312728)	(82, 0.2947898007582672)	(84, 0.3001207739293177)	(86, 0.3009423837313667)	(88, 0.30406612792925586)	(90, 0.29593137741391945)	(92, 0.29137862870883613)	(94, 0.3006413979622992)	(96, 0.28829284668001853)	(98, 0.27948833503891934)	(100, 0.2973169965850317)	(102, 0.2898492956119529)	(104, 0.2785826661482119)	(106, 0.28559210950892683)	(108, 0.29645471303040605)	(110, 0.3124123819579911)	(112, 0.3153137763084611)	(114, 0.32917539118659433)	(116, 0.33285229841952646)	(118, 0.33230455855149377)	(120, 0.3272908406505414)	(122, 0.34156190463794667)	(124, 0.3375623189679062)	(126, 0.3403633847286871)
SRR21159715_1	(1, 0.17706379159672783)	(2, 0.0)	(3, 7.982484709243522e-05)	(4, 0.00044824721828829004)	(5, 0.0009763192836690153)	(6, 0.0007859677252178237)	(7, 4.912298282611398e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 9.21055927989637e-06)	(18, 2.456149141305699e-05)	(20, 0.0003039484562365802)	(22, 9.517577922559583e-05)	(24, 0.0003530714390626942)	(26, 0.00048201926898124335)	(28, 0.0023486926163735745)	(30, 0.0014153559426774089)	(32, 0.0031008882908984447)	(34, 0.006499584665180205)	(36, 0.001467549111930155)	(38, 0.0026679920047433152)	(40, 0.0012587764349191706)	(42, 0.0027723783432488072)	(44, 0.00043289628615512943)	(46, 0.0004697385232747149)	(48, 0.0005065807603943004)	(50, 0.002492991378425284)	(52, 0.003668872779825387)	(54, 0.001298688858465388)	(56, 0.000423685726875233)	(58, 0.0007921080980710878)	(60, 0.0010438633850549219)	(62, 0.001611847873981865)	(64, 0.0008135994030575126)	(66, 0.0050750181632229)	(68, 0.004095628693127252)	(70, 0.0030732566130587556)	(72, 0.0012372851299327458)	(74, 0.007918010794284246)	(76, 0.0038469435925700506)	(78, 0.003653521847692227)	(80, 0.007389938728903521)	(82, 0.014611017204342274)	(84, 0.009855298429489116)	(86, 0.008105292166308807)	(88, 0.008648715163822691)	(90, 0.0038377330332901543)	(92, 0.0022842187014142997)	(94, 0.0033096609679094287)	(96, 0.0003070186426632123)	(98, 0.0001166670842120207)	(100, 0.0011052671135875643)	(102, 0.002041673973710362)	(104, 0.008231169809800723)	(106, 0.00754651823666176)	(108, 0.007350026305357304)	(110, 0.004083347947420724)	(112, 0.0028000100210884967)	(114, 0.0034539597299611383)	(116, 0.006487303919473678)	(118, 0.008912751196513054)	(120, 0.007592571033061241)	(122, 0.004249138014458859)	(124, 0.0019956211773108803)	(126, 0.003745627440491191)
SRR21159715_2	(1, 0.06494058329612268)	(2, 0.09100032568537614)	(3, 0.12936537527257114)	(4, 0.1428741955497525)	(5, 0.15706459721364616)	(6, 0.1443847272716555)	(7, 0.13777768608154317)	(8, 0.1346153940621121)	(9, 0.13602767981836286)	(10, 0.14338691668300005)	(12, 0.16131680541453167)	(14, 0.1842603085807535)	(16, 0.18463487132480264)	(18, 0.20094370162307248)	(20, 0.18363092036329393)	(22, 0.18303223401010066)	(24, 0.1816015271352901)	(26, 0.1848682054932267)	(28, 0.19176384420744244)	(30, 0.1894489236417618)	(32, 0.20259546192060054)	(34, 0.20125379045216235)	(36, 0.20596652661704265)	(38, 0.20406608121895736)	(40, 0.2145169958152131)	(42, 0.20840732482621518)	(44, 0.2039095017111991)	(46, 0.21313848210965528)	(48, 0.2075231111353451)	(50, 0.20058141962472986)	(52, 0.20344283337435104)	(54, 0.19783360277289413)	(56, 0.20145949294274665)	(58, 0.21646963438255112)	(60, 0.2288455558683052)	(62, 0.22937669812011255)	(64, 0.22402229299206614)	(66, 0.22578765018737962)	(68, 0.22941354035723216)	(70, 0.2233038693682342)	(72, 0.23441180385978924)	(74, 0.23186047893925796)	(76, 0.23842453751939746)	(78, 0.25350529324701443)	(80, 0.2492039620633028)	(82, 0.2408407742371569)	(84, 0.24392017122306897)	(86, 0.24508991225161578)	(88, 0.2485254508630171)	(90, 0.24142103947179036)	(92, 0.2378565530304705)	(94, 0.24571623028264872)	(96, 0.2353052281099392)	(98, 0.2287380993433731)	(100, 0.24304209790505216)	(102, 0.23835699341801156)	(104, 0.22807493907522056)	(106, 0.23583022998889328)	(108, 0.24341973083552793)	(110, 0.25463512185201503)	(112, 0.2568610070113233)	(114, 0.26928605147990353)	(116, 0.27285053792122343)	(118, 0.27246062424504114)	(120, 0.2690834191757458)	(122, 0.2796847729069065)	(124, 0.2757242324165511)	(126, 0.2765316914467554)
SRR21159716_1	(1, 0.1776469684500581)	(2, 0.0)	(3, 4.810109619031141e-05)	(4, 0.0004184795368557093)	(5, 0.001058224116186851)	(6, 0.0008994904987588235)	(7, 8.658197314256054e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.6835383666608995e-05)	(18, 6.49364798569204e-05)	(20, 0.00029341668676089957)	(22, 0.00010341735680916953)	(24, 0.0003222773444750864)	(26, 0.0005339221677124567)	(28, 0.002597459194276816)	(30, 0.0016931585858989615)	(32, 0.003665303529701729)	(34, 0.007085291468832871)	(36, 0.0015272098040423872)	(38, 0.002727332153990657)	(40, 0.0014213873924237021)	(42, 0.0029029011550852934)	(44, 0.0005267070032839099)	(46, 0.0006012637023788927)	(48, 0.0007070861139975777)	(50, 0.0026720158933717987)	(52, 0.00394188483279602)	(54, 0.0013251852000430793)	(56, 0.00046177052342698954)	(58, 0.0009283511564730102)	(60, 0.0010702493902344289)	(62, 0.0016763232022323526)	(64, 0.000817718635235294)	(66, 0.0056446636379330435)	(68, 0.004307453163842387)	(70, 0.003249229047655536)	(72, 0.0013588559673762973)	(74, 0.008126680201353112)	(76, 0.0038288472567487883)	(78, 0.0037663158317013832)	(80, 0.00752060638935519)	(82, 0.015332224410661763)	(84, 0.010385026667488233)	(86, 0.008557185012256401)	(88, 0.009454270456205708)	(90, 0.004199225697414186)	(92, 0.0023954345902775084)	(94, 0.0034127727747025943)	(96, 0.00029822679637993076)	(98, 9.139208276159168e-05)	(100, 0.001231388062471972)	(102, 0.0021813847122306223)	(104, 0.008730348958541521)	(106, 0.007684150116402248)	(108, 0.007768327034735292)	(110, 0.004163149875271452)	(112, 0.0030255589503705876)	(114, 0.0036532782556541513)	(116, 0.006933773015833389)	(118, 0.00914882849539723)	(120, 0.008181996461971972)	(122, 0.004593654686174739)	(124, 0.002087587574659515)	(126, 0.00434352898598512)
SRR21159716_2	(1, 0.07129544477327958)	(2, 0.10189255205993665)	(3, 0.14623214252816572)	(4, 0.1608548757700204)	(5, 0.17583355712368337)	(6, 0.1619996818593498)	(7, 0.15517413630994462)	(8, 0.1523457918539543)	(9, 0.15200908418062212)	(10, 0.16096069818163908)	(12, 0.18119442429409355)	(14, 0.20815749376357262)	(16, 0.20758509071890793)	(18, 0.22541857213146588)	(20, 0.20575243895405707)	(22, 0.20522813700558268)	(24, 0.2034267509532555)	(26, 0.20639458858819773)	(28, 0.21439620593945602)	(30, 0.21269342713431902)	(32, 0.22637337889084355)	(34, 0.22515401610241917)	(36, 0.2307818443566856)	(38, 0.22877843370035914)	(40, 0.2394785225478939)	(42, 0.23075779380859043)	(44, 0.2257312292567029)	(46, 0.23849966524042104)	(48, 0.23265538205329822)	(50, 0.22367009728494805)	(52, 0.22745324850031606)	(54, 0.22038719746995933)	(56, 0.2256422422287508)	(58, 0.24191484306993316)	(60, 0.2535504982383695)	(62, 0.25462555773822293)	(64, 0.24921418441681292)	(66, 0.2504575977533325)	(68, 0.2551234040837927)	(70, 0.24838925061714906)	(72, 0.25979883063349096)	(74, 0.25800225469078286)	(76, 0.26513083714618696)	(78, 0.28111723646503695)	(80, 0.27689877032914667)	(82, 0.2669731091302759)	(84, 0.27106410736126185)	(86, 0.27235802684878124)	(88, 0.2760570011458162)	(90, 0.26772348623084474)	(92, 0.2640221068790003)	(94, 0.27249992508254267)	(96, 0.2612346483547718)	(98, 0.2537621430616069)	(100, 0.2695681632697432)	(102, 0.2637599559047631)	(104, 0.2528410070695624)	(106, 0.25959680602949164)	(108, 0.2691232281299828)	(110, 0.2823438144178899)	(112, 0.28461659121288213)	(114, 0.2976159124583138)	(116, 0.30154096190744323)	(118, 0.3015890630036335)	(120, 0.2974860394985999)	(122, 0.3093501748739403)	(124, 0.3056752511250005)	(126, 0.3067743611729491)
