Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR21159712_1	SRR21159712_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17566555.0	2.2 Gbp	0.0	126.0	48.0	46.679749286396536	126.0	126	pass	pass		pass	fail	pass	pass	pass	fail	warn	fail
SRR21159712_2	SRR21159712_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17566555.0	2.2 Gbp	0.0	126.0	48.0	49.69524258061625	126.0	126	pass	pass		pass	fail	warn	pass	pass	fail	warn	fail
SRR21159713_1	SRR21159713_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24358229.0	3 Gbp	0.0	126.0	47.0	43.93729414652913	126.0	126	pass	pass		pass	fail	pass	pass	pass	fail	warn	fail
SRR21159713_2	SRR21159713_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24358229.0	3 Gbp	0.0	126.0	48.0	46.69278396230609	126.0	126	pass	pass		pass	warn	warn	pass	pass	fail	warn	fail
SRR21159714_1	SRR21159714_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18439410.0	2.3 Gbp	0.0	126.0	48.0	52.61201271183624	126.0	126	pass	pass		pass	fail	pass	pass	pass	warn	warn	fail
SRR21159714_2	SRR21159714_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18439410.0	2.3 Gbp	0.0	126.0	48.0	54.381631779597804	126.0	126	pass	pass		pass	warn	warn	pass	pass	warn	warn	fail
SRR21159715_1	SRR21159715_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16285656.0	2 Gbp	0.0	126.0	47.0	49.96314672194009	126.0	126	pass	pass		pass	fail	pass	pass	pass	fail	warn	fail
SRR21159715_2	SRR21159715_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16285656.0	2 Gbp	0.0	126.0	48.0	53.742397580708925	126.0	126	pass	pass		pass	warn	warn	pass	pass	warn	warn	fail
SRR21159716_1	SRR21159716_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20789547.0	2.6 Gbp	0.0	126.0	48.0	43.778620426771305	126.0	126	pass	pass		pass	fail	pass	pass	pass	fail	warn	fail
SRR21159716_2	SRR21159716_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20789547.0	2.6 Gbp	0.0	126.0	48.0	47.13086617099639	126.0	126	pass	pass		pass	fail	warn	pass	pass	fail	warn	fail
SRR21159717_1	SRR21159717_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15135495.0	1.9 Gbp	0.0	126.0	48.0	48.49582735956549	126.0	126	pass	pass		pass	fail	pass	pass	pass	fail	warn	fail
SRR21159717_2	SRR21159717_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15135495.0	1.9 Gbp	0.0	126.0	48.0	51.17247511357485	126.0	126	pass	pass		pass	warn	warn	pass	pass	warn	warn	fail
