Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR6419019_1	(1, 0.24200280467325105)	(2, 0.0319157664639062)	(3, 0.0)	(4, 0.0)	(5, 0.2208510820875019)	(6, 0.0)	(7, 0.003387286535084385)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0001354914614033754)	(45, 0.0)	(50, 0.0)	(55, 0.0004968020251457097)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 3.0109213645194532e-05)	(80, 0.0012194231526303785)	(85, 4.51638204677918e-05)	(90, 1.5054606822597266e-05)	(95, 0.0)	(100, 1.5054606822597266e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0006322934865490852)	(140, 0.00445616361948879)	(145, 0.0004817474183231125)	(150, 0.00034625595691973715)	(155, 0.00015054606822597266)	(160, 3.0109213645194532e-05)	(165, 0.0007527303411298634)	(170, 0.0003613105637423344)	(175, 0.0007226211274846688)	(180, 0.0005269112387909043)	(185, 0.0017764436050664776)	(190, 0.0017312797845986856)	(195, 0.001068877084404406)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.00028603752962934803)	(225, 6.0218427290389064e-05)	(230, 9.03276409355836e-05)	(235, 0.0)	(240, 0.0)	(245, 0.0004968020251457097)	(250, 0.0006925119138394743)	(255, 0.0009183310161784333)	(260, 0.00016560067504856993)	(265, 4.51638204677918e-05)	(270, 0.000511856631968307)	(275, 0.0)	(280, 3.0109213645194532e-05)	(285, 0.0003763651705649317)	(290, 3.0109213645194532e-05)	(295, 3.0109213645194532e-05)	(300, 0.05799787278405597)
SRR6419019_2	(1, 0.11968412423964826)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0007527303411298634)	(35, 0.0008882218025332388)	(40, 0.00016560067504856993)	(45, 0.0007075665206620715)	(50, 0.0013850238276789486)	(55, 0.0010387678707592114)	(60, 0.005208893960618654)	(65, 0.0020173173142280336)	(70, 0.0010989862980496003)	(75, 0.001354914614033754)	(80, 0.00627777104502306)	(85, 0.009890876682446405)	(90, 0.005886351267635531)	(95, 0.004215289910327234)	(100, 0.00671435464287838)	(105, 0.00445616361948879)	(110, 0.0059164604812807255)	(115, 0.010493060955350294)	(120, 0.0024840101257285487)	(125, 0.0007226211274846688)	(130, 0.0017162251777760884)	(135, 0.003552887210132955)	(140, 0.009409129264123291)	(145, 0.009770439827865626)	(150, 0.003342122714616593)	(155, 0.004395945192198401)	(160, 0.00886716341850979)	(165, 0.002438846305260757)	(170, 0.011697429501158076)	(175, 0.008430579820654469)	(180, 0.008581125888880442)	(185, 0.012856634226498064)	(190, 0.00721115666802409)	(195, 0.012134013099013397)	(200, 0.14113693896184937)	(205, 0.018547275605439832)	(210, 0.02234103652473434)	(215, 0.02181412528594344)	(220, 0.019841971792183194)	(225, 0.017041814923180104)	(230, 0.014678241652032334)	(235, 0.014602968617919349)	(240, 0.0033722319282617876)	(245, 0.025472394743834576)	(250, 0.010553279382640684)	(255, 0.013458818499401955)	(260, 0.02378627877970368)	(265, 0.020188227749102932)	(270, 0.01421154884053182)	(275, 0.0031915766463906205)	(280, 0.00034625595691973715)	(285, 0.010779098484979642)	(290, 0.010041422750672376)	(295, 0.007647740265879411)	(300, 0.29883394542855574)
SRR6419020_1	(1, 0.273165270771316)	(2, 0.039012595825652245)	(3, 0.0)	(4, 0.0)	(5, 0.22212507623261685)	(6, 0.0)	(7, 0.0025442997277599294)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00016961998185066195)	(45, 0.0)	(50, 0.0)	(55, 0.0005396999422521061)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 3.083999670012035e-05)	(80, 0.0014340598465555966)	(85, 3.083999670012035e-05)	(90, 3.083999670012035e-05)	(95, 0.0)	(100, 3.083999670012035e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0006784799274026478)	(140, 0.00436385953306703)	(145, 0.0004625999505018053)	(150, 0.0004934399472019256)	(155, 0.00016961998185066195)	(160, 3.083999670012035e-05)	(165, 0.0007247399224528283)	(170, 0.0005859599373022867)	(175, 0.0007555799191529486)	(180, 0.0006167999340024071)	(185, 0.0016036798284062585)	(190, 0.0019583397904576424)	(195, 0.0012952798614050548)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.00035465996205138404)	(225, 0.0001233599868004814)	(230, 7.709999175030089e-05)	(235, 0.0)	(240, 0.0)	(245, 0.0006322199323524672)	(250, 0.0006784799274026478)	(255, 0.001218179869654754)	(260, 0.00035465996205138404)	(265, 0.0)	(270, 0.0006476399307025274)	(275, 0.0)	(280, 6.16799934002407e-05)	(285, 0.0004471799521517451)	(290, 7.709999175030089e-05)	(295, 9.251999010036106e-05)	(300, 0.056282993977719645)
SRR6419020_2	(1, 0.12628978648699285)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0009714598960537911)	(35, 0.0013415398564552354)	(40, 0.00035465996205138404)	(45, 0.0009251999010036106)	(50, 0.0017424598135568)	(55, 0.0017424598135568)	(60, 0.00612173934497389)	(65, 0.001989179787157763)	(70, 0.0013261198581051752)	(75, 0.001588259830056198)	(80, 0.006692279283926117)	(85, 0.011750038742745855)	(90, 0.006800219272376538)	(95, 0.005597459401071844)	(100, 0.008141759128831774)	(105, 0.005119439452219978)	(110, 0.0070160992492773805)	(115, 0.012351418678398202)	(120, 0.0031456796634122763)	(125, 0.0009251999010036106)	(130, 0.0018041398069570404)	(135, 0.003947519577615405)	(140, 0.009868798944038514)	(145, 0.011040718818643087)	(150, 0.004209659549566428)	(155, 0.004918979473669196)	(160, 0.010809418843392184)	(165, 0.0026676597145604106)	(170, 0.012767758633849827)	(175, 0.009992158930838995)	(180, 0.010331398894540319)	(185, 0.01478777841770771)	(190, 0.00872771906613406)	(195, 0.014556478442456807)	(200, 0.14266582473475675)	(205, 0.020662797789080638)	(210, 0.025890177229751034)	(215, 0.025196277303998326)	(220, 0.02252861758943792)	(225, 0.018951177972223957)	(230, 0.01665359821806499)	(235, 0.017147038165266918)	(240, 0.0042404995462665485)	(245, 0.027463017061457172)	(250, 0.012690658642099523)	(255, 0.016869478194965835)	(260, 0.026907897120855007)	(265, 0.021603417688434306)	(270, 0.015219538371509396)	(275, 0.004194239551216368)	(280, 0.00040091995710156463)	(285, 0.012721498638799646)	(290, 0.011719198746045734)	(295, 0.009483298985287008)	(300, 0.2950616684284015)
SRR6419021_1	(1, 0.2563902102640278)	(2, 0.03367752566407871)	(3, 0.0)	(4, 0.0)	(5, 0.23333714210111678)	(6, 0.0)	(7, 0.0030737424217214693)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00016036916982894626)	(45, 0.0)	(50, 0.0)	(55, 0.0003741947296008745)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 2.672819497149104e-05)	(80, 0.0011493123837741147)	(85, 1.336409748574552e-05)	(90, 1.336409748574552e-05)	(95, 0.0)	(100, 1.336409748574552e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0005479279969155663)	(140, 0.003929044660809183)	(145, 0.0003741947296008745)	(150, 0.000334102437143638)	(155, 0.00018709736480043726)	(160, 1.336409748574552e-05)	(165, 0.0007216612642302581)	(170, 0.00036083063211512904)	(175, 0.0006815689717730214)	(180, 0.00045437931451534767)	(185, 0.0016972403806896812)	(190, 0.0015368712108607347)	(195, 0.0010156714089166595)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.00024055375474341933)	(225, 8.018458491447313e-05)	(230, 0.00010691277988596415)	(235, 0.0)	(240, 0.0)	(245, 0.0003741947296008745)	(250, 0.000641476679315785)	(255, 0.0008553022390877132)	(260, 0.0001470050723432007)	(265, 4.0092292457236564e-05)	(270, 0.0004276511195438566)	(275, 0.0)	(280, 1.336409748574552e-05)	(285, 0.0002672819497149104)	(290, 6.68204874287276e-05)	(295, 5.345638994298208e-05)	(300, 0.05893566991213774)
SRR6419021_2	(1, 0.12401882466771842)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0006548407768015304)	(35, 0.000748389459201749)	(40, 0.00012027687737170967)	(45, 0.0007617535566874946)	(50, 0.001389866138517534)	(55, 0.0011225841888026235)	(60, 0.005599556846527373)	(65, 0.0016838762832039355)	(70, 0.0009354868240021865)	(75, 0.0012161328712028423)	(80, 0.006708776937844251)	(85, 0.009742427067108483)	(90, 0.006000479771099738)	(95, 0.004931351972240097)	(100, 0.007483894592017492)	(105, 0.0038622241733804554)	(110, 0.006307854013271884)	(115, 0.010931831743339835)	(120, 0.0023788093524627026)	(125, 0.000694933069258767)	(130, 0.0016972403806896812)	(135, 0.0033142961764648887)	(140, 0.009582057897279539)	(145, 0.009809247554537211)	(150, 0.0036350345161227813)	(155, 0.004289875292924312)	(160, 0.008713391560706078)	(165, 0.0020981633052620467)	(170, 0.012548887539115042)	(175, 0.009167770875221427)	(180, 0.008700027463220333)	(185, 0.013404189778202756)	(190, 0.007751176541732401)	(195, 0.013056723243573373)	(200, 0.1451474627926821)	(205, 0.018322177652957107)	(210, 0.024028647279370444)	(215, 0.02290606309056782)	(220, 0.02127564319730687)	(225, 0.017694065071127068)	(230, 0.01467377903934858)	(235, 0.01494106098906349)	(240, 0.0033811166638936163)	(245, 0.026206995169546964)	(250, 0.009929524431908922)	(255, 0.014900968696606254)	(260, 0.0240152831818847)	(265, 0.020954904857648973)	(270, 0.013925389580146831)	(275, 0.003514757638751072)	(280, 0.0002672819497149104)	(285, 0.0116267648125986)	(290, 0.010464088331338741)	(295, 0.009074222192821207)	(300, 0.2990885017309847)
SRR6419022_1	(1, 0.23426993562351292)	(2, 0.029522468110164162)	(3, 0.0)	(4, 0.0)	(5, 0.2185140092466598)	(6, 0.0)	(7, 0.002546412343733836)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00017506584863170125)	(45, 0.0)	(50, 0.0)	(55, 0.0005251975458951037)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 7.957538574168238e-05)	(80, 0.0014482720204986193)	(85, 3.183015429667295e-05)	(90, 1.5915077148336475e-05)	(95, 0.0)	(100, 6.36603085933459e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.000668433240230132)	(140, 0.004360731138644195)	(145, 0.0003978769287084119)	(150, 0.0003183015429667295)	(155, 0.00015915077148336476)	(160, 1.5915077148336475e-05)	(165, 0.0007639237031201508)	(170, 0.00030238646581839306)	(175, 0.0007161784716751415)	(180, 0.0005411126230434401)	(185, 0.0016233378691303205)	(190, 0.002005299720690396)	(195, 0.0012572910947185817)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0003183015429667295)	(225, 0.0001432356943350283)	(230, 0.0001273206171866918)	(235, 0.0)	(240, 0.0)	(245, 0.0006047729316367861)	(250, 0.000700263394526805)	(255, 0.0009071593974551792)	(260, 0.00020689600292837418)	(265, 3.183015429667295e-05)	(270, 0.0006525181630817955)	(275, 0.0)	(280, 3.183015429667295e-05)	(285, 0.0003978769287084119)	(290, 6.36603085933459e-05)	(295, 4.774523144500942e-05)	(300, 0.05856748390587823)
SRR6419022_2	(1, 0.1237397248283161)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.000700263394526805)	(35, 0.0008434990888618332)	(40, 0.0001909809257800377)	(45, 0.0007161784716751415)	(50, 0.0014960172519436288)	(55, 0.0011777157089768993)	(60, 0.004965504070280981)	(65, 0.001973469566393723)	(70, 0.0012254609404219088)	(75, 0.001336866480460264)	(80, 0.006620672093707974)	(85, 0.010694931843682112)	(90, 0.005999984084922852)	(95, 0.00447213667868255)	(100, 0.007161784716751414)	(105, 0.004647202527314251)	(110, 0.006111389624961206)	(115, 0.010710846920830448)	(120, 0.0026896480380688647)	(125, 0.001034480014641871)	(130, 0.0017665735634653488)	(135, 0.0035968074355240435)	(140, 0.009915093063413625)	(145, 0.01024930968352869)	(150, 0.0036286375898207167)	(155, 0.004535796987275896)	(160, 0.00948538598040854)	(165, 0.002307686186508789)	(170, 0.012206864172774078)	(175, 0.008594141660101697)	(180, 0.008912443203068427)	(185, 0.013543730653234342)	(190, 0.007575576722608162)	(195, 0.01273206171866918)	(200, 0.14291739279206156)	(205, 0.01951188458386052)	(210, 0.0234747387937963)	(215, 0.022026466773297684)	(220, 0.021612674767440936)	(225, 0.017140538088758386)	(230, 0.015230728830958008)	(235, 0.014960172519436288)	(240, 0.0037082129755623993)	(245, 0.026705499454908608)	(250, 0.011013233386648842)	(255, 0.014896512210842941)	(260, 0.02506624650862995)	(265, 0.02123071291588086)	(270, 0.01422807897061281)	(275, 0.0035649772812273704)	(280, 0.00036604677441173897)	(285, 0.011824902321214003)	(290, 0.010488035840753739)	(295, 0.00808485919135493)	(300, 0.3018692258110721)
SRR6419023_1	(1, 0.13078475557834618)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0006586282655024628)	(35, 0.0008199249835846986)	(40, 0.00017473811125575544)	(45, 0.0005914212996348646)	(50, 0.0016801741466899562)	(55, 0.0009140147357993362)	(60, 0.0050808466195904275)	(65, 0.0018280294715986723)	(70, 0.0010618700607080522)	(75, 0.001572643001301799)	(80, 0.006411544543768872)	(85, 0.01034987274361013)	(90, 0.006075509714430881)	(95, 0.004516308106302602)	(100, 0.006747579373106864)	(105, 0.0045297494994761215)	(110, 0.005631943739704733)	(115, 0.011304211658930025)	(120, 0.0026748372415304105)	(125, 0.0006720696586759824)	(130, 0.0015860843944753187)	(135, 0.0035485277978091877)	(140, 0.010081044880139736)	(145, 0.009422416614637275)	(150, 0.003145286002603598)	(155, 0.004906108508334671)	(160, 0.010175134632354374)	(165, 0.0019490020101603492)	(170, 0.011935957138085448)	(175, 0.00846807769931738)	(180, 0.008481519092490898)	(185, 0.013306979241784452)	(190, 0.007554062963518043)	(195, 0.013065034164661099)	(200, 0.14128248364686502)	(205, 0.019610992640165168)	(210, 0.023401465515097707)	(215, 0.022715954463248207)	(220, 0.0199739102558502)	(225, 0.016627003355643807)	(230, 0.01608934762870302)	(235, 0.01521565707242424)	(240, 0.003481320831941589)	(245, 0.025740267927290127)	(250, 0.011707453454135614)	(255, 0.013790869396031158)	(260, 0.0259284474317194)	(265, 0.020874483598476015)	(270, 0.014772091097698094)	(275, 0.0036560589431973447)	(280, 0.00037635900885855017)	(285, 0.012110695249341203)	(290, 0.010645583393427561)	(295, 0.00805139451093827)	(300, 0.29658434037371106)
SRR6419023_2	(1, 0.2633840992351175)	(2, 0.03662779639784104)	(3, 0.0)	(4, 0.0)	(5, 0.24355804430417605)	(6, 0.0)	(7, 0.002217829873630742)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00012097253856167684)	(45, 0.0)	(50, 0.0)	(55, 0.00047044876107318775)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 5.376557269407859e-05)	(80, 0.00153231882178124)	(85, 6.720696586759824e-05)	(90, 5.376557269407859e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0006183040859819039)	(140, 0.004153390490617572)	(145, 0.00037635900885855017)	(150, 0.0003360348293379912)	(155, 0.00012097253856167684)	(160, 2.6882786347039296e-05)	(165, 0.0007123938381965414)	(170, 0.00021506229077631437)	(175, 0.0006989524450230218)	(180, 0.0005376557269407859)	(185, 0.0015188774286077204)	(190, 0.002002767582854428)	(195, 0.0011694012060962094)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.00024194507712335369)	(225, 4.032417952055894e-05)	(230, 4.032417952055894e-05)	(235, 0.0)	(240, 0.0)	(245, 0.00043012458155262874)	(250, 0.0006720696586759824)	(255, 0.0008199249835846986)	(260, 0.00022850368394983404)	(265, 2.6882786347039296e-05)	(270, 0.0005107729405937466)	(275, 0.0)	(280, 1.3441393173519648e-05)	(285, 0.0003360348293379912)	(290, 6.720696586759824e-05)	(295, 9.408975221463754e-05)	(300, 0.057529162782664095)
