Sample	Unique Reads	Duplicate Reads
SRR6419019_1	14375.0	1314122.0
SRR6419019_2	49863.0	1278634.0
SRR6419020_1	14919.0	1282098.0
SRR6419020_2	51204.0	1245813.0
SRR6419021_1	16490.0	1480057.0
SRR6419021_2	54325.0	1442222.0
SRR6419022_1	15577.0	1241093.0
SRR6419022_2	53941.0	1202729.0
SRR6419023_1	57614.0	1430327.0
SRR6419023_2	16102.0	1471839.0
SRR6419024_1	39022.0	1102823.0
SRR6419024_2	12555.0	1129290.0
SRR6419025_1	14559.0	1260581.0
SRR6419025_2	54237.0	1220903.0
SRR6419026_1	14981.0	1429523.0
SRR6419026_2	54495.0	1390009.0
SRR6419027_1	16228.0	1355154.0
SRR6419027_2	60619.0	1310763.0
SRR6419028_1	14089.0	1271912.0
SRR6419028_2	49633.0	1236368.0
SRR6419029_1	19082.0	1502412.0
SRR6419029_2	60326.0	1461168.0
SRR6419030_1	16461.0	1373361.0
SRR6419030_2	58483.0	1331339.0
SRR6419031_1	77368.0	1356594.0
SRR6419031_2	21619.0	1412343.0
SRR6419032_1	62167.0	1214721.0
SRR6419032_2	18475.0	1258413.0
SRR6419033_1	20491.0	1278492.0
SRR6419033_2	72929.0	1226054.0
SRR6419034_1	66790.0	1362471.0
SRR6419034_2	19687.0	1409574.0
SRR6419035_1	59286.0	1149973.0
SRR6419035_2	17198.0	1192061.0
SRR6419036_1	70129.0	1395565.0
SRR6419036_2	18963.0	1446731.0
SRR6419037_1	57782.0	1328646.0
SRR6419037_2	17629.0	1368799.0
SRR6419038_1	18001.0	1337135.0
SRR6419038_2	59884.0	1295252.0
SRR6419039_1	38297.0	1355017.0
SRR6419039_2	13122.0	1380192.0
SRR6419040_1	13159.0	1519380.0
SRR6419040_2	38110.0	1494429.0
SRR6419041_1	34585.0	1201104.0
SRR6419041_2	11713.0	1223976.0
SRR6419042_1	42497.0	1358249.0
SRR6419042_2	13186.0	1387560.0
SRR6419043_1	16940.0	1286968.0
SRR6419043_2	52044.0	1251864.0
SRR6419044_1	16330.0	1451142.0
SRR6419044_2	49403.0	1418069.0
SRR6419045_1	55989.0	1327867.0
SRR6419045_2	18200.0	1365656.0
SRR6419046_1	14219.0	1509707.0
SRR6419046_2	38197.0	1485729.0
SRR6419047_1	49615.0	1263306.0
SRR6419047_2	14688.0	1298233.0
SRR6419048_1	36053.0	1541026.0
SRR6419048_2	13577.0	1563502.0
SRR6419049_1	13620.0	1495022.0
SRR6419049_2	33460.0	1475182.0
SRR6419050_1	13709.0	1454754.0
SRR6419050_2	32854.0	1435609.0
SRR6419051_1	32546.0	1551415.0
SRR6419051_2	13393.0	1570568.0
SRR6419052_1	11183.0	1469759.0
SRR6419052_2	24808.0	1456134.0
SRR6419053_1	30430.0	1734648.0
SRR6419053_2	12831.0	1752247.0
SRR6419054_1	12280.0	1382774.0
SRR6419054_2	30552.0	1364502.0
SRR6419055_1	11045.0	1615264.0
SRR6419055_2	27723.0	1598586.0
SRR6419056_1	37913.0	1407269.0
SRR6419056_2	13438.0	1431744.0
SRR6419057_1	31716.0	1386561.0
SRR6419057_2	12786.0	1405491.0
SRR6419058_1	12738.0	1575332.0
SRR6419058_2	34473.0	1553597.0
SRR6419059_1	18400.0	1365528.0
SRR6419059_2	64048.0	1319880.0
SRR6419060_1	57044.0	1379572.0
SRR6419060_2	17926.0	1418690.0
SRR6419061_1	66848.0	1443490.0
SRR6419061_2	21124.0	1489214.0
SRR6419062_1	17774.0	1368898.0
SRR6419062_2	57329.0	1329343.0
SRR6419063_1	50486.0	1194656.0
SRR6419063_2	14654.0	1230488.0
SRR6419064_1	15000.0	1299909.0
SRR6419064_2	54174.0	1260735.0
SRR6419065_1	62243.0	1208746.0
SRR6419065_2	16658.0	1254331.0
SRR6419066_1	17858.0	1229335.0
SRR6419066_2	61016.0	1186177.0
SRR6419067_1	73977.0	1483065.0
SRR6419067_2	19875.0	1537167.0
SRR6419068_1	18100.0	1275184.0
SRR6419068_2	58445.0	1234839.0
SRR6419069_1	12233.0	1396076.0
SRR6419069_2	33665.0	1374644.0
SRR6419070_1	10444.0	1688416.0
SRR6419070_2	36258.0	1662602.0
SRR6419071_1	14238.0	1628424.0
SRR6419071_2	36907.0	1605755.0
SRR6419072_1	11844.0	1571601.0
SRR6419072_2	31854.0	1551591.0
SRR6419073_1	26301.0	1398190.0
SRR6419073_2	11533.0	1412958.0
SRR6419074_1	12116.0	1617037.0
SRR6419074_2	28895.0	1600258.0
SRR6419075_1	36863.0	1249433.0
SRR6419075_2	12372.0	1273924.0
SRR6419076_1	13037.0	1504889.0
SRR6419076_2	34586.0	1483340.0
SRR6419077_1	32014.0	1179623.0
SRR6419077_2	12051.0	1199586.0
SRR6419078_1	35282.0	1462754.0
SRR6419078_2	11704.0	1486332.0
