Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR6419019_1	SRR6419019_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328497.0	399.8 Mbp	0.0	301.0	52.0	1.0820498653741784	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419019_2	SRR6419019_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328497.0	399.8 Mbp	0.0	301.0	54.0	3.753339299975837	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419020_1	SRR6419020_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1297017.0	390.4 Mbp	0.0	301.0	52.0	1.150254776922739	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419020_2	SRR6419020_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1297017.0	390.4 Mbp	0.0	301.0	54.0	3.9478279775824063	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419021_1	SRR6419021_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1496547.0	450.4 Mbp	0.0	301.0	52.0	1.101869837699718	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419021_2	SRR6419021_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1496547.0	450.4 Mbp	0.0	301.0	55.0	3.629956159078198	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419022_1	SRR6419022_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1256670.0	378.2 Mbp	0.0	301.0	52.0	1.2395457836981865	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419022_2	SRR6419022_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1256670.0	378.2 Mbp	0.0	301.0	54.0	4.29237588229209	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419023_1	SRR6419023_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1487941.0	447.8 Mbp	0.0	301.0	54.0	3.872062131495805	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419023_2	SRR6419023_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1487941.0	447.8 Mbp	0.0	301.0	52.0	1.0820993574341993	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419024_1	SRR6419024_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1141845.0	343.6 Mbp	0.0	301.0	54.0	3.41745158055603	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR6419024_2	SRR6419024_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1141845.0	343.6 Mbp	0.0	301.0	52.0	1.0995362768151544	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	pass
