Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR6419019_1	98.91795013462583	52.0	301.0	301	45.45454545454545	1.328497
SRR6419019_2	96.24666070002417	54.0	301.0	301	45.45454545454545	1.328497
SRR6419020_1	98.84974522307726	52.0	301.0	301	45.45454545454545	1.2970169999999999
SRR6419020_2	96.0521720224176	54.0	301.0	301	45.45454545454545	1.2970169999999999
SRR6419021_1	98.89813016230028	52.0	301.0	301	45.45454545454545	1.4965469999999998
SRR6419021_2	96.3700438409218	55.0	301.0	301	45.45454545454545	1.4965469999999998
SRR6419022_1	98.76045421630181	52.0	301.0	301	45.45454545454545	1.25667
SRR6419022_2	95.70762411770791	54.0	301.0	301	45.45454545454545	1.25667
SRR6419023_1	96.12793786850419	54.0	301.0	301	45.45454545454545	1.487941
SRR6419023_2	98.9179006425658	52.0	301.0	301	45.45454545454545	1.487941
SRR6419024_1	96.58254841944397	54.0	301.0	301	45.45454545454545	1.141845
SRR6419024_2	98.90046372318484	52.0	301.0	301	45.45454545454545	1.141845
SRR6419025_1	98.8582430164531	52.0	301.0	301	45.45454545454545	1.27514
SRR6419025_2	95.74658468874006	54.0	301.0	301	45.45454545454545	1.27514
SRR6419026_1	98.96289660672453	51.0	301.0	301	45.45454545454545	1.444504
SRR6419026_2	96.22742477694766	54.0	301.0	301	45.45454545454545	1.444504
SRR6419027_1	98.8166681493559	52.0	301.0	301	45.45454545454545	1.3713819999999999
SRR6419027_2	95.57971447780415	55.0	301.0	301	45.45454545454545	1.3713819999999999
SRR6419028_1	98.90443320028523	52.0	301.0	301	45.45454545454545	1.286001
SRR6419028_2	96.1405939808756	54.0	301.0	301	45.45454545454545	1.286001
SRR6419029_1	98.74583797241395	53.0	301.0	301	45.45454545454545	1.521494
SRR6419029_2	96.03508130824045	55.0	301.0	301	36.36363636363637	1.521494
SRR6419030_1	98.81560372479353	52.0	301.0	301	45.45454545454545	1.389822
SRR6419030_2	95.7920510684102	55.0	301.0	301	45.45454545454545	1.389822
SRR6419031_1	94.60459900611035	55.0	301.0	301	36.36363636363637	1.433962
SRR6419031_2	98.49235893280296	54.0	301.0	301	45.45454545454545	1.433962
SRR6419032_1	95.13136625921773	55.0	301.0	301	36.36363636363637	1.276888
SRR6419032_2	98.55312290506293	53.0	301.0	301	45.45454545454545	1.276888
SRR6419033_1	98.42253516789673	53.0	301.0	301	36.36363636363637	1.298983
SRR6419033_2	94.38568480110979	55.0	301.0	301	36.36363636363637	1.298983
SRR6419034_1	95.32695567849399	55.0	301.0	301	36.36363636363637	1.429261
SRR6419034_2	98.62257488310392	52.0	301.0	301	45.45454545454545	1.429261
SRR6419035_1	95.09732819850834	54.0	301.0	301	45.45454545454545	1.2092589999999999
SRR6419035_2	98.57780673949915	52.0	301.0	301	45.45454545454545	1.2092589999999999
SRR6419036_1	95.21530414943365	54.0	301.0	301	45.45454545454545	1.4656939999999998
SRR6419036_2	98.70621016392235	52.0	301.0	301	45.45454545454545	1.4656939999999998
SRR6419037_1	95.83231152284864	55.0	301.0	301	45.45454545454545	1.386428
SRR6419037_2	98.72845903285277	52.0	301.0	301	45.45454545454545	1.386428
SRR6419038_1	98.67164624067253	52.0	301.0	301	45.45454545454545	1.355136
SRR6419038_2	95.58096013979409	54.0	301.0	301	45.45454545454545	1.355136
SRR6419039_1	97.25137334441483	56.0	301.0	301	45.45454545454545	1.393314
SRR6419039_2	99.0582165972638	52.0	301.0	301	45.45454545454545	1.393314
SRR6419040_1	99.14135953473289	52.0	301.0	301	45.45454545454545	1.5325389999999999
SRR6419040_2	97.51327698675205	56.0	301.0	301	45.45454545454545	1.5325389999999999
SRR6419041_1	97.20115660170156	56.0	301.0	301	45.45454545454545	1.235689
SRR6419041_2	99.05210777145382	51.0	301.0	301	45.45454545454545	1.235689
SRR6419042_1	96.9661166264262	55.0	301.0	301	45.45454545454545	1.400746
SRR6419042_2	99.05864446516357	51.0	301.0	301	45.45454545454545	1.400746
SRR6419043_1	98.70090527859327	54.0	301.0	301	45.45454545454545	1.3039079999999998
SRR6419043_2	96.0086141046761	54.0	301.0	301	45.45454545454545	1.3039079999999998
SRR6419044_1	98.88720193639129	54.0	301.0	301	45.45454545454545	1.4674719999999999
