Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_title,seq_methods,SRA Study
SRR6808085,AMPLICON,601,28697524,PRJNA437010,SAMN08637694,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",16826798,MOTHUR,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",nursing pig fecal sample,intestine,farm,pig manure,SRX3766318,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,SP10_1.fastq.SP10,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:37:00Z,1,SP10,nursing pig fecal sample replicate 10,Illumia MiSeq sequencing,SRP133974
SRR6808086,AMPLICON,600,57335796,PRJNA437010,SAMN08637687,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",34389563,MOTHUR,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",nursing pig fecal sample,intestine,farm,pig manure,SRX3766317,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,SP8_1.fastq.SP8,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:37:00Z,1,SP8,nursing pig fecal sample replicate 8,Illumia MiSeq sequencing,SRP133974
SRR6808087,AMPLICON,600,106766969,PRJNA437010,SAMN08637682,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",61750560,MOTHUR,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",weaned pig fecal sample,intestine,farm,pig manure,SRX3766316,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,W3_1.fastq.W3,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:38:00Z,1,W3,weaned pig fecal sample replicate 3,Illumia MiSeq sequencing,SRP133974
SRR6808088,AMPLICON,600,127000940,PRJNA437010,SAMN08637685,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",71665063,MOTHUR,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",weaned pig fecal sample,intestine,farm,pig manure,SRX3766315,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,W1_1.fastq.W1,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:37:00Z,1,W1,weaned pig fecal sample replicate 1,Illumia MiSeq sequencing,SRP133974
SRR6808089,AMPLICON,600,162820669,PRJNA437010,SAMN08637678,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",94753596,MOTHUR,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",weaned pig fecal sample,intestine,farm,pig manure,SRX3766314,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,W7_1.fastq.W7,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:38:00Z,1,W7,weaned pig fecal sample replicate 7,Illumia MiSeq sequencing,SRP133974
SRR6808090,AMPLICON,600,130722704,PRJNA437010,SAMN08637695,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",76205901,MOTHUR,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",nursing pig fecal sample,intestine,farm,pig manure,SRX3766313,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,SP1_1.fastq.SP1,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:37:00Z,1,SP1,nursing pig fecal sample replicate 1,Illumia MiSeq sequencing,SRP133974
SRR6808091,AMPLICON,600,80758981,PRJNA437010,SAMN08637688,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",47948845,MOTHUR,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",nursing pig fecal sample,intestine,farm,pig manure,SRX3766312,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,SP7_1.fastq.SP7,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:37:00Z,1,SP7,nursing pig fecal sample replicate 7,Illumia MiSeq sequencing,SRP133974
SRR6808092,AMPLICON,600,132462559,PRJNA437010,SAMN08637676,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",77374421,MOTHUR,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",weaned pig fecal sample,intestine,farm,pig manure,SRX3766311,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,W9_1.fastq.W9,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:37:00Z,1,W9,weaned pig fecal sample replicate 9,Illumia MiSeq sequencing,SRP133974
SRR6808093,AMPLICON,600,20616006,PRJNA437010,SAMN08637691,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",12140451,MOTHUR,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",nursing pig fecal sample,intestine,farm,pig manure,SRX3766310,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,SP4_1.fastq.SP4,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:37:00Z,1,SP4,nursing pig fecal sample replicate 4,Illumia MiSeq sequencing,SRP133974
SRR6808094,AMPLICON,600,197665580,PRJNA437010,SAMN08637677,"MIMARKS.survey,MIGS/MIMS/MIMARKS.miscellaneous",113430019,MOTHUR,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",weaned pig fecal sample,intestine,farm,pig manure,SRX3766309,South Korea,Asia,South Korea,454 GS,36.9118 N 127.1458 E,W8_1.fastq.W8,PAIRED,PCR,METAGENOMIC,gut metagenome,gut metagenome,LS454,2018-03-05T00:00:00Z,2018-03-05T21:38:00Z,1,W8,weaned pig fecal sample replicate 8,Illumia MiSeq sequencing,SRP133974
