Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
SRR6808085_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.002095293969743955)	(25, 0.002095293969743955)	(30, 0.002095293969743955)	(35, 0.002095293969743955)	(40, 0.002095293969743955)	(45, 0.002095293969743955)	(50, 0.002095293969743955)	(55, 0.002095293969743955)	(60, 0.002095293969743955)	(65, 0.06579223064996019)	(70, 0.11566022712986632)	(75, 0.11943175627540543)	(80, 0.12278422662699577)	(85, 0.1257176381846373)	(90, 0.1257176381846373)	(95, 0.1257176381846373)	(100, 0.1257176381846373)	(105, 0.1257176381846373)	(110, 0.1257176381846373)	(115, 0.1257176381846373)	(120, 0.1257176381846373)	(125, 0.1257176381846373)	(130, 0.1257176381846373)	(135, 0.1257176381846373)	(140, 0.1257176381846373)	(145, 0.1257176381846373)	(150, 0.1257176381846373)	(155, 0.1257176381846373)	(160, 0.1257176381846373)	(165, 0.1257176381846373)	(170, 0.1257176381846373)	(175, 0.1257176381846373)	(180, 0.1257176381846373)	(185, 0.1257176381846373)	(190, 0.1257176381846373)	(195, 0.1257176381846373)	(200, 0.1257176381846373)	(205, 0.1257176381846373)	(210, 0.1257176381846373)	(215, 0.1257176381846373)	(220, 0.1257176381846373)	(225, 0.1257176381846373)	(230, 0.1257176381846373)	(235, 0.1257176381846373)	(240, 0.1257176381846373)	(245, 0.1257176381846373)	(250, 0.1257176381846373)	(255, 0.1257176381846373)	(260, 0.1257176381846373)	(265, 0.1257176381846373)	(270, 0.1257176381846373)	(275, 0.1257176381846373)	(280, 0.1257176381846373)	(285, 0.1257176381846373)	(290, 0.1257176381846373)
SRR6808086_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.000838143930266425)	(55, 0.0010476799128330313)	(60, 0.0018858238430994566)	(65, 0.16280945845425304)	(70, 0.2778447128833199)	(75, 0.28392125637775145)	(80, 0.29020733585474967)	(85, 0.2971220232794477)	(90, 0.2975410952445809)	(95, 0.2975410952445809)	(100, 0.2975410952445809)	(105, 0.2975410952445809)	(110, 0.2975410952445809)	(115, 0.2975410952445809)	(120, 0.2985887751574139)	(125, 0.29963645507024694)	(130, 0.29963645507024694)	(135, 0.29963645507024694)	(140, 0.29963645507024694)	(145, 0.29963645507024694)	(150, 0.29963645507024694)	(155, 0.29963645507024694)	(160, 0.29963645507024694)	(165, 0.29963645507024694)	(170, 0.29963645507024694)	(175, 0.29963645507024694)	(180, 0.29963645507024694)	(185, 0.29963645507024694)	(190, 0.29963645507024694)	(195, 0.29963645507024694)	(200, 0.29963645507024694)	(205, 0.30005552703538013)	(210, 0.30110320694821313)	(215, 0.301731814895913)	(220, 0.301731814895913)	(225, 0.301731814895913)	(230, 0.301731814895913)	(235, 0.301731814895913)	(240, 0.301731814895913)	(245, 0.301731814895913)	(250, 0.301731814895913)	(255, 0.301731814895913)	(260, 0.301731814895913)	(265, 0.301731814895913)	(270, 0.301731814895913)	(275, 0.301731814895913)	(280, 0.301731814895913)	(285, 0.301731814895913)	(290, 0.301731814895913)
SRR6808087_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0005620314063149849)	(6, 0.0005620314063149849)	(7, 0.0005620314063149849)	(8, 0.0005620314063149849)	(9, 0.0005620314063149849)	(10, 0.0005620314063149849)	(15, 0.0005620314063149849)	(20, 0.0005620314063149849)	(25, 0.0005620314063149849)	(30, 0.0010116565313669729)	(35, 0.0011240628126299697)	(40, 0.0011240628126299697)	(45, 0.0011240628126299697)	(50, 0.0022481256252599394)	(55, 0.0022481256252599394)	(60, 0.00820565853219878)	(65, 0.29911311444083494)	(70, 0.5340422422804986)	(75, 0.553488528938997)	(80, 0.5783303170981194)	(85, 0.5910322268808381)	(90, 0.594067196474939)	(95, 0.59485404044378)	(100, 0.595191259287569)	(105, 0.595191259287569)	(110, 0.5955284781313579)	(115, 0.5957532906938839)	(120, 0.596315322100199)	(125, 0.596315322100199)	(130, 0.596315322100199)	(135, 0.596315322100199)	(140, 0.596315322100199)	(145, 0.596315322100199)	(150, 0.596315322100199)	(155, 0.596315322100199)	(160, 0.596315322100199)	(165, 0.596315322100199)	(170, 0.596315322100199)	(175, 0.5965401346627249)	(180, 0.5972145723503028)	(185, 0.5974393849128289)	(190, 0.5974393849128289)	(195, 0.5974393849128289)	(200, 0.5974393849128289)	(205, 0.5974393849128289)	(210, 0.5974393849128289)	(215, 0.5974393849128289)	(220, 0.5974393849128289)	(225, 0.5974393849128289)	(230, 0.5974393849128289)	(235, 0.5974393849128289)	(240, 0.5974393849128289)	(245, 0.5974393849128289)	(250, 0.597551791194092)	(255, 0.5980014163191439)	(260, 0.5980014163191439)	(265, 0.5985634477254589)	(270, 0.5985634477254589)	(275, 0.5985634477254589)	(280, 0.5990130728505108)	(285, 0.5991254791317738)	(290, 0.5991254791317738)
SRR6808088_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00056770604181155)	(65, 0.05866295765386016)	(70, 0.10417405867241943)	(75, 0.10672873586057138)	(80, 0.10786414794419448)	(85, 0.11041882513234647)	(90, 0.11098653117415802)	(95, 0.11117576652142853)	(100, 0.11117576652142853)	(105, 0.11117576652142853)	(110, 0.11145961954233433)	(115, 0.11164885488960483)	(120, 0.11164885488960483)	(125, 0.11164885488960483)	(130, 0.11164885488960483)	(135, 0.11164885488960483)	(140, 0.11164885488960483)	(145, 0.11164885488960483)	(150, 0.11164885488960483)	(155, 0.11164885488960483)	(160, 0.11164885488960483)	(165, 0.11164885488960483)	(170, 0.11164885488960483)	(175, 0.11164885488960483)	(180, 0.11164885488960483)	(185, 0.11164885488960483)	(190, 0.11164885488960483)	(195, 0.11164885488960483)	(200, 0.11164885488960483)	(205, 0.11164885488960483)	(210, 0.11164885488960483)	(215, 0.11164885488960483)	(220, 0.11164885488960483)	(225, 0.11164885488960483)	(230, 0.11164885488960483)	(235, 0.11164885488960483)	(240, 0.11164885488960483)	(245, 0.11164885488960483)	(250, 0.11164885488960483)	(255, 0.11164885488960483)	(260, 0.11164885488960483)	(265, 0.11164885488960483)	(270, 0.11164885488960483)	(275, 0.11164885488960483)	(280, 0.11164885488960483)	(285, 0.11164885488960483)	(290, 0.11164885488960483)
SRR6808089_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00022119000221190003)	(15, 0.00036865000368650004)	(20, 0.0005161100051611)	(25, 0.0007373000073730001)	(30, 0.0007373000073730001)	(35, 0.0007373000073730001)	(40, 0.0007373000073730001)	(45, 0.0010322200103222)	(50, 0.003244120032441201)	(55, 0.0036865000368650003)	(60, 0.007889110078891102)	(65, 0.359065103590651)	(70, 0.6391653763916538)	(75, 0.6615792966157931)	(80, 0.6873847968738479)	(85, 0.6996977069969772)	(90, 0.7024257170242573)	(95, 0.7043426970434268)	(100, 0.7044901570449016)	(105, 0.7044901570449016)	(110, 0.7046376170463763)	(115, 0.704858807048588)	(120, 0.704858807048588)	(125, 0.704858807048588)	(130, 0.704858807048588)	(135, 0.7052274570522745)	(140, 0.7052274570522745)	(145, 0.7052274570522745)	(150, 0.7054486470544866)	(155, 0.7055961070559611)	(160, 0.7055961070559611)	(165, 0.7055961070559611)	(170, 0.7055961070559611)	(175, 0.7055961070559611)	(180, 0.7055961070559611)	(185, 0.7059647570596476)	(190, 0.7059647570596476)	(195, 0.7059647570596476)	(200, 0.7059647570596476)	(205, 0.7065545970655459)	(210, 0.7072181670721817)	(215, 0.7074393570743935)	(220, 0.7074393570743935)	(225, 0.7074393570743935)	(230, 0.7074393570743935)	(235, 0.7074393570743935)	(240, 0.7074393570743935)	(245, 0.7074393570743935)	(250, 0.7074393570743935)	(255, 0.7074393570743935)	(260, 0.7074393570743935)	(265, 0.7074393570743935)	(270, 0.7074393570743935)	(275, 0.7074393570743935)	(280, 0.7077342770773429)	(285, 0.7078080070780801)	(290, 0.7078080070780801)
SRR6808090_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00018370280560109855)	(25, 0.00045925701400274636)	(30, 0.00045925701400274636)	(35, 0.00045925701400274636)	(40, 0.00045925701400274636)	(45, 0.00045925701400274636)	(50, 0.0008266626252049434)	(55, 0.0009185140280054927)	(60, 0.002939244889617577)	(65, 0.2840045374592984)	(70, 0.515378221113882)	(75, 0.5286048231171611)	(80, 0.5404536540784319)	(85, 0.5473425092884731)	(90, 0.5483528747192792)	(95, 0.5483528747192792)	(100, 0.5484447261220797)	(105, 0.5488121317332819)	(110, 0.5492713887472847)	(115, 0.550006199969689)	(120, 0.5501899027752901)	(125, 0.5501899027752901)	(130, 0.5501899027752901)	(135, 0.5501899027752901)	(140, 0.5501899027752901)	(145, 0.5501899027752901)	(150, 0.5501899027752901)	(155, 0.5501899027752901)	(160, 0.5501899027752901)	(165, 0.5501899027752901)	(170, 0.5501899027752901)	(175, 0.5501899027752901)	(180, 0.5501899027752901)	(185, 0.5506491597892929)	(190, 0.5506491597892929)	(195, 0.5506491597892929)	(200, 0.5506491597892929)	(205, 0.5506491597892929)	(210, 0.5506491597892929)	(215, 0.5506491597892929)	(220, 0.5506491597892929)	(225, 0.5506491597892929)	(230, 0.5506491597892929)	(235, 0.5506491597892929)	(240, 0.5506491597892929)	(245, 0.5506491597892929)	(250, 0.5506491597892929)	(255, 0.5506491597892929)	(260, 0.5506491597892929)	(265, 0.5506491597892929)	(270, 0.5506491597892929)	(275, 0.5506491597892929)	(280, 0.5506491597892929)	(285, 0.5506491597892929)	(290, 0.5506491597892929)
SRR6808091_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0007439535177842088)	(55, 0.0007439535177842088)	(60, 0.0007439535177842088)	(65, 0.14045842415765863)	(70, 0.2526466146395173)	(75, 0.26380591740628045)	(80, 0.2746676387659299)	(85, 0.2782386156512941)	(90, 0.2797265226868625)	(95, 0.28061926690820355)	(100, 0.28121442972243094)	(105, 0.28121442972243094)	(110, 0.28121442972243094)	(115, 0.28121442972243094)	(120, 0.2822559646473288)	(125, 0.2827023367579994)	(130, 0.2827023367579994)	(135, 0.2827023367579994)	(140, 0.2827023367579994)	(145, 0.2827023367579994)	(150, 0.2827023367579994)	(155, 0.2827023367579994)	(160, 0.2827023367579994)	(165, 0.2827023367579994)	(170, 0.2827023367579994)	(175, 0.2827023367579994)	(180, 0.2827023367579994)	(185, 0.2827023367579994)	(190, 0.2827023367579994)	(195, 0.2827023367579994)	(200, 0.2827023367579994)	(205, 0.2827023367579994)	(210, 0.2827023367579994)	(215, 0.2827023367579994)	(220, 0.2827023367579994)	(225, 0.2827023367579994)	(230, 0.28314870886866983)	(235, 0.28344629027578355)	(240, 0.28344629027578355)	(245, 0.28344629027578355)	(250, 0.28344629027578355)	(255, 0.28344629027578355)	(260, 0.28344629027578355)	(265, 0.28344629027578355)	(270, 0.28344629027578355)	(275, 0.28344629027578355)	(280, 0.28344629027578355)	(285, 0.28344629027578355)	(290, 0.28344629027578355)
SRR6808092_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0009060474134611463)	(55, 0.0010872568961533757)	(60, 0.005617493963459108)	(65, 0.29609629471910265)	(70, 0.5317592269603468)	(75, 0.5499707799709158)	(80, 0.5736186174622517)	(85, 0.5882059808189762)	(90, 0.5911053325420519)	(95, 0.5913771467660902)	(100, 0.5921019846968592)	(105, 0.5921019846968592)	(110, 0.5924644036622436)	(115, 0.5930080321103204)	(120, 0.593461055817051)	(125, 0.5941858937478198)	(130, 0.594367103230512)	(135, 0.594367103230512)	(140, 0.594367103230512)	(145, 0.594367103230512)	(150, 0.594457707971858)	(155, 0.5948201269372426)	(160, 0.5948201269372426)	(165, 0.5948201269372426)	(170, 0.5948201269372426)	(175, 0.5948201269372426)	(180, 0.5948201269372426)	(185, 0.5948201269372426)	(190, 0.5950013364199348)	(195, 0.5952731506439732)	(200, 0.5952731506439732)	(205, 0.5954543601266654)	(210, 0.5957261743507037)	(215, 0.5957261743507037)	(220, 0.5957261743507037)	(225, 0.5957261743507037)	(230, 0.5957261743507037)	(235, 0.5957261743507037)	(240, 0.5957261743507037)	(245, 0.5957261743507037)	(250, 0.5957261743507037)	(255, 0.5957261743507037)	(260, 0.5957261743507037)	(265, 0.5957261743507037)	(270, 0.5957261743507037)	(275, 0.5957261743507037)	(280, 0.5960885933160882)	(285, 0.5961791980574344)	(290, 0.5961791980574344)
SRR6808093_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.17549485467743345)	(70, 0.31134303122175905)	(75, 0.3154243069119319)	(80, 0.32300381890796726)	(85, 0.3265020552138297)	(90, 0.3265020552138297)	(95, 0.3265020552138297)	(100, 0.3265020552138297)	(105, 0.3265020552138297)	(110, 0.3265020552138297)	(115, 0.3265020552138297)	(120, 0.3265020552138297)	(125, 0.3265020552138297)	(130, 0.3265020552138297)	(135, 0.3265020552138297)	(140, 0.3265020552138297)	(145, 0.3265020552138297)	(150, 0.3265020552138297)	(155, 0.3265020552138297)	(160, 0.3265020552138297)	(165, 0.3265020552138297)	(170, 0.3265020552138297)	(175, 0.3265020552138297)	(180, 0.3265020552138297)	(185, 0.3265020552138297)	(190, 0.3265020552138297)	(195, 0.3265020552138297)	(200, 0.3265020552138297)	(205, 0.3265020552138297)	(210, 0.3265020552138297)	(215, 0.3265020552138297)	(220, 0.3265020552138297)	(225, 0.3265020552138297)	(230, 0.3265020552138297)	(235, 0.3265020552138297)	(240, 0.3265020552138297)	(245, 0.3265020552138297)	(250, 0.3265020552138297)	(255, 0.3265020552138297)	(260, 0.3265020552138297)	(265, 0.3265020552138297)	(270, 0.3265020552138297)	(275, 0.3265020552138297)	(280, 0.3265020552138297)	(285, 0.3265020552138297)	(290, 0.3265020552138297)
SRR6808094_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00018233535117788635)	(25, 0.0003038922519631439)	(30, 0.0003038922519631439)	(35, 0.0003038922519631439)	(40, 0.0003038922519631439)	(45, 0.0003038922519631439)	(50, 0.0006077845039262878)	(55, 0.0006077845039262878)	(60, 0.0014586828094230908)	(65, 0.08150390197651522)	(70, 0.148177862057229)	(75, 0.15462037779884766)	(80, 0.16112367199085892)	(85, 0.164709600564024)	(90, 0.16537816351834295)	(95, 0.16562127731991344)	(100, 0.16562127731991344)	(105, 0.16586439112148396)	(110, 0.16592516957187659)	(115, 0.16592516957187659)	(120, 0.16610750492305448)	(125, 0.16641139717501763)	(130, 0.16653295407580287)	(135, 0.16653295407580287)	(140, 0.16653295407580287)	(145, 0.16653295407580287)	(150, 0.16653295407580287)	(155, 0.16653295407580287)	(160, 0.16653295407580287)	(165, 0.16653295407580287)	(170, 0.16653295407580287)	(175, 0.16653295407580287)	(180, 0.16653295407580287)	(185, 0.16653295407580287)	(190, 0.16653295407580287)	(195, 0.16653295407580287)	(200, 0.16653295407580287)	(205, 0.16653295407580287)	(210, 0.16653295407580287)	(215, 0.16653295407580287)	(220, 0.16653295407580287)	(225, 0.16653295407580287)	(230, 0.16653295407580287)	(235, 0.16653295407580287)	(240, 0.16653295407580287)	(245, 0.16653295407580287)	(250, 0.16653295407580287)	(255, 0.16653295407580287)	(260, 0.16653295407580287)	(265, 0.16653295407580287)	(270, 0.16653295407580287)	(275, 0.16653295407580287)	(280, 0.16653295407580287)	(285, 0.16653295407580287)	(290, 0.16653295407580287)
