Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
SRR6808085_1	(1, 33.52673595105393)	(2, 33.714537149562084)	(3, 33.919121652767885)	(4, 33.91882831161212)	(5, 33.93422872228974)	(6, 37.924171311234964)	(7, 37.926811381636846)	(8, 37.9107823827683)	(9, 37.87306709131291)	(10, 37.916489963541885)	(15, 37.82753216276244)	(20, 37.89719230608055)	(25, 37.55582282194192)	(30, 37.81257176381847)	(35, 37.85219965408518)	(40, 37.13201559486879)	(45, 37.16639138090048)	(50, 37.09662530393226)	(55, 36.494520835080074)	(60, 36.43996394734636)	(65, 36.658204074788294)	(70, 36.56386350297644)	(75, 36.514961851261845)	(80, 36.42736647941645)	(85, 36.508463989268044)	(90, 36.6743258415842)	(95, 36.75410736369925)	(100, 36.55894103590668)	(105, 36.829324837026014)	(110, 36.69061563292598)	(115, 36.558396042509486)	(120, 36.59234493889785)	(125, 36.697025593728384)	(130, 36.79537174838074)	(135, 36.495201961976235)	(140, 36.77029785985286)	(145, 36.74249900433898)	(150, 36.52103884126019)	(155, 36.4622130924183)	(160, 36.1416982832708)	(165, 35.77210053032049)	(170, 36.29378078688662)	(175, 36.24822772339489)	(180, 35.99475548661623)	(185, 35.808384513803006)	(190, 35.947223116509136)	(195, 35.94020877876997)	(200, 35.695778308808116)	(205, 34.46164423762211)	(210, 34.868209449545134)	(215, 34.62209365698235)	(220, 34.40200813314887)	(225, 33.303605416509455)	(230, 33.33233136293129)	(235, 33.31355445801161)	(240, 33.335470076511896)	(245, 33.05926003563568)	(250, 32.08789435069699)	(255, 30.56991510323865)	(260, 30.00018027460434)	(265, 30.300249449743216)	(270, 29.76516926946861)	(275, 28.925718478146944)	(280, 26.848157103208706)	(285, 25.46030165188306)	(290, 23.94515418963963)	(295, 23.217383477764052)	(300, 18.410945459266017)
SRR6808085_2	(1, 33.64516196622386)	(2, 33.735301512802245)	(3, 33.73928257134476)	(4, 33.81584461299921)	(5, 33.79348782634204)	(6, 37.5490927377111)	(7, 37.689980304236684)	(8, 37.56575032477056)	(9, 37.6473410719524)	(10, 37.66767380463479)	(15, 37.04556845325399)	(20, 37.62103675145623)	(25, 37.3341616728827)	(30, 37.36670158823283)	(35, 37.55810532566283)	(40, 37.37410186543701)	(45, 37.53984908824146)	(50, 37.518796897924965)	(55, 37.52033116747013)	(60, 37.421655837350656)	(65, 37.5458310626703)	(70, 35.89630685390903)	(75, 35.57293649130161)	(80, 35.0021588765458)	(85, 35.58539090337456)	(90, 35.367683879333455)	(95, 35.15534595149762)	(100, 34.53451550022008)	(105, 34.9697080215473)	(110, 34.48973568928294)	(115, 34.47581378775493)	(120, 34.75627240143369)	(125, 34.7998993900522)	(130, 34.76810245446352)	(135, 34.77132616487455)	(140, 34.061904462470395)	(145, 33.42946613846444)	(150, 32.854161688570294)	(155, 34.47291705967427)	(160, 34.60066234882308)	(165, 32.207738581818944)	(170, 32.576704605001154)	(175, 31.53437296946069)	(180, 31.29625018340355)	(185, 33.711207528977766)	(190, 27.899526864575318)	(195, 28.37937872055001)	(200, 29.959763561666808)	(205, 29.204770688354152)	(210, 26.507923199463402)	(215, 23.928863083759538)	(220, 22.5319736731785)	(225, 23.909063469439083)	(230, 22.428800201224114)	(235, 21.365394636145606)	(240, 21.326220470790453)	(245, 20.516062632318107)	(250, 20.742096547676443)	(255, 18.22363175215377)	(260, 17.054864066069968)	(265, 15.669461504601003)	(270, 15.447007776636553)	(275, 16.468057098539)	(280, 15.4340538775195)	(285, 15.092700179124023)	(290, 14.039490360123262)	(295, 14.632214935580029)	(300, 15.032520502304958)
SRR6808086_1	(1, 33.427296252448954)	(2, 33.66455384550912)	(3, 33.90060660666953)	(4, 33.904577313539164)	(5, 33.92533185261239)	(6, 37.91551509182914)	(7, 37.91769426604784)	(8, 37.89459292396987)	(9, 37.85241333067921)	(10, 37.89888212553301)	(15, 37.825050026715836)	(20, 37.83960020534526)	(25, 37.5638906641243)	(30, 37.80817818939958)	(35, 37.82842469337123)	(40, 36.990109970751334)	(45, 37.160098124521696)	(50, 36.75439096751198)	(55, 36.483584061055254)	(60, 36.482097516485126)	(65, 36.734076256172095)	(70, 36.57772489490402)	(75, 36.581090062795504)	(80, 36.240467978488084)	(85, 36.40811623981801)	(90, 36.433831993206766)	(95, 36.6930526580633)	(100, 36.425531245741126)	(105, 36.71012171214711)	(110, 36.52877585465829)	(115, 36.45550535177012)	(120, 36.56440260407384)	(125, 36.48562832192391)	(130, 36.55612072670853)	(135, 36.20385788717777)	(140, 36.630898319667914)	(145, 36.55666450003145)	(150, 36.25255488226784)	(155, 36.16502841087791)	(160, 35.986436164636324)	(165, 35.670983163147625)	(170, 36.136825110603226)	(175, 35.94959428008303)	(180, 35.86734950621684)	(185, 35.45278133059359)	(190, 35.77479923678527)	(195, 35.58868806743128)	(200, 35.15067829660537)	(205, 33.64548256557566)	(210, 34.300050321850165)	(215, 33.745482565575664)	(220, 33.905858302056906)	(225, 32.927496697628584)	(230, 32.45791625605435)	(235, 31.846702870442204)	(240, 32.40133143228566)	(245, 31.590618844659986)	(250, 31.17869266656183)	(255, 29.535333647848194)	(260, 28.455186874246476)	(265, 28.83151858258636)	(270, 28.793365763650087)	(275, 26.72368741088652)	(280, 24.840445443863764)	(285, 23.8039756762424)	(290, 21.907502496810984)	(295, 22.264233145043494)	(300, 17.493334110524277)
SRR6808086_2	(1, 33.56175549246194)	(2, 33.65625622059948)	(3, 33.6363293486574)	(4, 33.75320851973305)	(5, 33.744051797294894)	(6, 37.42754769562803)	(7, 37.56516045217865)	(8, 37.42959067145806)	(9, 37.546375551341555)	(10, 37.59009313874425)	(15, 37.00190468208153)	(20, 37.35325042692956)	(25, 37.16552085406867)	(30, 37.26765707341094)	(35, 37.48718948791816)	(40, 37.285952717932595)	(45, 37.45325784976673)	(50, 37.412249305446345)	(55, 37.42721601929024)	(60, 37.32140273627929)	(65, 37.442451119148714)	(70, 35.24516223724905)	(75, 35.71995177438801)	(80, 34.94286523038214)	(85, 35.24887351260681)	(90, 35.561830476490016)	(95, 35.27904597158883)	(100, 33.822104104418926)	(105, 34.70820778948472)	(110, 34.27194212926561)	(115, 34.28624416837029)	(120, 33.903792000838706)	(125, 34.097937830895845)	(130, 33.78425538606699)	(135, 34.025509251978825)	(140, 32.92813086546388)	(145, 32.74541947117905)	(150, 31.381610786102197)	(155, 33.905397244763165)	(160, 33.50724665031138)	(165, 31.823981464007886)	(170, 31.7554989411)	(175, 30.12760898282695)	(180, 30.812828416263027)	(185, 31.855750560902475)	(190, 25.528753852928226)	(195, 27.255687655951856)	(200, 27.934555786207046)	(205, 27.328684657482547)	(210, 24.81138369923046)	(215, 22.16013084229729)	(220, 22.133138327986412)	(225, 22.005340630307607)	(230, 20.5608898953681)	(235, 21.047528883856494)	(240, 19.797074919796188)	(245, 19.974316850511645)	(250, 18.78541218901039)	(255, 18.097203845629632)	(260, 15.96518593849928)	(265, 14.73126933036978)	(270, 15.20080729712728)	(275, 15.099771440553576)	(280, 14.740162706967428)	(285, 14.704198489742506)	(290, 13.674305337114825)	(295, 14.018325971499252)	(300, 12.64028341902051)
SRR6808087_1	(1, 33.47940716927262)	(2, 33.6517709609613)	(3, 33.86640513471893)	(4, 33.87370592268696)	(5, 33.88077065746434)	(6, 37.86174027404651)	(7, 37.85889639513056)	(8, 37.84297966570372)	(9, 37.810179512831176)	(10, 37.84337083956252)	(15, 37.75493969403011)	(20, 37.819930757730745)	(25, 37.312696289468654)	(30, 37.72062880073739)	(35, 37.82542737977511)	(40, 36.966050469685385)	(45, 37.10705552244858)	(50, 37.18779112665664)	(55, 36.299921709107096)	(60, 36.26308999778514)	(65, 36.298366583681606)	(70, 36.46173412488313)	(75, 36.44252402248482)	(80, 36.070684119813905)	(85, 36.26807065370448)	(90, 36.281411722296696)	(95, 36.489505581777834)	(100, 36.27982111275079)	(105, 36.4809408477994)	(110, 36.36938282714134)	(115, 36.17416258779663)	(120, 36.25350651398831)	(125, 36.33480153879949)	(130, 36.38562472893585)	(135, 36.06293982798339)	(140, 36.49644368907876)	(145, 36.363152054524456)	(150, 36.09747599064973)	(155, 36.01611513222745)	(160, 35.846887655955165)	(165, 35.6278863322725)	(170, 36.01299582051889)	(175, 35.73649441797064)	(180, 35.668149199589934)	(185, 35.43396419840706)	(190, 35.613240280734956)	(195, 35.43164347041378)	(200, 35.16222518884026)	(205, 34.19272534194132)	(210, 34.6001944897202)	(215, 34.203371881460285)	(220, 33.92088583765509)	(225, 32.83870376651239)	(230, 33.16869565022535)	(235, 32.99627568212934)	(240, 33.536161559260925)	(245, 32.74927100530214)	(250, 31.4143194512271)	(255, 29.77562710729819)	(260, 29.322921670195758)	(265, 30.029371175681014)	(270, 30.126373005010368)	(275, 28.46530050765825)	(280, 26.100606520770345)	(285, 25.064627797435257)	(290, 23.64555709666345)	(295, 23.065373047621684)	(300, 19.095914669775254)
SRR6808087_2	(1, 33.44796151208929)	(2, 33.49137843822713)	(3, 33.47696233265515)	(4, 33.60613401076852)	(5, 33.60543709182469)	(6, 37.29760687027191)	(7, 37.3950069129863)	(8, 37.2896316446163)	(9, 37.35839618717894)	(10, 37.41006710654991)	(15, 36.80749862302306)	(20, 37.36975146971213)	(25, 37.06253273832942)	(30, 37.10623967267291)	(35, 37.33549315497425)	(40, 37.146053339739886)	(45, 37.30683244160424)	(50, 37.28884946182052)	(55, 37.29288904659716)	(60, 37.18009072043837)	(65, 37.36583794257133)	(70, 36.064291266291924)	(75, 35.28285701411497)	(80, 35.73029255049509)	(85, 35.83747620281398)	(90, 34.89733471516599)	(95, 35.24915231325546)	(100, 34.84464859019274)	(105, 35.05179844769125)	(110, 34.49600246264163)	(115, 34.912491832826404)	(120, 35.302556043708464)	(125, 35.087797679396196)	(130, 35.17763996845781)	(135, 35.29099132589839)	(140, 34.62994773715512)	(145, 34.14168440974686)	(150, 33.93500399923395)	(155, 35.14796940304392)	(160, 35.10981558462041)	(165, 32.878923473813465)	(170, 33.72462697076036)	(175, 32.63520134284893)	(180, 31.49289878501462)	(185, 34.78329099378707)	(190, 29.68782141911645)	(195, 29.89368752513056)	(200, 30.997237649974654)	(205, 31.25269903621531)	(210, 28.033825530673266)	(215, 25.20836046550928)	(220, 23.682335149774996)	(225, 25.06834388067355)	(230, 23.345451472556626)	(235, 22.65061936334293)	(240, 22.92516040355789)	(245, 21.60022958522506)	(250, 22.179449806370126)	(255, 19.297481917122962)	(260, 17.543535923654975)	(265, 16.980169420064474)	(270, 15.734051352802956)	(275, 16.734641060453274)	(280, 15.425938646645786)	(285, 15.274563380281688)	(290, 14.523621953931984)	(295, 14.930559548898305)	(300, 16.10883747459078)
SRR6808088_1	(1, 33.55884509667561)	(2, 33.72937926075212)	(3, 33.92162818092792)	(4, 33.92437209346334)	(5, 33.924069316907705)	(6, 37.91812732700341)	(7, 37.90911026270597)	(8, 37.89541908533095)	(9, 37.87448965592283)	(10, 37.90722642482389)	(15, 37.844797683759346)	(20, 37.90022471697488)	(25, 37.35764818310412)	(30, 37.805250334710024)	(35, 37.853184639895844)	(40, 37.13201277955271)	(45, 37.12075162702639)	(50, 37.34363649272275)	(55, 36.57683398414389)	(60, 36.59297029937285)	(65, 36.65480818838007)	(70, 36.617684061057865)	(75, 36.80447662998462)	(80, 36.48920506448941)	(85, 36.66944124955627)	(90, 36.605848301976096)	(95, 36.87393526889253)	(100, 36.48492160546609)	(105, 36.7312611897297)	(110, 36.643154795713585)	(115, 36.54703226172896)	(120, 36.68729315763565)	(125, 36.6789607709493)	(130, 36.688404521185966)	(135, 36.423199477450865)	(140, 36.821025404823224)	(145, 36.67659042714329)	(150, 36.40296595728567)	(155, 36.32787886246592)	(160, 36.06237219781884)	(165, 35.922747841563165)	(170, 36.3594355877007)	(175, 36.107490154498635)	(180, 36.119630415025746)	(185, 35.71183732202363)	(190, 35.88822137231142)	(195, 35.624579672826414)	(200, 35.47327325053014)	(205, 34.28924378976068)	(210, 35.12101120983468)	(215, 34.33907309846021)	(220, 34.221020244908004)	(225, 33.82365704941126)	(230, 34.01722600372997)	(235, 34.2224805963138)	(240, 33.552587557570966)	(245, 33.159634764580304)	(250, 31.688705012277183)	(255, 30.88731503659033)	(260, 30.712984965341303)	(265, 31.070916466673292)	(270, 31.263937384659137)	(275, 29.14857754172702)	(280, 26.849634089768717)	(285, 25.85934372840278)	(290, 24.43380111159051)	(295, 24.295127743992527)	(300, 20.217804337558203)
SRR6808088_2	(1, 33.703193819573556)	(2, 33.797735799069905)	(3, 33.78897893337496)	(4, 33.852547817406816)	(5, 33.835265899317335)	(6, 37.622863414657225)	(7, 37.723744778287134)	(8, 37.621534036342645)	(9, 37.68653637813007)	(10, 37.717208589392406)	(15, 37.23294114307612)	(20, 37.69818570610805)	(25, 37.38453757977452)	(30, 37.429632363029086)	(35, 37.627395612796796)	(40, 37.445657946428994)	(45, 37.60919766555751)	(50, 37.59084966701535)	(55, 37.55653544499719)	(60, 37.49781465511121)	(65, 37.65321885161711)	(70, 36.3133681385519)	(75, 35.75395487312504)	(80, 36.51552177061688)	(85, 36.47574063643377)	(90, 35.85839230183035)	(95, 35.886224262791686)	(100, 35.634104810851824)	(105, 35.94025441128455)	(110, 35.60660204100952)	(115, 35.82995531741675)	(120, 35.93977317909007)	(125, 35.80735463960467)	(130, 35.71609330329251)	(135, 36.008636423878684)	(140, 35.17101204223417)	(145, 34.762679339774024)	(150, 34.62418240943667)	(155, 35.82727715953253)	(160, 35.65453159835464)	(165, 33.70982150041891)	(170, 34.6094707494521)	(175, 33.27504271966903)	(180, 31.6103379232324)	(185, 35.8292425009822)	(190, 30.25590525463763)	(195, 30.94902797960816)	(200, 31.31748121991281)	(205, 32.44506747577641)	(210, 28.719257082296007)	(215, 25.57323487645555)	(220, 24.41071002556092)	(225, 25.775986306024027)	(230, 23.383299173052983)	(235, 23.54704816691814)	(240, 23.4921451495328)	(245, 22.92583760141628)	(250, 23.10439514776294)	(255, 20.071138334532513)	(260, 17.46134452985951)	(265, 18.255925512174805)	(270, 17.111273196072325)	(275, 18.39359157029723)	(280, 15.70487235684227)	(285, 16.089521095558403)	(290, 15.126275398453842)	(295, 15.893275885887647)	(300, 15.548096251362043)
SRR6808089_1	(1, 33.479838531298384)	(2, 33.665527538155274)	(3, 33.878581434785815)	(4, 33.884903782349035)	(5, 33.891119221411195)	(6, 37.872159551721595)	(7, 37.868856447688565)	(8, 37.8507299270073)	(9, 37.82460738774608)	(10, 37.854768856447684)	(15, 37.77311951633119)	(20, 37.82948388999484)	(25, 37.381497456314975)	(30, 37.73562928555629)	(35, 37.79677673636617)	(40, 37.038359948591435)	(45, 37.16771163830161)	(50, 37.198041595749004)	(55, 36.45206854525982)	(60, 36.533697404121014)	(65, 36.28991648177831)	(70, 36.480065483376876)	(75, 36.46761899131409)	(80, 36.08318714152229)	(85, 36.22563422624214)	(90, 36.257232339721455)	(95, 36.36875138887191)	(100, 36.099520560029205)	(105, 36.22768604903041)	(110, 36.18496869863899)	(115, 36.2628708611106)	(120, 36.199977239519455)	(125, 36.32234915217929)	(130, 36.397940246354615)	(135, 36.07427256763363)	(140, 36.38339945817931)	(145, 36.21189621353501)	(150, 36.031074437553784)	(155, 35.95828202277487)	(160, 35.523903271440545)	(165, 35.403878316884345)	(170, 35.85055179907899)	(175, 35.73195634107153)	(180, 35.409795592722006)	(185, 35.23776493817108)	(190, 35.3347908716061)	(195, 35.29443591691491)	(200, 35.25256093294964)	(205, 33.83009108073061)	(210, 34.63913415610667)	(215, 34.079763761428346)	(220, 33.84397227657974)	(225, 33.20901185896498)	(230, 32.93726814303754)	(235, 33.13433727022609)	(240, 32.7545368134996)	(245, 32.65356596650141)	(250, 31.483898713403356)	(255, 29.785902217457874)	(260, 29.18547805846999)	(265, 29.718495926785913)	(270, 29.844008276719553)	(275, 28.22947114861355)	(280, 25.771352472250452)	(285, 24.816812987671145)	(290, 23.33883578497969)	(295, 23.040922289791297)	(300, 18.850727318809327)
SRR6808089_2	(1, 33.377294846272946)	(2, 33.452890216028905)	(3, 33.45856742608567)	(4, 33.622568753225686)	(5, 33.612659441126596)	(6, 37.241727493917274)	(7, 37.378024773280245)	(8, 37.22246184472462)	(9, 37.35216397552164)	(10, 37.40379193393792)	(15, 36.84885939688859)	(20, 37.348849074688495)	(25, 37.084964240949645)	(30, 37.10147460001475)	(35, 37.325725025274366)	(40, 37.136579347842144)	(45, 37.288112686670026)	(50, 37.26365660492703)	(55, 37.21833339489528)	(60, 37.18100536161695)	(65, 37.33381267646772)	(70, 36.05510957020876)	(75, 35.45591390512332)	(80, 35.872758972237406)	(85, 35.86493772255138)	(90, 35.44123387656801)	(95, 35.22929440989549)	(100, 34.928667273390914)	(105, 34.95514551834587)	(110, 34.69862364987663)	(115, 34.77545250373085)	(120, 35.23390600004599)	(125, 35.09088262889987)	(130, 35.097082989739086)	(135, 35.23294024285989)	(140, 34.51824217976849)	(145, 33.991159147110764)	(150, 33.71763515061065)	(155, 35.10252753991533)	(160, 34.989688139550346)	(165, 32.735649083661805)	(170, 33.695292428666036)	(175, 32.3880508023761)	(180, 31.312112894586157)	(185, 34.68233702709615)	(190, 29.283877736484737)	(195, 29.745590561912007)	(200, 30.6725518537507)	(205, 30.90945680359285)	(210, 27.59410881812345)	(215, 24.99269705346095)	(220, 23.46603559149891)	(225, 24.69189272575385)	(230, 23.024417078943912)	(235, 22.391984469336805)	(240, 22.340714115115652)	(245, 21.139352947678628)	(250, 21.688505215576924)	(255, 18.969629929160124)	(260, 17.023333946335242)	(265, 16.36831424887027)	(270, 15.531092637105667)	(275, 16.89736572392252)	(280, 15.615356359987086)	(285, 15.36114015321068)	(290, 14.10564535249529)	(295, 14.659672292225588)	(300, 15.376848142849521)
