Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR6808085_1	(2.0, 18.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 2.0)	(16.0, 13.0)	(17.0, 18.0)	(18.0, 107.0)	(19.0, 181.0)	(20.0, 255.0)	(21.0, 270.0)	(22.0, 294.0)	(23.0, 328.0)	(24.0, 380.0)	(25.0, 387.0)	(26.0, 423.0)	(27.0, 488.0)	(28.0, 610.0)	(29.0, 766.0)	(30.0, 1033.0)	(31.0, 1286.0)	(32.0, 1756.0)	(33.0, 2678.0)	(34.0, 4357.0)	(35.0, 7917.0)	(36.0, 15456.0)	(37.0, 8699.0)
SRR6808085_2	(2.0, 16.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 10.0)	(12.0, 79.0)	(13.0, 78.0)	(14.0, 86.0)	(15.0, 92.0)	(16.0, 96.0)	(17.0, 101.0)	(18.0, 123.0)	(19.0, 315.0)	(20.0, 624.0)	(21.0, 885.0)	(22.0, 906.0)	(23.0, 962.0)	(24.0, 1071.0)	(25.0, 1332.0)	(26.0, 1622.0)	(27.0, 2218.0)	(28.0, 3228.0)	(29.0, 4354.0)	(30.0, 5759.0)	(31.0, 7366.0)	(32.0, 7826.0)	(33.0, 5870.0)	(34.0, 2384.0)	(35.0, 314.0)	(36.0, 8.0)	(37.0, 1.0)
SRR6808086_1	(2.0, 60.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 15.0)	(16.0, 47.0)	(17.0, 71.0)	(18.0, 275.0)	(19.0, 577.0)	(20.0, 642.0)	(21.0, 657.0)	(22.0, 662.0)	(23.0, 709.0)	(24.0, 768.0)	(25.0, 839.0)	(26.0, 976.0)	(27.0, 1154.0)	(28.0, 1541.0)	(29.0, 1929.0)	(30.0, 2425.0)	(31.0, 3114.0)	(32.0, 4530.0)	(33.0, 6642.0)	(34.0, 10433.0)	(35.0, 18132.0)	(36.0, 27275.0)	(37.0, 11975.0)
SRR6808086_2	(2.0, 64.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 27.0)	(12.0, 207.0)	(13.0, 236.0)	(14.0, 265.0)	(15.0, 266.0)	(16.0, 227.0)	(17.0, 240.0)	(18.0, 313.0)	(19.0, 976.0)	(20.0, 1776.0)	(21.0, 2079.0)	(22.0, 2195.0)	(23.0, 2428.0)	(24.0, 2664.0)	(25.0, 3246.0)	(26.0, 3961.0)	(27.0, 5409.0)	(28.0, 7434.0)	(29.0, 10067.0)	(30.0, 12732.0)	(31.0, 14323.0)	(32.0, 12724.0)	(33.0, 8066.0)	(34.0, 3115.0)	(35.0, 404.0)	(36.0, 2.0)	(37.0, 2.0)
SRR6808087_1	(2.0, 381.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 4.0)	(14.0, 3.0)	(15.0, 16.0)	(16.0, 60.0)	(17.0, 123.0)	(18.0, 867.0)	(19.0, 1629.0)	(20.0, 1703.0)	(21.0, 1520.0)	(22.0, 1267.0)	(23.0, 1384.0)	(24.0, 1322.0)	(25.0, 1406.0)	(26.0, 1687.0)	(27.0, 1905.0)	(28.0, 2428.0)	(29.0, 2884.0)	(30.0, 3559.0)	(31.0, 4665.0)	(32.0, 6346.0)	(33.0, 9704.0)	(34.0, 16161.0)	(35.0, 29668.0)	(36.0, 56203.0)	(37.0, 31030.0)
SRR6808087_2	(2.0, 381.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 6.0)	(11.0, 98.0)	(12.0, 658.0)	(13.0, 603.0)	(14.0, 618.0)	(15.0, 571.0)	(16.0, 558.0)	(17.0, 547.0)	(18.0, 528.0)	(19.0, 897.0)	(20.0, 1883.0)	(21.0, 2509.0)	(22.0, 2589.0)	(23.0, 2760.0)	(24.0, 3085.0)	(25.0, 3670.0)	(26.0, 4627.0)	(27.0, 6175.0)	(28.0, 8894.0)	(29.0, 12938.0)	(30.0, 18304.0)	(31.0, 25534.0)	(32.0, 32025.0)	(33.0, 29672.0)	(34.0, 14977.0)	(35.0, 2734.0)	(36.0, 74.0)	(37.0, 10.0)
SRR6808088_1	(2.0, 102.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 24.0)	(16.0, 74.0)	(17.0, 139.0)	(18.0, 468.0)	(19.0, 1090.0)	(20.0, 1322.0)	(21.0, 1355.0)	(22.0, 1355.0)	(23.0, 1316.0)	(24.0, 1429.0)	(25.0, 1581.0)	(26.0, 1901.0)	(27.0, 2089.0)	(28.0, 2561.0)	(29.0, 2950.0)	(30.0, 3783.0)	(31.0, 5038.0)	(32.0, 6937.0)	(33.0, 10434.0)	(34.0, 17820.0)	(35.0, 33310.0)	(36.0, 68533.0)	(37.0, 45761.0)
SRR6808088_2	(2.0, 106.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 3.0)	(11.0, 36.0)	(12.0, 231.0)	(13.0, 268.0)	(14.0, 334.0)	(15.0, 314.0)	(16.0, 310.0)	(17.0, 356.0)	(18.0, 395.0)	(19.0, 634.0)	(20.0, 1429.0)	(21.0, 2182.0)	(22.0, 2501.0)	(23.0, 2794.0)	(24.0, 3312.0)	(25.0, 3874.0)	(26.0, 4809.0)	(27.0, 6552.0)	(28.0, 9302.0)	(29.0, 14111.0)	(30.0, 20255.0)	(31.0, 28645.0)	(32.0, 39046.0)	(33.0, 40309.0)	(34.0, 23876.0)	(35.0, 5199.0)	(36.0, 184.0)	(37.0, 9.0)
SRR6808089_1	(2.0, 488.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 4.0)	(14.0, 14.0)	(15.0, 38.0)	(16.0, 83.0)	(17.0, 175.0)	(18.0, 1531.0)	(19.0, 2461.0)	(20.0, 2525.0)	(21.0, 2286.0)	(22.0, 2205.0)	(23.0, 2167.0)	(24.0, 2234.0)	(25.0, 2365.0)	(26.0, 2666.0)	(27.0, 3004.0)	(28.0, 3436.0)	(29.0, 4255.0)	(30.0, 5449.0)	(31.0, 7301.0)	(32.0, 10214.0)	(33.0, 15733.0)	(34.0, 26024.0)	(35.0, 46244.0)	(36.0, 83251.0)	(37.0, 45103.0)
SRR6808089_2	(2.0, 528.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 3.0)	(10.0, 14.0)	(11.0, 144.0)	(12.0, 1125.0)	(13.0, 960.0)	(14.0, 990.0)	(15.0, 902.0)	(16.0, 802.0)	(17.0, 842.0)	(18.0, 851.0)	(19.0, 1363.0)	(20.0, 2806.0)	(21.0, 3765.0)	(22.0, 3892.0)	(23.0, 4186.0)	(24.0, 4817.0)	(25.0, 5598.0)	(26.0, 7292.0)	(27.0, 10134.0)	(28.0, 14476.0)	(29.0, 21242.0)	(30.0, 29746.0)	(31.0, 40923.0)	(32.0, 49099.0)	(33.0, 41801.0)	(34.0, 19642.0)	(35.0, 3179.0)	(36.0, 106.0)	(37.0, 32.0)
SRR6808090_1	(2.0, 339.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 5.0)	(15.0, 18.0)	(16.0, 62.0)	(17.0, 154.0)	(18.0, 1076.0)	(19.0, 1651.0)	(20.0, 1647.0)	(21.0, 1589.0)	(22.0, 1569.0)	(23.0, 1513.0)	(24.0, 1563.0)	(25.0, 1748.0)	(26.0, 1981.0)	(27.0, 2352.0)	(28.0, 2882.0)	(29.0, 3497.0)	(30.0, 4302.0)	(31.0, 5507.0)	(32.0, 7729.0)	(33.0, 11713.0)	(34.0, 19002.0)	(35.0, 34612.0)	(36.0, 70714.0)	(37.0, 40516.0)
