Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR6808085_1	(30, 18.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 1.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 4.0)	(290, 401.0)	(300, 47300.0)
SRR6808085_2	(30, 16.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 1.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 3.0)	(290, 4338.0)	(300, 43366.0)
SRR6808086_1	(30, 60.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 1.0)	(140, 2.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 0.0)	(240, 1.0)	(250, 0.0)	(260, 1.0)	(270, 0.0)	(280, 5.0)	(290, 707.0)	(300, 94672.0)
SRR6808086_2	(30, 64.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 1.0)	(140, 2.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 0.0)	(240, 1.0)	(250, 0.0)	(260, 1.0)	(270, 0.0)	(280, 3.0)	(290, 14483.0)	(300, 80894.0)
SRR6808087_1	(30, 381.0)	(40, 2.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 1.0)	(120, 0.0)	(130, 0.0)	(140, 6.0)	(150, 0.0)	(160, 1.0)	(170, 0.0)	(180, 0.0)	(190, 3.0)	(200, 3.0)	(210, 1.0)	(220, 5.0)	(230, 2.0)	(240, 6.0)	(250, 2.0)	(260, 6.0)	(270, 4.0)	(280, 19.0)	(290, 2970.0)	(300, 174513.0)
SRR6808087_2	(30, 381.0)	(40, 2.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 2.0)	(120, 0.0)	(130, 0.0)	(140, 6.0)	(150, 0.0)	(160, 1.0)	(170, 0.0)	(180, 0.0)	(190, 3.0)	(200, 3.0)	(210, 1.0)	(220, 4.0)	(230, 1.0)	(240, 4.0)	(250, 1.0)	(260, 5.0)	(270, 2.0)	(280, 9.0)	(290, 17499.0)	(300, 160001.0)
SRR6808088_1	(30, 102.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 2.0)	(110, 0.0)	(120, 0.0)	(130, 1.0)	(140, 7.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 1.0)	(220, 1.0)	(230, 1.0)	(240, 0.0)	(250, 3.0)	(260, 1.0)	(270, 3.0)	(280, 0.0)	(290, 3380.0)	(300, 207874.0)
SRR6808088_2	(30, 106.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 2.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 7.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 1.0)	(220, 1.0)	(230, 1.0)	(240, 0.0)	(250, 2.0)	(260, 0.0)	(270, 3.0)	(280, 0.0)	(290, 20552.0)	(300, 190701.0)
SRR6808089_1	(30, 488.0)	(40, 1.0)	(50, 1.0)	(60, 4.0)	(70, 3.0)	(80, 0.0)	(90, 1.0)	(100, 7.0)	(110, 0.0)	(120, 2.0)	(130, 3.0)	(140, 13.0)	(150, 0.0)	(160, 1.0)	(170, 2.0)	(180, 1.0)	(190, 6.0)	(200, 2.0)	(210, 4.0)	(220, 9.0)	(230, 6.0)	(240, 9.0)	(250, 26.0)	(260, 6.0)	(270, 17.0)	(280, 18.0)	(290, 3609.0)	(300, 267021.0)
SRR6808089_2	(30, 528.0)	(40, 1.0)	(50, 1.0)	(60, 3.0)	(70, 3.0)	(80, 0.0)	(90, 1.0)	(100, 7.0)	(110, 0.0)	(120, 2.0)	(130, 3.0)	(140, 13.0)	(150, 0.0)	(160, 1.0)	(170, 2.0)	(180, 1.0)	(190, 6.0)	(200, 2.0)	(210, 4.0)	(220, 9.0)	(230, 6.0)	(240, 8.0)	(250, 16.0)	(260, 4.0)	(270, 10.0)	(280, 7.0)	(290, 21466.0)	(300, 249156.0)
SRR6808090_1	(30, 340.0)	(40, 1.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 1.0)	(120, 3.0)	(130, 0.0)	(140, 3.0)	(150, 0.0)	(160, 0.0)	(170, 1.0)	(180, 1.0)	(190, 0.0)	(200, 3.0)	(210, 1.0)	(220, 2.0)	(230, 1.0)	(240, 1.0)	(250, 5.0)	(260, 3.0)	(270, 3.0)	(280, 9.0)	(290, 1810.0)	(300, 215554.0)
