Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
10296.A	25.54141459647316	57.931361822628446
10296.B	26.160326398251687	57.810558595712095
10296.C	30.414999920314916	55.21857618690929
10296.D	29.07301140874141	54.712815743911875
10296.E	39.078466670196434	47.676973579710975
10296.F	37.766281855804834	47.28272707471139
10296.G	27.896024535085402	55.045428961968284
10296.H	36.290794930065836	51.772368390225616
10296.I	29.379299722764145	54.6069069377418
10296.J	25.874373250484485	57.8209111323018
10296.K	33.61648808262468	55.96882226665067
10296.L	34.00574051889789	51.653414161554544
10296.M	25.327245834081445	58.962389172459176
10296.N	45.01314792530196	41.99759326113118
10296.O	37.217659527590165	48.97700249956315
10296.P	21.11842608059568	62.36284432216435
10296.Q	24.80643569097486	59.1559049085404
10296.R	35.104336052138876	50.748589309198806
10296.S	35.06582597730139	51.02446406052964
10296.T	32.30173662925237	53.59436839031985
