Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
10296.A	(1, 32.90051003990217)	(2, 32.91880390011585)	(3, 32.975527738447674)	(4, 32.941739606126916)	(5, 32.5720330801905)	(6, 33.99679817222294)	(7, 33.58376238898185)	(8, 32.79333730209808)	(9, 33.30601589651178)	(10, 35.559890269017885)	(15, 37.29369288196679)	(20, 37.59021592225512)	(25, 37.29248133607929)	(30, 38.40657581413309)	(35, 37.51986581284593)	(40, 37.94905232333634)	(45, 37.0772718496589)	(50, 37.38632706912087)	(55, 36.02715922255116)	(60, 37.49798719268889)	(65, 36.848086948127175)	(70, 37.29183775260651)	(75, 37.29793731496975)	(80, 36.626217981722235)	(85, 37.28781696486034)	(90, 36.89019500579225)	(95, 36.07432745527095)	(100, 36.99458907195263)	(105, 37.70700701505986)	(110, 37.903222744239926)	(115, 37.75403848629167)	(120, 38.29238479855837)	(125, 37.62545533530699)	(130, 37.82314487063972)	(135, 37.54435416398507)	(140, 38.17041929463251)	(145, 37.52424861629554)	(150, 36.976905007079424)	(155, 37.87412633543571)	(160, 37.66723677435964)	(165, 37.20131773716051)	(170, 37.55178433517827)	(175, 37.09330512292444)	(180, 36.180990153172864)	(185, 35.24270819925344)	(190, 36.12143834837791)	(195, 36.07506953278641)	(200, 36.11688213714367)	(205, 36.593325717227955)	(210, 35.549688260787725)	(215, 36.319806156728376)	(220, 35.95822819645433)	(225, 36.289055028367024)	(230, 36.407272958974275)	(235, 35.82849965907559)	(240, 35.546602862262446)	(245, 33.6375091257763)	(250, 31.433825039507628)	(255, 30.26539981757373)	(260, 28.812424242424242)	(265, 29.176315789473684)	(270, 27.329824561403505)	(275, 28.384313725490195)	(280, 28.31985294117647)	(285, 26.91821428571429)	(290, 25.854545454545455)	(295, 22.569444444444443)
10296.B	(1, 32.87390840757484)	(2, 32.8760321111023)	(3, 32.9526352429041)	(4, 32.93874745552119)	(5, 32.48236268626466)	(6, 34.07517558005305)	(7, 33.710057190190426)	(8, 32.82743366730995)	(9, 33.21763114530186)	(10, 35.576672746979675)	(15, 37.29432063517241)	(20, 37.60246032375464)	(25, 37.3350640195275)	(30, 38.3964064468942)	(35, 37.50770966064804)	(40, 37.97222795005331)	(45, 37.02478652814128)	(50, 37.371477163578035)	(55, 36.04518289405275)	(60, 37.41782677276372)	(65, 36.925462412209974)	(70, 37.37409434178409)	(75, 37.28859104167218)	(80, 36.651917061005804)	(85, 37.29657828182691)	(90, 36.958886509635974)	(95, 36.100813352014875)	(100, 37.12763017597659)	(105, 37.62291132436267)	(110, 37.84759210792997)	(115, 37.69671046254439)	(120, 38.30712277826244)	(125, 37.59480970382707)	(130, 37.75099796441695)	(135, 37.487796194957745)	(140, 38.070117464597594)	(145, 37.34136992095593)	(150, 36.7772895903279)	(155, 37.70523171279774)	(160, 37.360446242102206)	(165, 36.739928269930644)	(170, 37.31264264502427)	(175, 36.71630316969361)	(180, 35.58130083450093)	(185, 34.568373560331686)	(190, 35.81946052643174)	(195, 35.514054211199195)	(200, 35.68384186167249)	(205, 36.29591036409541)	(210, 34.99956641668062)	(215, 35.90888718686075)	(220, 35.36256946724615)	(225, 35.83975808802055)	(230, 35.82477415943242)	(235, 35.3892894435467)	(240, 35.427102063725115)	(245, 32.62610572402592)	(250, 31.619196030922687)	(255, 29.505447963800908)	(260, 28.679142857142857)	(265, 27.596842105263157)	(270, 27.431578947368422)	(275, 27.323873409012727)	(280, 27.547205882352944)	(285, 26.314285714285717)	(290, 25.6)	(295, 26.3968253968254)
10296.C	(1, 32.95925701627169)	(2, 32.903190590785215)	(3, 32.98324222672)	(4, 32.9781184757837)	(5, 32.563700256585975)	(6, 33.940220249573684)	(7, 33.58551803273463)	(8, 32.74792420354758)	(9, 33.29284268570609)	(10, 35.7263917000016)	(15, 37.27737421709404)	(20, 37.618941144596555)	(25, 37.316021483098794)	(30, 38.42751525969369)	(35, 37.53469488581128)	(40, 37.943806078378245)	(45, 37.158144612491434)	(50, 37.36661035587359)	(55, 35.99287934084498)	(60, 37.39590737405772)	(65, 36.92182415095543)	(70, 37.55998533794444)	(75, 37.397708256968464)	(80, 36.82381468436738)	(85, 37.371616172884764)	(90, 37.14805169968285)	(95, 36.30049404752418)	(100, 37.225523132580044)	(105, 37.59753613718584)	(110, 37.87866670916539)	(115, 37.73870145186224)	(120, 38.313825362168714)	(125, 37.56041244999761)	(130, 37.68990071238466)	(135, 37.5210559867404)	(140, 38.06862320110922)	(145, 37.31639440929446)	(150, 36.78655393883373)	(155, 37.751192885715646)	(160, 37.47156358072896)	(165, 36.831764068401675)	(170, 37.39888281511467)	(175, 36.912136038376346)	(180, 35.75884584123544)	(185, 34.839224186016864)	(190, 35.836257531533775)	(195, 35.68406682868044)	(200, 35.86153182707491)	(205, 36.51602648689401)	(210, 35.31134178625246)	(215, 36.24773798848334)	(220, 35.57157497947897)	(225, 36.01050517608243)	(230, 36.01674030845116)	(235, 35.64594468366461)	(240, 35.45747349964135)	(245, 33.12450944448873)	(250, 31.780141012474)	(255, 29.140853858784897)	(260, 28.817)	(265, 30.52173913043479)	(270, 30.151383399209486)	(275, 29.278831168831168)	(280, 28.46333333333333)	(285, 26.154117647058825)	(290, 22.576190476190476)	(295, 24.125)
10296.D	(1, 32.875781563050495)	(2, 32.8598592241451)	(3, 32.9551437622385)	(4, 32.946494590487426)	(5, 32.494114178139675)	(6, 34.06871706472514)	(7, 33.72395230858793)	(8, 32.8563360475402)	(9, 33.32282428723718)	(10, 35.56288870239742)	(15, 37.29379210233846)	(20, 37.59953125118132)	(25, 37.29249170238986)	(30, 38.40049596649202)	(35, 37.50912926126698)	(40, 37.963883659567394)	(45, 37.04666016466692)	(50, 37.355417451064895)	(55, 35.91843165717828)	(60, 37.403182955688116)	(65, 36.795518156456254)	(70, 37.303189760106456)	(75, 37.21386589247507)	(80, 36.54435951522299)	(85, 37.23617228787226)	(90, 36.87638337604996)	(95, 35.82597473292658)	(100, 37.0380790370992)	(105, 37.64015060445916)	(110, 37.842344651349165)	(115, 37.70440850703501)	(120, 38.30600830139037)	(125, 37.595876522488595)	(130, 37.72945179069609)	(135, 37.433394573098354)	(140, 38.097774955204244)	(145, 37.41836285694845)	(150, 36.86964246561879)	(155, 37.80678476112712)	(160, 37.50754912412015)	(165, 36.90341354986505)	(170, 37.46921907958902)	(175, 36.95571835756463)	(180, 35.91248761973886)	(185, 34.943337340379685)	(190, 35.945845902606095)	(195, 35.89094894966576)	(200, 36.084768470982894)	(205, 36.55455469897926)	(210, 35.40267828880822)	(215, 36.27956509575908)	(220, 35.54308346878572)	(225, 36.190968284002594)	(230, 36.17172118892304)	(235, 35.671088056924006)	(240, 35.4650493478912)	(245, 33.60397323540751)	(250, 31.247185886691845)	(255, 29.037588383838386)	(260, 27.086249999999996)	(265, 27.55494252873563)	(270, 27.26287684729064)	(275, 25.999333333333333)	(280, 25.851190476190474)	(285, 23.687280701754386)	(290, 23.15128205128205)	(295, 21.441666666666666)
10296.E	(1, 32.99912638322656)	(2, 32.929131148408956)	(3, 32.99213744903902)	(4, 32.998305712924235)	(5, 32.638852120506165)	(6, 33.7846137554932)	(7, 33.460925504315135)	(8, 32.7063191613279)	(9, 33.28797585640917)	(10, 35.683372160745485)	(15, 37.28255149044316)	(20, 37.596081961137294)	(25, 37.295494255307894)	(30, 38.42985122041616)	(35, 37.55850055593795)	(40, 37.965079154974326)	(45, 37.19667496161381)	(50, 37.47170805315826)	(55, 36.101779001429556)	(60, 37.52827606290041)	(65, 36.77643617302907)	(70, 37.40432043204321)	(75, 37.30307618997195)	(80, 36.780235082331764)	(85, 37.3265844231482)	(90, 37.13773759728914)	(95, 36.156615661566164)	(100, 37.150640652300524)	(105, 37.70039709853338)	(110, 37.989421295070684)	(115, 37.94175623444697)	(120, 38.353989516598716)	(125, 37.775422248107155)	(130, 37.96381638163816)	(135, 37.68731667284375)	(140, 38.153727431566686)	(145, 37.56814475565203)	(150, 36.914512627733366)	(155, 37.85921003865093)	(160, 37.697376502356114)	(165, 37.07408005506433)	(170, 37.596825859056494)	(175, 37.27811192883994)	(180, 36.16037221369196)	(185, 35.205702334939375)	(190, 36.117758246412876)	(195, 35.872793455816165)	(200, 36.3501561920898)	(205, 36.83678118885042)	(210, 35.6447653716328)	(215, 36.27286883091275)	(220, 35.83201133144476)	(225, 36.18105689550184)	(230, 36.17291572899843)	(235, 35.70942509706798)	(240, 35.17609044759557)	(245, 32.45353948567345)	(250, 31.326524759972244)	(255, 30.21794871794872)	(260, 30.78181818181819)	(265, 29.955555555555556)	(270, 28.577777777777776)	(275, 30.955555555555556)	(280, 29.23650793650794)	(285, 25.868095238095236)	(290, 25.6)	(295, 22.0)
10296.F	(1, 32.971792637769546)	(2, 32.916303637551735)	(3, 32.997560444347634)	(4, 32.96017207580048)	(5, 32.621215421476805)	(6, 33.65329993465476)	(7, 33.316379873665866)	(8, 32.81384230015247)	(9, 33.11216510564147)	(10, 35.75375735133957)	(15, 37.26264430407319)	(20, 37.632539751688086)	(25, 37.349745153561315)	(30, 38.42723807449358)	(35, 37.515634937922016)	(40, 38.01442169461991)	(45, 37.07008059246352)	(50, 37.391855804835544)	(55, 36.121666303637554)	(60, 37.66407318666957)	(65, 36.8929340013069)	(70, 37.41665868002614)	(75, 37.460601176214325)	(80, 36.692511435417124)	(85, 37.45791113047267)	(90, 37.00694619908517)	(95, 36.35282727074711)	(100, 37.35950555434546)	(105, 37.653472010455246)	(110, 37.96629928120235)	(115, 37.71976257895883)	(120, 38.34812023524287)	(125, 37.53831191461555)	(130, 37.662016989762584)	(135, 37.44002178174689)	(140, 38.1756610760183)	(145, 37.51565018514485)	(150, 36.81207362230451)	(155, 37.739261598780224)	(160, 37.601441951644524)	(165, 36.93310825528207)	(170, 37.4309235460684)	(175, 36.901888477455884)	(180, 36.031483336963625)	(185, 34.96070572859943)	(190, 35.65562555137573)	(195, 36.28866255259207)	(200, 35.9273556572507)	(205, 36.3328840997328)	(210, 35.35107426792938)	(215, 36.21980349699744)	(220, 35.58925005882332)	(225, 36.170469100879764)	(230, 36.06771481297763)	(235, 35.972010870177385)	(240, 35.36531685634782)	(245, 33.728813055140954)	(250, 31.587185357180022)	(255, 32.55021645021645)	(260, 31.179999999999996)	(265, 30.452602339181283)	(270, 29.942608225108227)	(275, 28.76)	(280, 29.559999999999995)	(285, 27.56666666666667)	(290, 20.69166666666667)	(295, 18.166666666666664)
10296.G	(1, 32.85748745103895)	(2, 32.88150564559666)	(3, 32.96220953606175)	(4, 32.940396742439034)	(5, 32.494078728218796)	(6, 34.02799251082599)	(7, 33.67720741106606)	(8, 32.90473127419337)	(9, 33.27568660333797)	(10, 35.57853409756602)	(15, 37.296580479904435)	(20, 37.61042511400315)	(25, 37.34126741634983)	(30, 38.398350543884035)	(35, 37.50955558873868)	(40, 38.01353564823855)	(45, 36.992745149840914)	(50, 37.44951584557599)	(55, 36.09382602602833)	(60, 37.38255895427239)	(65, 36.83459033528986)	(70, 37.286849148278755)	(75, 37.274002687832386)	(80, 36.50101655199348)	(85, 37.249736385669486)	(90, 36.72240894106296)	(95, 35.98072341745253)	(100, 37.11685638475057)	(105, 37.61128430145074)	(110, 37.895493860485416)	(115, 37.5845782745035)	(120, 38.29642196671223)	(125, 37.48452888271173)	(130, 37.62736994452038)	(135, 37.35816170642897)	(140, 38.015653752053204)	(145, 37.31445571394112)	(150, 36.656924614341996)	(155, 37.565402772832215)	(160, 37.282495778724766)	(165, 36.64431018045234)	(170, 37.23687614146728)	(175, 36.448943819708475)	(180, 35.52410434303174)	(185, 34.483033345202685)	(190, 35.574799490927575)	(195, 35.67917044041886)	(200, 35.54502030398298)	(205, 35.99058812827887)	(210, 34.75122379822007)	(215, 35.84287137498124)	(220, 35.321254939803325)	(225, 35.92860972900857)	(230, 35.7717371698943)	(235, 35.5605790191534)	(240, 35.299401400914434)	(245, 33.07274878794145)	(250, 31.77091480354327)	(255, 27.354487179487183)	(260, 26.40833333333333)	(265, 26.543478260869563)	(270, 25.738961038961037)	(275, 26.921904761904763)	(280, 24.328070175438594)	(285, 23.65441176470588)	(290, 22.475)	(295, 28.075757575757574)
10296.H	(1, 33.030328233723026)	(2, 32.96020663964576)	(3, 32.99636857765387)	(4, 32.96595834407141)	(5, 32.76330154862592)	(6, 33.189970245765295)	(7, 32.92444298666916)	(8, 32.77549609914954)	(9, 32.94752008996556)	(10, 35.63894759037556)	(15, 37.28118454654077)	(20, 37.50620387507907)	(25, 37.31493100297543)	(30, 38.41354403392451)	(35, 37.549762200407656)	(40, 37.97772883817913)	(45, 37.090204531077944)	(50, 37.52648829744864)	(55, 35.99256846988262)	(60, 37.42432350115971)	(65, 36.513438605533814)	(70, 37.55311716608486)	(75, 37.411850151114024)	(80, 36.784771454677504)	(85, 37.35833938570391)	(90, 37.00431084975283)	(95, 36.45277042382213)	(100, 37.291261157838015)	(105, 37.49279806948901)	(110, 38.02090059274184)	(115, 37.78709790783216)	(120, 38.4022069676452)	(125, 37.46001452568938)	(130, 37.48055666190287)	(135, 37.48531733945599)	(140, 38.07026685097111)	(145, 37.40476302040625)	(150, 36.73392451327227)	(155, 37.65128974064616)	(160, 37.546739919874426)	(165, 36.680041234215025)	(170, 37.28880819061453)	(175, 36.70581964716632)	(180, 36.297732118173506)	(185, 34.667574912728725)	(190, 35.68731579317292)	(195, 36.65520529609024)	(200, 35.71478777314762)	(205, 36.34681626633204)	(210, 35.33279445186382)	(215, 36.175294784408464)	(220, 35.67394286731646)	(225, 35.49980084348641)	(230, 36.14791439487206)	(235, 36.01283353908084)	(240, 35.41565425214101)	(245, 33.5719333219479)	(250, 31.27272992535124)	(255, 31.332423984086393)	(260, 33.89333333333333)	(265, 31.836849816849814)	(270, 31.95384615384615)	(275, 31.089999999999996)	(280, 31.43214285714286)	(285, 27.75)	(290, 25.71666666666666)	(295, 28.0)
10296.I	(1, 32.917214293048566)	(2, 32.88698360543519)	(3, 32.97130095492351)	(4, 32.950833418899954)	(5, 32.53233562651881)	(6, 33.87416572543382)	(7, 33.45502618338639)	(8, 32.828661395762744)	(9, 33.19076222747031)	(10, 35.65150426121779)	(15, 37.27270595885956)	(20, 37.61442310983332)	(25, 37.3338518670637)	(30, 38.38863675257555)	(35, 37.49376903857343)	(40, 38.00026525652873)	(45, 37.009054659958245)	(50, 37.394403942909946)	(55, 36.01678817127015)	(60, 37.53149878495397)	(65, 36.863461341000104)	(70, 37.34874559331896)	(75, 37.37334257452853)	(80, 36.57163466474997)	(85, 37.37180579799433)	(90, 36.85037307047266)	(95, 36.141583667043164)	(100, 37.241821542252794)	(105, 37.64129445186021)	(110, 37.88772632371565)	(115, 37.682505048430706)	(120, 38.3581904370743)	(125, 37.54227675668275)	(130, 37.65583222096724)	(135, 37.420828627169115)	(140, 38.12017489817572)	(145, 37.416353492829515)	(150, 36.798293801553896)	(155, 37.714927952904134)	(160, 37.54069206284013)	(165, 36.94436458226375)	(170, 37.468362597118116)	(175, 36.87427867337509)	(180, 35.82962316459595)	(185, 34.8909983913475)	(190, 35.71534392080631)	(195, 36.08443425502095)	(200, 35.863999557386116)	(205, 36.288374481194644)	(210, 35.233482870821135)	(215, 36.10948160372613)	(220, 35.58801348760784)	(225, 36.11870858407087)	(230, 36.12965792520131)	(235, 35.734670270328444)	(240, 35.34171842054873)	(245, 33.44395271180299)	(250, 31.539904748565505)	(255, 30.00558201058201)	(260, 27.526086956521738)	(265, 29.3446452098626)	(270, 27.909523809523808)	(275, 27.139999999999997)	(280, 26.778117475060196)	(285, 24.373333333333335)	(290, 24.653296703296704)	(295, 24.564285714285713)
10296.J	(1, 32.74415546464056)	(2, 32.83992125257621)	(3, 32.93655603063767)	(4, 32.93058076225045)	(5, 32.51612630348519)	(6, 33.91343935525547)	(7, 33.56642775846689)	(8, 33.026346550186105)	(9, 33.17326740287305)	(10, 35.66656156756591)	(15, 37.298240487249686)	(20, 37.62842597434556)	(25, 37.36265188101756)	(30, 38.387780306991914)	(35, 37.50251468824018)	(40, 38.00114891260881)	(45, 36.933899843120365)	(50, 37.37304438770802)	(55, 36.01965609523516)	(60, 37.35916361622935)	(65, 36.980133193884775)	(70, 37.342794303116065)	(75, 37.31463287089729)	(80, 36.38739887415793)	(85, 37.38049770832693)	(90, 36.75166569257744)	(95, 35.95062598049771)	(100, 37.22702020978806)	(105, 37.73915684887262)	(110, 37.9627795379741)	(115, 37.6830416192439)	(120, 38.33565012765696)	(125, 37.47223538097142)	(130, 37.52381648158972)	(135, 37.32657725552924)	(140, 38.11494047802147)	(145, 37.440208865237324)	(150, 36.889353717432094)	(155, 37.7740502630041)	(160, 37.441751514965084)	(165, 36.78603463656218)	(170, 37.443040388815405)	(175, 36.76222276907933)	(180, 35.83669445384355)	(185, 34.82982404872497)	(190, 35.76018416226128)	(195, 36.399185160523814)	(200, 35.954246638674405)	(205, 36.146723180564656)	(210, 35.42609739616847)	(215, 36.11501651437557)	(220, 35.77482252866845)	(225, 36.166576488272725)	(230, 36.22914874250061)	(235, 35.916191567592534)	(240, 35.370485645115856)	(245, 33.322723998400704)	(250, 31.102517318365233)	(255, 29.1336294910763)	(260, 28.886906455327512)	(265, 28.409781912562778)	(270, 28.18222811671087)	(275, 26.71066666666667)	(280, 25.844927536231886)	(285, 23.77269339356296)	(290, 22.256013071895424)	(295, 23.642857142857142)
