Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
10296.A	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.6666666666666666)	(41.0, 1.3333333333333333)	(42.0, 3.3333333333333335)	(43.0, 16.333333333333343)	(44.0, 71.66666666666673)	(45.0, 209.3333333333349)	(46.0, 540.9999999999916)	(47.0, 948.8333333333713)	(48.0, 1098.5000000000296)	(49.0, 3028.666666666926)	(50.0, 8177.333333330366)	(51.0, 9538.333333332801)	(52.0, 9481.333333332697)	(53.0, 8782.66666666476)	(54.0, 6748.333333331666)	(55.0, 6770.999999998312)	(56.0, 3907.000000000659)	(57.0, 1784.9999999998734)	(58.0, 511.99999999998835)	(59.0, 201.66666666666802)	(60.0, 121.99999999999935)	(61.0, 166.33333333333368)	(62.0, 141.66666666666632)	(63.0, 14.666666666666675)	(64.0, 6.999999999999997)	(65.0, 4.0)	(66.0, 4.999999999999999)	(67.0, 3.0)	(68.0, 1.6666666666666665)	(69.0, 4.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.B	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.6666666666666666)	(34.0, 1.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.5)	(38.0, 0.5)	(39.0, 0.6666666666666666)	(40.0, 0.6666666666666666)	(41.0, 0.6666666666666666)	(42.0, 2.8333333333333335)	(43.0, 8.833333333333332)	(44.0, 54.33333333333344)	(45.0, 150.49999999999991)	(46.0, 829.8333333333578)	(47.0, 888.8333333333644)	(48.0, 778.5000000000185)	(49.0, 2061.99999999982)	(50.0, 5708.333333332612)	(51.0, 9087.999999998648)	(52.0, 9512.666666666088)	(53.0, 8207.666666663714)	(54.0, 5629.99999999935)	(55.0, 6328.999999998714)	(56.0, 3567.6666666671713)	(57.0, 1738.9999999998838)	(58.0, 563.3333333333275)	(59.0, 70.00000000000009)	(60.0, 16.666666666666675)	(61.0, 50.333333333333414)	(62.0, 51.33333333333342)	(63.0, 3.666666666666667)	(64.0, 0.3333333333333333)	(65.0, 0.6666666666666666)	(66.0, 3.3333333333333335)	(67.0, 7.666666666666663)	(68.0, 3.0)	(69.0, 6.999999999999997)	(70.0, 0.6666666666666666)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.C	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 0.3333333333333333)	(40.0, 1.4999999999999998)	(41.0, 1.833333333333333)	(42.0, 3.0)	(43.0, 6.166666666666665)	(44.0, 31.166666666666625)	(45.0, 102.33333333333296)	(46.0, 805.333333333355)	(47.0, 1046.1666666667081)	(48.0, 635.5000000000024)	(49.0, 1740.9999999998834)	(50.0, 5709.999999999277)	(51.0, 9448.666666665971)	(52.0, 10049.33333333373)	(53.0, 7186.333333331268)	(54.0, 6109.999999998913)	(55.0, 6433.333333331952)	(56.0, 4767.666666666801)	(57.0, 4884.000000000028)	(58.0, 934.666666666703)	(59.0, 261.1666666666693)	(60.0, 136.83333333333286)	(61.0, 103.33333333333294)	(62.0, 90.99999999999979)	(63.0, 10.0)	(64.0, 15.333333333333343)	(65.0, 11.333333333333336)	(66.0, 1.9999999999999998)	(67.0, 0.3333333333333333)	(68.0, 1.0)	(69.0, 1.3333333333333333)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.3333333333333333)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.D	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.3333333333333333)	(33.0, 1.9999999999999998)	(34.0, 1.6666666666666665)	(35.0, 0.3333333333333333)	(36.0, 0.3333333333333333)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 1.0)	(40.0, 2.6666666666666665)	(41.0, 3.0)	(42.0, 3.0)	(43.0, 17.33333333333334)	(44.0, 55.000000000000114)	(45.0, 146.4999999999998)	(46.0, 640.6666666666697)	(47.0, 1044.1666666667086)	(48.0, 682.0000000000076)	(49.0, 1799.6666666665367)	(50.0, 6666.999999998407)	(51.0, 11138.000000002377)	(52.0, 9798.666666666608)	(53.0, 8755.66666666471)	(54.0, 8198.666666663697)	(55.0, 8739.999999998015)	(56.0, 4900.333333333347)	(57.0, 1692.666666666561)	(58.0, 710.0000000000108)	(59.0, 273.00000000000193)	(60.0, 177.333333333334)	(61.0, 212.333333333335)	(62.0, 168.66666666666708)	(63.0, 7.666666666666663)	(64.0, 1.3333333333333333)	(65.0, 1.6666666666666665)	(66.0, 3.3333333333333335)	(67.0, 1.9999999999999998)	(68.0, 1.3333333333333333)	(69.0, 3.666666666666667)	(70.0, 0.6666666666666666)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.E	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.6666666666666666)	(42.0, 1.6666666666666665)	(43.0, 9.666666666666666)	(44.0, 16.666666666666675)	(45.0, 33.33333333333329)	(46.0, 249.0000000000027)	(47.0, 334.6666666666651)	(48.0, 196.33333333333454)	(49.0, 1193.6666666666745)	(50.0, 4088.0000000007412)	(51.0, 7630.99999999753)	(52.0, 6984.666666664784)	(53.0, 4765.6666666668025)	(54.0, 4324.0000000005375)	(55.0, 3754.0000000005894)	(56.0, 1889.6666666665162)	(57.0, 780.6666666666855)	(58.0, 270.0000000000021)	(59.0, 56.33333333333346)	(60.0, 32.66666666666662)	(61.0, 39.333333333333336)	(62.0, 39.333333333333336)	(63.0, 1.9999999999999998)	(64.0, 1.0)	(65.0, 0.6666666666666666)	(66.0, 1.0)	(67.0, 0.3333333333333333)	(68.0, 0.3333333333333333)	(69.0, 0.6666666666666666)	(70.0, 0.3333333333333333)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.F	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.6666666666666666)	(37.0, 1.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.8333333333333333)	(41.0, 2.1666666666666665)	(42.0, 2.333333333333333)	(43.0, 10.500000000000002)	(44.0, 122.66666666666602)	(45.0, 253.83333333333618)	(46.0, 685.000000000008)	(47.0, 1120.5000000000246)	(48.0, 929.8333333333692)	(49.0, 1277.9999999999886)	(50.0, 5657.666666665991)	(51.0, 9519.999999999434)	(52.0, 8856.999999998228)	(53.0, 6356.9999999986885)	(54.0, 5577.666666666064)	(55.0, 3163.333333333654)	(56.0, 1413.3333333332912)	(57.0, 501.3333333333223)	(58.0, 336.9999999999983)	(59.0, 173.66666666666723)	(60.0, 103.9999999999996)	(61.0, 21.99999999999999)	(62.0, 13.33333333333334)	(63.0, 2.6666666666666665)	(64.0, 1.6666666666666665)	(65.0, 0.3333333333333333)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.3333333333333333)	(69.0, 1.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.G	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.5)	(39.0, 1.3333333333333333)	(40.0, 2.333333333333333)	(41.0, 1.6666666666666665)	(42.0, 1.8333333333333333)	(43.0, 34.666666666666636)	(44.0, 117.33333333333275)	(45.0, 221.50000000000193)	(46.0, 475.8333333333237)	(47.0, 1233.1666666666656)	(48.0, 847.8333333333599)	(49.0, 1567.3333333332562)	(50.0, 4703.000000000193)	(51.0, 6074.666666665612)	(52.0, 6493.999999998564)	(53.0, 7089.666666664689)	(54.0, 5905.333333332433)	(55.0, 4258.0000000005975)	(56.0, 2185.666666666543)	(57.0, 805.333333333355)	(58.0, 483.99999999998994)	(59.0, 113.3333333333328)	(60.0, 55.33333333333345)	(61.0, 56.66666666666679)	(62.0, 50.66666666666675)	(63.0, 4.666666666666666)	(64.0, 3.0)	(65.0, 2.6666666666666665)	(66.0, 3.3333333333333335)	(67.0, 1.3333333333333333)	(68.0, 0.6666666666666666)	(69.0, 1.6666666666666665)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.H	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 1.0)	(43.0, 12.000000000000004)	(44.0, 50.66666666666675)	(45.0, 118.99999999999939)	(46.0, 380.83333333332916)	(47.0, 779.1666666666854)	(48.0, 363.99999999999676)	(49.0, 795.3333333333538)	(50.0, 3931.00000000067)	(51.0, 8573.999999997714)	(52.0, 9901.000000000127)	(53.0, 3729.666666667245)	(54.0, 3573.000000000507)	(55.0, 2141.3333333331893)	(56.0, 1876.333333333186)	(57.0, 3000.6666666669134)	(58.0, 591.666666666664)	(59.0, 502.66666666665554)	(60.0, 390.6666666666619)	(61.0, 66.6666666666668)	(62.0, 49.00000000000007)	(63.0, 1.9999999999999998)	(64.0, 1.3333333333333333)	(65.0, 1.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.6666666666666666)	(69.0, 1.0)	(70.0, 0.3333333333333333)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.I	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.6666666666666666)	(34.0, 1.3333333333333333)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 1.1666666666666665)	(41.0, 1.8333333333333333)	(42.0, 3.833333333333334)	(43.0, 14.833333333333343)	(44.0, 103.33333333333296)	(45.0, 257.5000000000028)	(46.0, 691.0000000000086)	(47.0, 1616.6666666665785)	(48.0, 1616.4999999999118)	(49.0, 2224.999999999894)	(50.0, 7840.333333330672)	(51.0, 10873.33333333523)	(52.0, 9135.333333332068)	(53.0, 7869.666666663979)	(54.0, 7312.999999997819)	(55.0, 4347.666666667183)	(56.0, 2833.0000000001705)	(57.0, 942.0000000000372)	(58.0, 379.3333333333292)	(59.0, 188.66666666666765)	(60.0, 105.33333333333292)	(61.0, 233.66666666666893)	(62.0, 184.3333333333342)	(63.0, 10.0)	(64.0, 3.666666666666667)	(65.0, 0.6666666666666666)	(66.0, 0.3333333333333333)	(67.0, 0.0)	(68.0, 0.3333333333333333)	(69.0, 0.6666666666666666)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.J	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.5)	(37.0, 0.8333333333333333)	(38.0, 0.0)	(39.0, 0.6666666666666666)	(40.0, 2.1666666666666665)	(41.0, 2.8333333333333335)	(42.0, 1.9999999999999998)	(43.0, 16.333333333333343)	(44.0, 178.33333333333402)	(45.0, 313.49999999999966)	(46.0, 531.6666666666572)	(47.0, 935.0000000000364)	(48.0, 1959.1666666665005)	(49.0, 3051.6666666669366)	(50.0, 7375.666666664429)	(51.0, 8566.333333331033)	(52.0, 7362.999999997774)	(53.0, 7825.499999997353)	(54.0, 11010.833333335479)	(55.0, 8349.333333330638)	(56.0, 4758.333333333476)	(57.0, 1325.6666666666445)	(58.0, 430.99999999999295)	(59.0, 82.9999999999999)	(60.0, 27.999999999999968)	(61.0, 107.99999999999955)	(62.0, 87.6666666666665)	(63.0, 4.333333333333333)	(64.0, 3.3333333333333335)	(65.0, 0.6666666666666666)	(66.0, 1.3333333333333333)	(67.0, 0.6666666666666666)	(68.0, 0.0)	(69.0, 0.3333333333333333)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
