Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
10296.A	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.001070199752784004)	(41.0, 0.002140399505568008)	(42.0, 0.00535099876392002)	(43.0, 0.02621989394320811)	(44.0, 0.11504647342428054)	(45.0, 0.33604272237417976)	(46.0, 0.8684670993842057)	(47.0, 1.5231617981498948)	(48.0, 1.7634216426498899)	(49.0, 4.861917476898147)	(50.0, 13.127070167643831)	(51.0, 15.311882962956282)	(52.0, 15.220380884093085)	(53.0, 14.09881154317341)	(54.0, 10.833096997553405)	(55.0, 10.869483789148028)	(56.0, 6.271905651191713)	(57.0, 2.8654598380789675)	(58.0, 0.8219134101380964)	(59.0, 0.32373542521716336)	(60.0, 0.19584655475947169)	(61.0, 0.2670148383196096)	(62.0, 0.2274174474666003)	(63.0, 0.0235443945612481)	(64.0, 0.011237097404232038)	(65.0, 0.0064211985167040245)	(66.0, 0.008026498145880029)	(67.0, 0.004815898887528018)	(68.0, 0.00267549938196001)	(69.0, 0.0064211985167040245)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.B	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0012046596234235596)	(34.0, 0.0018069894351353394)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0009034947175676697)	(38.0, 0.0009034947175676697)	(39.0, 0.0012046596234235596)	(40.0, 0.0012046596234235596)	(41.0, 0.0012046596234235596)	(42.0, 0.005119803399550128)	(43.0, 0.015961740010362165)	(44.0, 0.0981797593090203)	(45.0, 0.27195190998786845)	(46.0, 1.49950006625652)	(47.0, 1.6061124429295173)	(48.0, 1.4067412752528954)	(49.0, 3.7260122152487445)	(50.0, 10.314898025562925)	(51.0, 16.421919986507525)	(52.0, 17.189288166629726)	(53.0, 14.831166953773819)	(54.0, 10.173350519810786)	(55.0, 11.43643613496924)	(56.0, 6.446735974752091)	(57.0, 3.1423546277001453)	(58.0, 1.0179373817928974)	(59.0, 0.12648926045947392)	(60.0, 0.030116490585589007)	(61.0, 0.0909518015684789)	(62.0, 0.09275879100361425)	(63.0, 0.006625627928829579)	(64.0, 0.0006023298117117798)	(65.0, 0.0012046596234235596)	(66.0, 0.006023298117117799)	(67.0, 0.013853585669370932)	(68.0, 0.005420968305406019)	(69.0, 0.01264892604594737)	(70.0, 0.0012046596234235596)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.C	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0005506638252413774)	(39.0, 0.0005506638252413774)	(40.0, 0.002477987213586198)	(41.0, 0.0030286510388275747)	(42.0, 0.004955974427172396)	(43.0, 0.010187280766965477)	(44.0, 0.05148706766006871)	(45.0, 0.16905379434910223)	(46.0, 1.3304038017832034)	(47.0, 1.7282584155201315)	(48.0, 1.04984058282269)	(49.0, 2.876117159235521)	(50.0, 9.4328713263836)	(51.0, 15.609116790290933)	(52.0, 16.6014130033777)	(53.0, 11.871761408375441)	(54.0, 10.09366791667265)	(55.0, 10.627811827156302)	(56.0, 7.8761446924276415)	(57.0, 8.068326367436708)	(58.0, 1.544061365976882)	(59.0, 0.43144510707662354)	(60.0, 0.2260475002615846)	(61.0, 0.17070578582482634)	(62.0, 0.15033122429089565)	(63.0, 0.016519914757241322)	(64.0, 0.025330535961103372)	(65.0, 0.018722570058206833)	(66.0, 0.0033039829514482635)	(67.0, 0.0005506638252413774)	(68.0, 0.0016519914757241322)	(69.0, 0.0022026553009655094)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0005506638252413774)	(75.0, 0.0005506638252413774)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.D	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0005061727770157553)	(33.0, 0.003037036662094531)	(34.0, 0.002530863885078776)	(35.0, 0.0005061727770157553)	(36.0, 0.0005061727770157553)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0015185183310472657)	(40.0, 0.004049382216126042)	(41.0, 0.004555554993141798)	(42.0, 0.004555554993141798)	(43.0, 0.02632098440481928)	(44.0, 0.08351850820759979)	(45.0, 0.22246293549842414)	(46.0, 0.9728640774242863)	(47.0, 1.585586224001917)	(48.0, 1.035629501774247)	(49.0, 2.732826823107865)	(50.0, 10.123961713089702)	(51.0, 16.913257171208055)	(52.0, 14.879454953155053)	(53.0, 13.295640333869873)	(54.0, 12.449825623475007)	(55.0, 13.271850213350088)	(56.0, 7.441245994908638)	(57.0, 2.570345361685845)	(58.0, 1.0781480150435752)	(59.0, 0.41455550437590655)	(60.0, 0.26928391737238283)	(61.0, 0.3224320589590386)	(62.0, 0.2561234251699728)	(63.0, 0.011641973871362366)	(64.0, 0.002024691108063021)	(65.0, 0.002530863885078776)	(66.0, 0.0050617277701575526)	(67.0, 0.003037036662094531)	(68.0, 0.002024691108063021)	(69.0, 0.005567900547173309)	(70.0, 0.0010123455540315106)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.E	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0018166624277877906)	(42.0, 0.004541656069469475)	(43.0, 0.02634160520292296)	(44.0, 0.04541656069469478)	(45.0, 0.09083312138938941)	(46.0, 0.6785234167787471)	(47.0, 0.9119645387494666)	(48.0, 0.5350070849835076)	(49.0, 3.25273407695406)	(50.0, 11.13977400719675)	(51.0, 20.79442647966621)	(52.0, 19.033172255927553)	(53.0, 12.98641136504139)	(54.0, 11.782872506633074)	(55.0, 10.229626130874655)	(56.0, 5.1493296515640825)	(57.0, 2.127311702939554)	(58.0, 0.7357482832540608)	(59.0, 0.15350797514806863)	(60.0, 0.08901645896160161)	(61.0, 0.10718308323947964)	(62.0, 0.10718308323947964)	(63.0, 0.005449987283363371)	(64.0, 0.0027249936416816854)	(65.0, 0.0018166624277877906)	(66.0, 0.0027249936416816854)	(67.0, 0.0009083312138938953)	(68.0, 0.0009083312138938953)	(69.0, 0.0018166624277877906)	(70.0, 0.0009083312138938953)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.F	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0014457970679236903)	(37.0, 0.0021686956018855358)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.001807246334904613)	(41.0, 0.004698840470751994)	(42.0, 0.005060289737732916)	(43.0, 0.02277130381979813)	(44.0, 0.26602666049795765)	(45.0, 0.5504872336119513)	(46.0, 1.4855564872916092)	(47.0, 2.430023421912796)	(48.0, 2.0165254604866454)	(49.0, 2.7715929792096903)	(50.0, 12.269756816932935)	(51.0, 20.645982129949072)	(52.0, 19.20813694589635)	(53.0, 13.786397941183507)	(54.0, 12.096261168782249)	(55.0, 6.860307087298607)	(56.0, 3.0650897839981326)	(57.0, 1.0872393950785912)	(58.0, 0.7308504178354219)	(59.0, 0.37663013619412256)	(60.0, 0.22554434259609485)	(61.0, 0.04771130324148176)	(62.0, 0.02891594135847382)	(63.0, 0.005783188271694761)	(64.0, 0.003614492669809226)	(65.0, 0.0007228985339618451)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0007228985339618451)	(69.0, 0.0021686956018855358)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.G	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0011682697924375299)	(39.0, 0.0031153861131667463)	(40.0, 0.0054519256980418065)	(41.0, 0.0038942326414584333)	(42.0, 0.004283655905604276)	(43.0, 0.08100003894233535)	(44.0, 0.27415397795867236)	(45.0, 0.5175435180498302)	(46.0, 1.1118034191363602)	(47.0, 2.881342731415092)	(48.0, 1.980996144709967)	(49.0, 3.6621363760273304)	(50.0, 10.988745667667859)	(51.0, 14.193699131585232)	(52.0, 15.173488064175283)	(53.0, 16.565286810231264)	(54.0, 13.798045095213418)	(55.0, 9.948985552399401)	(56.0, 5.106896686008301)	(57.0, 1.8816932123527654)	(58.0, 1.1308851590795055)	(59.0, 0.26480781961917227)	(60.0, 0.12928852369642024)	(61.0, 0.13240390980958702)	(62.0, 0.11838467230033656)	(63.0, 0.010903851396083613)	(64.0, 0.0070096187546251805)	(65.0, 0.006230772226333493)	(66.0, 0.007788465282916867)	(67.0, 0.0031153861131667463)	(68.0, 0.0015576930565833732)	(69.0, 0.0038942326414584333)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.H	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.002448819668919607)	(43.0, 0.029385836027035293)	(44.0, 0.12407352989192695)	(45.0, 0.29140954060143176)	(46.0, 0.9325921572468735)	(47.0, 1.908038658699906)	(48.0, 0.8913703594867289)	(49.0, 1.947627910014111)	(50.0, 9.626310118524616)	(51.0, 20.99617984131111)	(52.0, 24.24576354197334)	(53.0, 9.133281091848577)	(54.0, 8.749632677050997)	(55.0, 5.243739184379499)	(56.0, 4.594801972115794)	(57.0, 7.348091553205371)	(58.0, 1.4488849707774276)	(59.0, 1.2309400202435619)	(60.0, 0.9566722173245815)	(61.0, 0.16325464459464079)	(62.0, 0.11999216377706091)	(63.0, 0.004897639337839213)	(64.0, 0.0032650928918928094)	(65.0, 0.002448819668919607)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0016325464459464047)	(69.0, 0.002448819668919607)	(70.0, 0.0008162732229732024)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.I	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0011338832667178158)	(34.0, 0.0022677665334356317)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0019842957167561775)	(41.0, 0.0031181789834739933)	(42.0, 0.0065198287836274425)	(43.0, 0.02522890268447142)	(44.0, 0.1757519063412608)	(45.0, 0.43796241176976114)	(46.0, 1.175270005953031)	(47.0, 2.7496669217905536)	(48.0, 2.7493834509738737)	(49.0, 3.7843354026705303)	(50.0, 13.335034158230346)	(51.0, 18.493636080170802)	(52.0, 15.537602403832079)	(53.0, 13.384925021965888)	(54.0, 12.438132494257372)	(55.0, 7.394619723901114)	(56.0, 4.818436941917648)	(57.0, 1.6021770558723372)	(58.0, 0.6451795787624303)	(59.0, 0.32088896448114357)	(60.0, 0.1791535561414142)	(61.0, 0.3974260849845983)	(62.0, 0.3135187232474776)	(63.0, 0.017008249000767237)	(64.0, 0.006236357966947988)	(65.0, 0.0011338832667178158)	(66.0, 0.0005669416333589079)	(67.0, 0.0)	(68.0, 0.0005669416333589079)	(69.0, 0.0011338832667178158)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
10296.J	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0007773913854670446)	(37.0, 0.001295652309111741)	(38.0, 0.0)	(39.0, 0.0010365218472893926)	(40.0, 0.003368696003690526)	(41.0, 0.00440521785097992)	(42.0, 0.0031095655418681783)	(43.0, 0.02539478525859014)	(44.0, 0.27726959414991365)	(45.0, 0.4874243986878364)	(46.0, 0.8266261732132761)	(47.0, 1.45372189082343)	(48.0, 3.0460785787214446)	(49.0, 4.744678755967616)	(50.0, 11.467559457482718)	(51.0, 13.318787476741475)	(52.0, 11.447865542384237)	(53.0, 12.1669525739406)	(54.0, 17.119453960296767)	(55.0, 12.981399615448167)	(56.0, 7.398174685028263)	(57.0, 2.061123693334923)	(58.0, 0.6701113742725815)	(59.0, 0.12904696998752926)	(60.0, 0.04353391758615445)	(61.0, 0.16791653926088093)	(62.0, 0.1363026229185549)	(63.0, 0.006737392007381052)	(64.0, 0.005182609236446965)	(65.0, 0.0010365218472893926)	(66.0, 0.0020730436945787852)	(67.0, 0.0010365218472893926)	(68.0, 0.0)	(69.0, 0.0005182609236446963)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
