Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
10296.A	(24.0, 2.0)	(25.0, 3.0)	(26.0, 10.0)	(27.0, 27.0)	(28.0, 70.0)	(29.0, 154.0)	(30.0, 271.0)	(31.0, 768.0)	(32.0, 2028.0)	(33.0, 4699.0)	(34.0, 8669.0)	(35.0, 14258.0)	(36.0, 23304.0)	(37.0, 59058.0)	(38.0, 10983.0)	
10296.B	(24.0, 1.0)	(25.0, 3.0)	(26.0, 12.0)	(27.0, 36.0)	(28.0, 82.0)	(29.0, 174.0)	(30.0, 360.0)	(31.0, 947.0)	(32.0, 2311.0)	(33.0, 5201.0)	(34.0, 8887.0)	(35.0, 14308.0)	(36.0, 23068.0)	(37.0, 52403.0)	(38.0, 5688.0)	
10296.C	(24.0, 1.0)	(25.0, 6.0)	(26.0, 11.0)	(27.0, 28.0)	(28.0, 67.0)	(29.0, 151.0)	(30.0, 345.0)	(31.0, 864.0)	(32.0, 2138.0)	(33.0, 4850.0)	(34.0, 9150.0)	(35.0, 15231.0)	(36.0, 24913.0)	(37.0, 61513.0)	(38.0, 6226.0)	
10296.D	(24.0, 1.0)	(25.0, 5.0)	(26.0, 22.0)	(27.0, 40.0)	(28.0, 68.0)	(29.0, 180.0)	(30.0, 365.0)	(31.0, 911.0)	(32.0, 2362.0)	(33.0, 5399.0)	(34.0, 9871.0)	(35.0, 15826.0)	(36.0, 26004.0)	(37.0, 63419.0)	(38.0, 7794.0)	
10296.E	(24.0, 1.0)	(25.0, 1.0)	(26.0, 7.0)	(27.0, 19.0)	(28.0, 43.0)	(29.0, 88.0)	(30.0, 213.0)	(31.0, 424.0)	(32.0, 1149.0)	(33.0, 2669.0)	(34.0, 5002.0)	(35.0, 8603.0)	(36.0, 14857.0)	(37.0, 37521.0)	(38.0, 4951.0)	
10296.F	(26.0, 8.0)	(27.0, 22.0)	(28.0, 60.0)	(29.0, 97.0)	(30.0, 249.0)	(31.0, 559.0)	(32.0, 1461.0)	(33.0, 3484.0)	(34.0, 6646.0)	(35.0, 10805.0)	(36.0, 17682.0)	(37.0, 43954.0)	(38.0, 6793.0)			
10296.G	(25.0, 1.0)	(26.0, 4.0)	(27.0, 28.0)	(28.0, 59.0)	(29.0, 127.0)	(30.0, 299.0)	(31.0, 741.0)	(32.0, 1849.0)	(33.0, 4178.0)	(34.0, 7233.0)	(35.0, 11352.0)	(36.0, 17970.0)	(37.0, 39124.0)	(38.0, 4094.0)		
10296.H	(24.0, 2.0)	(25.0, 2.0)	(26.0, 4.0)	(27.0, 29.0)	(28.0, 61.0)	(29.0, 119.0)	(30.0, 241.0)	(31.0, 610.0)	(32.0, 1543.0)	(33.0, 3477.0)	(34.0, 6214.0)	(35.0, 10297.0)	(36.0, 16570.0)	(37.0, 41685.0)	(38.0, 4512.0)	
10296.I	(23.0, 3.0)	(24.0, 3.0)	(25.0, 3.0)	(26.0, 8.0)	(27.0, 24.0)	(28.0, 62.0)	(29.0, 144.0)	(30.0, 308.0)	(31.0, 837.0)	(32.0, 2164.0)	(33.0, 4733.0)	(34.0, 8993.0)	(35.0, 14262.0)	(36.0, 22419.0)	(37.0, 54733.0)	(38.0, 8172.0)
10296.J	(23.0, 1.0)	(24.0, 2.0)	(25.0, 2.0)	(26.0, 14.0)	(27.0, 35.0)	(28.0, 96.0)	(29.0, 158.0)	(30.0, 413.0)	(31.0, 973.0)	(32.0, 2524.0)	(33.0, 5529.0)	(34.0, 9959.0)	(35.0, 15807.0)	(36.0, 24412.0)	(37.0, 60497.0)	(38.0, 9614.0)
10296.K	(23.0, 1.0)	(24.0, 0.0)	(25.0, 4.0)	(26.0, 10.0)	(27.0, 22.0)	(28.0, 71.0)	(29.0, 124.0)	(30.0, 268.0)	(31.0, 678.0)	(32.0, 1650.0)	(33.0, 4076.0)	(34.0, 7687.0)	(35.0, 12699.0)	(36.0, 21771.0)	(37.0, 53904.0)	(38.0, 5574.0)
10296.L	(25.0, 6.0)	(26.0, 9.0)	(27.0, 26.0)	(28.0, 64.0)	(29.0, 146.0)	(30.0, 289.0)	(31.0, 726.0)	(32.0, 1907.0)	(33.0, 4317.0)	(34.0, 8293.0)	(35.0, 14076.0)	(36.0, 23808.0)	(37.0, 61579.0)	(38.0, 9133.0)		
10296.M	(25.0, 4.0)	(26.0, 4.0)	(27.0, 32.0)	(28.0, 71.0)	(29.0, 161.0)	(30.0, 352.0)	(31.0, 916.0)	(32.0, 2319.0)	(33.0, 5358.0)	(34.0, 9772.0)	(35.0, 15515.0)	(36.0, 25413.0)	(37.0, 52982.0)	(38.0, 4062.0)		
10296.N	(24.0, 1.0)	(25.0, 3.0)	(26.0, 11.0)	(27.0, 27.0)	(28.0, 52.0)	(29.0, 118.0)	(30.0, 257.0)	(31.0, 622.0)	(32.0, 1618.0)	(33.0, 3764.0)	(34.0, 7528.0)	(35.0, 12921.0)	(36.0, 21633.0)	(37.0, 53967.0)	(38.0, 9663.0)	
10296.O	(25.0, 6.0)	(26.0, 18.0)	(27.0, 27.0)	(28.0, 52.0)	(29.0, 175.0)	(30.0, 340.0)	(31.0, 897.0)	(32.0, 2275.0)	(33.0, 5245.0)	(34.0, 9661.0)	(35.0, 16064.0)	(36.0, 26763.0)	(37.0, 63097.0)	(38.0, 7003.0)		
10296.P	(24.0, 1.0)	(25.0, 5.0)	(26.0, 10.0)	(27.0, 18.0)	(28.0, 50.0)	(29.0, 115.0)	(30.0, 224.0)	(31.0, 572.0)	(32.0, 1607.0)	(33.0, 3661.0)	(34.0, 6801.0)	(35.0, 11242.0)	(36.0, 17939.0)	(37.0, 43524.0)	(38.0, 5824.0)	
10296.Q	(25.0, 6.0)	(26.0, 21.0)	(27.0, 32.0)	(28.0, 91.0)	(29.0, 187.0)	(30.0, 376.0)	(31.0, 892.0)	(32.0, 2330.0)	(33.0, 5248.0)	(34.0, 9636.0)	(35.0, 16116.0)	(36.0, 26530.0)	(37.0, 65310.0)	(38.0, 8968.0)		
