Sample	Unique Reads	Duplicate Reads
10296.A	5359.0	118945.0
10296.B	4854.0	108627.0
10296.C	4301.0	121193.0
10296.D	5212.0	127055.0
10296.E	2778.0	72770.0
10296.F	3792.0	88028.0
10296.G	4452.0	82607.0
10296.H	2781.0	82585.0
10296.I	5009.0	111859.0
10296.J	5714.0	124322.0
10296.K	3050.0	105489.0
10296.L	4452.0	119927.0
10296.M	5107.0	111854.0
10296.N	3986.0	108199.0
10296.O	4684.0	126939.0
10296.P	4419.0	87174.0
10296.Q	5654.0	130089.0
10296.R	5361.0	148996.0
10296.S	3883.0	95242.0
10296.T	3679.0	88799.0
