Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
10296.A	(1.0, 2.48825460162183)	(2.0, 1.3756596730595958)	(3.0, 0.9171064487063972)	(4.0, 0.576007208134895)	(5.0, 0.4585532243531986)	(6.0, 0.4778607285364912)	(7.0, 0.5011906294246363)	(8.0, 0.32179173638820957)	(9.0, 0.253410992405715)	('>10', 5.464828163212769)	('>50', 2.1592225511648864)	('>100', 10.690725962157293)	('>500', 7.516250482687605)	('>1k', 14.882867807954693)	('>5k', 9.15497490024456)	('>10k+', 42.76129488994723)
10296.B	(1.0, 2.466492188119597)	(2.0, 1.286558983442162)	(3.0, 0.9939989954265472)	(4.0, 0.6591411778183132)	(5.0, 0.5860011808144094)	(6.0, 0.35424432283818436)	(7.0, 0.37627444241767344)	(8.0, 0.34543227500638873)	(9.0, 0.2775795067015624)	('>10', 5.185890149011729)	('>50', 3.122108546805192)	('>100', 8.655193380389669)	('>500', 5.277535446462403)	('>1k', 24.920471268318046)	('>5k', 19.332751738176434)	('>10k+', 26.160326398251687)
10296.C	(1.0, 2.016829489856089)	(2.0, 1.0040320652780212)	(3.0, 0.6813074728672287)	(4.0, 0.4876727174207532)	(5.0, 0.4342837107750171)	(6.0, 0.2868663043651489)	(7.0, 0.3123655314198288)	(8.0, 0.21036862320110922)	(9.0, 0.2510080163195053)	('>10', 4.875133472516614)	('>50', 2.617655027331984)	('>100', 7.99400768164215)	('>500', 3.679857204328494)	('>1k', 14.891548599933063)	('>5k', 6.447320190606723)	('>10k+', 53.80974389213827)
10296.D	(1.0, 2.296869211519124)	(2.0, 1.233867858195922)	(3.0, 0.7711674113724512)	(4.0, 0.5322567231433388)	(5.0, 0.47252905108606075)	(6.0, 0.4037288212479303)	(7.0, 0.3492934745628161)	(8.0, 0.2661283615716694)	(9.0, 0.30619882510376734)	('>10', 5.549381175954697)	('>50', 2.5206589701134825)	('>100', 7.577853886456939)	('>500', 5.79131605011076)	('>1k', 19.65645247869839)	('>5k', 5.866920698284531)	('>10k+', 46.40537700257812)
10296.E	(1.0, 2.1271244771535978)	(2.0, 1.109228569915815)	(3.0, 0.7346322867580876)	(4.0, 0.49240218139461006)	(5.0, 0.410335151162175)	(6.0, 0.36533065071213006)	(7.0, 0.32429713559591256)	(8.0, 0.32826812092974)	(9.0, 0.23825912002965002)	('>10', 5.604383967808546)	('>50', 2.5758458198761054)	('>100', 10.34044580928681)	('>500', 5.111981786413936)	('>1k', 13.272356647429447)	('>5k', 17.886641605337005)	('>10k+', 39.078466670196434)
10296.F	(1.0, 2.4014375952951426)	(2.0, 1.2589849705946417)	(3.0, 0.8886952733609236)	(4.0, 0.570681768677848)	(5.0, 0.5445436724025267)	(6.0, 0.37900239599215857)	(7.0, 0.4345458505772163)	(8.0, 0.2613809627532128)	(9.0, 0.245044652581137)	('>10', 5.736223045088216)	('>50', 2.5473752994990195)	('>100', 9.5044652581137)	('>500', 5.873448050533653)	('>1k', 25.701372250054455)	('>5k', 5.886517098671313)	('>10k+', 37.766281855804834)
10296.G	(1.0, 3.0209398224192787)	(2.0, 1.587429214670511)	(3.0, 1.016551993475689)	(4.0, 0.8729712034367497)	(5.0, 0.5341205389448535)	(6.0, 0.4755395766089663)	(7.0, 0.3939856878668489)	(8.0, 0.3767559930621762)	(9.0, 0.38249922466373376)	('>10', 6.063703924924477)	('>50', 2.6499270609586603)	('>100', 12.044705314786524)	('>500', 5.287219012393893)	('>1k', 37.397626896702235)	('>5k', 0.0)	('>10k+', 27.896024535085402)
10296.H	(1.0, 1.8742825012299977)	(2.0, 0.9816554600192114)	(3.0, 0.6044561066466743)	(4.0, 0.5154276878382494)	(5.0, 0.3807136330623433)	(6.0, 0.44279924091558703)	(7.0, 0.23779959234355597)	(8.0, 0.3561136752336996)	(9.0, 0.2951994939437247)	('>10', 4.658763442119813)	('>50', 2.2350818827167727)	('>100', 6.726331326289155)	('>500', 6.108989527446524)	('>1k', 12.864606517817398)	('>5k', 11.634608626385212)	('>10k+', 50.08317128599208)
10296.I	(1.0, 2.5053906971968374)	(2.0, 1.3690659547523703)	(3.0, 0.8214395728514221)	(4.0, 0.6297703391860903)	(5.0, 0.436389773077318)	(6.0, 0.41071978642571105)	(7.0, 0.34740048601841395)	(8.0, 0.35595714823561625)	(9.0, 0.36964780778313994)	('>10', 5.813396310367252)	('>50', 2.294896806653661)	('>100', 7.917479549577301)	('>500', 9.154772906184755)	('>1k', 18.406236095423896)	('>5k', 19.788137043502072)	('>10k+', 29.379299722764145)
10296.J	(1.0, 2.5615983266172444)	(2.0, 1.3380909901873328)	(3.0, 0.9874188686209974)	(4.0, 0.6305946045710419)	(5.0, 0.4960164877418561)	(6.0, 0.5213940754867883)	(7.0, 0.3714356024485527)	(8.0, 0.3629764065335753)	(9.0, 0.3737426558799102)	('>10', 5.026300409117475)	('>50', 2.4923867236765203)	('>100', 10.186409917253684)	('>500', 4.696391768433357)	('>1k', 28.82893967824295)	('>5k', 15.251930234704236)	('>10k+', 25.874373250484485)
10296.K	(1.0, 1.6335142206948654)	(2.0, 0.8623628373211472)	(3.0, 0.5500327071375266)	(4.0, 0.42381079611936723)	(5.0, 0.3270713752660334)	(6.0, 0.2321746100480012)	(7.0, 0.22572531532444562)	(8.0, 0.2579717889422235)	(9.0, 0.24046656040685838)	('>10', 4.039101152581099)	('>50', 1.4289794451763882)	('>100', 7.102516146270005)	('>500', 8.08925823897401)	('>1k', 4.601111121348087)	('>5k', 22.868277761910466)	('>10k+', 47.117625922479476)
10296.L	(1.0, 2.0815410961657514)	(2.0, 1.0580564243160018)	(3.0, 0.6898270608382444)	(4.0, 0.5081243618295693)	(5.0, 0.47435660360671816)	(6.0, 0.41003706413462077)	(7.0, 0.4446088166008731)	(8.0, 0.32159769736048693)	(9.0, 0.31838172038688206)	('>10', 4.82878942586771)	('>50', 2.12013281984901)	('>100', 8.895392308991068)	('>500', 7.456242613302888)	('>1k', 10.412529446289165)	('>5k', 15.853158491385203)	('>10k+', 44.12722404907581)
10296.M	(1.0, 2.550422790502817)	(2.0, 1.4209864826737117)	(3.0, 0.92594967553287)	(4.0, 0.5745504911893708)	(5.0, 0.4616923589914587)	(6.0, 0.4976017646907944)	(7.0, 0.41295816554236026)	(8.0, 0.30095501919443235)	(9.0, 0.27701541539487523)	('>10', 5.082035892305982)	('>50', 2.4529544036046205)	('>100', 8.817469070886878)	('>500', 8.131770419199562)	('>1k', 24.92112755533896)	('>5k', 5.523208590897821)	('>10k+', 37.64930190405349)
10296.N	(1.0, 2.087623122520836)	(2.0, 1.1374069617150242)	(3.0, 0.6926059633640861)	(4.0, 0.5063065472211079)	(5.0, 0.49026162142888974)	(6.0, 0.37438160181842495)	(7.0, 0.2995052814547399)	(8.0, 0.18540803137674378)	(9.0, 0.21660649819494585)	('>10', 4.263493336898872)	('>50', 2.3541471676249053)	('>100', 8.843428265810937)	('>500', 4.380264741275572)	('>1k', 21.21941436020858)	('>5k', 7.9359985737843735)	('>10k+', 45.01314792530196)
10296.O	(1.0, 2.089300502191866)	(2.0, 1.0894752436884132)	(3.0, 0.7407519962316617)	(4.0, 0.47104229503962075)	(5.0, 0.4482499259248004)	(6.0, 0.36011943201416163)	(7.0, 0.35632070382835823)	(8.0, 0.3099762199615569)	(9.0, 0.21880674350227544)	('>10', 4.227984470799177)	('>50', 2.6089665180097703)	('>100', 6.262583287115474)	('>500', 6.318804464265364)	('>1k', 22.274982335913936)	('>5k', 5.3774796198232835)	('>10k+', 46.84515624169028)
10296.P	(1.0, 2.782963763606389)	(2.0, 1.519766794405686)	(3.0, 1.0612164685074188)	(4.0, 0.7686176891247147)	(5.0, 0.6059415020798532)	(6.0, 0.4257967311912482)	(7.0, 0.4126952933084406)	(8.0, 0.38430884456235737)	(9.0, 0.3046084307752776)	('>10', 5.694758333060387)	('>50', 2.7665869662528797)	('>100', 9.025798914764229)	('>500', 9.23760549386962)	('>1k', 25.877523391525553)	('>5k', 18.01338530237027)	('>10k+', 21.11842608059568)
10296.Q	(1.0, 2.3993870770500134)	(2.0, 1.3776032649934067)	(3.0, 0.8840234855572664)	(4.0, 0.5746152656122231)	(5.0, 0.41991115563970144)	(6.0, 0.44643186020641945)	(7.0, 0.37128986393405183)	(8.0, 0.29467449518575545)	(9.0, 0.29172775023389785)	('>10', 5.394753320613218)	('>50', 2.1025025231503647)	('>100', 8.056400698378553)	('>500', 8.073344481851734)	('>1k', 27.53291145768106)	('>5k', 4.129126363790398)	('>10k+', 37.65129693612194)
10296.R	(1.0, 1.992782964167482)	(2.0, 1.135031129135705)	(3.0, 0.7443782918818065)	(4.0, 0.5053220780398686)	(5.0, 0.41786248760989136)	(6.0, 0.36538673335190497)	(7.0, 0.2403519114779375)	(8.0, 0.27987068937592724)	(9.0, 0.2623787712899318)	('>10', 4.38334510258686)	('>50', 2.3950970801453773)	('>100', 6.442856495008324)	('>500', 5.296164087148623)	('>1k', 23.215014544205964)	('>5k', 6.19278685126039)	('>10k+', 46.131370783314004)
10296.S	(1.0, 2.3152585119798235)	(2.0, 1.1924337957124842)	(3.0, 0.7445145018915511)	(4.0, 0.5165195460277427)	(5.0, 0.4791929382093317)	(6.0, 0.3752837326607818)	(7.0, 0.4166456494325347)	(8.0, 0.3308953341740227)	(9.0, 0.2723833543505675)	('>10', 5.085498108448928)	('>50', 2.1810844892812105)	('>100', 8.160403530895334)	('>500', 5.887515762925599)	('>1k', 21.580832282471626)	('>5k', 15.395712484237075)	('>10k+', 35.06582597730139)
10296.T	(1.0, 2.262159648781332)	(2.0, 1.3192326823676983)	(3.0, 0.8142477129695711)	(4.0, 0.5147170137762495)	(5.0, 0.4433486883366855)	(6.0, 0.499578278076948)	(7.0, 0.3860377603321871)	(8.0, 0.3373775384415753)	(9.0, 0.35035359761240514)	('>10', 5.062825753152101)	('>50', 2.635221349942689)	('>100', 8.030017950215186)	('>500', 8.01379787625165)	('>1k', 20.322671338047968)	('>5k', 16.706676182443392)	('>10k+', 32.30173662925237)
