Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
10296.A	(190, 2.0)	(195, 1.0)	(200, 3.0)	(205, 0.0)	(210, 3.0)	(215, 2.0)	(220, 2.0)	(225, 2.0)	(230, 1.0)	(235, 5.0)	(240, 5.0)	(245, 3.0)	(250, 124249.0)	(255, 4.0)	(260, 2.0)	(265, 1.0)	(270, 1.0)	(275, 1.0)	(280, 1.0)	(285, 5.0)	(290, 2.0)	(295, 9.0)																													
10296.B	(190, 1.0)	(195, 3.0)	(200, 1.0)	(205, 3.0)	(210, 1.0)	(215, 2.0)	(220, 3.0)	(225, 2.0)	(230, 0.0)	(235, 4.0)	(240, 6.0)	(245, 7.0)	(250, 113414.0)	(255, 9.0)	(260, 5.0)	(265, 1.0)	(270, 0.0)	(275, 2.0)	(280, 3.0)	(285, 0.0)	(290, 5.0)	(295, 9.0)																													
10296.C	(190, 1.0)	(195, 3.0)	(200, 2.0)	(205, 4.0)	(210, 1.0)	(215, 2.0)	(220, 0.0)	(225, 1.0)	(230, 7.0)	(235, 3.0)	(240, 0.0)	(245, 2.0)	(250, 125436.0)	(255, 7.0)	(260, 2.0)	(265, 0.0)	(270, 1.0)	(275, 2.0)	(280, 2.0)	(285, 4.0)	(290, 6.0)	(295, 8.0)																													
10296.D	(195, 2.0)	(200, 2.0)	(205, 1.0)	(210, 3.0)	(215, 0.0)	(220, 5.0)	(225, 5.0)	(230, 1.0)	(235, 2.0)	(240, 3.0)	(245, 5.0)	(250, 132193.0)	(255, 13.0)	(260, 2.0)	(265, 1.0)	(270, 4.0)	(275, 1.0)	(280, 5.0)	(285, 4.0)	(290, 3.0)	(295, 12.0)																														
10296.E	(206, 1.0)	(208, 2.0)	(210, 0.0)	(212, 0.0)	(214, 1.0)	(216, 0.0)	(218, 2.0)	(220, 0.0)	(222, 0.0)	(224, 0.0)	(226, 0.0)	(228, 0.0)	(230, 0.0)	(232, 0.0)	(234, 1.0)	(236, 1.0)	(238, 0.0)	(240, 0.0)	(242, 2.0)	(244, 1.0)	(246, 1.0)	(248, 0.0)	(250, 71.0)	(252, 73038.0)	(254, 2415.0)	(256, 0.0)	(258, 1.0)	(260, 0.0)	(262, 0.0)	(264, 2.0)	(266, 0.0)	(268, 0.0)	(270, 0.0)	(272, 0.0)	(274, 0.0)	(276, 0.0)	(278, 0.0)	(280, 1.0)	(282, 1.0)	(284, 1.0)	(286, 1.0)	(288, 1.0)	(290, 0.0)	(292, 0.0)	(294, 0.0)	(296, 4.0)					
10296.F	(190, 2.0)	(195, 2.0)	(200, 3.0)	(205, 3.0)	(210, 1.0)	(215, 1.0)	(220, 2.0)	(225, 3.0)	(230, 3.0)	(235, 6.0)	(240, 2.0)	(245, 4.0)	(250, 91764.0)	(255, 4.0)	(260, 0.0)	(265, 4.0)	(270, 6.0)	(275, 0.0)	(280, 0.0)	(285, 2.0)	(290, 4.0)	(295, 4.0)																													
10296.G	(190, 3.0)	(195, 3.0)	(200, 1.0)	(205, 2.0)	(210, 1.0)	(215, 1.0)	(220, 0.0)	(225, 2.0)	(230, 1.0)	(235, 2.0)	(240, 1.0)	(245, 1.0)	(250, 87015.0)	(255, 2.0)	(260, 0.0)	(265, 2.0)	(270, 1.0)	(275, 2.0)	(280, 1.0)	(285, 2.0)	(290, 4.0)	(295, 12.0)																													
10296.H	(195, 1.0)	(200, 2.0)	(205, 1.0)	(210, 0.0)	(215, 1.0)	(220, 1.0)	(225, 1.0)	(230, 1.0)	(235, 1.0)	(240, 0.0)	(245, 4.0)	(250, 85330.0)	(255, 8.0)	(260, 0.0)	(265, 2.0)	(270, 1.0)	(275, 3.0)	(280, 4.0)	(285, 1.0)	(290, 2.0)	(295, 2.0)																														
10296.I	(190, 6.0)	(195, 5.0)	(200, 2.0)	(205, 0.0)	(210, 3.0)	(215, 4.0)	(220, 0.0)	(225, 4.0)	(230, 6.0)	(235, 2.0)	(240, 4.0)	(245, 5.0)	(250, 116792.0)	(255, 11.0)	(260, 1.0)	(265, 2.0)	(270, 1.0)	(275, 1.0)	(280, 4.0)	(285, 1.0)	(290, 4.0)	(295, 10.0)																													
10296.J	(190, 2.0)	(195, 4.0)	(200, 4.0)	(205, 1.0)	(210, 3.0)	(215, 1.0)	(220, 0.0)	(225, 2.0)	(230, 3.0)	(235, 6.0)	(240, 10.0)	(245, 3.0)	(250, 129950.0)	(255, 8.0)	(260, 6.0)	(265, 4.0)	(270, 3.0)	(275, 2.0)	(280, 1.0)	(285, 3.0)	(290, 8.0)	(295, 12.0)																													
