"study","sample","input","filtered","denoised","nonchim","pct_filtered","pct_denoised","pct_nonchim"
"study_A","10296.A.fastq.gz",124304,124103,120600,98676,99.8,97,79.4
"study_B","10296.B.fastq.gz",113481,113248,109386,89647,99.8,96.4,79
"study_C","10296.C.fastq.gz",125494,125275,121829,90422,99.8,97.1,72.1
"study_D","10296.D.fastq.gz",132267,132012,127984,101601,99.8,96.8,76.8
"study_E","10296.E.fastq.gz",75548,75437,73186,57582,99.9,96.9,76.2
"study_F","10296.F.fastq.gz",91820,91649,88203,69201,99.8,96.1,75.4
"study_G","10296.G.fastq.gz",87059,86900,83478,68545,99.8,95.9,78.7
"study_H","10296.H.fastq.gz",85366,85219,83053,66902,99.8,97.3,78.4
"study_I","10296.I.fastq.gz",116868,116664,112702,90703,99.8,96.4,77.6
"study_J","10296.J.fastq.gz",130036,129787,125372,106378,99.8,96.4,81.8
"study_K","10296.K.fastq.gz",108539,108384,104115,59004,99.9,95.9,54.4
"study_L","10296.L.fastq.gz",124379,124182,121416,97977,99.8,97.6,78.8
"study_M","10296.M.fastq.gz",116961,116759,112941,92415,99.8,96.6,79
"study_N","10296.N.fastq.gz",112185,112011,109099,90698,99.8,97.2,80.8
"study_O","10296.O.fastq.gz",131623,131421,127975,102428,99.8,97.2,77.8
"study_P","10296.P.fastq.gz",91593,91454,87857,71715,99.8,95.9,78.3
"study_Q","10296.Q.fastq.gz",135743,135515,131147,108464,99.8,96.6,79.9
"study_R","10296.R.fastq.gz",154357,154166,150015,123629,99.9,97.2,80.1
"study_S","10296.S.fastq.gz",99125,98998,96218,74725,99.9,97.1,75.4
"study_T","10296.T.fastq.gz",92478,92371,89281,68046,99.9,96.5,73.6
